lga_code16,p_aged_15_yr_over_m,p_aged_15_yr_over_f,p_aged_15_yr_over_p,lab_for_st_empl_worked_ft_m,lab_for_st_empl_worked_ft_f,lab_for_st_empl_worked_ft_p,lab_for_st_empl_worked_pt_m,lab_for_st_empl_worked_pt_f,lab_for_st_empl_worked_pt_p,lab_for_st_empl_awy_frm_wrk_m,lab_for_st_empl_awy_frm_wrk_f,lab_for_st_empl_awy_frm_wrk_p,lab_for_st_unemp_lkg_fr_wrk_m,lab_for_st_unemp_lkg_fr_wrk_f,lab_for_st_unemp_lkg_fr_wrk_p,lab_for_st_tot_labour_force_m,lab_for_st_tot_labour_force_f,lab_for_st_tot_labour_force_p,lab_for_st_n_the_lbour_frce_m,lab_for_st_n_the_lbour_frce_f,lab_for_st_n_the_lbour_frce_p,percent_unemployment_m,percent_unemployment_f,percent_unemployment_p,pcent_lab_force_particip_m,pcent_lab_force_particip_f,pcent_lab_force_particip_p,pcent_employmnt_to_pop_m,pcent_employmnt_to_pop_f,pcent_employmnt_to_pop_p,non_sc_quals_postgrad_deg_m,non_sc_quals_postgrad_deg_f,non_sc_quals_postgrad_deg_p,non_sc_qua_gra_dip_gra_cer_m,non_sc_qua_gra_dip_gra_cer_f,non_sc_qua_gra_dip_gra_cer_p,non_sc_quals_bachelor_deg_m,non_sc_quals_bachelor_deg_f,non_sc_quals_bachelor_deg_p,non_sc_quals_adv_dip_dip_m,non_sc_quals_adv_dip_dip_f,non_sc_quals_adv_dip_dip_p,non_sc_quals_cert3a4_level_m,non_sc_quals_cert3a4_level_f,non_sc_quals_cert3a4_level_p,non_sc_quals_cert1a2_level_m,non_sc_quals_cert1a2_level_f,non_sc_quals_cert1a2_level_p,non_sc_quals_certnfd_level_m,non_sc_quals_certnfd_level_f,non_sc_quals_certnfd_level_p,non_sc_quals_certtot_level_m,non_sc_quals_certtot_level_f,non_sc_quals_certtot_level_p,mig_lvd_same_add_1_yr_ago_m,mig_lvd_same_add_1_yr_ago_f,mig_lvd_same_add_1_yr_ago_p,mig_lvd_diff_add_1_yr_ago_m,mig_lvd_diff_add_1_yr_ago_f,mig_lvd_diff_add_1_yr_ago_p,mig_lvd_same_add_5_yr_ago_m,mig_lvd_same_add_5_yr_ago_f,mig_lvd_same_add_5_yr_ago_p,mig_lvd_diff_add_5_yr_ago_m,mig_lvd_diff_add_5_yr_ago_f,mig_lvd_diff_add_5_yr_ago_p,lga_name16
10050,19730,21477,41202,8863,4850,13712,2339,5738,8080,516,680,1201,903,785,1684,12620,12058,24682,5564,7900,13469,7.2,6.5,6.8,64.0,56.1,59.9,59.4,52.5,55.8,494,581,1078,296,536,836,1799,2926,4728,1382,2103,3491,5360,2883,8242,219,422,641,317,554,874,5888,3863,9758,18028,19180,37206,3896,4273,8164,11817,12410,24232,9136,10226,19360,Albury (C)
10130,11657,12700,24356,4344,2792,7133,1611,2890,4497,327,419,744,568,503,1072,6846,6596,13441,3862,5075,8940,8.3,7.6,8.0,58.7,51.9,55.2,53.9,48.0,50.8,888,809,1692,196,374,566,1274,2004,3273,638,1102,1737,2264,1244,3515,135,226,352,188,323,507,2580,1793,4376,10371,10922,21292,2410,2830,5233,6808,7197,14009,5515,6083,11601,Armidale Regional (A)
10250,16530,18444,34973,5827,3556,9385,2454,4686,7136,454,505,956,632,467,1098,9365,9211,18575,5954,7852,13809,6.7,5.1,5.9,56.7,49.9,53.1,52.8,47.4,50.0,502,562,1067,294,445,740,1931,2805,4742,1255,2076,3327,4388,2027,6415,129,295,427,338,604,943,4863,2928,7786,15410,16419,31825,2919,3307,6225,10138,10960,21102,7497,8209,15707,Ballina (A)
10300,1057,948,2002,494,206,700,113,223,332,38,29,71,36,23,61,675,485,1164,243,349,593,5.3,4.7,5.2,63.9,51.2,58.1,61.0,48.3,55.1,13,17,28,4,16,21,47,69,111,31,68,98,213,98,305,10,16,27,10,13,24,232,123,357,1013,886,1899,131,137,271,743,632,1373,334,324,660,Balranald (A)
10470,16420,16700,33122,6948,4164,11110,1785,4168,5956,457,608,1061,658,547,1208,9852,9481,19337,5423,5964,11387,6.7,5.8,6.2,60.0,56.8,58.4,56.0,53.5,54.7,445,495,946,211,411,627,1364,2361,3722,1002,1637,2639,4411,2052,6469,170,360,531,250,545,801,4831,2958,7795,14855,15324,30177,3002,3153,6154,9597,9794,19397,7420,7930,15354,Bathurst Regional (A)
10550,13441,14309,27748,4407,2493,6895,1794,3482,5277,441,431,874,416,330,744,7054,6732,13793,5401,6546,11947,5.9,4.9,5.4,52.5,47.0,49.7,49.4,44.8,47.0,329,351,682,192,397,592,1148,1810,2954,869,1432,2299,3841,1647,5487,126,302,429,247,473,718,4216,2427,6635,12588,13079,25667,2060,2225,4284,8866,9017,17888,5237,5773,11009,Bega Valley (A)
10600,5037,5483,10521,1487,871,2360,831,1379,2214,144,165,306,227,160,385,2684,2575,5255,2044,2560,4604,8.5,6.2,7.3,53.3,47.0,49.9,48.9,44.0,46.4,130,187,318,70,162,230,508,887,1396,376,624,995,1383,606,1984,61,95,154,101,180,276,1541,877,2421,4770,5132,9896,864,946,1808,3365,3529,6895,2045,2304,4344,Bellingen (A)
10650,3458,3431,6889,1306,623,1934,315,814,1128,129,101,233,96,77,174,1851,1617,3471,1266,1479,2740,5.2,4.8,5.0,53.5,47.1,50.4,50.6,44.8,47.8,28,31,60,20,54,68,180,326,502,192,262,453,890,448,1337,22,57,79,52,91,139,959,598,1558,3195,3116,6314,496,548,1046,2236,2177,4413,1287,1329,2618,Berrigan (A)
10750,127531,131618,259148,63778,38334,102117,14731,26495,41225,3678,3955,7627,5890,6002,11901,88078,74784,162859,33164,50347,83518,6.7,8.0,7.3,69.1,56.8,62.8,64.4,52.3,58.3,7195,6755,13949,1263,1723,2986,17487,22643,40135,10466,12391,22857,23126,12263,35388,1015,2001,3019,2161,3074,5237,26300,17339,43644,130677,133732,264409,21735,21649,43385,85874,88048,173922,57913,58832,116745,Blacktown (C)
10800,2474,2321,4798,1166,519,1683,246,530,776,77,83,156,54,30,85,1543,1154,2702,614,881,1501,3.5,2.6,3.1,62.4,49.7,56.3,60.2,48.8,54.5,15,24,39,9,28,38,108,225,333,98,162,260,617,249,867,20,59,75,46,59,109,683,372,1052,2389,2269,4662,248,262,506,1776,1671,3441,745,722,1471,Bland (A)
