lga_code16,p_pg_deg_35_44_yr,p_pg_deg_45_54_yr,p_pg_deg_55_64_yr,p_pg_deg_65_74_yr,p_pg_deg_75_84_yr,p_pg_deg_85_yr_over,p_pguate_deg_tot,p_grad_dip_cer_15_24,p_grad_dip_cer_25_34,p_grad_dip_cer_35_44,p_grad_dip_cer_45_54,p_grad_dip_cer_55_64,p_grad_dip_cer_65_74,p_grad_dip_cer_75_84,p_grad_dip_cer_85_over,p_grad_dip_cer_tot,p_b_deg_15_24_yr,p_b_deg_25_34_yr,p_b_deg_35_44_yr,p_b_deg_45_54_yr,p_b_deg_55_64_yr,p_b_deg_65_74_yr,p_b_deg_75_84_yr,p_b_deg_85_yr_over,p_b_deg_tot,p_adv_dip_dip_15_24,p_adv_dip_dip_25_34,p_adv_dip_dip_35_44,p_adv_dip_dip_45_54,p_adv_dip_dip_55_64,p_adv_dip_dip_65_74,p_adv_dip_dip_75_84,p_adv_dip_dip_85_over,p_adv_dip_dip_total,p_cer_iii_iv_15_24_yr,p_cer_iii_iv_25_34_yr,p_cer_iii_iv_35_44_yr,p_cer_iii_iv_45_54_yr,p_cer_iii_iv_55_64_yr,p_cer_iii_iv_65_74_yr,p_cer_iii_iv_75_84_yr,p_cer_iii_iv_85_yr,p_cer_iii_iv_tot,p_cer_i_ii_15_24_yr,p_cer_i_ii_25_34_yr,p_cer_i_ii_35_44_yr,p_cer_i_ii_45_54_yr,p_cer_i_ii_55_64_yr,p_cer_i_ii_65_74_yr,p_cer_i_ii_75_84_yr,p_cer_i_ii_85_yr_over,p_cer_i_ii_tot,p_cer_nfd_15_24_yr,p_cer_nfd_25_34_yr,p_cer_nfd_35_44_yr,p_cer_nfd_45_54_yr,p_cer_nfd_55_64_yr,p_cer_nfd_65_74_yr,p_cer_nfd_75_84_yr,p_cer_nfd_85_yr_over,p_cer_nfd_tot,p_cer_tot_15_24_yr,p_cer_tot_25_34_yr,p_cer_tot_35_44_yr,p_cer_tot_45_54_yr,p_cer_tot_55_64_yr,p_cer_tot_65_74_yr,p_cer_tot_75_84_yr,p_cer_tot_85_yr_over,p_cer_tot_tot,p_lvl_educ_inad_desc_15_24,p_lvl_educ_inad_desc_25_34,p_lvl_educ_inad_desc_35_44,p_lvl_educ_inad_desc_45_54,p_lvl_educ_inad_desc_55_64,p_lvl_educ_inad_desc_65_74,p_lvl_educ_inad_desc_75_84,p_lvl_educ_inad_desc_85,p_lvl_educ_inad_desc_tot,p_lvl_educ_ns_15_24,p_lvl_educ_ns_25_34,p_lvl_educ_ns_35_44,p_lvl_educ_ns_45_54,p_lvl_educ_ns_55_64,p_lvl_educ_ns_65_74,p_lvl_educ_ns_75_84,p_lvl_educ_ns_85,p_lvl_educ_ns_tot,p_tot_15_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,lga_name16
10050,280,226,198,86,28,3,1078,9,152,172,199,194,95,9,0,836,271,1260,1184,798,693,376,110,29,4728,180,698,638,731,665,375,156,43,3491,1034,1755,1538,1497,1293,684,326,115,8242,140,156,99,117,82,35,12,4,641,79,90,130,167,186,140,52,24,874,1256,1999,1775,1782,1563,856,388,139,9758,19,26,37,51,59,54,35,12,303,581,538,513,532,621,598,584,292,4264,2334,4913,4599,4322,3994,2442,1316,516,24446,Albury (C)
10130,368,352,330,233,82,26,1692,7,84,106,130,158,62,16,3,566,247,833,655,558,496,320,127,44,3273,89,244,290,388,351,236,105,30,1737,582,708,569,673,527,292,138,28,3515,148,37,38,44,52,21,8,5,352,69,45,53,114,97,76,35,14,507,796,792,665,832,673,389,179,52,4376,18,31,11,24,29,38,15,16,179,665,310,254,359,344,353,262,131,2675,1833,2587,2346,2643,2383,1635,786,292,14500,Armidale Regional (A)
10250,203,243,261,168,44,11,1067,10,62,137,164,217,113,35,3,740,108,724,1063,981,953,591,224,86,4742,87,355,552,676,764,565,247,78,3327,445,942,1095,1261,1306,856,375,138,6415,81,58,55,71,84,66,9,7,427,51,67,111,180,220,213,76,25,943,571,1066,1255,1509,1611,1141,461,165,7786,10,19,29,48,74,90,39,22,336,357,280,353,476,582,621,575,487,3740,1143,2643,3603,4101,4467,3288,1635,861,21735,Ballina (A)
10300,7,7,4,0,0,0,28,0,4,6,3,4,0,0,0,21,10,25,26,15,20,8,4,3,111,5,18,17,21,26,8,0,0,98,42,70,51,49,61,28,7,3,305,4,6,3,9,3,3,0,0,27,3,0,3,5,3,3,0,0,24,45,78,60,62,66,33,7,3,357,0,3,0,0,3,0,3,0,11,49,47,35,47,68,48,36,9,332,103,187,155,154,188,106,49,22,959,Balranald (A)
10470,195,184,218,129,41,10,946,10,94,122,152,136,98,17,3,627,222,906,839,711,575,320,114,35,3722,146,396,481,562,542,330,125,55,2639,792,1395,1208,1228,950,586,234,74,6469,134,107,95,88,74,33,13,3,531,66,83,115,163,165,128,54,17,801,989,1582,1423,1484,1188,749,292,91,7795,22,30,27,47,55,46,20,18,256,964,662,532,506,493,484,377,231,4240,2356,3827,3617,3638,3212,2151,977,436,20212,Bathurst Regional (A)
10550,89,140,190,158,33,7,682,7,45,83,100,209,104,29,7,592,64,310,498,578,725,520,198,65,2954,47,185,307,456,633,458,171,45,2299,370,761,810,1094,1273,772,329,84,5487,68,68,71,67,87,47,11,5,429,34,59,86,120,193,153,56,17,718,473,887,972,1289,1553,973,402,106,6635,12,20,15,31,54,58,29,13,230,353,215,271,455,587,595,529,299,3301,949,1725,2241,3048,3953,2862,1387,541,16704,Bega Valley (A)
10600,42,73,89,70,21,3,318,0,13,27,54,68,61,3,3,230,26,154,299,298,348,199,48,22,1396,21,81,149,226,273,166,72,21,995,113,266,290,408,470,269,137,31,1984,30,26,28,11,32,18,9,0,154,12,14,28,55,79,62,23,8,276,155,304,347,474,575,355,169,39,2421,5,3,8,11,20,14,13,0,80,131,67,88,149,181,207,180,61,1067,340,637,968,1284,1549,1069,506,148,6504,Bellingen (A)
10650,16,7,14,11,0,0,60,0,12,13,18,18,11,3,0,68,13,121,113,71,101,58,27,10,502,18,86,68,79,96,66,27,11,453,113,221,243,221,263,176,77,21,1337,9,12,20,9,13,12,0,0,79,8,16,18,23,39,26,9,5,139,134,246,283,252,312,215,91,22,1558,3,3,3,3,9,9,9,6,49,135,84,104,123,176,208,130,83,1042,304,563,599,558,724,575,293,127,3740,Berrigan (A)
10750,5046,2116,1269,492,99,27,13949,84,697,978,606,411,178,31,0,2986,3019,12280,11116,6643,4488,2015,455,113,40135,2061,6076,5819,4459,2833,1162,355,94,22857,3892,7973,7767,6939,4952,2546,1052,270,35388,585,618,655,548,438,142,33,8,3019,459,818,1150,1136,959,519,158,36,5237,4934,9404,9571,8617,6345,3205,1246,320,43644,176,495,589,522,436,260,97,22,2602,3221,3636,3385,3011,2660,2298,1424,650,20287,13765,37240,36513,25974,18443,9610,3687,1230,146459,Blacktown (C)
10800,11,10,6,0,0,0,39,0,7,7,3,19,4,0,0,38,17,98,87,57,39,28,12,0,333,7,36,55,60,54,28,10,6,260,99,173,171,141,145,79,46,16,867,15,20,13,6,11,4,0,0,75,10,13,18,20,28,14,3,0,109,129,203,200,175,188,96,48,16,1052,0,0,3,3,8,3,3,0,27,87,84,93,114,143,127,108,82,831,238,433,462,423,456,288,178,101,2585,Bland (A)
