lga_code16,f_mgmt_cmrce_35_44,f_mgmt_cmrce_45_54,f_mgmt_cmrce_55_64,f_mgmt_cmrce_65_74,f_mgmt_cmrce_75_84,f_mgmt_cmrce_85_over,f_mgmt_cmrce_tot,f_scty_cul_15_24_yr,f_scty_cul_25_34_yr,f_scty_cul_35_44_yr,f_scty_cul_45_54_yr,f_scty_cul_55_64_yr,f_scty_cul_65_74_yr,f_scty_cul_75_84_yr,f_scty_cul_85_yr_over,f_scty_cul_tot,f_crtve_arts_15_24_yr,f_crtve_arts_25_34_yr,f_crtve_arts_35_44_yr,f_crtve_arts_45_54_yr,f_crtve_arts_55_64_yr,f_crtve_arts_65_74_yr,f_crtve_arts_75_84_yr,f_crtve_arts_85_yr_over,f_crtve_arts_tot,f_foodhos_psnlsvcs_15_24,f_foodhos_psnlsvcs_25_34,f_foodhos_psnlsvcs_35_44,f_foodhos_psnlsvcs_45_54,f_foodhos_psnlsvcs_55_64,f_foodhos_psnlsvcs_65_74,f_foodhos_psnlsvcs_75_84,f_foodhos_psnlsvcs_85_over,f_foodhos_psnlsvcs_tot,f_mix_fld_prog_15_24,f_mix_fld_prog_25_34,f_mix_fld_prog_35_44,f_mix_fld_prog_45_54,f_mix_fld_prog_55_64,f_mix_fld_prog_65_74,f_mix_fld_prog_75_84,f_mix_fld_prog_85,f_mix_fld_prog_tot,f_fld_stud_inad_desc_15_24,f_fld_stud_inad_desc_25_34,f_fld_stud_inad_desc_35_44,f_fld_stud_inad_desc_45_54,f_fld_stud_inad_desc_55_64,f_fld_stud_inad_desc_65_74,f_fld_stud_inad_desc_75_84,f_fld_stud_inad_desc_85,f_fld_stud_inad_desc_tot,f_fld_stud_ns_15_24_yr,f_fld_stud_ns_25_34_yr,f_fld_stud_ns_35_44_yr,f_fld_stud_ns_45_54_yr,f_fld_stud_ns_55_64_yr,f_fld_stud_ns_65_74_yr,f_fld_stud_ns_75_84_yr,f_fld_stud_ns_85_yr_over,f_fld_stud_ns_tot,f_tot_15_24_yr,f_tot_25_34_yr,f_tot_35_44_yr,f_tot_45_54_yr,f_tot_55_64_yr,f_tot_65_74_yr,f_tot_75_84_yr,f_tot_85_yr_over,f_tot_tot,p_nat_phy_sci_15_24,p_nat_phy_sci_25_34,p_nat_phy_sci_35_44,p_nat_phy_sci_45_54,p_nat_phy_sci_55_64,p_nat_phy_sci_65_74,p_nat_phy_sci_75_84,p_nat_phy_sci_85,p_nat_phy_sci_tot,p_it_15_24,p_it_25_34,p_it_35_44,p_it_45_54,p_it_55_64,p_it_65_74,p_it_75_84,p_it_85,p_it_tot,p_egnr_rel_tech_15_24,p_egnr_rel_tech_25_34,p_egnr_rel_tech_35_44,p_egnr_rel_tech_45_54,p_egnr_rel_tech_55_64,p_egnr_rel_tech_65_74,p_egnr_rel_tech_75_84,p_egnr_rel_tech_85,p_egnr_rel_tech_tot,p_arc_bld_15_24,p_arc_bld_25_34,p_arc_bld_35_44,p_arc_bld_45_54,p_arc_bld_55_64,p_arc_bld_65_74,p_arc_bld_75_84,p_arc_bld_85_over,p_arc_bld_tot,p_agric_env_rel_stud_15_24,p_agric_env_rel_stud_25_34,p_agric_env_rel_stud_35_44,p_agric_env_rel_stud_45_54,p_agric_env_rel_stud_55_64,p_agric_env_rel_stud_65_74,p_agric_env_rel_stud_75_84,p_agric_env_rel_stud_85,p_agric_envir_rel_stud_tot,p_hlth_15_24_yr,p_hlth_25_34_yr,p_hlth_35_44_yr,p_hlth_45_54_yr,p_hlth_55_64_yr,p_hlth_65_74_yr,p_hlth_75_84_yr,p_hlth_85_yr_over,p_hlth_tot,p_edu_15_24_yr,p_edu_25_34_yr,p_edu_35_44_yr,p_edu_45_54_yr,p_edu_55_64_yr,p_edu_65_74_yr,p_edu_75_84_yr,p_edu_85_yr_over,p_edu_tot,p_mgmt_cmrce_15_24,p_mgmt_cmrce_25_34,p_mgmt_cmrce_35_44,p_mgmt_cmrce_45_54,p_mgmt_cmrce_55_64,p_mgmt_cmrce_65_74,p_mgmt_cmrce_75_84,p_mgmt_cmrce_85_over,p_mgmt_cmrce_tot,p_scty_cul_15_24_yr,p_scty_cul_25_34_yr,p_scty_cul_35_44_yr,p_scty_cul_45_54_yr,p_scty_cul_55_64_yr,p_scty_cul_65_74_yr,p_scty_cul_75_84_yr,p_scty_cul_85_yr_over,p_scty_cul_tot,p_crtve_arts_15_24_yr,p_crtve_arts_25_34_yr,p_crtve_arts_35_44_yr,p_crtve_arts_45_54_yr,p_crtve_arts_55_64_yr,p_crtve_arts_65_74_yr,p_crtve_arts_75_84_yr,p_crtve_arts_85_yr_over,p_crtve_arts_tot,p_foodhos_psnlsvcs_15_24,p_foodhos_psnlsvcs_25_34,p_foodhos_psnlsvcs_35_44,p_foodhos_psnlsvcs_45_54,p_foodhos_psnlsvcs_55_64,p_foodhos_psnlsvcs_65_74,p_foodhos_psnlsvcs_75_84,p_foodhos_psnlsvcs_85_over,p_foodhos_psnlsvcs_tot,p_mix_fld_prog_15_24,p_mix_fld_prog_25_34,p_mix_fld_prog_35_44,p_mix_fld_prog_45_54,p_mix_fld_prog_55_64,p_mix_fld_prog_65_74,p_mix_fld_prog_75_84,p_mix_fld_prog_85,p_mix_fld_prog_tot,p_fld_stud_inad_desc_15_24,p_fld_stud_inad_desc_25_34,p_fld_stud_inad_desc_35_44,p_fld_stud_inad_desc_45_54,p_fld_stud_inad_desc_55_64,p_fld_stud_inad_desc_65_74,p_fld_stud_inad_desc_75_84,p_fld_stud_inad_desc_85,p_fld_stud_inad_desc_tot,p_fld_stud_ns_15_24_yr,p_fld_stud_ns_25_34_yr,p_fld_stud_ns_35_44_yr,p_fld_stud_ns_45_54_yr,p_fld_stud_ns_55_64_yr,p_fld_stud_ns_65_74_yr,p_fld_stud_ns_75_84_yr,p_fld_stud_ns_85_yr_over,p_fld_stud_ns_tot,p_tot_15_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,lga_name16
10050,601,551,407,188,75,38,2715,178,376,424,372,288,126,23,4,1798,35,86,74,59,39,31,10,0,341,182,255,191,148,99,57,28,7,971,12,3,4,3,7,7,13,3,50,7,27,24,16,11,6,3,0,105,278,254,240,229,259,250,306,163,1979,1269,2575,2391,2186,1966,1114,650,269,12424,26,86,105,84,77,35,12,0,420,41,99,113,72,47,21,0,0,400,224,675,569,644,590,409,198,64,3384,161,335,254,235,255,135,78,29,1494,60,127,149,134,110,72,42,6,703,180,603,503,468,521,291,104,47,2717,95,414,378,393,471,251,100,21,2117,367,905,946,874,687,360,133,57,4324,231,523,567,508,402,197,46,10,2486,71,151,118,100,68,54,16,4,575,240,390,319,236,157,86,48,16,1490,25,9,8,8,6,11,14,7,91,19,47,53,49,34,18,19,5,246,594,548,520,520,574,499,498,253,4011,2334,4913,4599,4322,Albury (C)
10130,257,293,221,123,40,19,1287,154,257,263,243,215,129,39,9,1312,34,62,48,46,31,18,16,4,254,78,80,55,60,31,15,3,0,322,12,3,3,0,0,8,3,0,24,3,0,8,18,16,8,0,0,57,342,157,132,185,159,158,143,75,1349,995,1361,1278,1389,1226,800,408,157,7617,49,143,117,127,114,90,33,12,689,32,79,53,39,18,5,0,3,236,87,192,184,216,231,159,83,27,1180,53,114,99,130,111,78,37,4,621,151,198,185,183,115,88,38,8,978,133,348,231,266,266,163,79,34,1521,44,214,245,267,345,195,88,23,1427,188,345,372,443,348,210,79,28,2014,224,382,391,392,368,250,71,17,2095,51,94,77,80,56,33,23,7,419,120,144,98,101,55,31,8,3,567,23,4,3,0,0,14,3,0,45,12,11,24,33,25,19,12,0,142,670,317,261,355,327,300,222,117,2571,1833,2587,2346,2643,Armidale Regional (A)
10250,414,509,457,298,100,55,2213,83,227,334,378,356,164,35,17,1590,30,85,87,78,62,35,15,7,391,96,153,156,127,92,61,21,7,712,3,0,0,6,0,4,4,3,22,0,12,22,32,17,17,3,0,105,155,134,170,226,275,282,280,269,1794,603,1389,1924,2182,2321,1469,746,471,11109,12,35,79,88,95,73,30,9,410,13,44,46,49,38,25,4,0,220,102,292,383,440,574,524,270,109,2691,69,212,248,295,286,203,106,35,1455,43,103,158,148,123,92,28,11,705,67,314,465,536,629,358,170,83,2631,50,241,355,435,646,427,184,60,2389,111,439,637,725,709,546,188,81,3438,117,299,450,527,519,280,78,21,2292,56,121,135,117,108,66,19,8,631,130,237,254,224,139,119,37,9,1152,7,4,3,6,0,4,8,4,37,3,26,38,62,42,38,14,10,234,355,282,358,466,550,528,484,425,3453,1143,2643,3603,4101,Ballina (A)
10300,14,9,7,3,0,0,57,8,11,9,5,9,4,0,0,47,0,0,3,0,0,0,0,0,12,5,11,3,4,4,4,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,24,13,23,36,17,19,3,153,48,103,65,69,93,43,23,10,458,0,11,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,4,7,18,21,23,24,14,4,0,121,0,4,9,8,5,0,0,0,32,7,22,11,15,16,5,0,4,90,3,12,9,7,24,12,3,0,84,9,14,16,13,11,6,0,0,67,3,21,19,10,15,3,0,0,79,9,11,11,14,9,6,5,0,59,0,0,3,7,0,3,0,0,14,14,21,8,8,8,4,0,0,58,0,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,0,10,45,47,32,41,71,46,33,8,329,103,187,155,154,Balranald (A)
10470,458,439,337,172,63,21,2084,157,314,331,292,189,87,31,5,1412,53,72,85,67,36,42,11,3,366,132,149,125,101,44,29,16,4,592,7,8,4,3,4,3,4,0,29,5,24,12,21,11,11,7,3,90,403,151,157,183,213,198,201,144,1643,1174,1755,1803,1791,1585,971,485,273,9835,16,48,66,62,59,50,16,0,328,29,98,64,53,51,19,3,0,312,175,522,507,562,562,372,157,50,2894,97,258,201,216,198,116,53,17,1155,41,89,133,117,100,75,43,9,618,177,362,321,373,403,217,96,45,1983,76,329,319,352,418,254,87,42,1880,265,622,673,657,495,293,97,38,3144,228,433,440,432,280,176,54,17,2060,84,119,121,98,60,66,16,5,559,174,248,206,169,99,69,25,13,995,17,5,4,3,5,8,4,3,51,18,37,25,58,29,17,10,3,190,970,665,528,495,451,421,317,203,4047,2356,3827,3617,3638,Bathurst Regional (A)
10550,268,306,348,211,63,19,1483,64,149,196,274,329,160,26,8,1203,3,50,52,64,82,34,26,4,313,75,113,100,99,80,66,25,3,555,0,0,0,6,0,7,11,0,19,10,5,16,22,20,13,3,4,89,167,107,133,220,260,260,238,180,1574,484,906,1208,1604,1956,1270,596,289,8313,7,29,51,63,89,97,19,5,366,9,30,34,25,55,25,8,3,184,94,233,258,445,588,436,270,84,2410,71,165,150,220,283,197,81,26,1192,26,80,146,151,161,96,28,8,688,38,168,229,360,454,272,123,40,1696,25,109,198,250,490,344,140,31,1586,113,223,359,421,502,369,105,36,2122,81,196,257,364,461,281,58,15,1716,8,70,72,87,132,84,37,8,495,102,193,177,171,152,110,35,7,949,3,0,0,6,0,9,10,7,31,17,10,45,40,48,36,10,7,216,358,224,279,442,543,518,448,263,3073,949,1725,2241,3048,Bega Valley (A)
10600,109,118,122,71,38,8,560,22,54,93,146,165,58,13,5,557,6,17,41,45,27,14,14,0,168,29,39,33,35,38,13,3,3,186,0,0,0,0,0,3,0,0,10,0,5,6,12,10,0,0,0,40,53,35,50,67,77,93,91,34,496,164,335,541,704,808,492,228,78,3345,3,7,29,39,37,26,9,0,153,6,8,15,12,20,9,4,0,70,27,77,107,160,197,184,96,15,862,21,39,59,84,114,63,30,12,425,16,41,47,55,66,30,14,6,278,11,64,118,167,192,114,32,11,715,13,55,96,120,222,152,48,16,719,34,83,142,163,177,124,66,16,809,20,73,127,194,228,105,23,6,782,10,35,68,54,65,34,23,3,294,38,72,55,58,61,30,9,7,324,0,0,0,0,0,3,3,0,10,3,5,10,30,21,7,12,0,93,135,77,91,141,154,180,156,51,979,340,637,968,1284,Bellingen (A)
10650,55,53,51,30,13,3,270,20,47,49,52,53,30,5,0,256,0,3,6,6,3,0,7,0,18,17,33,37,23,20,12,0,0,155,0,0,0,0,0,3,3,0,14,0,0,4,0,4,3,4,0,16,61,44,55,60,70,74,55,54,473,132,297,308,295,355,240,137,78,1839,0,5,5,4,12,3,0,0,38,3,7,0,3,10,0,0,0,28,54,75,102,92,113,101,47,7,590,9,29,26,30,49,45,20,7,204,18,57,48,37,48,27,4,4,241,12,67,46,51,91,72,30,12,376,7,49,56,44,58,39,21,10,274,13,68,79,75,76,58,22,4,401,27,54,60,55,71,34,7,0,310,0,3,5,6,4,0,7,3,35,25,55,49,38,33,22,3,3,228,0,3,0,0,0,8,6,3,18,0,3,14,3,9,0,4,0,31,130,83,114,119,149,167,111,75,947,304,563,599,558,Berrigan (A)
10750,5594,3659,2362,875,179,44,20184,1154,2846,2686,2066,1219,391,91,16,10466,367,758,499,277,132,67,20,8,2120,689,1317,932,576,328,166,27,11,4049,41,37,22,29,46,43,22,6,255,81,323,383,248,137,59,19,4,1258,1447,1638,1509,1332,1159,1070,720,388,9261,7173,19786,18041,12529,8463,4095,1538,635,72269,366,1054,1176,894,612,240,67,4,4417,674,3101,3593,1049,367,91,7,4,8889,1022,3872,5090,5037,4076,2188,878,202,22366,710,1438,1402,1151,766,500,225,72,6268,157,359,404,353,264,88,31,5,1672,978,3421,2891,2133,1681,657,203,74,12031,574,2160,2124,1586,1305,798,234,78,8864,2638,10000,9601,6001,3933,1668,368,86,34302,1579,3968,3720,2876,1856,721,188,42,14956,676,1375,849,446,254,141,44,15,3798,938,2193,1525,949,577,296,86,21,6585,80,72,54,60,64,74,38,13,461,161,580,679,505,322,143,48,12,2456,3209,3634,3391,2944,2363,1992,1265,600,19399,13765,37240,36513,25974,Blacktown (C)
10800,64,44,38,20,9,0,228,10,35,25,23,24,10,0,0,133,0,4,3,5,3,0,0,0,16,15,11,14,9,15,3,0,3,63,0,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,6,39,25,34,46,55,55,58,47,362,116,193,222,196,215,129,85,66,1230,0,11,4,6,8,4,0,0,33,0,8,0,0,3,0,0,0,8,57,87,86,71,62,38,33,8,433,3,24,17,12,14,6,5,0,89,12,26,40,48,33,39,15,6,221,11,36,18,34,55,25,12,3,193,7,49,45,35,40,24,9,6,210,27,40,83,53,44,21,9,0,290,14,41,39,31,29,17,3,0,168,0,6,4,5,4,0,3,0,22,21,16,24,16,24,6,3,3,112,0,0,0,0,0,0,3,0,8,0,3,3,7,5,0,0,0,22,81,85,90,108,132,104,95,72,772,238,433,462,423,Bland (A)
