lga_code16,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,lga_name16
10050,3994,2442,1316,516,24446,Albury (C)
10130,2383,1635,786,292,14500,Armidale Regional (A)
10250,4467,3288,1635,861,21735,Ballina (A)
10300,188,106,49,22,959,Balranald (A)
10470,3212,2151,977,436,20212,Bathurst Regional (A)
10550,3953,2862,1387,541,16704,Bega Valley (A)
10600,1549,1069,506,148,6504,Bellingen (A)
10650,724,575,293,127,3740,Berrigan (A)
10750,18443,9610,3687,1230,146459,Blacktown (C)
10800,456,288,178,101,2585,Bland (A)
10850,590,391,176,56,3225,Blayney (A)
10900,8731,6103,2508,856,42308,Blue Mountains (C)
10950,153,108,69,21,1129,Bogan (A)
11100,2643,1481,793,302,24169,Botany Bay (C)
11150,252,195,61,14,1467,Bourke (A)
11200,104,45,18,8,653,Brewarrina (A)
11250,1453,996,506,306,7852,Broken Hill (C)
13910,1371,1106,514,182,7668,Hilltops (A)
14000,12723,8075,4259,2389,78654,Hornsby (A)
14100,1262,1008,519,506,7676,Hunters Hill (A)
14170,12784,6909,2669,1081,107635,Inner West (A)
14200,1244,937,485,152,6935,Inverell (A)
14300,496,290,112,34,3134,Junee (A)
14350,2879,2088,1019,411,13533,Kempsey (A)
14400,2492,1804,866,360,11810,Kiama (A)
14500,10847,7787,4683,2627,66786,Ku-ring-gai (A)
14550,1042,614,245,80,4022,Kyogle (A)
14600,409,270,153,59,2373,Lachlan (A)
14650,15877,11583,6247,2797,92318,Lake Macquarie (C)
14700,2966,2003,900,429,22121,Lane Cove (A)
14750,739,472,265,101,4518,Leeton (A)
14850,4478,2566,1098,499,21630,Lismore (C)
14870,1748,1336,641,217,9731,Lithgow (C)
14900,10180,5285,2249,777,82844,Liverpool (C)
14920,587,404,222,61,3078,Liverpool Plains (A)
14950,279,157,105,41,1347,Lockhart (A)
15050,5035,3006,1445,570,33653,Maitland (C)
15240,8767,7868,4081,1641,42122,Mid-Coast (A)
15270,1918,1467,666,187,11181,Mid-Western Regional (A)
15300,906,671,339,72,5839,Moree Plains (A)
15350,2717,2181,1003,543,17342,Mosman (A)
15520,935,696,398,133,5061,Murray River (A)
15560,247,160,93,17,1552,Murrumbidgee (A)
15650,943,504,232,81,6662,Muswellbrook (A)
15700,2112,1589,769,347,9131,Nambucca (A)
15750,986,586,317,115,5809,Narrabri (A)
15800,433,360,177,93,2465,Narrandera (A)
15850,444,321,173,56,2572,Narromine (A)
15900,11889,7152,3780,2264,79051,Newcastle (C)
15950,5902,4433,1836,643,47543,North Sydney (A)
15990,20327,13950,7433,3815,137749,Northern Beaches (A)
16100,391,398,143,38,2430,Oberon (A)
16150,2879,1858,1037,378,19064,Orange (C)
16200,1061,729,395,167,6238,Parkes (A)
16260,14776,8565,4259,1789,126709,Parramatta (C)
16350,11812,6490,2575,905,84166,Penrith (C)
16650,6098,3758,2156,1300,56188,Rockdale (C)
16700,8383,4835,2545,1387,66365,Ryde (C)
16900,4775,2968,1467,666,29991,Shellharbour (C)
16950,9446,7901,4057,1630,48513,Shoalhaven (C)
17000,1553,812,371,116,10321,Singleton (A)
17040,3382,2292,791,234,18987,Snowy Monaro Regional (A)
17080,1184,798,410,202,6420,Snowy Valleys (A)
11300,2184,1213,694,372,19592,Burwood (A)
11350,4173,2556,778,351,19184,Byron (A)
11400,1058,765,324,105,5918,Cabonne (A)
11450,4208,2404,999,505,34490,Camden (A)
11500,9872,5620,2054,794,66245,Campbelltown (C) (NSW)
11520,6277,3898,1676,851,49737,Canada Bay (A)
11570,17253,9540,5200,2487,142773,Canterbury-Bankstown (A)
11600,180,86,42,19,1122,Carrathool (A)
11650,25600,18806,10493,5098,152704,Central Coast (C) (NSW)
11700,146,114,35,0,896,Central Darling (A)
11720,3828,2639,1125,421,23871,Cessnock (C)
11730,5164,3995,1897,698,24175,Clarence Valley (A)
11750,348,162,80,21,2144,Cobar (A)
11800,7127,5139,2584,1141,36488,Coffs Harbour (C)
12000,304,240,127,50,1805,Coolamon (A)
12150,275,227,87,35,1668,Coonamble (A)
12350,991,778,384,135,5271,Cowra (A)
12380,9598,5127,2525,1103,89411,Cumberland (A)
12700,860,548,263,88,4217,Dungog (A)
12730,752,493,263,107,3941,Edward River (A)
12750,4239,3853,1879,696,18752,Eurobodalla (A)
12850,8844,5032,2346,898,64775,Fairfield (C)
12870,1001,835,476,193,5381,Federation (A)
12900,712,538,307,85,4140,Forbes (A)
12930,9801,5811,3104,1524,73772,Georges River (A)
12950,319,218,133,51,1714,Gilgandra (A)
13010,760,612,302,134,3973,Glen Innes Severn (A)
13310,2376,1759,897,419,14396,Goulburn Mulwaree (A)
13340,922,597,252,107,4514,Greater Hume Shire (A)
13450,1615,841,499,306,10614,Griffith (C)
13510,891,669,389,127,4632,Gundagai (A)
13550,869,528,311,105,5208,Gunnedah (A)
13660,373,341,152,62,2154,Gwydir (A)
13800,4809,2892,1229,395,30057,Hawkesbury (C)
13850,226,142,92,22,1251,Hay (A)
16380,7252,6430,3620,1525,38963,Port Macquarie-Hastings (A)
16400,5953,5141,2485,861,33088,Port Stephens (A)
16490,4637,2494,924,283,28665,Queanbeyan-Palerang Regional (A)
16550,9369,5886,2940,1558,81956,Randwick (C)
16610,1823,1352,706,212,9470,Richmond Valley (A)
17420,13129,8225,2971,917,81094,The Hills Shire (A)
17550,8581,6737,3836,1759,45059,Tweed (A)
17620,1064,656,341,177,6285,Upper Hunter Shire (A)
17640,747,562,244,78,3627,Upper Lachlan Shire (A)
17650,624,448,155,45,2901,Uralla (A)
17750,4424,2535,1228,514,29157,Wagga Wagga (C)
17850,270,254,82,53,1455,Walcha (A)
17900,535,471,209,25,2695,Walgett (A)
17950,187,137,63,23,1072,Warren (A)
18020,811,661,343,112,4091,Warrumbungle Shire (A)
18050,4464,3078,1581,872,43098,Waverley (A)
18100,305,260,123,55,1526,Weddin (A)
18200,570,431,188,62,3281,Wentworth (A)
18230,3802,2356,1206,438,23714,Western Plains Regional (A)
18250,5695,3659,1795,954,43391,Willoughby (C)
18350,4550,4392,2262,795,24643,Wingecarribee (A)
18400,3643,2009,881,316,22013,Wollondilly (A)
18450,15245,9598,5225,2143,98771,Wollongong (C)
18500,4746,4134,1923,907,34417,Woollahra (A)
18710,1410,919,396,178,7996,Yass Valley (A)
19399,156,100,15,14,681,Unincorporated NSW
20110,1398,962,412,166,6884,Alpine (S)
20260,1006,681,334,114,5443,Ararat (RC)
20570,6966,4700,2401,957,46839,Ballarat (C)
20660,9580,6291,3144,1484,63687,Banyule (C)
20740,2990,2655,1286,545,15509,Bass Coast (S)
20830,3846,2800,1233,410,22024,Baw Baw (S)
20910,9341,6080,2905,1758,52217,Bayside (C)
21010,1292,942,470,205,6362,Benalla (RC)
21110,14739,9577,4708,2555,95574,Boroondara (C)
21180,9412,5579,2317,934,77226,Brimbank (C)
21270,529,320,210,141,2569,Buloke (S)
21370,2743,1884,1085,489,15737,Campaspe (S)
21450,5324,3206,1335,472,41310,Cardinia (S)
21610,15584,7844,3608,1317,127202,Casey (C)
21670,1014,902,440,168,5308,Central Goldfields (S)
21750,1709,1130,527,218,9122,Colac-Otway (S)
21830,1177,760,423,166,6477,Corangamite (S)
21890,7846,3882,2203,1254,76385,Darebin (C)
22110,4197,3707,1777,725,20997,East Gippsland (S)
22170,9180,5749,2942,1280,63124,Frankston (C)
22250,802,591,334,99,4194,Gannawarra (S)
22830,4113,2537,1258,559,26637,Greater Shepparton (C)
22910,1786,1298,553,214,8124,Hepburn (S)
22980,435,268,151,82,2229,Hindmarsh (S)
23110,5839,3051,1509,735,42626,Hobsons Bay (C)
23190,1425,833,439,245,8406,Horsham (RC)
23270,9291,4890,2037,596,78153,Hume (C)
23350,1684,1100,457,177,7957,Indigo (S)
23430,10352,6398,3525,1764,74848,Kingston (C) (Vic.)
23670,11396,6550,3345,1490,74366,Knox (C)
23810,5519,3505,1901,756,32897,Latrobe (C) (Vic.)
23940,699,501,228,79,3243,Loddon (S)
24130,4122,2899,1040,384,22883,Macedon Ranges (S)
24210,9150,6592,3933,1603,58931,Manningham (C)
24250,862,709,262,88,4433,Mansfield (S)
24330,3953,1743,823,498,43873,Maribyrnong (C)
24410,7642,4960,2686,1201,54269,Maroondah (C)
24600,8950,5148,1851,905,107389,Melbourne (C)
24650,6112,3102,1028,272,56323,Melton (C)
24780,3693,2400,1238,526,22715,Mildura (RC)
24850,2781,1666,728,254,18118,Mitchell (S)
24900,2103,1603,939,359,11960,Moira (S)
24970,11862,7759,4975,2350,95523,Monash (C)
25060,7894,4449,2283,1021,59806,Moonee Valley (C)
25150,2334,1548,547,220,14214,Moorabool (S)
25250,8031,3921,2418,1341,84802,Moreland (C)
25340,12779,10794,5902,2397,74436,Mornington Peninsula (S)
25430,2144,1592,725,285,10235,Mount Alexander (S)
