lga_code16,f_tot_lf_15_19_yr,f_tot_lf_20_24_yr,f_tot_lf_25_34_yr,f_tot_lf_35_44_yr,f_tot_lf_45_54_yr,f_tot_lf_55_64_yr,f_tot_lf_65_74_yr,f_tot_lf_75_84_yr,f_tot_lf_85,f_tot_lf_tot,f_n_the_lf_15_19,f_n_the_lf_20_24,f_n_the_lf_25_34,f_n_the_lf_35_44,f_n_the_lf_45_54,f_n_the_lf_55_64,f_n_the_lf_65_74,f_n_the_lf_75_84,f_n_the_lf_85,f_n_the_lf_tot,f_lf_st_ns_15_19,f_lf_st_ns_20_24,f_lf_st_ns_25_34,f_lf_st_ns_35_44,f_lf_st_ns_45_54,f_lf_st_ns_55_64,f_lf_st_ns_65_74,f_lf_st_ns_75_84,f_lf_st_ns_85,f_lf_st_ns_total,f_tot_15_19_yr,f_tot_20_24_yr,f_tot_25_34_yr,f_tot_35_44_yr,f_tot_45_54_yr,f_tot_55_64_yr,f_tot_65_74_yr,f_tot_75_84_yr,f_tot_85_yr_over,f_tot_tot,p_emp_wrk_ft_15_19,p_emp_wrk_ft_20_24,p_emp_wrk_ft_25_34,p_emp_wrk_ft_35_44,p_emp_wrk_ft_45_54,p_emp_wrk_ft_55_64,p_emp_wrk_ft_65_74,p_emp_wrk_ft_75_84,p_emp_wrk_ft_85,p_emp_wrk_ft_tot,p_emp_wrk_pt_15_19,p_emp_wrk_pt_20_24,p_emp_wrk_pt_25_34,p_emp_wrk_pt_35_44,p_emp_wrk_pt_45_54,p_emp_wrk_pt_55_64,p_emp_wrk_pt_65_74,p_emp_wrk_pt_75_84,p_emp_wrk_pt_85,p_emp_wrk_pt_tot,p_emp_a_f_wrk_15_19,p_emp_a_f_wrk_20_24,p_emp_a_f_wrk_25_34,p_emp_a_f_wrk_35_44,p_emp_a_f_wrk_45_54,p_emp_a_f_wrk_55_64,p_emp_a_f_wrk_65_74,p_emp_a_f_wrk_75_84,p_emp_a_f_wrk_85,p_emp_a_f_wrk_tot,p_hr_wrk_ns_15_19,p_hr_wrk_ns_20_24,p_hr_wrk_ns_25_34,p_hr_wrk_ns_35_44,p_hr_wrk_ns_45_54,p_hr_wrk_ns_55_64,p_hr_wrk_ns_65_74,p_hr_wrk_ns_75_84,p_hr_wrk_ns_85,p_hr_wrk_ns_tot,p_tot_emp_15_19,p_tot_emp_20_24,p_tot_emp_25_34,p_tot_emp_35_44,p_tot_emp_45_54,p_tot_emp_55_64,p_tot_emp_65_74,p_tot_emp_75_84,p_tot_emp_85_over,p_tot_emp_tot,p_ue_lk_fr_ft_wrk_15_19,p_ue_lk_fr_ft_wrk_20_24,p_ue_lk_fr_ft_wrk_25_34,p_ue_lk_fr_ft_wrk_35_44,p_ue_lk_fr_ft_wrk_45_54,p_ue_lk_fr_ft_wrk_55_64,p_ue_lk_fr_ft_wrk_65_74,p_ue_lk_fr_ft_wrk_75_84,p_ue_lk_for_ft_wrk_85,p_ue_looking_for_ft_wk_tot,p_ue_lk_for_pt_wk_15_19,p_ue_lk_for_pt_wk_20_24,p_ue_lk_for_pt_wk_25_34,p_ue_lk_for_pt_wk_35_44,p_ue_lk_for_pt_wk_45_54,p_ue_lk_for_pt_wk_55_64,p_ue_lk_for_pt_wk_65_74,p_ue_lk_for_pt_wk_75_84,p_ue_looking_for_pt_wk_85,p_ue_lk_for_pt_wrk_tot,p_tot_unemp_15_19,p_tot_unemp_20_24,p_tot_unemp_25_34,p_tot_unemp_35_44,p_tot_unemp_45_54,p_tot_unemp_55_64,p_tot_unemp_65_74,p_tot_unemp_75_84,p_tot_unemp_85,p_tot_unemp_total,p_tot_lf_15_19_yr,p_tot_lf_20_24_yr,p_tot_lf_25_34_yr,p_tot_lf_35_44_yr,p_tot_lf_45_54_yr,p_tot_lf_55_64_yr,p_tot_lf_65_74_yr,p_tot_lf_75_84_yr,p_tot_lf_85,p_tot_lf_tot,p_n_the_lf_15_19,p_n_the_lf_20_24,p_n_the_lf_25_34,p_n_the_lf_35_44,p_n_the_lf_45_54,p_n_the_lf_55_64,p_n_the_lf_65_74,p_n_the_lf_75_84,p_n_the_lf_85,p_n_the_lf_tot,p_lf_st_ns_15_19,p_lf_st_ns_20_24,p_lf_st_ns_25_34,p_lf_st_ns_35_44,p_lf_st_ns_45_54,p_lf_st_ns_55_64,p_lf_st_ns_65_74,p_lf_st_ns_75_84,p_lf_st_ns_85,p_lf_st_ns_total,p_tot_15_19_yr,p_tot_20_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,lga_name16
10050,968,1329,2454,2402,2564,1952,373,28,0,12058,592,394,637,618,570,1103,1904,1351,728,7900,84,135,225,197,184,200,161,214,108,1516,1643,1865,3317,3218,3318,3257,2434,1588,837,21477,345,1275,3195,3003,3249,2287,351,20,0,13712,1076,935,1344,1446,1399,1361,463,51,3,8080,62,57,228,129,131,153,48,0,0,813,53,61,75,63,66,52,20,10,0,388,1525,2328,4840,4645,4838,3849,882,78,9,22996,109,205,227,165,191,100,10,0,0,1008,197,118,91,93,70,92,20,0,0,676,301,318,314,259,257,193,30,0,0,1684,1828,2645,5150,4906,5098,4040,910,78,7,24682,1241,614,893,932,1012,1868,3434,2351,1127,13469,175,282,469,424,422,430,348,336,182,3056,3247,3542,6513,6254,6537,6340,4696,2770,1317,41202,Albury (C)
10130,578,806,1187,1183,1419,1112,275,35,11,6596,709,602,460,353,309,560,989,727,357,5075,126,166,129,113,130,119,103,100,46,1034,1408,1572,1772,1647,1855,1795,1364,862,419,12700,160,544,1463,1415,1804,1352,324,45,15,7133,587,657,712,680,775,714,302,62,8,4497,73,89,98,59,58,80,36,7,0,498,45,47,36,37,33,31,16,4,0,249,863,1335,2318,2202,2675,2174,675,121,22,12372,61,104,118,76,79,55,5,0,0,498,176,167,90,48,39,42,7,0,0,569,238,272,200,126,124,101,8,3,0,1072,1100,1610,2516,2330,2797,2266,679,123,25,13441,1413,1122,720,581,561,946,1800,1252,534,8940,237,320,257,213,255,253,214,152,78,1978,2751,3054,3503,3115,3612,3471,2697,1524,637,24356,Armidale Regional (A)
10250,639,597,1330,1866,2367,1960,403,30,11,9211,438,141,416,437,512,1246,2256,1533,873,7852,60,43,109,134,184,230,202,196,222,1380,1131,788,1855,2442,3062,3433,2862,1762,1111,18444,173,545,1543,2124,2659,1960,331,44,12,9385,825,497,891,1274,1479,1531,564,63,17,7136,45,40,121,105,87,161,58,0,4,618,30,19,36,71,60,62,33,11,9,339,1070,1100,2593,3575,4284,3715,984,119,39,17479,58,74,119,107,137,86,9,4,0,587,125,55,69,68,88,99,14,0,0,504,179,124,185,171,223,185,21,8,0,1098,1255,1219,2777,3750,4510,3900,1004,122,39,18575,996,256,584,630,868,2122,4216,2751,1387,13809,134,102,230,271,348,445,397,328,343,2588,2382,1579,3592,4646,5728,6467,5610,3203,1763,34973,Ballina (A)
10300,21,39,94,80,110,114,21,5,0,485,31,17,29,28,24,64,78,59,18,349,6,10,25,13,11,27,18,10,4,122,52,60,147,122,154,208,112,74,24,948,19,68,123,137,166,175,23,0,0,700,19,19,53,61,68,77,29,4,0,332,3,0,8,4,7,10,4,0,0,37,4,5,5,3,11,6,0,0,0,38,41,89,184,205,248,264,59,8,0,1101,0,13,6,5,4,0,0,0,0,37,4,0,5,7,3,4,0,0,0,22,4,15,16,9,9,10,0,0,0,61,45,101,203,215,256,276,59,8,0,1164,64,24,38,40,40,100,152,103,29,593,12,18,39,28,34,51,35,24,4,250,119,151,277,286,327,428,243,132,34,2002,Balranald (A)
10470,755,1101,1787,1898,2035,1527,332,39,7,9481,656,358,491,398,447,772,1420,947,473,5964,158,170,118,129,144,158,126,130,114,1257,1569,1627,2397,2425,2629,2457,1879,1114,598,16700,236,929,2460,2445,2740,1902,345,49,4,11110,792,832,978,1025,968,921,360,72,12,5956,63,101,168,93,99,129,35,10,0,698,48,61,70,59,60,42,12,8,0,364,1148,1930,3672,3620,3868,2996,754,128,20,18128,78,146,130,109,120,68,6,0,3,654,182,134,64,58,51,44,10,0,0,559,255,283,197,169,172,111,19,0,0,1208,1405,2209,3865,3788,4042,3107,772,128,22,19337,1487,784,1018,801,843,1437,2676,1626,712,11387,279,365,268,248,297,296,266,212,162,2399,3170,3357,5149,4840,5179,4845,3711,1968,896,33122,Bathurst Regional (A)
10550,454,398,906,1220,1772,1605,341,28,3,6732,352,123,312,354,457,1316,1959,1160,519,6546,48,34,83,106,173,184,159,137,100,1024,856,555,1297,1679,2394,3106,2466,1328,618,14309,200,454,1068,1351,1963,1532,292,38,3,6895,503,277,567,850,1178,1404,429,52,7,5277,38,27,98,84,123,184,47,10,0,605,27,34,27,36,40,57,31,5,4,265,774,783,1761,2320,3303,3175,806,115,13,13046,48,75,77,63,85,88,0,0,3,441,49,28,38,49,42,87,13,0,0,307,95,103,117,116,125,177,16,0,3,744,864,887,1881,2438,3427,3347,821,114,15,13793,770,183,447,512,782,2324,3844,2224,859,11947,98,79,165,203,331,381,334,279,140,2015,1731,1153,2495,3154,4538,6056,5001,2609,1014,27748,Bega Valley (A)
10600,130,118,319,478,720,640,142,21,3,2575,182,54,149,171,204,462,695,432,205,2560,13,12,27,41,46,65,68,51,23,344,328,185,491,689,980,1168,904,501,232,5483,43,124,331,468,693,558,118,24,0,2360,170,99,264,393,510,570,174,31,0,2214,6,11,25,36,45,63,27,3,0,209,12,0,15,12,15,20,3,9,6,95,236,232,630,909,1264,1214,324,63,11,4873,21,24,46,34,48,39,3,0,0,227,18,13,29,27,31,33,7,0,0,155,40,39,75,58,81,76,11,3,0,385,283,269,701,970,1343,1288,339,63,11,5255,393,99,202,259,338,822,1327,823,335,4604,31,34,51,72,105,126,124,80,34,654,706,403,955,1300,1787,2236,1794,967,375,10521,Bellingen (A)
10650,89,98,270,325,354,377,90,16,3,1617,86,38,82,88,78,213,460,296,144,1479,25,17,32,39,50,66,48,39,31,335,195,154,379,452,481,651,595,339,174,3431,50,156,329,399,441,431,111,17,0,1934,111,60,147,193,194,279,122,19,6,1128,0,6,28,27,34,39,6,3,0,147,8,10,12,14,15,16,17,0,0,87,164,236,518,625,677,762,258,45,11,3290,9,16,28,25,23,20,0,0,0,121,9,3,9,11,5,11,0,0,0,50,13,22,41,34,31,32,4,0,0,174,177,252,551,664,708,793,260,45,11,3471,193,56,123,136,140,381,906,568,246,2740,45,41,67,78,96,122,115,73,43,678,414,342,745,871,948,1297,1284,686,297,6889,Berrigan (A)
10750,4871,7924,18609,18076,14869,9003,1350,60,11,74784,5837,2604,6996,6296,5348,7374,8983,4809,2087,50347,488,503,1272,1127,934,825,720,432,192,6484,11196,11031,26876,25504,21154,17203,11052,5309,2286,131618,1746,7953,26805,28016,22471,13194,1850,60,18,102117,5243,6082,8341,8636,6608,4797,1395,110,8,41225,262,312,1321,838,618,549,119,11,0,4032,270,489,972,804,621,332,74,22,6,3593,7527,14839,37446,38296,30319,18872,3443,205,29,150965,583,1105,1727,1327,1115,770,58,3,0,6681,1542,936,867,759,535,505,62,4,0,5219,2125,2043,2588,2086,1645,1274,125,13,0,11901,9647,16881,40036,40381,31966,20144,3564,217,33,162859,12542,4791,9544,8560,8021,11736,16506,8633,3175,83518,1012,1058,2488,2279,1959,1606,1288,746,330,12773,23206,22733,52069,51224,41940,33484,21363,9591,3535,259148,Blacktown (C)
10800,62,92,202,239,250,224,65,20,0,1154,68,18,60,60,60,138,212,176,82,881,17,10,28,25,40,47,41,45,43,285,144,118,288,328,345,415,318,239,131,2321,50,135,299,359,386,337,101,26,4,1683,71,50,129,130,140,165,66,28,3,776,0,8,18,11,10,22,11,3,0,82,4,12,11,15,9,10,7,8,0,77,121,205,450,518,552,525,186,55,14,2622,9,5,11,8,8,4,0,0,0,53,3,4,5,4,0,5,0,0,0,29,10,17,18,18,11,15,0,0,0,85,135,220,468,531,561,539,185,55,14,2702,136,31,81,95,97,229,380,316,133,1501,28,23,74,69,91,105,80,65,57,598,295,272,620,692,745,873,644,441,203,4798,Bland (A)
