lga_code16,m_tot_15_19_yr,m_tot_20_24_yr,m_tot_25_34_yr,m_tot_35_44_yr,m_tot_45_54_yr,m_tot_55_64_yr,m_tot_65_74_yr,m_tot_75_84_yr,m_tot_85_yr_over,m_tot_tot,f_agr_fstry_fsh_15_19,f_agr_fstry_fsh_20_24,f_agr_fstry_fsh_25_34,f_agr_fstry_fsh_35_44,f_agr_fstry_fsh_45_54,f_agr_fstry_fsh_55_64,f_agr_fstry_fsh_65_74,f_agr_fstry_fsh_75_84,f_agr_fstry_fsh_85,f_agr_fstry_fsh_tot,f_min_15_19_yr,f_min_20_24_yr,f_min_25_34_yr,f_min_35_44_yr,f_min_45_54_yr,f_min_55_64_yr,f_min_65_74_yr,f_min_75_84_yr,f_min_85_yr_over,f_min_tot,f_manf_15_19_yr,f_manf_20_24_yr,f_manf_25_34_yr,f_manf_35_44_yr,f_manf_45_54_yr,f_manf_55_64_yr,f_manf_65_74_yr,f_manf_75_84_yr,f_manf_85_yr_over,f_manf_tot,f_elec_gas_wtr_wst_sv_15_19,f_elec_gas_wtr_wst_sv_20_24,f_elec_gas_wtr_wst_sv_25_34,f_elec_gas_wtr_wst_sv_35_44,f_elec_gas_wtr_wst_sv_45_54,f_elec_gas_wtr_wst_sv_55_64,f_elec_gas_wtr_wst_sv_65_74,f_elec_gas_wtr_wst_sv_75_84,f_elec_gas_wtr_wst_sv_85,f_elec_gas_wtr_wst_sv_tot,f_con_15_19_yr,f_con_20_24_yr,f_con_25_34_yr,f_con_35_44_yr,f_con_45_54_yr,f_con_55_64_yr,f_con_65_74_yr,f_con_75_84_yr,f_con_85_yr_over,f_con_tot,f_whl_trd_15_19_yr,f_whl_trd_20_24_yr,f_whl_trd_25_34_yr,f_whl_trd_35_44_yr,f_whl_trd_45_54_yr,f_whl_trd_55_64_yr,f_whl_trd_65_74_yr,f_whl_trd_75_84_yr,f_whl_trd_85_yr_over,f_whl_trd_tot,f_re_trd_15_19_yr,f_re_trd_20_24_yr,f_re_trd_25_34_yr,f_re_trd_35_44_yr,f_re_trd_45_54_yr,f_re_trd_55_64_yr,f_re_trd_65_74_yr,f_re_trd_75_84_yr,f_re_trd_85_yr_over,f_re_trd_tot,f_acc_food_svc_15_19,f_acc_food_svc_20_24,f_acc_food_svc_25_34,f_acc_food_svc_35_44,f_acc_food_svc_45_54,f_acc_food_svc_55_64,f_acc_food_svc_65_74,f_acc_food_svc_75_84,f_acc_food_svc_85,f_acc_food_svc_tot,f_trp_pos_wh_15_19,f_trp_pos_wh_20_24,f_trp_pos_wh_25_34,f_trp_pos_wh_35_44,f_trp_pos_wh_45_54,f_trp_pos_wh_55_64,f_trp_pos_wh_65_74,f_trp_pos_wh_75_84,f_trp_pos_wh_85,f_trp_pos_wh_tot,f_in_med_tcom_15_19,f_in_med_tcom_20_24,f_in_med_tcom_25_34,f_in_med_tcom_35_44,f_in_med_tcom_45_54,f_in_med_tcom_55_64,f_in_med_tcom_65_74,f_in_med_tcom_75_84,f_in_med_tcom_85,f_in_med_tcom_tot,f_fin_in_svc_15_19,f_fin_in_svc_20_24,f_fin_in_svc_25_34,f_fin_in_svc_35_44,f_fin_in_svc_45_54,f_fin_in_svc_55_64,f_fin_in_svc_65_74,f_fin_in_svc_75_84,f_fin_in_svc_85,f_fin_in_svc_tot,f_rnt_hrg_rea_est_serv_15_19,f_rnt_hrg_rea_est_serv_20_24,f_rnt_hrg_rea_est_serv_25_34,f_rnt_hrg_rea_est_serv_35_44,f_rnt_hrg_rea_est_serv_45_54,f_rnt_hrg_rea_est_serv_55_64,f_rnt_hrg_rea_est_serv_65_74,f_rnt_hrg_rea_est_serv_75_84,f_rnt_hrg_rea_est_serv_85,f_rnt_hrg_rea_est_serv_tot,f_prof_sc_tech_serv_15_19,f_prof_sc_tech_serv_20_24,f_prof_sc_tech_serv_25_34,f_prof_sc_tech_serv_35_44,f_prof_sc_tech_serv_45_54,f_prof_sc_tech_serv_55_64,f_prof_sc_tech_serv_65_74,f_prof_sc_tech_serv_75_84,f_prof_sc_tech_serv_85,f_prof_sc_tech_serv_tot,f_adm_sup_serv_15_19,f_adm_sup_serv_20_24,f_adm_sup_serv_25_34,f_adm_sup_serv_35_44,f_adm_sup_serv_45_54,f_adm_sup_serv_55_64,f_adm_sup_serv_65_74,f_adm_sup_serv_75_84,f_adm_sup_serv_85_over,f_adm_sup_serv_tot,f_pubad_saf_15_19,f_pubad_saf_20_24,f_pubad_saf_25_34,f_pubad_saf_35_44,f_pubad_saf_45_54,f_pubad_saf_55_64,f_pubad_saf_65_74,f_pubad_saf_75_84,f_pubad_saf_85_over,f_pubad_saf_tot,f_ed_trng_15_19,f_ed_trng_20_24,f_ed_trng_25_34,f_ed_trng_35_44,f_ed_trng_45_54,f_ed_trng_55_64,f_ed_trng_65_74,f_ed_trng_75_84,f_ed_trng_85_over,f_ed_trng_tot,f_hlth_cre_socia_assist_15_19,f_hlth_cre_socia_assist_20_24,f_hlth_cre_socia_assist_25_34,f_hlth_cre_socia_assist_35_44,f_hlth_cre_socia_assist_45_54,f_hlth_cre_socia_assist_55_64,f_hlth_cre_socia_assist_65_74,f_hlth_cre_socia_assist_75_84,f_hlth_cre_socia_assist_85,f_hlth_cre_socia_assist_tot,f_arts_rec_svc_15_19,f_arts_rec_svc_20_24,f_arts_rec_svc_25_34,f_arts_rec_svc_35_44,f_arts_rec_svc_45_54,f_arts_rec_svc_55_64,f_arts_rec_svc_65_74,f_arts_rec_svc_75_84,f_arts_rec_svc_85,f_arts_rec_svc_tot,f_oth_svc_15_19_yr,f_oth_svc_20_24_yr,f_oth_svc_25_34_yr,f_oth_svc_35_44_yr,f_oth_svc_45_54_yr,f_oth_svc_55_64_yr,f_oth_svc_65_74_yr,f_oth_svc_75_84_yr,f_oth_svc_85_yr_over,f_oth_svc_tot,lga_name16
10050,717,1149,2534,2375,2393,1969,522,57,7,11717,3,7,13,14,19,22,17,3,0,94,0,0,0,0,3,0,0,0,0,8,45,36,77,102,118,74,10,0,0,462,0,3,4,11,7,5,0,0,0,30,3,10,41,58,65,57,6,0,0,247,4,8,12,34,36,33,7,0,0,137,275,255,308,221,262,184,34,0,0,1544,306,236,204,133,120,102,26,0,0,1139,3,11,45,42,53,44,14,0,0,220,13,26,21,29,11,8,4,0,0,116,7,30,67,73,66,30,3,0,0,264,8,22,34,35,36,18,10,0,0,155,11,40,115,119,117,71,19,0,0,491,5,23,53,83,96,71,12,3,0,356,0,25,166,232,248,153,20,3,0,844,41,108,330,348,389,315,50,3,0,1582,38,214,636,581,633,570,86,3,0,2759,11,29,20,11,19,13,3,0,0,109,20,52,121,91,76,48,20,0,0,433,Albury (C)
10130,402,661,1223,1081,1310,1105,396,82,17,6279,11,24,71,64,68,73,79,19,0,405,0,0,0,3,3,0,0,0,0,10,7,9,8,17,22,10,7,0,0,90,0,0,0,3,3,0,0,0,0,11,0,0,8,15,10,20,0,3,0,67,5,3,15,12,7,15,7,0,0,55,153,148,118,94,120,81,17,0,0,734,161,129,84,43,50,48,10,0,0,524,0,5,4,11,9,17,3,0,0,50,4,7,4,18,9,10,4,0,0,54,3,17,29,40,30,24,4,0,0,155,3,7,10,5,23,10,0,0,0,59,13,28,63,69,78,51,7,0,0,318,4,17,43,54,51,45,6,0,0,225,0,9,38,54,51,38,13,3,0,203,17,86,260,333,431,325,53,0,0,1498,37,142,266,230,320,253,45,3,0,1288,3,9,7,4,8,3,0,0,0,35,15,26,32,33,45,24,5,0,0,186,Armidale Regional (A)
10250,508,548,1345,1782,2025,1833,583,86,24,8733,10,8,22,24,53,69,43,16,3,244,0,0,0,0,0,0,0,0,0,0,32,22,48,56,71,45,11,0,0,285,0,0,0,5,3,3,3,0,0,17,0,5,34,23,47,33,14,0,0,157,3,3,9,19,25,19,4,0,0,87,218,129,177,170,217,198,40,0,0,1157,202,104,146,130,144,113,28,0,0,866,0,7,12,15,28,43,10,0,0,114,6,7,12,19,14,17,5,0,0,79,3,17,28,50,38,42,3,0,0,179,3,10,27,35,48,35,10,0,0,173,6,27,61,141,115,90,27,0,0,474,4,7,36,61,91,55,15,0,0,280,0,8,50,118,138,86,9,0,0,409,12,37,197,323,398,319,38,0,0,1332,22,88,294,435,664,613,86,3,0,2216,9,13,14,18,23,9,10,0,0,99,13,36,47,71,76,43,14,0,0,295,Ballina (A)
10300,25,61,96,132,140,156,36,4,0,639,0,0,16,7,21,18,10,3,0,81,0,0,0,0,0,0,0,0,0,4,0,0,3,3,7,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,7,12,12,0,0,0,43,3,9,10,14,7,7,0,0,0,45,0,0,4,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,8,0,0,3,3,6,8,0,0,0,20,0,3,4,4,9,7,0,0,0,29,3,4,12,16,17,10,0,0,0,56,3,10,12,17,25,21,3,0,0,89,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,Balranald (A)
10470,507,944,1984,1802,1914,1514,424,94,12,9194,7,12,16,34,39,46,45,13,3,209,0,7,4,0,0,0,0,0,0,12,39,40,54,85,110,59,17,0,0,396,0,0,12,20,15,12,0,0,0,58,4,10,49,42,48,34,4,0,0,205,7,8,12,12,11,17,6,0,0,74,184,216,237,187,161,125,19,3,0,1132,214,197,123,85,91,69,20,3,0,801,3,7,15,27,40,30,8,0,0,126,16,21,31,33,23,4,0,0,0,125,3,6,37,31,44,21,4,0,0,160,0,11,20,28,25,18,6,0,0,117,6,26,85,99,66,64,21,0,0,373,9,18,52,54,99,53,15,0,0,314,5,32,151,178,155,128,22,0,0,663,21,101,282,347,425,320,50,3,0,1559,46,183,393,409,457,393,55,4,0,1943,20,20,27,24,19,23,4,0,0,125,16,45,57,69,60,28,9,0,0,287,Bathurst Regional (A)
10550,358,420,900,1155,1594,1644,466,86,15,6638,10,9,20,35,53,61,48,7,0,241,0,0,0,0,0,0,0,0,0,0,38,31,54,61,90,60,11,0,0,336,0,0,3,4,7,0,0,0,0,15,0,4,15,28,33,25,8,0,0,111,4,0,14,9,16,17,8,0,0,64,140,68,119,140,225,194,34,3,0,918,143,79,122,118,139,145,32,3,0,788,0,3,10,26,29,35,12,0,0,115,3,5,13,5,16,15,3,0,0,50,3,7,28,19,41,22,0,0,0,124,0,4,13,24,36,16,3,0,0,102,3,12,59,54,90,73,16,0,0,301,3,12,19,62,71,59,20,3,0,246,0,11,50,65,105,61,6,0,0,293,6,25,82,157,207,194,34,0,0,707,17,64,188,268,442,445,70,0,0,1500,6,0,13,23,29,25,3,0,0,98,16,23,34,33,41,42,10,0,0,200,Bega Valley (A)
10600,118,124,350,452,585,599,188,35,7,2456,0,9,13,6,15,28,25,9,0,106,0,0,3,0,0,0,0,0,0,3,3,0,11,3,14,12,6,0,0,48,0,0,0,0,0,0,0,0,0,0,0,5,8,8,15,11,0,0,0,42,3,0,0,4,9,10,0,0,0,24,49,19,40,42,82,52,6,3,0,294,41,30,40,33,44,43,9,3,0,236,0,0,10,3,13,13,4,0,0,37,3,0,3,4,9,0,0,0,0,25,0,3,3,11,6,11,0,0,0,35,3,3,11,11,8,5,3,0,0,41,0,0,8,41,28,24,7,0,0,109,0,0,16,17,31,14,7,0,0,81,0,0,8,36,37,23,8,0,0,112,0,13,33,70,133,118,10,0,0,381,4,24,63,124,201,193,34,0,0,645,0,3,3,5,13,9,3,0,0,33,3,8,6,16,10,19,3,0,0,68,Bellingen (A)
10650,84,143,272,319,332,400,168,35,8,1749,3,13,17,23,21,32,23,9,3,142,0,0,0,0,0,0,0,0,0,0,0,3,7,24,25,18,3,0,0,82,0,0,0,3,4,3,0,0,0,9,0,0,3,4,13,12,0,0,0,34,0,0,5,5,14,6,0,0,0,27,35,13,18,25,36,45,8,0,0,177,22,19,28,33,35,34,3,0,0,173,0,0,3,11,13,18,5,0,0,44,0,0,0,0,4,3,0,0,0,12,0,0,8,7,5,0,0,0,0,16,0,3,3,0,0,4,3,0,0,17,4,0,12,16,15,11,0,0,0,59,0,3,4,6,10,12,9,0,0,45,0,0,7,15,13,7,0,0,0,44,3,8,43,49,46,30,6,0,0,185,9,26,60,54,61,122,19,0,0,346,3,0,3,3,9,0,0,0,0,20,0,6,8,19,15,6,0,0,0,56,Berrigan (A)
10750,3657,7833,20247,21418,16344,10409,2124,146,18,82183,3,17,48,80,99,43,14,0,0,308,0,4,14,21,13,3,0,0,0,47,74,198,705,990,1017,664,72,0,0,3719,3,11,93,117,85,41,3,0,0,358,45,120,504,471,338,210,46,0,0,1735,36,167,622,674,593,303,43,0,0,2435,1093,1446,1883,1757,1379,771,126,4,0,8458,1457,778,815,568,532,313,35,8,0,4504,31,168,551,632,628,360,38,0,0,2410,70,109,351,281,121,62,16,0,0,1008,60,415,1497,1371,818,450,44,0,0,4656,51,116,270,215,124,73,18,0,0,870,61,447,1254,1043,593,290,69,0,0,3754,40,253,696,601,549,338,54,0,0,2529,27,231,922,1120,1085,643,102,6,0,4138,170,593,1705,1796,1528,940,152,6,0,6896,270,1250,3714,3755,3323,2276,374,9,3,14977,101,138,170,141,110,66,8,0,0,732,118,229,572,473,416,234,46,4,0,2106,Blacktown (C)
10800,63,116,252,284,302,301,120,38,9,1490,3,4,13,40,50,42,29,18,0,201,0,3,10,6,4,0,0,0,0,27,3,0,3,9,3,3,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,3,4,3,8,3,0,0,0,25,0,0,0,3,8,3,0,0,0,9,20,14,17,11,31,32,6,0,0,133,13,11,21,28,22,17,3,0,0,108,0,0,0,11,4,9,4,0,0,32,0,0,0,0,4,3,0,0,0,5,0,0,9,3,7,0,0,0,0,13,0,0,5,0,0,3,0,0,0,13,0,7,13,9,3,6,0,0,0,42,0,0,3,4,15,11,0,3,0,39,0,3,9,14,14,3,0,0,0,53,3,7,31,41,28,34,4,0,0,150,4,16,32,24,39,47,6,3,0,171,0,0,0,0,5,0,0,0,0,5,6,4,15,11,3,7,4,0,0,44,Bland (A)
