lga_code16,p_oth_svc_15_19_yr,p_oth_svc_20_24_yr,p_oth_svc_25_34_yr,p_oth_svc_35_44_yr,p_oth_svc_45_54_yr,p_oth_svc_55_64_yr,p_oth_svc_65_74_yr,p_oth_svc_75_84_yr,p_oth_svc_85_yr_over,p_oth_svc_tot,p_inad_desc_ns_15_19,p_inad_desc_ns_20_24,p_inad_desc_ns_25_34,p_inad_desc_ns_35_44,p_inad_desc_ns_45_54,p_inad_desc_ns_55_64,p_inad_desc_ns_65_74,p_inad_desc_ns_75_84,p_inad_desc_ns_85,p_inad_desc_ns_tot,p_tot_15_19_yr,p_tot_20_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,lga_name16
10050,44,112,241,186,173,146,41,5,0,957,52,95,156,140,185,140,64,13,0,854,1525,2328,4840,4645,4838,3849,882,78,9,22996,Albury (C)
10130,28,59,85,69,82,59,15,9,0,400,28,34,74,67,56,42,34,12,3,345,863,1335,2318,2202,2675,2174,675,121,22,12372,Armidale Regional (A)
10250,30,59,100,124,148,120,34,0,0,617,40,31,85,151,128,126,57,18,18,646,1070,1100,2593,3575,4284,3715,984,119,39,17479,Ballina (A)
10300,0,0,4,0,4,8,3,0,0,24,9,9,3,10,14,13,9,0,0,66,41,89,184,205,248,264,59,8,0,1101,Balranald (A)
10470,39,92,147,160,128,86,33,4,0,680,56,60,125,130,128,106,39,8,3,648,1148,1930,3672,3620,3868,2996,754,128,20,18128,Bathurst Regional (A)
10550,32,40,77,75,100,107,26,3,0,458,37,40,43,86,115,109,41,7,4,482,774,783,1761,2320,3303,3175,806,115,13,13046,Bega Valley (A)
10600,7,18,22,37,32,40,8,0,0,167,16,8,23,22,38,43,16,12,4,182,236,232,630,909,1264,1214,324,63,11,4873,Bellingen (A)
10650,6,21,22,40,27,19,6,4,0,145,15,12,19,30,29,32,12,4,0,152,164,236,518,625,677,762,258,45,11,3290,Berrigan (A)
10750,269,563,1345,1224,1103,693,168,13,0,5383,395,972,2233,2134,1777,1028,234,30,9,8806,7527,14839,37446,38296,30319,18872,3443,205,29,150965,Blacktown (C)
10800,11,15,23,17,13,19,7,0,0,109,4,17,10,18,20,19,12,3,3,108,121,205,450,518,552,525,186,55,14,2622,Bland (A)
10850,15,15,23,29,36,26,0,0,0,143,9,14,15,26,22,23,14,4,0,133,181,210,516,641,759,585,198,47,15,3156,Blayney (A)
10900,64,106,184,249,290,214,66,7,0,1187,62,112,207,234,289,218,83,19,3,1234,1921,2651,5427,7669,8662,7267,1863,177,22,35648,Blue Mountains (C)
10950,3,3,9,7,8,0,3,4,0,34,4,5,10,13,6,6,7,0,0,48,51,112,243,215,305,184,83,34,4,1233,Bogan (A)
11100,16,78,230,204,180,120,32,0,0,872,22,106,344,238,224,132,33,5,0,1105,774,2256,6598,5635,4557,2664,642,56,3,23184,Botany Bay (C)
11150,5,7,3,7,10,8,4,0,0,39,3,3,14,4,16,10,5,0,0,52,24,78,247,197,257,209,84,14,0,1110,Bourke (A)
11200,0,3,3,3,4,0,0,0,0,16,0,0,3,6,6,0,3,0,0,21,8,43,102,84,135,101,33,0,0,515,Brewarrina (A)
11250,18,31,73,50,49,57,17,7,0,295,7,31,43,30,50,61,10,6,8,246,363,587,1406,1256,1564,1411,304,32,14,6935,Broken Hill (C)
13910,24,35,47,53,61,47,20,3,0,292,23,31,49,67,67,71,24,13,0,346,436,599,1179,1474,1758,1432,502,114,14,7497,Hilltops (A)
14000,113,232,429,474,544,406,115,7,3,2320,122,221,525,631,703,420,130,31,10,2782,3539,6231,11699,16671,17186,11424,3050,358,40,70202,Hornsby (A)
14100,13,21,29,37,55,31,10,4,0,197,13,15,38,55,66,46,24,8,3,272,261,494,902,1349,1560,1048,462,71,17,6161,Hunters Hill (A)
14170,71,284,908,704,593,394,94,4,0,3058,99,347,1143,967,766,424,114,31,3,3901,2195,8549,29000,25104,19245,11314,2810,269,26,98506,Inner West (A)
14200,17,21,48,46,47,38,23,0,0,249,16,19,39,39,54,48,26,17,4,267,400,535,1114,1217,1446,1171,368,95,22,6364,Inverell (A)
14300,6,4,17,12,18,11,0,0,0,77,3,5,22,8,14,15,4,0,3,79,120,187,448,418,504,436,134,16,13,2264,Junee (A)
14350,18,26,48,77,77,63,14,0,0,328,34,21,70,71,79,79,37,15,0,407,598,676,1432,1808,2282,2090,569,77,16,9547,Kempsey (A)
14400,18,23,41,65,82,44,14,0,0,290,15,26,31,50,85,62,22,3,0,298,554,801,1459,1880,2229,1954,413,59,8,9351,Kiama (A)
14500,85,153,217,276,390,266,94,22,3,1504,78,165,327,480,632,373,151,41,3,2264,2743,4691,7741,11959,14570,8969,3155,559,71,54440,Ku-ring-gai (A)
14550,3,15,11,20,23,22,0,0,0,92,11,16,20,24,33,24,15,12,3,157,155,184,390,518,817,859,234,63,11,3232,Kyogle (A)
14600,0,8,11,7,13,20,4,0,3,75,15,17,32,20,21,18,8,5,0,140,83,204,492,454,483,494,187,59,5,2468,Lachlan (A)
14650,226,412,747,776,817,518,110,12,0,3626,162,319,577,609,700,444,147,34,6,3015,5382,7622,16566,18199,19425,13916,2693,271,29,84099,Lake Macquarie (C)
14700,21,39,134,132,110,71,32,3,0,539,22,63,200,198,163,94,47,4,0,794,527,1490,5171,4795,3796,2526,864,115,14,19300,Lane Cove (A)
14750,5,23,37,26,33,25,4,3,0,153,20,13,50,36,36,36,13,3,0,213,300,379,864,901,1111,880,202,48,3,4696,Leeton (A)
14850,27,72,136,126,174,126,48,4,0,710,31,50,115,123,154,126,34,18,3,657,1100,1480,2915,3601,4295,3694,930,130,14,18160,Lismore (C)
14870,15,36,62,59,57,42,18,0,0,296,21,34,53,55,63,62,24,6,3,313,449,649,1391,1477,1832,1527,344,50,15,7747,Lithgow (C)
14900,138,312,785,809,702,363,82,8,0,3196,264,622,1223,1255,1184,698,146,29,5,5430,4187,9076,19696,19989,18255,10593,1983,155,16,83946,Liverpool (C)
14920,9,10,13,14,25,21,9,0,0,99,9,9,19,40,23,35,12,3,0,149,103,189,500,556,691,651,226,46,10,2964,Liverpool Plains (A)
