lga_code16,m_15_19_mgrs,m_15_19_profnls,m_15_19_techs_trades_workers,m_15_19_comm_psnl_serv_wrkrs,m_15_19_cler_admin_wrkrs,m_15_19_sales_wrkrs,m_15_19_mach_oper_dvrs,m_15_19_labrs,m_15_19_inad_desc_ns,m_15_19_tot,m_20_24_mgrs,m_20_24_profnls,m_20_24_techs_trades_wrkrs,m_20_24_comm_psnl_serv_wrkrs,m_20_24_cler_admin_wrkrs,m_20_24_sales_wrkrs,m_20_24_mach_oper_dvrs,m_20_24_labrs,m_20_24_inad_desc_ns,m_20_24_tot,m_25_34_mgrs,m_25_34_profnls,m_25_34_techs_trades_wrkrs,m_25_34_comm_psnl_serv_wrkrs,m_25_34_cler_admin_wrkrs,m_25_34_sales_wrkrs,m_25_34_mach_oper_dvrs,m_25_34_labrs,m_25_34_inad_desc_ns,m_25_34_tot,m_35_44_mgrs,m_35_44_profnls,m_35_44_techs_trades_wrkrs,m_35_44_comm_psnl_serv_wrkrs,m_35_44_cler_admin_wrkrs,m_35_44_sales_wrkrs,m_35_44_mach_oper_dvrs,m_35_44_labrs,m_35_44_inad_desc_ns,m_35_44_tot,m_45_54_mgrs,m_45_54_profnls,m_45_54_techs_trades_wrkrs,m_45_54_comm_psnl_serv_wrkrs,m_45_54_cler_admin_wrkrs,m_45_54_sales_wrkrs,m_45_54_mach_oper_dvrs,m_45_54_labrs,m_45_54_inad_desc_ns,m_45_54_tot,m_55_64_mgrs,m_55_64_profnls,m_55_64_techs_trades_wrkrs,m_55_64_comm_psnl_serv_wrkrs,m_55_64_cler_admin_wrkrs,m_55_64_sales_wrkrs,m_55_64_mach_oper_dvrs,m_55_64_labrs,m_55_64_inad_desc_ns,m_55_64_tot,m_65_74_mgrs,m_65_74_profnls,m_65_74_techs_trades_wrkrs,m_65_74_comm_psnl_serv_wrkrs,m_65_74_cler_admin_wrkrs,m_65_74_sales_wrkrs,m_65_74_mach_oper_dvrs,m_65_74_labrs,m_65_74_inad_desc_ns,m_65_74_tot,m_75_84_mgrs,m_75_84_profnls,m_75_84_techs_trades_wrkrs,m_75_84_comm_psnl_serv_wrkrs,m_75_84_cler_admin_wrkrs,m_75_84_sales_wrkrs,m_75_84_mach_oper_dvrs,m_75_84_labrs,m_75_84_inad_desc_ns,m_75_84_tot,m_85_over_mgrs,m_85_over_profnls,m_85_over_techs_trades_wrkrs,m_85_over_com_psnl_serv_wrkrs,m_85_over_cler_admin_wrkrs,m_85_over_sales_wrkrs,m_85_over_mach_oper_dvrs,m_85_over_labrs,m_85_over_inad_desc_ns,m_85_over_tot,m_tot_mgrs,m_tot_profnls,m_tot_techs_trades_wrkrs,m_tot_comm_psnl_serv_wrkrs,m_tot_cler_admin_wrkrs,m_tot_sales_wrkrs,m_tot_mach_oper_dvrs,m_tot_labrs,m_tot_inad_desc_ns,m_tot_tot,f_15_19_mgrs,f_15_19_profnls,f_15_19_techs_trades_workers,f_15_19_comm_psnl_serv_wrkrs,f_15_19_cler_admin_wrkrs,f_15_19_sales_wrkrs,f_15_19_mach_oper_dvrs,f_15_19_labrs,f_15_19_inad_desc_ns,f_15_19_tot,f_20_24_mgrs,f_20_24_profnls,f_20_24_techs_trades_wrkrs,f_20_24_comm_psnl_serv_wrkrs,f_20_24_cler_admin_wrkrs,f_20_24_sales_wrkrs,f_20_24_mach_oper_dvrs,f_20_24_labrs,f_20_24_inad_desc_ns,f_20_24_tot,f_25_34_mgrs,f_25_34_profnls,f_25_34_techs_trades_wrkrs,f_25_34_comm_psnl_serv_wrkrs,f_25_34_cler_admin_wrkrs,f_25_34_sales_wrkrs,f_25_34_mach_oper_dvrs,f_25_34_labrs,f_25_34_inad_desc_ns,f_25_34_tot,f_35_44_mgrs,f_35_44_profnls,f_35_44_techs_trades_wrkrs,f_35_44_comm_psnl_serv_wrkrs,f_35_44_cler_admin_wrkrs,f_35_44_sales_wrkrs,f_35_44_mach_oper_dvrs,f_35_44_labrs,f_35_44_inad_desc_ns,f_35_44_tot,f_45_54_mgrs,f_45_54_profnls,f_45_54_techs_trades_wrkrs,f_45_54_comm_psnl_serv_wrkrs,f_45_54_cler_admin_wrkrs,f_45_54_sales_wrkrs,f_45_54_mach_oper_dvrs,f_45_54_labrs,f_45_54_inad_desc_ns,f_45_54_tot,f_55_64_mgrs,f_55_64_profnls,f_55_64_techs_trades_wrkrs,f_55_64_comm_psnl_serv_wrkrs,f_55_64_cler_admin_wrkrs,f_55_64_sales_wrkrs,f_55_64_mach_oper_dvrs,f_55_64_labrs,f_55_64_inad_desc_ns,f_55_64_tot,f_65_74_mgrs,f_65_74_profnls,f_65_74_techs_trades_wrkrs,f_65_74_comm_psnl_serv_wrkrs,f_65_74_cler_admin_wrkrs,f_65_74_sales_wrkrs,f_65_74_mach_oper_dvrs,f_65_74_labrs,f_65_74_inad_desc_ns,f_65_74_tot,f_75_84_mgrs,f_75_84_profnls,f_75_84_techs_trades_wrkrs,f_75_84_comm_psnl_serv_wrkrs,f_75_84_cler_admin_wrkrs,f_75_84_sales_wrkrs,f_75_84_mach_oper_dvrs,f_75_84_labrs,f_75_84_inad_desc_ns,f_75_84_tot,f_85_over_mgrs,f_85_over_profnls,f_85_over_techs_trades_wrkrs,f_85_over_com_psnl_serv_wrkrs,f_85_over_cler_admin_wrkrs,f_85_over_sales_wrkrs,f_85_over_mach_oper_dvrs,f_85_over_labrs,f_85_over_inad_desc_ns,f_85_over_tot,f_tot_mgrs,f_tot_profnls,f_tot_techs_trades_wrkrs,f_tot_comm_psnl_serv_wrkrs,f_tot_cler_admin_wrkrs,f_tot_sales_wrkrs,f_tot_mach_oper_dvrs,f_tot_labrs,f_tot_inad_desc_ns,f_tot_tot,lga_name16
10050,22,10,177,59,12,184,18,210,15,717,41,72,446,112,38,116,93,186,27,1149,265,434,741,170,109,189,282,312,31,2534,456,412,537,154,130,148,280,210,44,2375,439,417,484,139,156,147,335,224,39,2393,322,359,383,89,125,123,294,247,34,1969,83,109,63,20,47,41,90,57,15,522,13,13,3,3,5,3,10,3,3,57,0,0,0,0,0,0,0,0,3,7,1652,1824,2840,753,629,955,1402,1453,206,11717,13,24,29,177,48,410,4,95,12,810,50,155,73,364,180,268,5,67,16,1182,165,761,129,468,380,250,22,112,25,2299,242,655,103,349,531,183,23,155,22,2269,251,574,95,371,674,229,38,191,25,2448,160,459,62,275,505,185,29,189,19,1882,53,76,14,55,79,33,3,33,4,357,7,3,5,3,4,0,0,10,0,28,0,0,0,0,0,0,0,0,0,0,935,2702,510,2056,2399,1564,125,859,130,11276,Albury (C)
10130,18,4,84,40,5,105,21,117,4,402,31,56,131,75,32,116,49,167,8,661,140,223,277,119,60,85,94,214,13,1223,222,260,192,89,53,60,62,134,10,1081,285,314,197,100,62,63,104,166,22,1310,249,266,191,53,58,44,106,119,22,1105,157,91,31,13,16,18,27,40,5,396,48,4,5,0,5,5,5,3,5,82,15,0,0,0,0,0,0,0,0,17,1158,1212,1103,488,295,495,465,968,94,6279,8,12,19,117,34,204,3,57,9,461,35,98,37,210,90,146,6,56,9,677,71,348,50,199,188,108,3,116,7,1092,112,388,52,143,256,77,0,77,14,1120,164,418,60,163,340,105,11,100,7,1364,146,313,45,135,246,64,4,98,18,1062,82,63,8,26,49,11,3,20,11,275,20,0,0,3,6,0,0,0,7,35,0,0,0,0,0,0,0,0,0,11,643,1653,262,987,1214,707,30,526,76,6096,Armidale Regional (A)
10250,3,5,85,40,12,157,14,191,7,508,29,26,203,51,6,71,43,113,4,548,150,219,410,106,45,94,104,199,14,1345,288,412,442,107,69,99,122,204,34,1782,413,415,424,133,99,116,166,221,36,2025,348,356,362,130,117,111,180,206,29,1833,159,130,70,12,22,45,74,52,17,583,41,12,3,0,3,7,9,9,6,86,10,3,0,0,0,3,0,0,5,24,1445,1588,1995,582,376,688,708,1204,152,8733,3,7,26,126,25,285,3,92,8,565,17,62,41,165,78,150,5,28,0,550,94,396,71,226,191,164,6,80,21,1248,191,592,90,296,352,138,13,91,29,1796,238,625,89,388,497,208,21,168,25,2257,197,529,73,266,434,188,16,147,23,1881,79,77,19,38,104,40,5,26,14,398,20,5,0,3,7,0,0,0,3,29,3,0,0,0,0,0,0,0,7,11,844,2299,407,1507,1684,1173,69,632,134,8746,Ballina (A)
10300,0,0,3,4,0,3,3,9,0,25,8,3,10,0,0,0,9,21,4,61,15,9,22,0,0,0,21,20,0,96,46,6,19,4,0,3,22,32,3,132,40,5,27,3,3,0,22,29,6,140,44,13,27,3,6,4,33,27,0,156,10,3,4,3,3,0,6,10,3,36,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,170,34,115,17,19,12,108,143,18,639,0,0,0,6,4,0,0,0,0,13,0,3,0,11,9,0,0,5,0,34,8,18,9,16,15,4,4,23,3,93,9,16,3,13,19,0,0,16,3,81,16,12,7,26,16,11,3,19,3,112,20,16,8,12,24,8,3,24,3,113,7,0,0,0,6,0,0,3,3,21,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,59,64,29,80,96,22,14,80,12,460,Balranald (A)
10470,18,11,118,52,6,101,27,166,17,507,37,66,278,161,29,124,54,179,11,944,220,248,638,179,75,149,185,263,34,1984,294,278,437,136,76,99,241,203,38,1802,334,290,381,174,105,71,286,249,32,1914,294,248,265,108,93,61,224,190,29,1514,122,59,54,32,22,20,66,49,12,424,35,17,15,0,3,11,9,5,4,94,4,0,3,0,0,0,0,0,0,12,1343,1216,2183,842,413,636,1081,1302,174,9194,11,18,19,157,31,311,3,85,11,636,35,122,64,336,114,220,6,71,17,984,131,528,98,319,311,195,6,90,15,1689,187,510,100,276,415,139,10,142,31,1819,201,507,75,307,474,150,19,196,12,1953,148,439,45,203,332,119,15,154,25,1483,68,71,9,33,78,25,0,32,5,327,11,9,0,5,4,3,0,3,3,39,3,0,0,0,0,0,0,0,0,7,808,2199,411,1634,1762,1166,67,774,114,8933,Bathurst Regional (A)
10550,12,0,92,18,4,89,10,124,9,358,20,15,169,33,9,41,33,91,9,420,81,78,311,57,27,60,85,202,6,900,209,155,298,69,41,59,130,177,22,1155,276,201,377,107,72,99,187,248,28,1594,291,247,335,113,80,98,186,257,28,1644,151,76,50,19,18,34,51,60,18,466,38,13,5,0,8,3,4,5,3,86,8,0,0,0,0,0,0,0,0,15,1089,794,1640,421,254,476,681,1164,120,6638,4,3,26,105,19,185,0,57,6,408,25,36,34,109,38,65,7,41,3,363,64,218,68,162,145,108,8,86,6,859,137,288,63,204,214,134,16,97,14,1168,197,375,82,292,354,208,16,164,16,1702,170,357,76,254,324,172,17,139,20,1531,83,58,8,39,67,35,3,40,11,335,8,5,3,0,3,6,0,0,4,28,0,0,0,0,0,0,0,0,0,0,696,1330,359,1171,1170,916,64,620,83,6402,Bega Valley (A)
10600,0,0,33,7,3,20,4,53,3,118,3,9,47,7,0,15,7,34,0,124,41,44,111,26,10,11,51,53,4,350,65,87,116,29,12,29,44,58,7,452,100,111,128,36,17,32,75,82,12,585,102,108,120,41,25,18,80,94,9,599,56,35,21,11,13,11,22,16,0,188,22,0,4,0,0,0,3,3,5,35,3,0,0,0,0,0,0,0,0,7,391,389,579,151,84,139,285,398,43,2456,0,0,5,33,10,57,0,14,0,121,5,9,12,39,6,15,0,16,0,106,27,65,20,67,39,42,4,17,3,286,46,142,32,82,88,33,5,28,6,452,83,204,32,104,125,53,8,63,4,681,76,189,14,110,118,49,6,46,6,613,36,35,3,11,28,4,0,13,3,134,9,0,3,0,0,0,0,3,5,26,0,0,0,0,0,0,0,0,3,3,282,656,113,443,416,252,17,204,32,2417,Bellingen (A)
10650,0,0,18,3,0,11,4,37,7,84,23,4,47,8,3,3,21,30,3,143,55,35,74,9,3,10,34,38,3,272,84,31,81,8,9,6,45,54,3,319,111,27,58,11,8,10,61,49,6,332,135,24,66,14,12,24,74,50,9,400,66,12,15,5,5,7,38,18,3,168,14,3,3,0,0,0,3,3,3,35,8,0,0,0,0,0,0,0,0,8,488,134,367,67,40,72,274,278,41,1749,0,0,3,22,0,37,0,12,0,87,0,8,5,32,13,9,0,25,0,95,18,70,10,47,50,24,0,25,0,248,43,58,18,55,68,21,0,39,0,308,46,55,21,62,77,38,6,40,6,344,57,70,13,62,73,35,4,48,7,362,30,11,0,12,15,8,0,13,3,90,4,0,0,0,0,0,0,0,4,16,3,0,0,0,0,0,0,0,0,3,202,276,76,299,293,177,10,200,14,1544,Berrigan (A)
10750,56,83,826,245,115,891,257,1095,87,3657,333,746,1876,544,602,1007,1119,1378,218,7833,2085,3947,4008,1121,1763,1326,3360,2159,478,20247,3216,4622,3888,1029,1899,1025,3455,1848,441,21418,2196,2307,3318,790,1392,700,3501,1786,347,16344,1184,1368,2018,549,977,498,2246,1374,196,10409,203,288,396,130,232,121,404,301,45,2124,14,29,25,6,12,7,17,23,12,146,3,7,3,0,0,0,0,3,3,18,9296,13404,16352,4407,7001,5580,14356,9969,1827,82183,71,140,144,743,377,1897,70,377,60,3871,330,1151,321,1450,1537,1521,182,345,155,6999,1462,5182,751,2421,4085,1608,471,828,388,17200,1629,4477,651,2330,4530,1378,507,1086,297,16877,1087,2616,548,2125,4120,1116,590,1546,223,13975,547,1459,314,1269,2549,722,375,1099,125,8459,68,236,44,179,455,112,37,152,30,1321,4,6,4,8,16,3,0,10,13,62,0,0,0,0,0,0,0,0,4,11,5201,15268,2781,10522,17678,8363,2237,5434,1301,68774,Blacktown (C)
10800,4,0,25,0,0,10,0,19,3,63,20,3,51,9,0,4,17,19,3,116,33,29,63,12,3,12,49,48,0,252,97,15,59,5,6,7,57,44,3,284,105,23,46,4,11,5,66,34,12,302,111,14,42,7,13,4,74,31,10,301,59,10,12,0,4,3,13,6,3,120,20,0,3,0,0,0,3,3,0,38,5,0,0,0,0,0,0,0,3,9,460,102,303,30,32,50,281,199,34,1490,0,3,3,15,7,24,0,13,3,61,4,21,6,17,9,13,0,8,0,86,11,59,15,30,33,20,7,19,0,195,50,46,11,25,50,13,6,17,3,227,60,32,13,31,43,23,3,36,3,243,60,26,8,32,56,17,3,17,3,227,34,3,0,5,8,3,0,10,3,65,10,0,0,3,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,229,187,69,156,207,113,25,121,15,1124,Bland (A)
