lga_code16,et_ns_35_39_hw_0,et_ns_35_39_hw_1_15,et_ns_35_39_hw_16_24,et_ns_35_39_hw_25_34,et_ns_35_39_hw_35_39,et_ns_35_39_hw_40,et_ns_35_39_hw_41_48,et_ns_35_39_hw_49mor,et_ns_35_39_hw_ns,et_ns_35_39_tot,et_ns_40_44_hw_0,et_ns_40_44_hw_1_15,et_ns_40_44_hw_16_24,et_ns_40_44_hw_25_34,et_ns_40_44_hw_35_39,et_ns_40_44_hw_40,et_ns_40_44_hw_41_48,et_ns_40_44_hw_49mor,et_ns_40_44_hw_ns,et_ns_40_44_tot,et_ns_45_49_hw_0,et_ns_45_49_hw_1_15,et_ns_45_49_hw_16_24,et_ns_45_49_hw_25_34,et_ns_45_49_hw_35_39,et_ns_45_49_hw_40,et_ns_45_49_hw_41_48,et_ns_45_49_hw_49mor,et_ns_45_49_hw_ns,et_ns_45_49_tot,et_ns_50_54_hw_0,et_ns_50_54_hw_1_15,et_ns_50_54_hw_16_24,et_ns_50_54_hw_25_34,et_ns_50_54_hw_35_39,et_ns_50_54_hw_40,et_ns_50_54_hw_41_48,et_ns_50_54_hw_49mor,et_ns_50_54_hw_ns,et_ns_50_54_tot,et_ns_55_59_hw_0,et_ns_55_59_hw_1_15,et_ns_55_59_hw_16_24,et_ns_55_59_hw_25_34,et_ns_55_59_hw_35_39,et_ns_55_59_hw_40,et_ns_55_59_hw_41_48,et_ns_55_59_hw_49mor,et_ns_55_59_hw_ns,et_ns_55_59_tot,et_ns_60_64_hw_0,et_ns_60_64_hw_1_15,et_ns_60_64_hw_16_24,et_ns_60_64_hw_25_34,et_ns_60_64_hw_35_39,et_ns_60_64_hw_40,et_ns_60_64_hw_41_48,et_ns_60_64_hw_49mor,et_ns_60_64_hw_ns,et_ns_60_64_tot,et_ns_65_69_hw_0,et_ns_65_69_hw_1_15,et_ns_65_69_hw_16_24,et_ns_65_69_hw_25_34,et_ns_65_69_hw_35_39,et_ns_65_69_hw_40,et_ns_65_69_hw_41_48,et_ns_65_69_hw_49mor,et_ns_65_69_hw_ns,et_ns_65_69_tot,et_ns_70_74_hw_0,et_ns_70_74_hw_1_15,et_ns_70_74_hw_16_24,et_ns_70_74_hw_25_34,et_ns_70_74_hw_35_39,et_ns_70_74_hw_40,et_ns_70_74_hw_41_48,et_ns_70_74_hw_49mor,et_ns_70_74_hw_ns,et_ns_70_74_tot,et_ns_75ov_hw_0,et_ns_75ov_hw_1_15,et_ns_75ov_hw_16_24,et_ns_75ov_hw_25_34,et_ns_75ov_hw_35_39,et_ns_75ov_hw_40,et_ns_75ov_hw_41_48,et_ns_75ov_hw_49mor,et_ns_75ov_hw_ns,et_ns_75ov_tot,et_ns_tot_hw_0,et_ns_tot_hw_1_15,et_ns_tot_hw_16_24,et_ns_tot_hw_25_34,et_ns_tot_hw_35_39,et_ns_tot_hw_40,et_ns_tot_hw_41_48,et_ns_tot_hw_49mor,et_ns_tot_hw_ns,et_ns_tot_tot,tot_15_19_hw_0,tot_15_19_hw_1_15,tot_15_19_hw_16_24,tot_15_19_hw_25_34,tot_15_19_hw_35_39,tot_15_19_hw_40,tot_15_19_hw_41_48,tot_15_19_hw_49mor,tot_15_19_hw_ns,tot_15_19_tot,tot_20_24_hw_0,tot_20_24_hw_1_15,tot_20_24_hw_16_24,tot_20_24_hw_25_34,tot_20_24_hw_35_39,tot_20_24_hw_40,tot_20_24_hw_41_48,tot_20_24_hw_49mor,tot_20_24_hw_ns,tot_20_24_tot,tot_25_29_hw_0,tot_25_29_hw_1_15,tot_25_29_hw_16_24,tot_25_29_hw_25_34,tot_25_29_hw_35_39,tot_25_29_hw_40,tot_25_29_hw_41_48,tot_25_29_hw_49mor,tot_25_29_hw_ns,tot_25_29_tot,tot_30_34_hw_0,tot_30_34_hw_1_15,tot_30_34_hw_16_24,tot_30_34_hw_25_34,tot_30_34_hw_35_39,tot_30_34_hw_40,tot_30_34_hw_41_48,tot_30_34_hw_49mor,tot_30_34_hw_ns,tot_30_34_tot,tot_35_39_hw_0,tot_35_39_hw_1_15,tot_35_39_hw_16_24,tot_35_39_hw_25_34,tot_35_39_hw_35_39,tot_35_39_hw_40,tot_35_39_hw_41_48,tot_35_39_hw_49mor,tot_35_39_hw_ns,tot_35_39_tot,tot_40_44_hw_0,tot_40_44_hw_1_15,tot_40_44_hw_16_24,tot_40_44_hw_25_34,tot_40_44_hw_35_39,tot_40_44_hw_40,tot_40_44_hw_41_48,tot_40_44_hw_49mor,tot_40_44_hw_ns,tot_40_44_tot,tot_45_49_hw_0,tot_45_49_hw_1_15,tot_45_49_hw_16_24,tot_45_49_hw_25_34,tot_45_49_hw_35_39,tot_45_49_hw_40,tot_45_49_hw_41_48,tot_45_49_hw_49mor,tot_45_49_hw_ns,tot_45_49_tot,tot_50_54_hw_0,tot_50_54_hw_1_15,tot_50_54_hw_16_24,tot_50_54_hw_25_34,tot_50_54_hw_35_39,tot_50_54_hw_40,tot_50_54_hw_41_48,tot_50_54_hw_49mor,tot_50_54_hw_ns,tot_50_54_tot,tot_55_59_hw_0,tot_55_59_hw_1_15,tot_55_59_hw_16_24,tot_55_59_hw_25_34,tot_55_59_hw_35_39,tot_55_59_hw_40,tot_55_59_hw_41_48,tot_55_59_hw_49mor,tot_55_59_hw_ns,tot_55_59_tot,tot_60_64_hw_0,tot_60_64_hw_1_15,tot_60_64_hw_16_24,tot_60_64_hw_25_34,tot_60_64_hw_35_39,tot_60_64_hw_40,tot_60_64_hw_41_48,tot_60_64_hw_49mor,tot_60_64_hw_ns,tot_60_64_tot,lga_name16
10050,0,0,5,0,4,0,3,4,3,24,3,0,0,3,0,0,0,0,5,13,0,0,4,0,4,3,3,4,4,20,0,3,3,0,4,3,0,3,3,22,3,3,0,4,0,3,0,3,4,24,3,0,0,0,0,7,0,3,3,20,0,0,0,0,0,0,0,0,5,16,0,4,0,0,0,0,0,0,0,8,3,3,3,0,0,0,0,0,5,14,17,24,15,16,24,24,8,26,48,212,63,967,162,120,174,106,45,21,49,1724,64,384,276,346,574,397,192,122,59,2408,121,194,188,326,565,445,284,273,39,2428,149,213,304,328,543,420,269,301,34,2570,86,234,273,317,473,391,274,353,35,2437,70,177,278,378,507,471,271,375,40,2569,64,162,263,387,610,488,316,421,48,2757,89,150,240,415,586,469,282,444,28,2703,110,160,226,404,518,370,270,399,32,2493,82,205,227,253,306,250,135,216,25,1704,Albury (C)
10130,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,6,0,0,0,0,3,0,0,0,4,8,0,0,0,0,0,0,3,3,0,18,0,0,0,0,4,3,0,6,3,14,0,0,0,0,0,3,0,3,0,11,0,0,0,0,0,0,0,0,4,10,0,3,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,4,8,7,14,10,15,11,18,7,21,27,130,55,465,106,64,85,33,25,23,33,893,56,305,179,189,260,154,78,70,52,1344,54,130,116,139,328,185,119,114,16,1207,53,101,128,130,293,173,138,155,16,1183,48,107,107,142,232,192,88,169,11,1097,19,110,126,182,303,213,101,226,21,1305,30,105,109,195,308,229,131,264,21,1390,30,100,138,186,373,231,126,308,23,1509,61,103,139,162,335,193,116,258,13,1388,46,101,101,119,178,139,67,179,16,945,Armidale Regional (A)
10250,0,0,0,0,8,3,0,0,9,15,0,3,0,0,0,0,0,0,5,14,0,3,3,3,0,4,0,3,3,17,0,0,0,3,5,3,0,0,9,15,3,0,3,0,0,0,3,0,13,23,0,3,0,3,0,0,0,0,4,17,0,4,5,0,0,0,0,0,0,10,0,3,0,0,0,0,0,3,5,7,0,3,0,0,0,0,0,0,3,12,5,30,16,17,18,18,7,14,61,181,39,556,106,92,92,45,12,12,25,985,35,160,147,178,262,144,69,60,23,1073,35,96,103,159,262,143,90,99,19,1002,49,124,134,165,252,186,107,141,20,1181,30,113,175,197,264,239,105,213,31,1376,30,134,212,276,290,272,125,256,34,1617,38,149,190,313,354,280,141,262,18,1741,51,139,201,320,396,268,143,283,25,1834,67,189,221,323,374,246,131,241,42,1829,56,186,207,208,216,162,69,165,13,1287,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,13,5,3,7,3,4,4,0,0,0,26,0,4,7,11,14,17,10,6,7,69,3,3,3,9,17,7,3,15,0,62,3,8,6,0,13,12,4,14,5,55,0,8,5,8,17,8,3,20,0,69,3,8,12,9,11,20,9,22,3,96,3,7,9,16,8,17,6,22,3,91,0,11,9,14,15,14,7,15,4,88,5,4,10,15,17,12,14,31,3,110,0,9,16,8,11,11,0,20,3,86,Balranald (A)
10470,0,0,0,0,0,0,0,0,4,7,0,7,0,0,0,3,0,4,8,24,3,3,0,0,0,0,0,4,4,17,0,3,0,0,7,7,0,3,0,22,3,3,3,0,0,5,0,3,4,25,3,0,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,5,0,11,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,6,25,27,15,14,26,22,4,25,53,201,54,601,107,89,115,81,32,21,50,1154,79,389,220,209,385,277,95,127,56,1840,77,154,152,172,463,328,175,199,30,1745,83,164,154,182,345,293,168,255,38,1676,49,130,140,197,350,301,149,252,24,1601,42,131,182,218,412,329,174,319,27,1835,49,102,157,235,467,362,190,313,26,1908,51,110,150,216,446,351,190,311,24,1844,62,118,162,210,401,296,140,302,22,1717,72,116,170,135,206,207,84,201,21,1208,Bathurst Regional (A)
10550,0,0,0,0,3,0,0,0,3,8,0,5,3,3,4,3,0,3,0,18,3,3,3,4,7,3,0,3,3,25,0,4,0,0,4,3,0,6,0,17,3,3,3,0,5,3,0,5,8,27,3,0,8,0,7,0,0,7,3,25,0,0,0,0,3,0,0,4,5,14,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,13,28,21,18,27,15,5,31,38,194,39,393,47,60,76,54,19,23,27,738,28,82,85,83,188,113,51,48,28,701,34,64,73,83,165,120,74,81,9,708,57,92,80,133,195,147,66,98,9,873,30,100,124,146,167,141,88,136,14,956,36,113,133,181,218,171,110,178,17,1152,48,121,156,226,285,215,134,227,17,1431,49,138,173,273,286,257,163,255,27,1622,91,210,204,316,286,216,116,237,29,1702,73,199,184,178,150,140,72,158,30,1186,Bega Valley (A)
10600,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,3,5,0,3,3,3,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,0,13,8,6,6,4,7,6,17,70,3,113,11,15,22,8,4,3,9,187,4,25,12,32,31,17,8,15,6,146,4,31,17,35,39,12,21,32,8,193,12,35,41,45,50,43,15,46,8,289,18,34,37,54,44,34,23,45,6,289,10,42,45,68,52,59,27,63,7,378,16,59,59,62,81,52,38,63,12,442,18,56,51,88,78,68,27,79,7,466,25,54,70,99,80,65,38,77,7,505,19,78,66,61,44,45,27,47,8,402,Bellingen (A)
10650,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,11,0,0,3,3,0,0,0,3,0,10,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,4,5,10,4,16,13,59,9,65,5,12,18,19,4,7,6,143,5,23,11,25,50,26,14,24,7,180,7,16,19,23,34,37,18,37,3,209,5,13,19,18,32,27,26,37,7,193,10,24,27,26,27,34,14,55,4,221,4,29,24,26,26,41,20,72,3,245,11,17,17,41,50,34,27,85,6,278,9,28,28,47,43,50,15,70,10,296,19,43,44,49,38,48,21,79,3,340,25,36,41,37,35,41,17,71,5,311,Berrigan (A)
10750,9,7,9,0,14,15,10,11,35,97,6,6,6,9,9,22,4,14,27,99,8,10,8,19,18,14,9,17,23,114,3,12,5,10,17,26,5,25,19,112,3,3,6,3,16,11,8,11,8,72,6,6,3,7,13,6,3,9,16,69,7,0,10,3,4,4,0,6,8,37,0,5,0,0,0,0,0,0,13,22,3,0,0,0,0,0,0,0,12,22,54,81,76,76,152,146,43,107,264,999,233,2975,826,443,574,471,139,136,184,5986,224,1539,1492,1109,2039,1741,733,714,326,9926,359,588,985,962,2803,2523,1159,1508,296,11185,435,750,1026,1094,2867,2666,1262,1871,289,12253,314,733,1045,1138,2773,2688,1142,1976,308,12118,216,711,973,1216,2747,2779,1212,2192,237,12281,204,669,810,1256,2607,2621,1193,2186,256,11807,224,583,722,1143,2842,2274,1126,2009,233,11157,229,544,694,914,2317,2014,870,1532,145,9267,195,533,605,641,1414,1192,477,872,91,6015,Blacktown (C)
10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,4,3,8,3,3,0,3,3,3,3,9,14,40,3,53,11,8,19,21,5,0,10,120,10,17,18,23,33,39,20,37,3,195,4,14,18,18,25,38,19,64,3,204,6,25,28,15,24,30,25,71,8,233,8,15,24,23,20,31,33,84,9,248,9,21,18,33,29,33,21,100,3,270,3,15,24,20,35,47,16,97,3,257,11,25,22,26,33,41,21,93,8,279,13,28,26,29,37,55,22,101,7,314,12,26,15,28,25,25,14,60,7,222,Bland (A)
10850,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,3,4,0,6,0,3,0,3,3,9,12,40,12,82,7,7,6,11,10,6,9,152,5,9,15,17,39,36,19,39,3,179,17,18,22,16,30,37,49,105,6,296,8,12,23,18,29,25,55,99,3,268,17,10,25,17,35,34,46,103,3,286,10,21,24,31,35,39,46,136,8,344,9,19,23,28,45,46,48,131,4,350,12,24,29,30,49,34,29,93,3,308,12,23,17,25,48,38,30,87,4,272,9,12,16,31,30,29,16,68,6,221,Blayney (A)
10900,0,4,0,4,0,9,0,3,0,23,0,8,0,0,3,0,0,3,3,21,0,3,0,0,0,3,0,3,0,15,0,0,0,0,3,4,0,3,0,18,0,3,3,0,0,3,0,3,3,17,0,0,0,4,0,3,0,0,0,10,5,0,3,3,0,0,0,3,3,16,0,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,4,11,27,19,18,16,29,4,17,35,178,55,799,153,113,117,87,34,25,37,1418,36,381,304,259,226,218,102,78,33,1637,57,164,188,182,266,227,107,148,29,1372,43,171,198,183,217,226,126,192,32,1382,47,225,204,228,246,239,118,205,23,1529,43,261,269,285,289,302,149,298,19,1923,58,247,278,363,323,345,175,319,33,2144,67,209,297,344,348,335,164,338,21,2117,91,228,290,334,322,311,159,313,27,2066,56,289,286,257,213,172,81,208,20,1583,Blue Mountains (C)
10950,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,4,3,6,27,3,15,9,3,9,4,7,3,4,52,0,4,14,3,18,16,18,34,0,107,8,13,3,5,18,22,13,56,3,143,0,10,15,11,13,16,16,44,3,126,5,5,3,10,6,18,11,35,3,98,3,10,10,18,21,18,15,46,0,139,3,15,11,16,18,19,21,58,0,163,8,6,7,15,32,23,13,53,0,161,3,7,4,11,20,18,11,34,4,112,0,4,3,17,5,9,5,29,0,86,Bogan (A)
11100,0,3,5,3,3,10,0,3,7,32,0,0,4,9,3,3,3,0,8,31,3,3,5,7,9,9,8,3,12,53,0,0,4,3,3,6,3,7,7,32,3,4,0,3,9,11,0,6,5,54,5,4,3,3,3,0,4,6,9,29,0,3,3,3,0,3,0,0,6,21,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,7,13,24,28,38,48,54,60,24,38,116,427,80,562,209,119,93,105,22,19,49,1264,106,610,771,482,737,719,238,222,113,4006,154,240,604,514,1271,1412,613,636,137,5592,253,205,440,500,1426,1549,756,940,113,6182,236,212,436,484,1261,1448,655,1027,96,5857,200,212,436,582,1102,1462,759,1079,92,5929,179,255,387,641,1075,1389,702,1015,110,5756,195,184,330,591,1022,1176,625,917,112,5143,171,174,260,468,914,909,443,715,70,4125,106,143,202,263,478,508,221,312,39,2270,Botany Bay (C)
11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,3,4,6,24,0,6,3,3,0,6,3,0,0,27,3,5,3,11,20,14,11,14,0,80,4,3,3,18,25,29,18,20,3,125,3,3,8,10,38,19,18,22,0,121,0,7,8,8,23,21,4,25,0,103,5,3,5,14,28,14,11,20,3,96,3,4,3,6,25,28,6,27,6,112,0,5,10,7,29,25,10,39,0,122,7,5,3,11,24,20,3,36,0,103,0,3,5,8,12,12,7,23,0,76,Bourke (A)
11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,11,0,0,0,0,3,0,0,0,0,6,3,0,0,7,4,8,0,4,0,31,4,0,0,10,11,16,0,10,7,65,0,3,0,0,6,8,7,12,0,37,0,0,0,4,10,3,3,9,3,33,0,0,0,3,7,3,0,13,3,35,0,6,4,7,17,10,0,20,4,70,6,0,0,3,12,17,10,17,0,64,0,3,3,8,8,11,4,24,3,67,3,0,0,7,7,8,3,17,5,44,Brewarrina (A)
