lga_code16,f_ewft_25_29_om_uie,f_ewft_25_29_cfw,f_ewft_25_29_es_ns,f_ewft_25_29_tot,f_ewft_30_34_e,f_ewft_30_34_om_ie,f_ewft_30_34_om_uie,f_ewft_30_34_cfw,f_ewft_30_34_es_ns,f_ewft_30_34_tot,f_ewft_35_39_e,f_ewft_35_39_om_ie,f_ewft_35_39_om_uie,f_ewft_35_39_cfw,f_ewft_35_39_es_ns,f_ewft_35_39_tot,f_ewft_40_44_e,f_ewft_40_44_om_ie,f_ewft_40_44_om_uie,f_ewft_40_44_cfw,f_ewft_40_44_es_ns,f_ewft_40_44_tot,f_ewft_45_49_e,f_ewft_45_49_om_ie,f_ewft_45_49_om_uie,f_ewft_45_49_cfw,f_ewft_45_49_es_ns,f_ewft_45_49_tot,f_ewft_50_54_e,f_ewft_50_54_om_ie,f_ewft_50_54_om_uie,f_ewft_50_54_cfw,f_ewft_50_54_es_ns,f_ewft_50_54_tot,f_ewft_55_59_e,f_ewft_55_59_om_ie,f_ewft_55_59_om_uie,f_ewft_55_59_cfw,f_ewft_55_59_es_ns,f_ewft_55_59_tot,f_ewft_60_64_e,f_ewft_60_64_om_ie,f_ewft_60_64_om_uie,f_ewft_60_64_cfw,f_ewft_60_64_es_ns,f_ewft_60_64_tot,f_ewft_65_69_e,f_ewft_65_69_om_ie,f_ewft_65_69_om_uie,f_ewft_65_69_cfw,f_ewft_65_69_es_ns,f_ewft_65_69_tot,f_ewft_70_74_e,f_ewft_70_74_om_ie,f_ewft_70_74_om_uie,f_ewft_70_74_cfw,f_ewft_70_74_es_ns,f_ewft_70_74_tot,f_ewft_75ov_e,f_ewft_75ov_om_ie,f_ewft_75ov_om_uie,f_ewft_75ov_cfw,f_ewft_75ov_es_ns,f_ewft_75ov_tot,f_ewft_tot_e,f_ewft_tot_om_ie,f_ewft_tot_om_uie,f_ewft_tot_cfw,f_ewft_tot_es_ns,f_ewft_tot_tot,f_ewpt_15_19_e,f_ewpt_15_19_om_ie,f_ewpt_15_19_om_uie,f_ewpt_15_19_cfw,f_ewpt_15_19_es_ns,f_ewpt_15_19_tot,f_ewpt_20_24_e,f_ewpt_20_24_om_ie,f_ewpt_20_24_om_uie,f_ewpt_20_24_cfw,f_ewpt_20_24_es_ns,f_ewpt_20_24_tot,f_ewpt_25_29_e,f_ewpt_25_29_om_ie,f_ewpt_25_29_om_uie,f_ewpt_25_29_cfw,f_ewpt_25_29_es_ns,f_ewpt_25_29_tot,f_ewpt_30_34_e,f_ewpt_30_34_om_ie,f_ewpt_30_34_om_uie,f_ewpt_30_34_cfw,f_ewpt_30_34_es_ns,f_ewpt_30_34_tot,f_ewpt_35_39_e,f_ewpt_35_39_om_ie,f_ewpt_35_39_om_uie,f_ewpt_35_39_cfw,f_ewpt_35_39_es_ns,f_ewpt_35_39_tot,f_ewpt_40_44_e,f_ewpt_40_44_om_ie,f_ewpt_40_44_om_uie,f_ewpt_40_44_cfw,f_ewpt_40_44_es_ns,f_ewpt_40_44_tot,f_ewpt_45_49_e,f_ewpt_45_49_om_ie,f_ewpt_45_49_om_uie,f_ewpt_45_49_cfw,f_ewpt_45_49_es_ns,f_ewpt_45_49_tot,f_ewpt_50_54_e,f_ewpt_50_54_om_ie,f_ewpt_50_54_om_uie,f_ewpt_50_54_cfw,f_ewpt_50_54_es_ns,f_ewpt_50_54_tot,f_ewpt_55_59_e,f_ewpt_55_59_om_ie,f_ewpt_55_59_om_uie,f_ewpt_55_59_cfw,f_ewpt_55_59_es_ns,f_ewpt_55_59_tot,f_ewpt_60_64_e,f_ewpt_60_64_om_ie,f_ewpt_60_64_om_uie,f_ewpt_60_64_cfw,f_ewpt_60_64_es_ns,f_ewpt_60_64_tot,f_ewpt_65_69_e,f_ewpt_65_69_om_ie,f_ewpt_65_69_om_uie,f_ewpt_65_69_cfw,f_ewpt_65_69_es_ns,f_ewpt_65_69_tot,f_ewpt_70_74_e,f_ewpt_70_74_om_ie,f_ewpt_70_74_om_uie,f_ewpt_70_74_cfw,f_ewpt_70_74_es_ns,f_ewpt_70_74_tot,f_ewpt_75ov_e,f_ewpt_75ov_om_ie,f_ewpt_75ov_om_uie,f_ewpt_75ov_cfw,f_ewpt_75ov_es_ns,f_ewpt_75ov_tot,f_ewpt_tot_e,f_ewpt_tot_om_ie,f_ewpt_tot_om_uie,f_ewpt_tot_cfw,f_ewpt_tot_es_ns,f_ewpt_tot_tot,f_eafw_e,f_eafw_om_ie,f_eafw_om_uie,f_eafw_cfw,f_eafw_es_ns,f_eafw_tot,f_h_ns_e,f_h_ns_om_ie,f_h_ns_om_uie,f_h_ns_cfw,f_h_ns_es_ns,f_h_ns_tot,f_tot_e,f_tot_om_ie,f_tot_om_uie,f_tot_cfw,f_tot_es_ns,f_tot_tot,p_ewft_15_19_e,p_ewft_15_19_om_ie,p_ewft_15_19_om_uie,p_ewft_15_19_cfw,p_ewft_15_19_es_ns,p_ewft_15_19_tot,p_ewft_20_24_e,p_ewft_20_24_om_ie,p_ewft_20_24_om_uie,p_ewft_20_24_cfw,p_ewft_20_24_es_ns,p_ewft_20_24_tot,p_ewft_25_29_e,p_ewft_25_29_om_ie,p_ewft_25_29_om_uie,p_ewft_25_29_cfw,p_ewft_25_29_es_ns,p_ewft_25_29_tot,p_ewft_30_34_e,p_ewft_30_34_om_ie,p_ewft_30_34_om_uie,p_ewft_30_34_cfw,p_ewft_30_34_es_ns,p_ewft_30_34_tot,p_ewft_35_39_e,p_ewft_35_39_om_ie,p_ewft_35_39_om_uie,p_ewft_35_39_cfw,lga_name16
10050,20,0,0,674,478,21,30,3,6,538,467,23,24,4,6,528,576,30,47,4,0,653,680,43,42,8,9,790,672,53,53,10,0,787,601,26,33,8,4,673,283,17,26,4,4,343,64,12,12,6,0,90,11,0,0,0,0,9,4,0,0,0,0,3,5140,246,296,48,37,5765,758,0,0,6,9,771,694,0,5,0,3,704,487,4,17,3,3,518,633,16,38,10,0,696,585,18,48,15,6,680,615,31,51,6,3,704,563,32,37,4,4,648,581,27,40,6,3,664,550,17,38,17,7,624,394,18,33,13,0,462,167,17,31,6,0,218,27,0,10,3,4,43,13,3,3,3,3,27,6070,194,353,96,41,6758,600,16,27,9,15,661,155,3,9,12,20,196,11965,457,687,163,109,13381,355,0,0,0,0,355,1242,11,25,3,4,1289,1445,47,65,0,6,1567,1353,79,93,5,11,1540,1277,101,94,9,Albury (C)
10130,10,0,0,294,275,6,8,3,0,291,214,9,11,4,0,239,317,14,15,7,0,356,368,24,20,3,6,418,395,23,25,5,0,457,330,18,22,14,6,390,167,13,37,8,4,226,31,5,26,8,0,77,17,0,8,11,3,42,4,0,4,9,0,13,2682,124,200,77,19,3100,373,0,3,9,4,390,399,0,6,0,6,405,245,3,3,3,0,253,228,8,12,8,0,250,232,5,16,4,3,263,288,15,19,9,0,331,260,11,27,3,0,303,266,12,26,6,5,311,252,11,18,14,0,295,158,8,23,11,5,204,65,3,18,20,3,108,16,3,11,9,0,47,3,0,10,10,0,25,2787,79,193,96,27,3189,279,12,6,4,3,308,81,3,3,14,9,113,5829,216,403,189,60,6703,163,0,4,4,0,162,541,3,9,5,9,564,690,21,36,0,4,748,673,44,38,4,0,757,554,48,59,15,Armidale Regional (A)
10250,9,0,0,203,199,12,15,6,0,234,234,25,34,5,3,297,306,29,41,6,0,377,344,23,48,7,0,426,377,40,45,10,5,471,322,23,48,5,0,404,177,22,30,7,0,230,32,5,16,7,0,63,9,7,9,8,0,28,0,3,3,7,0,16,2454,187,298,61,17,3016,434,0,0,0,5,437,291,0,0,0,0,294,210,6,12,7,0,236,244,5,40,6,3,303,292,14,44,14,0,365,370,23,53,10,0,453,400,30,55,12,6,508,388,21,49,15,3,476,416,17,52,19,7,505,282,22,56,10,9,385,97,11,29,12,3,157,26,3,20,5,0,52,7,3,5,3,0,23,3462,163,417,111,39,4198,257,11,34,5,6,306,77,8,4,10,29,123,6247,372,756,191,86,7652,164,0,0,0,3,169,509,11,13,0,0,536,531,21,43,0,0,594,575,37,63,10,3,693,600,95,108,9,Ballina (A)
10300,0,0,0,17,7,0,3,0,0,12,6,0,0,0,0,10,15,0,0,0,0,23,18,0,0,0,0,21,18,0,0,3,0,20,15,4,6,0,0,23,12,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,9,16,7,0,156,10,0,0,0,0,9,12,0,0,0,0,11,10,0,0,0,0,16,10,4,0,0,0,17,19,0,0,0,0,22,17,0,3,0,0,25,19,3,3,0,0,19,16,0,0,0,0,23,16,0,0,0,0,17,12,0,3,0,0,19,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,150,13,10,10,7,185,16,0,0,0,0,21,4,0,0,0,3,11,285,20,27,20,8,367,8,0,0,0,0,8,36,0,0,0,0,44,31,3,5,0,0,36,28,3,5,0,0,34,27,12,5,0,Balranald (A)
10470,9,0,3,462,325,21,3,0,0,349,327,21,36,8,0,394,451,24,26,6,4,509,511,43,29,7,3,595,486,26,35,11,3,565,427,22,29,7,6,496,225,11,14,7,0,268,52,6,17,10,3,93,13,4,3,4,0,25,0,0,4,0,0,12,3671,192,229,73,27,4202,498,0,0,3,3,502,488,3,10,6,8,511,301,5,10,4,0,316,361,14,26,8,3,405,334,13,37,9,0,395,390,12,29,4,4,447,346,17,25,4,3,402,326,14,26,14,7,382,317,17,32,11,3,378,232,10,30,4,0,276,91,9,28,3,3,136,31,3,19,8,0,54,6,0,9,5,3,25,3724,121,271,86,34,4241,390,11,9,7,12,427,132,0,10,9,21,166,7909,334,525,180,93,9035,242,0,0,3,0,246,839,12,21,3,5,881,1062,36,51,3,12,1163,908,84,54,0,4,1057,872,79,94,12,Bathurst Regional (A)
10550,9,3,7,176,153,10,17,0,0,172,143,10,28,3,3,185,214,24,22,3,3,263,286,25,34,7,3,354,291,29,39,17,4,378,243,22,53,6,3,333,131,7,26,3,9,173,34,12,8,9,0,61,4,0,7,8,0,24,4,0,0,3,0,13,1877,145,256,67,26,2370,299,0,3,3,0,308,145,0,3,0,4,147,143,4,4,3,0,157,213,10,12,4,3,243,243,14,29,3,0,289,261,18,23,10,4,315,309,9,45,5,7,380,375,21,37,13,5,449,398,29,45,13,3,487,256,12,43,23,3,340,101,11,28,8,0,147,19,12,14,7,0,53,8,0,4,0,0,14,2766,140,294,108,30,3334,249,15,31,4,5,307,65,5,13,10,17,111,4955,298,593,189,78,6117,172,0,0,0,3,174,366,4,19,0,0,396,394,7,22,4,4,439,431,24,45,0,3,505,400,54,75,9,Bega Valley (A)
10600,0,0,0,35,33,3,10,0,0,48,36,0,4,0,0,36,46,3,8,0,0,64,78,3,18,0,0,91,68,8,10,3,0,88,72,3,27,4,3,107,39,6,16,3,4,68,8,5,7,9,0,25,0,0,3,3,0,5,0,0,4,3,0,9,442,34,104,24,9,612,77,0,3,0,0,79,42,0,3,0,0,47,43,0,10,3,0,55,60,0,14,4,0,79,62,3,6,5,0,75,82,5,24,7,0,121,102,5,24,3,0,134,110,3,19,3,0,135,108,8,14,3,3,140,90,6,17,4,3,127,19,0,17,9,0,52,3,0,8,4,0,17,3,0,7,3,0,7,801,35,164,57,9,1061,56,3,11,3,0,76,19,0,6,7,11,39,1313,70,286,90,29,1785,32,0,0,0,3,34,65,0,4,0,3,71,90,3,8,0,0,101,110,12,25,3,0,156,113,6,19,0,Bellingen (A)
10650,4,0,0,44,30,0,0,0,0,36,31,9,6,0,3,49,30,6,13,0,0,53,41,8,19,0,0,68,46,9,6,3,0,63,53,10,4,3,0,69,32,5,7,3,0,45,6,3,6,3,0,15,0,0,4,0,0,5,0,0,3,6,0,9,352,48,76,23,8,512,50,0,0,0,3,53,32,0,0,0,0,38,50,0,3,3,0,50,43,0,0,0,0,44,44,4,4,5,0,62,48,4,8,7,0,68,48,3,3,8,0,65,67,0,4,8,0,77,81,7,5,8,0,98,50,10,9,3,5,71,28,3,5,5,0,36,6,0,3,0,0,15,7,0,0,0,0,8,554,39,49,44,12,695,48,5,9,7,0,62,17,0,0,3,8,26,978,90,128,77,22,1296,45,0,0,0,0,52,105,0,6,3,3,114,105,10,14,0,0,125,104,12,5,10,0,128,84,18,20,10,Berrigan (A)
10750,59,3,15,2878,2502,76,107,12,7,2701,2380,122,108,11,17,2639,2655,136,118,24,10,2944,2744,143,121,18,15,3049,2619,130,117,15,17,2902,2150,105,68,15,16,2359,1153,49,42,8,8,1262,280,20,15,4,3,316,46,7,6,0,0,59,13,0,3,0,0,20,21723,845,797,109,130,23602,2397,8,10,12,15,2443,1980,4,28,12,9,2034,1305,27,78,13,3,1422,1685,81,130,50,17,1958,1803,99,180,54,12,2153,1838,96,172,41,13,2157,1678,100,145,33,18,1978,1457,84,128,31,7,1715,1304,60,96,28,15,1498,897,58,80,15,14,1056,359,35,37,21,9,458,109,11,13,3,4,135,30,4,0,9,0,40,16841,659,1107,325,128,19054,1422,31,60,21,29,1563,742,37,42,25,109,967,40730,1566,2004,489,391,45187,1288,8,3,0,20,1319,5039,61,90,8,41,5230,7434,280,217,10,51,7996,7686,537,360,28,42,8658,7447,656,395,42,Blacktown (C)
10800,0,0,0,46,27,0,7,3,0,35,36,3,4,6,0,50,49,3,14,3,0,65,44,9,20,6,0,85,31,3,8,9,0,53,34,3,17,11,0,68,23,3,15,9,0,38,5,3,10,3,0,15,0,0,5,0,0,8,0,0,5,4,0,5,332,27,103,50,0,515,42,0,0,0,0,45,32,0,0,0,0,33,29,0,3,3,0,36,45,0,3,4,0,60,37,3,4,0,0,52,45,0,4,6,0,53,33,0,3,3,0,38,50,0,5,0,0,51,45,5,9,0,0,58,38,4,5,4,0,52,14,0,3,3,0,18,3,0,6,0,0,8,3,0,5,3,0,14,416,19,47,31,0,514,31,0,10,5,0,53,12,0,0,11,7,31,797,48,163,97,12,1114,38,0,0,0,0,38,105,0,18,0,0,129,123,4,10,6,0,144,115,10,21,5,0,151,122,14,21,10,Bland (A)
