lga_code16,agff_bf_91,agff_91_95,agff_96_00,agff_01_05,agff_06_10,agff_11_15,agff_2016,agff_ns,agff_tot,min_bf_91,min_91_95,min_96_00,min_01_05,min_06_10,min_11_15,min_2016,min_ns,min_tot,mnf_bf_91,mnf_91_95,mnf_96_00,mnf_01_05,mnf_06_10,mnf_11_15,mnf_2016,mnf_ns,mnf_tot,egwws_bf_91,egwws_91_95,egwws_96_00,egwws_01_05,egwws_06_10,egwws_11_15,egwws_2016,egwws_ns,egwws_tot,const_bf_91,const_91_95,const_96_00,const_01_05,const_06_10,const_11_15,const_2016,const_ns,const_tot,wst_bf_91,wst_91_95,wst_96_00,wst_01_05,wst_06_10,wst_11_15,wst_2016,wst_ns,wst_tot,rett_bf_91,rett_91_95,rett_96_00,rett_01_05,rett_06_10,rett_11_15,rett_2016,rett_ns,rett_tot,acfd_bf_91,acfd_91_95,acfd_96_00,acfd_01_05,acfd_06_10,acfd_11_15,acfd_2016,acfd_ns,acfd_tot,tpw_bf_91,tpw_91_95,tpw_96_00,tpw_01_05,tpw_06_10,tpw_11_15,tpw_2016,tpw_ns,tpw_tot,imt_bf_91,imt_91_95,imt_96_00,imt_01_05,imt_06_10,imt_11_15,imt_2016,imt_ns,imt_tot,finins_bf_91,finins_91_95,finins_96_00,finins_01_05,finins_06_10,finins_11_15,finins_2016,finins_ns,finins_tot,rhre_bf_91,rhre_91_95,rhre_96_00,rhre_01_05,rhre_06_10,rhre_11_15,rhre_2016,rhre_ns,rhre_tot,prosts_bf_91,prosts_91_95,prosts_96_00,prosts_01_05,prosts_06_10,prosts_11_15,prosts_2016,prosts_ns,prosts_tot,adsup_bf_91,adsup_91_95,adsup_96_00,adsup_01_05,adsup_06_10,adsup_11_15,adsup_2016,adsup_ns,adsup_tot,pubas_bf_91,pubas_91_95,pubas_96_00,pubas_01_05,pubas_06_10,pubas_11_15,pubas_2016,pubas_ns,pubas_tot,eductraining_bf_91,eductraining_91_95,eductraining_96_00,eductraining_01_05,eductraining_06_10,eductraining_11_15,eductraining_2016,eductraining_ns,eductraining_tot,hlthcaresocassist_bf_91,hlthcaresocassist_91_95,hlthcaresocassist_96_00,hlthcaresocassist_01_05,hlthcaresocassist_06_10,hlthcaresocassist_11_15,hlthcaresocassist_2016,hlthcaresocassist_ns,hlthcaresocassist_tot,artsrecreation_bf_91,artsrecreation_91_95,artsrecreation_96_00,artsrecreation_01_05,artsrecreation_06_10,artsrecreation_11_15,artsrecreation_2016,artsrecreation_ns,artsrecreation_tot,othservices_bf_91,othservices_91_95,othservices_96_00,othservices_01_05,othservices_06_10,othservices_11_15,othservices_2016,othservices_ns,othservices_tot,id_ns_bf_91,id_ns_91_95,id_ns_96_00,id_ns_01_05,id_ns_06_10,id_ns_11_15,id_ns_2016,id_ns_ns,id_ns_tot,tot_bf_91,tot_91_95,tot_96_00,tot_01_05,tot_06_10,tot_11_15,tot_2016,tot_ns,tot_tot,lga_name16
10050,11,0,0,3,3,4,0,3,24,0,0,0,0,0,0,0,0,0,107,13,15,24,40,35,3,5,247,12,0,0,0,0,0,0,0,16,60,3,3,8,14,17,0,5,119,11,3,8,7,14,12,0,0,47,83,9,22,19,66,38,4,4,255,82,15,17,37,103,73,6,8,336,48,3,6,3,23,6,0,3,89,7,0,3,0,7,3,0,0,17,17,0,3,5,8,4,0,0,37,8,3,0,0,3,3,0,4,21,37,5,4,12,14,11,0,0,84,37,5,4,6,20,11,0,0,79,104,6,9,11,17,7,0,10,156,110,11,20,32,27,26,3,4,239,249,31,39,84,186,105,9,9,704,7,3,0,3,3,5,0,0,23,36,13,10,8,35,34,0,0,139,49,3,0,7,21,17,3,7,112,1090,126,174,270,597,404,34,59,2755,Albury (C)
10130,43,8,9,9,29,84,23,11,213,3,0,0,0,0,0,0,0,3,7,0,5,0,3,6,0,0,22,0,0,0,0,0,0,0,0,9,15,4,10,3,14,4,0,3,46,8,0,6,0,3,6,0,0,21,33,3,15,15,25,21,6,0,121,22,8,16,19,33,30,10,4,135,10,0,0,0,4,3,0,0,25,3,4,0,0,0,3,0,0,14,9,0,3,3,0,0,0,0,17,4,0,0,0,0,0,0,0,9,42,3,13,10,14,19,0,3,106,19,3,3,0,4,16,0,0,47,40,4,9,10,9,9,0,3,81,181,39,39,56,69,84,8,11,476,121,19,31,32,64,86,0,3,351,4,0,0,0,0,0,0,0,4,11,3,8,3,3,3,0,0,32,6,0,3,5,8,11,0,4,45,577,94,168,165,285,391,51,48,1775,Armidale Regional (A)
10250,68,3,9,18,18,29,11,8,152,0,0,0,0,0,3,0,0,3,36,7,11,7,17,7,0,0,83,11,0,0,0,0,0,0,0,10,61,0,7,12,17,6,0,12,109,19,3,9,3,0,0,0,0,36,84,4,12,15,29,14,0,7,168,61,16,17,38,58,32,3,9,227,39,3,5,3,7,6,0,6,55,6,3,3,5,3,4,0,0,30,14,4,3,3,3,0,0,0,26,22,0,3,4,0,0,0,0,30,63,4,8,15,21,16,0,3,127,24,3,4,11,10,4,0,0,57,42,10,7,3,4,4,0,3,71,99,7,8,16,23,3,0,10,161,201,36,32,45,55,32,0,12,415,7,0,0,6,3,3,0,0,20,28,6,0,9,3,8,0,3,55,38,4,3,4,9,9,0,4,72,914,115,146,205,275,178,20,70,1916,Ballina (A)
10300,3,4,7,7,4,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,5,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,15,3,13,13,14,11,0,4,68,Balranald (A)
10470,26,3,3,8,5,9,0,3,51,3,0,0,0,0,0,0,0,3,52,5,17,18,11,28,0,0,136,3,0,0,0,0,0,0,0,9,46,3,9,4,12,14,7,3,91,14,3,3,0,4,0,0,0,27,47,9,11,19,37,20,0,9,155,46,16,15,16,48,40,4,8,196,24,0,5,0,3,0,0,3,36,13,3,5,4,5,0,0,0,26,6,0,0,4,0,3,0,0,18,5,3,0,0,3,4,0,0,9,45,3,9,3,6,19,0,0,81,23,9,7,0,10,8,0,4,56,69,12,5,8,15,3,0,4,117,112,18,18,15,22,34,3,6,231,144,18,22,48,62,42,0,11,348,7,0,0,0,3,0,0,0,8,18,3,3,7,6,9,0,3,48,22,3,3,3,12,8,0,3,49,729,111,140,149,264,244,17,53,1709,Bathurst Regional (A)
10550,50,0,0,8,6,0,0,5,69,0,0,0,0,0,0,0,0,0,68,5,9,8,13,9,0,6,115,3,0,0,0,0,0,0,0,4,42,0,3,0,0,3,0,4,57,15,0,0,0,0,0,0,0,21,77,3,3,12,9,11,0,7,129,90,17,9,11,26,19,4,9,185,16,3,3,0,0,0,0,0,25,6,0,0,0,0,0,0,0,11,8,0,0,3,0,0,0,0,18,9,0,0,0,0,0,0,0,14,51,6,8,9,4,6,0,4,84,21,3,0,3,5,3,0,3,36,36,3,3,3,4,3,0,0,56,46,11,4,11,4,0,0,0,82,182,13,10,25,37,29,3,15,312,25,0,3,7,0,3,0,3,37,18,0,5,3,5,4,0,5,45,17,0,4,3,0,4,0,3,42,780,73,81,108,119,102,16,59,1331,Bega Valley (A)
10600,22,3,0,3,0,7,0,0,35,0,0,0,0,0,0,0,0,0,18,0,4,8,3,3,0,0,34,0,0,0,0,0,0,0,0,3,22,0,6,3,5,3,0,0,42,0,0,0,0,0,0,0,0,3,23,0,3,3,10,5,0,3,51,31,3,3,3,10,4,0,0,58,11,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,7,27,0,4,3,3,0,0,3,44,12,0,0,0,0,3,0,0,15,7,0,3,0,3,0,0,0,13,29,0,8,3,3,0,0,0,49,50,9,6,8,11,4,0,3,88,5,3,0,0,0,0,0,0,4,9,0,0,3,0,0,0,0,9,8,4,0,0,3,5,0,0,18,276,26,47,43,48,36,3,17,497,Bellingen (A)
10650,17,0,10,6,3,12,0,3,46,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,3,0,0,0,0,0,3,0,7,8,0,0,3,5,3,0,0,10,16,3,0,8,12,4,0,0,41,5,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,7,6,0,0,0,4,0,0,0,10,15,0,3,5,14,10,0,0,46,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,8,98,9,17,25,37,31,0,13,231,Berrigan (A)
10750,74,16,12,18,25,22,3,3,175,29,4,3,10,7,8,0,0,52,2046,566,593,588,727,585,29,68,5198,303,64,88,117,80,33,3,12,711,1014,255,381,345,493,419,35,58,3007,1118,287,365,383,446,320,19,51,2983,1350,439,650,670,816,653,36,76,4686,365,152,215,289,468,422,43,43,2001,1618,526,675,630,1127,516,31,87,5203,84,23,53,53,57,85,14,0,379,172,69,90,90,84,35,4,6,553,157,46,47,46,64,40,0,10,412,464,116,176,202,277,219,25,22,1502,403,167,170,158,269,244,19,39,1468,600,185,172,157,143,71,3,15,1351,1040,307,358,343,217,132,9,29,2428,1652,630,721,901,1113,612,31,80,5740,83,15,33,31,34,14,0,5,217,497,140,189,153,253,196,15,37,1474,862,276,376,372,546,488,44,144,3114,13946,4281,5371,5545,7253,5113,364,773,42656,Blacktown (C)
10800,10,0,0,0,12,13,0,0,34,13,0,0,0,11,11,0,0,29,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11,8,3,5,0,3,0,0,0,22,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,4,0,0,3,5,3,0,0,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,48,6,9,7,35,39,5,4,155,Bland (A)
