lga_code16,agff_mng,agff_pro,agff_tech_trds_wks,agff_com_persl_svce_wks,agff_cler_admin_wks,agff_sales_wks,agff_mach_ops_dvrs,agff_labourers,agff_idns,agff_tot,min_mng,min_pro,min_tech_trds_wks,min_com_persl_svce_wks,min_cler_admin_wks,min_sales_wks,min_mach_ops_dvrs,min_labourers,min_idns,min_tot,mnf_mng,mnf_pro,mnf_tech_trds_wks,mnf_com_persl_svce_wks,mnf_cler_admin_wks,mnf_sales_wks,mnf_mach_ops_dvrs,mnf_labourers,mnf_idns,mnf_tot,egwws_mng,egwws_pro,egwws_tech_trds_wks,egwws_com_persl_svce_wks,egwws_cler_admin_wks,egwws_sales_wks,egwws_mach_ops_dvrs,egwws_labourers,egwws_idns,egwws_tot,const_mng,const_pro,const_tech_trds_wks,const_com_persl_svce_wks,const_cler_admin_wks,const_sales_wks,const_mach_ops_dvrs,const_labourers,const_idns,const_tot,wst_mng,wst_pro,wst_tech_trds_wks,wst_com_persl_svce_wks,wst_cler_admin_wks,wst_sales_wks,wst_mach_ops_dvrs,wst_labourers,wst_idns,wst_tot,rett_mng,rett_pro,rett_tech_trds_wks,rett_com_persl_svce_wks,rett_cler_admin_wks,rett_sales_wks,rett_mach_ops_dvrs,rett_labourers,rett_idns,rett_tot,acfd_mng,acfd_pro,acfd_tech_trds_wks,acfd_com_persl_svce_wks,acfd_cler_admin_wks,acfd_sales_wks,acfd_mach_ops_dvrs,acfd_labourers,acfd_idns,acfd_tot,tpw_mng,tpw_pro,tpw_tech_trds_wks,tpw_com_persl_svce_wks,tpw_cler_admin_wks,tpw_sales_wks,tpw_mach_ops_dvrs,tpw_labourers,tpw_idns,tpw_tot,imt_mng,imt_pro,imt_tech_trds_wks,imt_com_persl_svce_wks,imt_cler_admin_wks,imt_sales_wks,imt_mach_ops_dvrs,imt_labourers,imt_idns,imt_tot,finins_mng,finins_pro,finins_tech_trds_wks,finins_com_persl_svce_wks,finins_cler_admin_wks,finins_sales_wks,finins_mach_ops_dvrs,finins_labourers,finins_idns,finins_tot,rhre_mng,rhre_pro,rhre_tech_trds_wks,rhre_com_persl_svce_wks,rhre_cler_admin_wks,rhre_sales_wks,rhre_mach_ops_dvrs,rhre_labourers,rhre_idns,rhre_tot,prosts_mng,prosts_pro,prosts_tech_trds_wks,prosts_com_persl_svce_wks,prosts_cler_admin_wks,prosts_sales_wks,prosts_mach_ops_dvrs,prosts_labourers,prosts_idns,prosts_tot,adsup_mng,adsup_pro,adsup_tech_trds_wks,adsup_com_persl_svce_wks,adsup_cler_admin_wks,adsup_sales_wks,adsup_mach_ops_dvrs,adsup_labourers,adsup_idns,adsup_tot,pubas_mng,pubas_pro,pubas_tech_trds_wks,pubas_com_persl_svce_wks,pubas_cler_admin_wks,pubas_sales_wks,pubas_mach_ops_dvrs,pubas_labourers,pubas_idns,pubas_tot,edtrn_mng,edtrn_pro,edtrn_tech_trds_wks,edtrn_com_persl_svce_wks,edtrn_cler_admin_wks,edtrn_sales_wks,edtrn_mach_ops_dvrs,edtrn_labourers,edtrn_idns,edtrn_tot,hlthc_sa_mng,hlthc_sa_pro,hlthc_sa_tech_trds_wks,hlthc_sa_com_persl_svce_wks,hlthc_sa_cler_admin_wks,hlthc_sa_sales_wks,hlthc_sa_mach_ops_dvrs,hlthc_sa_labourers,hlthc_sa_idns,hlthc_sa_tot,artsr_mng,artsr_pro,artsr_tech_trds_wks,artsr_com_persl_svce_wks,artsr_cler_admin_wks,artsr_sales_wks,artsr_mach_ops_dvrs,artsr_labourers,artsr_idns,artsr_tot,othsvs_mng,othsvs_pro,othsvs_tech_trds_wks,othsvs_com_persl_svce_wks,othsvs_cler_admin_wks,othsvs_sales_wks,othsvs_mach_ops_dvrs,othsvs_labourers,othsvs_idns,othsvs_tot,idns_mng,idns_pro,idns_tech_trds_wks,idns_com_persl_svce_wks,idns_cler_admin_wks,idns_sales_wks,idns_mach_ops_dvrs,idns_labourers,idns_idns,idns_tot,lga_name16
10050,89,24,20,0,21,23,15,33,3,220,0,3,3,0,0,0,7,0,0,17,255,128,534,23,174,109,310,231,15,1773,24,18,67,0,22,11,54,11,4,223,241,53,861,0,229,51,120,207,12,1770,114,56,53,0,108,166,105,28,3,636,465,83,175,17,168,1955,108,208,14,3190,307,12,289,701,82,291,30,492,19,2224,118,58,38,27,211,60,465,27,11,1014,47,85,56,7,27,69,0,9,0,297,61,169,6,3,319,16,0,3,4,587,24,27,9,3,76,187,14,15,4,363,75,617,114,6,278,7,6,7,7,1114,59,75,38,69,105,11,25,285,5,676,161,414,118,308,872,3,35,64,63,2038,174,1289,58,344,259,3,5,63,6,2198,193,1693,130,1424,590,15,28,196,13,4282,37,31,26,45,21,17,0,22,0,208,78,51,503,156,98,19,25,131,11,1074,92,63,159,27,112,74,74,119,182,912,Albury (C)
10130,723,45,75,3,62,24,22,346,20,1321,5,7,14,0,4,0,24,0,0,47,40,15,110,0,27,30,13,37,3,285,10,7,38,0,10,4,18,11,0,95,81,11,324,0,68,8,74,58,4,629,37,17,19,0,35,64,25,19,0,214,198,27,90,14,67,885,34,149,9,1481,177,6,118,316,29,130,32,232,5,1037,35,10,13,3,65,11,144,10,0,283,15,32,15,4,12,16,0,9,3,116,45,72,3,0,157,14,0,0,0,297,14,8,3,3,25,67,3,3,0,134,60,369,68,3,176,14,0,9,8,693,24,24,26,38,56,3,3,179,3,360,71,152,44,142,132,3,50,53,21,661,208,1557,143,250,430,9,3,75,15,2681,79,689,71,640,243,11,16,95,9,1863,15,24,12,23,10,0,0,12,0,91,29,33,204,43,74,10,3,38,0,432,43,23,52,23,34,26,20,65,80,367,Armidale Regional (A)
10250,418,22,45,3,26,17,27,261,7,819,9,3,13,0,4,0,29,3,0,55,132,27,216,14,76,68,50,126,7,718,6,17,40,0,16,3,22,16,3,124,144,32,575,0,119,22,123,167,8,1190,83,11,21,0,33,48,41,37,0,268,282,48,130,20,77,1124,43,154,8,1883,259,12,193,381,63,124,21,295,10,1356,53,6,13,18,98,23,244,9,0,460,22,33,28,0,17,10,0,4,0,125,36,94,0,3,130,11,0,3,10,288,27,21,10,3,57,152,13,9,3,293,49,442,81,3,210,10,0,13,8,823,29,30,22,44,58,4,11,191,3,405,76,183,79,116,162,0,36,88,6,753,82,970,28,255,144,9,0,24,8,1515,122,881,91,944,293,12,19,152,17,2538,34,58,30,31,19,5,0,21,0,191,29,35,275,95,58,9,9,26,0,527,67,55,87,36,59,39,37,86,116,586,Ballina (A)
10300,120,3,14,0,8,0,13,59,5,222,0,0,0,0,0,0,0,0,0,3,4,0,14,3,0,0,0,4,0,24,0,0,3,0,3,0,3,3,0,17,4,0,7,0,3,0,12,6,0,40,6,0,3,0,0,0,0,0,0,11,6,0,7,0,9,22,3,11,0,58,24,0,10,14,7,0,0,18,0,78,0,0,0,0,7,0,27,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,4,13,3,9,0,13,7,0,6,12,0,59,3,33,3,14,7,0,0,3,0,63,5,20,0,35,5,0,0,10,0,75,0,0,3,0,0,0,0,0,0,5,3,3,14,0,0,0,0,0,0,22,0,3,6,0,6,0,4,9,10,44,Balranald (A)
10470,378,28,39,3,30,11,27,113,8,640,4,8,19,0,5,0,12,3,0,50,195,78,313,33,105,76,137,384,10,1326,25,32,58,0,35,5,35,7,4,200,188,30,632,4,136,28,124,187,6,1335,64,15,13,3,29,85,54,22,5,292,275,52,128,16,108,1165,37,194,9,1986,216,12,174,402,51,186,16,288,15,1365,62,14,34,6,137,26,280,17,3,575,31,59,25,9,74,63,0,3,3,266,27,58,7,3,125,30,0,0,6,254,29,23,11,0,45,81,11,23,7,234,50,351,97,0,189,7,12,13,6,722,32,34,38,37,78,4,14,285,3,514,139,345,108,476,277,8,57,76,22,1507,175,1226,88,309,309,12,6,78,21,2218,106,861,69,919,287,10,20,114,10,2396,36,36,23,76,19,11,0,25,3,242,69,34,309,104,71,14,19,77,3,691,55,42,117,36,72,49,53,76,139,629,Bathurst Regional (A)
10550,524,19,31,12,25,9,45,182,5,853,0,0,3,0,0,0,3,3,0,10,91,44,217,16,81,49,96,420,18,1042,12,7,34,0,19,0,31,3,0,112,91,9,376,0,77,9,103,109,7,781,35,11,25,3,26,76,34,20,0,231,270,28,104,12,72,845,22,145,9,1506,242,12,225,336,63,171,11,308,14,1371,41,20,13,3,93,20,165,17,10,390,8,38,17,0,14,22,3,4,0,105,18,35,0,3,95,3,0,0,3,168,14,6,3,4,26,107,3,3,0,171,22,237,53,4,160,4,0,13,3,506,17,31,39,39,54,6,14,135,3,350,56,107,51,119,148,3,40,46,12,598,57,555,14,175,77,7,0,32,3,925,59,707,55,640,222,4,11,76,7,1784,35,42,29,38,19,3,12,17,0,199,27,21,253,44,30,12,5,18,3,419,54,24,70,23,42,29,44,68,81,428,Bega Valley (A)
10600,213,3,10,0,11,4,15,80,4,340,0,0,0,0,0,0,4,0,0,7,28,13,69,7,26,13,45,92,3,295,4,3,5,0,0,0,10,4,3,21,40,16,108,3,26,4,59,45,3,307,18,0,5,0,4,9,5,5,0,54,62,11,38,3,16,184,5,34,3,362,82,3,62,121,10,11,0,63,3,356,8,0,7,3,28,8,52,3,0,107,7,10,5,0,3,0,4,0,0,26,5,14,0,0,21,3,0,0,6,41,3,3,0,0,10,40,3,3,0,61,13,86,15,0,37,0,0,0,0,154,7,11,13,10,9,4,3,34,0,93,21,46,14,17,31,0,22,28,4,179,28,202,4,65,34,0,0,6,0,347,28,199,17,200,63,0,0,28,3,539,10,20,5,6,0,0,0,4,3,51,7,10,72,7,21,3,0,6,0,127,19,15,17,15,15,17,11,26,27,160,Bellingen (A)
10650,376,13,26,0,26,5,25,105,3,573,0,0,0,0,0,0,3,0,0,3,22,6,40,3,11,5,12,24,0,120,7,3,4,0,3,0,14,3,0,34,21,8,51,0,19,3,33,13,0,145,7,11,18,0,14,25,6,10,0,96,42,7,11,0,17,128,11,13,0,228,82,0,58,82,14,3,0,59,4,313,28,4,14,0,30,3,92,3,0,178,0,5,7,0,0,0,0,0,0,16,0,0,0,0,10,0,0,0,0,11,0,0,0,0,5,11,0,0,0,16,5,22,4,0,28,0,0,3,0,61,3,0,4,5,8,0,3,28,0,59,13,9,9,16,13,0,9,12,0,90,18,107,3,48,17,0,0,10,0,207,11,85,11,141,31,0,0,24,0,311,0,5,12,10,0,0,0,7,0,34,3,4,57,14,12,0,0,7,0,108,12,4,19,0,11,8,17,22,19,118,Berrigan (A)
10750,137,13,16,0,41,15,60,68,3,351,29,28,28,0,27,4,31,3,0,156,1828,927,2080,51,1341,498,1923,1986,125,10760,378,442,531,3,437,46,380,130,31,2385,1172,440,3624,18,1245,239,962,1607,105,9409,1270,753,507,12,1412,733,1672,394,79,6828,1728,583,631,103,1057,5872,1824,1014,88,12890,846,37,518,1257,127,1425,118,1369,42,5734,800,210,259,62,2028,229,6638,640,124,10987,109,164,227,6,137,135,26,32,7,850,120,284,39,25,593,48,50,40,16,1210,172,79,91,17,257,534,84,76,18,1335,422,1367,405,12,636,66,87,90,38,3128,251,274,171,186,386,65,519,1226,37,3124,318,856,347,1509,977,32,165,355,80,4643,632,5844,190,1458,848,10,82,186,40,9295,486,3760,299,3758,1293,80,139,664,99,10586,186,138,98,261,120,77,13,42,14,947,347,321,1935,453,473,102,91,290,49,4067,711,496,868,202,832,407,1181,899,1096,6697,Blacktown (C)
10800,526,7,36,0,20,4,33,114,7,748,15,36,86,6,10,0,142,9,0,311,3,0,28,0,7,8,21,17,0,89,0,0,6,0,0,0,3,0,0,9,14,0,33,0,17,0,21,25,0,106,7,3,3,0,9,11,3,0,0,35,26,0,18,0,11,107,3,28,0,198,44,0,22,50,3,0,0,28,0,154,19,0,3,0,16,0,53,6,0,104,0,5,0,0,3,0,0,0,0,10,0,3,0,0,14,3,0,0,0,17,0,0,0,0,8,5,7,0,0,24,0,22,9,0,24,0,3,0,0,65,0,3,3,0,8,0,0,21,0,35,11,13,9,19,29,0,27,18,4,123,16,113,3,27,18,0,3,9,0,190,12,61,8,69,15,0,0,8,3,164,0,3,0,0,0,0,0,0,0,4,0,3,63,9,20,7,0,4,0,103,16,0,13,3,8,0,4,16,37,107,Bland (A)
