lga_code16,pro_650_799_a_25_34,pro_650_799_a_35_44,pro_650_799_a_45_54,pro_650_799_a_55_64,pro_650_799_a_65_74,pro_650_799_a_75ov,pro_650_799_tot,pro_800_999_a_15_19,pro_800_999_a_20_24,pro_800_999_a_25_34,pro_800_999_a_35_44,pro_800_999_a_45_54,pro_800_999_a_55_64,pro_800_999_a_65_74,pro_800_999_a_75ov,pro_800_999_tot,pro_1000_1249_a_15_19,pro_1000_1249_a_20_24,pro_1000_1249_a_25_34,pro_1000_1249_a_35_44,pro_1000_1249_a_45_54,pro_1000_1249_a_55_64,pro_1000_1249_a_65_74,pro_1000_1249_a_75ov,pro_1000_1249_tot,pro_1250_1499_a_15_19,pro_1250_1499_a_20_24,pro_1250_1499_a_25_34,pro_1250_1499_a_35_44,pro_1250_1499_a_45_54,pro_1250_1499_a_55_64,pro_1250_1499_a_65_74,pro_1250_1499_a_75ov,pro_1250_1499_tot,pro_1500_1749_a_15_19,pro_1500_1749_a_20_24,pro_1500_1749_a_25_34,pro_1500_1749_a_35_44,pro_1500_1749_a_45_54,pro_1500_1749_a_55_64,pro_1500_1749_a_65_74,pro_1500_1749_a_75ov,pro_1500_1749_tot,pro_1750_1999_a_15_19,pro_1750_1999_a_20_24,pro_1750_1999_a_25_34,pro_1750_1999_a_35_44,pro_1750_1999_a_45_54,pro_1750_1999_a_55_64,pro_1750_1999_a_65_74,pro_1750_1999_a_75ov,pro_1750_1999_tot,pro_2000_2999_a_15_19,pro_2000_2999_a_20_24,pro_2000_2999_a_25_34,pro_2000_2999_a_35_44,pro_2000_2999_a_45_54,pro_2000_2999_a_55_64,pro_2000_2999_a_65_74,pro_2000_2999_a_75ov,pro_2000_2999_tot,pro_3000mo_a_15_19,pro_3000mo_a_20_24,pro_3000mo_a_25_34,pro_3000mo_a_35_44,pro_3000mo_a_45_54,pro_3000mo_a_55_64,pro_3000mo_a_65_74,pro_3000mo_a_75ov,pro_3000mo_tot,pro_pins_a_15_19,pro_pins_a_20_24,pro_pins_a_25_34,pro_pins_a_35_44,pro_pins_a_45_54,pro_pins_a_55_64,pro_pins_a_65_74,pro_pins_a_75ov,pro_pins_tot,pro_tot_a_15_19,pro_tot_a_20_24,pro_tot_a_25_34,pro_tot_a_35_44,pro_tot_a_45_54,pro_tot_a_55_64,pro_tot_a_65_74,pro_tot_a_75ov,pro_tot_tot,tatw_nni_a_15_19,tatw_nni_a_20_24,tatw_nni_a_25_34,tatw_nni_a_35_44,tatw_nni_a_45_54,tatw_nni_a_55_64,tatw_nni_a_65_74,tatw_nni_a_75ov,tatw_nni_tot,tatw_1_149_a_15_19,tatw_1_149_a_20_24,tatw_1_149_a_25_34,tatw_1_149_a_35_44,tatw_1_149_a_45_54,tatw_1_149_a_55_64,tatw_1_149_a_65_74,tatw_1_149_a_75ov,tatw_1_149_tot,tatw_150_299_a_15_19,tatw_150_299_a_20_24,tatw_150_299_a_25_34,tatw_150_299_a_35_44,tatw_150_299_a_45_54,tatw_150_299_a_55_64,tatw_150_299_a_65_74,tatw_150_299_a_75ov,tatw_150_299_tot,tatw_300_399_a_15_19,tatw_300_399_a_20_24,tatw_300_399_a_25_34,tatw_300_399_a_35_44,tatw_300_399_a_45_54,tatw_300_399_a_55_64,tatw_300_399_a_65_74,tatw_300_399_a_75ov,tatw_300_399_tot,tatw_400_499_a_15_19,tatw_400_499_a_20_24,tatw_400_499_a_25_34,tatw_400_499_a_35_44,tatw_400_499_a_45_54,tatw_400_499_a_55_64,tatw_400_499_a_65_74,tatw_400_499_a_75ov,tatw_400_499_tot,tatw_500_649_a_15_19,tatw_500_649_a_20_24,tatw_500_649_a_25_34,tatw_500_649_a_35_44,tatw_500_649_a_45_54,tatw_500_649_a_55_64,tatw_500_649_a_65_74,tatw_500_649_a_75ov,tatw_500_649_tot,tatw_650_799_a_15_19,tatw_650_799_a_20_24,tatw_650_799_a_25_34,tatw_650_799_a_35_44,tatw_650_799_a_45_54,tatw_650_799_a_55_64,tatw_650_799_a_65_74,tatw_650_799_a_75ov,tatw_650_799_tot,tatw_800_999_a_15_19,tatw_800_999_a_20_24,tatw_800_999_a_25_34,tatw_800_999_a_35_44,tatw_800_999_a_45_54,tatw_800_999_a_55_64,tatw_800_999_a_65_74,tatw_800_999_a_75ov,tatw_800_999_tot,tatw_1000_1249_a_15_19,tatw_1000_1249_a_20_24,tatw_1000_1249_a_25_34,tatw_1000_1249_a_35_44,tatw_1000_1249_a_45_54,tatw_1000_1249_a_55_64,tatw_1000_1249_a_65_74,tatw_1000_1249_a_75ov,tatw_1000_1249_tot,tatw_1250_1499_a_15_19,tatw_1250_1499_a_20_24,tatw_1250_1499_a_25_34,tatw_1250_1499_a_35_44,tatw_1250_1499_a_45_54,tatw_1250_1499_a_55_64,tatw_1250_1499_a_65_74,tatw_1250_1499_a_75ov,tatw_1250_1499_tot,tatw_1500_1749_a_15_19,tatw_1500_1749_a_20_24,tatw_1500_1749_a_25_34,tatw_1500_1749_a_35_44,tatw_1500_1749_a_45_54,tatw_1500_1749_a_55_64,tatw_1500_1749_a_65_74,tatw_1500_1749_a_75ov,tatw_1500_1749_tot,tatw_1750_1999_a_15_19,tatw_1750_1999_a_20_24,tatw_1750_1999_a_25_34,tatw_1750_1999_a_35_44,tatw_1750_1999_a_45_54,tatw_1750_1999_a_55_64,tatw_1750_1999_a_65_74,tatw_1750_1999_a_75ov,tatw_1750_1999_tot,tatw_2000_2999_a_15_19,tatw_2000_2999_a_20_24,tatw_2000_2999_a_25_34,tatw_2000_2999_a_35_44,lga_name16
10050,99,69,61,57,22,3,343,0,57,167,119,82,89,16,4,535,0,74,228,170,145,110,17,0,739,0,32,244,175,147,128,27,0,754,0,7,153,161,195,137,20,3,666,0,0,95,135,153,101,24,0,513,0,0,89,149,169,124,16,3,548,0,0,21,73,78,75,20,0,261,0,4,13,16,19,5,3,0,56,45,251,1199,1179,1136,920,198,20,4947,0,3,0,0,3,3,0,0,11,8,0,3,6,4,4,3,0,28,5,8,5,7,6,3,0,0,44,18,23,16,19,12,12,12,3,113,81,57,36,11,29,12,15,0,231,61,82,62,33,47,39,12,0,334,16,137,112,89,61,45,17,0,485,3,103,193,107,103,79,11,0,601,3,53,225,116,122,70,7,0,593,0,21,99,99,74,40,6,0,343,0,7,61,57,46,38,0,0,209,0,3,31,32,33,22,0,0,123,0,3,22,25,Albury (C)
10130,37,44,39,35,15,0,201,0,21,73,53,58,43,11,0,260,0,27,103,88,85,70,13,3,390,0,8,115,76,83,63,8,0,359,0,3,103,107,122,75,13,0,427,0,0,53,106,126,83,14,0,382,0,0,43,111,177,144,32,0,503,0,0,9,42,50,58,17,0,177,0,4,4,5,8,11,5,0,31,18,146,603,718,831,644,166,12,3139,0,0,0,0,0,0,0,0,9,21,0,5,0,4,5,0,0,32,12,3,4,5,3,5,5,0,43,10,9,12,13,11,4,3,3,62,32,11,15,10,11,24,4,0,107,17,28,23,17,17,22,5,0,134,14,49,71,39,32,40,5,0,257,3,29,72,43,50,45,0,0,251,0,13,68,47,55,40,3,0,223,0,3,34,30,24,23,3,0,122,0,3,12,24,23,28,4,0,95,0,0,16,10,9,5,0,0,45,0,0,6,8,Armidale Regional (A)
10250,31,73,66,56,20,4,256,0,9,59,74,72,77,14,0,305,0,9,75,99,90,85,15,0,373,0,8,58,103,72,65,11,0,321,0,0,44,84,112,94,20,3,358,0,0,30,96,116,107,11,4,362,0,0,28,96,87,75,14,0,303,0,0,8,33,64,37,18,3,157,0,0,5,8,8,5,3,0,32,9,61,417,770,789,713,184,21,2967,0,0,3,3,7,5,0,0,17,9,0,3,6,6,5,4,0,32,13,7,7,11,14,8,0,0,52,30,7,19,17,17,14,9,3,109,30,26,17,17,18,21,4,0,131,25,48,32,53,33,38,7,0,246,6,60,63,53,56,50,16,0,298,0,37,100,79,98,55,9,0,378,0,23,81,85,77,43,12,0,315,0,7,46,47,36,36,3,0,175,0,4,15,34,29,15,0,0,98,0,0,9,16,9,16,0,0,58,0,0,7,10,Ballina (A)
10300,0,4,0,5,0,0,10,0,0,3,0,4,3,0,0,6,0,0,0,3,0,3,3,0,8,0,0,0,6,3,3,0,0,21,0,0,0,3,0,4,0,0,7,0,0,0,0,4,0,0,0,9,0,0,0,3,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,24,14,26,3,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,4,6,0,0,0,3,0,0,10,0,0,3,3,3,3,0,0,12,0,4,0,0,3,10,0,0,18,0,3,3,0,5,0,4,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,Balranald (A)
10470,58,48,40,37,13,5,225,0,22,89,77,63,53,16,0,319,0,37,129,88,87,73,13,3,424,0,18,145,93,86,74,7,0,434,0,7,98,101,131,106,11,0,457,0,3,61,144,128,117,12,0,468,0,0,45,115,142,116,22,3,439,0,0,13,38,50,37,13,0,156,4,0,3,9,4,3,0,0,21,30,162,731,776,788,693,136,19,3344,0,0,0,0,3,3,0,0,11,5,3,3,0,4,4,0,0,23,7,9,3,17,9,11,0,0,60,12,11,16,17,17,11,6,4,88,55,35,12,13,20,10,3,4,149,42,49,51,36,34,17,7,0,242,11,66,84,52,45,35,15,3,305,3,72,129,58,54,42,11,0,364,0,45,127,80,58,41,7,0,365,0,11,76,47,51,30,5,0,224,0,12,37,55,40,34,0,0,176,0,5,37,31,33,19,0,0,122,0,0,36,36,Bathurst Regional (A)
10550,18,35,52,33,11,3,164,0,11,38,49,41,55,12,0,207,0,14,64,43,67,70,18,3,271,0,5,34,58,61,70,9,0,236,0,3,37,54,75,70,6,0,252,0,0,27,46,76,62,9,3,219,0,0,11,42,55,42,11,5,170,0,0,4,14,26,29,7,0,87,0,0,4,0,11,7,0,0,20,6,50,272,416,546,542,122,14,1958,0,0,0,0,5,4,0,0,6,12,0,7,7,8,4,0,0,32,9,7,11,7,19,24,3,0,77,21,10,10,16,17,25,4,0,106,36,17,12,19,26,35,5,0,146,16,34,33,16,31,33,7,3,173,11,38,61,34,40,34,5,0,227,3,27,60,61,67,53,9,0,269,0,21,49,51,61,37,3,0,223,0,7,33,24,37,31,0,0,132,0,3,12,22,29,16,3,0,85,0,6,8,8,11,15,3,0,55,0,3,16,9,Bega Valley (A)
10600,0,17,19,13,6,0,66,0,0,9,13,31,16,3,0,75,0,3,7,19,27,21,4,0,81,0,0,12,24,19,23,7,0,79,0,0,13,20,18,20,0,0,71,0,0,3,16,23,22,0,0,70,0,0,9,16,19,6,0,0,56,0,0,3,12,8,9,5,0,34,0,0,0,0,0,3,0,0,13,0,8,77,168,184,179,44,0,668,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,7,0,0,5,0,3,10,3,0,25,4,3,3,7,4,3,0,0,32,16,4,3,6,8,3,4,0,47,5,7,8,8,13,8,3,0,60,3,10,26,12,23,7,8,0,82,0,3,16,21,17,9,3,0,66,0,0,6,6,13,15,3,0,45,0,0,11,14,7,5,0,0,38,0,0,5,6,3,0,0,0,17,0,0,5,3,0,0,0,0,14,0,0,5,3,Bellingen (A)
10650,0,12,8,10,0,0,24,0,0,12,0,3,6,0,0,23,0,3,10,9,10,5,5,0,47,0,0,12,5,10,14,4,0,38,0,0,11,3,15,5,0,0,37,0,0,7,9,8,8,0,0,31,0,0,3,11,3,6,0,0,25,0,0,0,0,3,0,3,0,6,0,0,3,0,3,0,0,0,9,0,9,67,61,67,73,18,5,299,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,3,0,0,0,0,11,6,6,0,3,3,3,0,0,22,8,3,3,3,3,5,0,0,29,7,11,4,10,5,10,6,0,54,0,3,7,8,13,12,0,0,50,0,8,12,14,13,14,0,0,64,0,3,12,13,5,5,7,0,43,0,0,3,7,5,3,0,0,17,0,5,6,8,3,7,0,0,25,0,0,3,0,4,0,0,0,7,0,0,0,3,Berrigan (A)
10750,299,241,159,108,40,4,956,9,185,488,344,243,170,53,6,1488,0,269,888,567,362,266,69,10,2424,0,159,1041,573,385,258,55,0,2476,0,37,768,643,507,417,77,9,2461,0,10,410,669,601,457,62,3,2216,0,4,394,700,578,393,70,10,2141,0,0,79,246,228,161,60,8,774,5,19,43,51,40,19,10,3,190,131,1075,4856,4472,3370,2474,598,53,17027,8,7,18,17,15,4,3,0,74,32,9,11,17,15,12,3,0,98,58,41,36,35,43,34,12,0,254,119,66,56,50,69,56,16,0,431,201,115,91,89,81,65,17,3,663,164,239,180,150,124,107,31,0,1003,72,292,356,243,238,148,40,5,1381,41,296,566,359,362,256,46,5,1936,13,219,695,577,464,327,61,0,2355,3,94,424,427,389,210,45,0,1584,0,56,314,320,300,143,33,0,1164,0,25,200,212,183,116,19,0,760,0,13,201,245,Blacktown (C)
10800,4,0,4,3,0,0,14,0,3,16,7,3,0,0,0,28,0,4,13,16,8,3,0,0,38,0,0,10,10,0,0,0,0,30,0,3,9,5,11,6,4,0,33,0,0,8,4,6,4,0,0,17,0,0,10,10,7,8,0,0,35,0,0,11,3,8,6,0,0,25,0,0,0,0,0,0,0,0,0,4,16,84,67,52,42,10,3,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,8,8,0,3,0,0,8,0,0,20,7,5,0,3,6,3,0,0,30,6,8,6,0,4,10,0,0,38,0,5,9,8,12,6,0,0,38,0,13,13,11,10,0,0,0,44,0,5,8,7,3,4,7,0,39,0,3,14,4,8,7,0,0,35,0,0,4,5,5,3,0,0,19,0,6,0,9,3,3,0,0,22,0,0,12,16,Bland (A)
