lga_code16,oidns_500_649_a_35_44,oidns_500_649_a_45_54,oidns_500_649_a_55_64,oidns_500_649_a_65_74,oidns_500_649_a_75ov,oidns_500_649_t,oidns_650_799_a_15_19,oidns_650_799_a_20_24,oidns_650_799_a_25_34,oidns_650_799_a_35_44,oidns_650_799_a_45_54,oidns_650_799_a_55_64,oidns_650_799_a_65_74,oidns_650_799_a_75ov,oidns_650_799_t,oidns_800_999_a_15_19,oidns_800_999_a_20_24,oidns_800_999_a_25_34,oidns_800_999_a_35_44,oidns_800_999_a_45_54,oidns_800_999_a_55_64,oidns_800_999_a_65_74,oidns_800_999_a_75ov,oidns_800_999_t,oidns_1000_1249_a_15_19,oidns_1000_1249_a_20_24,oidns_1000_1249_a_25_34,oidns_1000_1249_a_35_44,oidns_1000_1249_a_45_54,oidns_1000_1249_a_55_64,oidns_1000_1249_a_65_74,oidns_1000_1249_a_75ov,oidns_1000_1249_t,oidns_1250_1499_a_15_19,oidns_1250_1499_a_20_24,oidns_1250_1499_a_25_34,oidns_1250_1499_a_35_44,oidns_1250_1499_a_45_54,oidns_1250_1499_a_55_64,oidns_1250_1499_a_65_74,oidns_1250_1499_a_75ov,oidns_1250_1499_t,oidns_1500_1749_a_15_19,oidns_1500_1749_a_20_24,oidns_1500_1749_a_25_34,oidns_1500_1749_a_35_44,oidns_1500_1749_a_45_54,oidns_1500_1749_a_55_64,oidns_1500_1749_a_65_74,oidns_1500_1749_a_75ov,oidns_1500_1749_t,oidns_1750_1999_a_15_19,oidns_1750_1999_a_20_24,oidns_1750_1999_a_25_34,oidns_1750_1999_a_35_44,oidns_1750_1999_a_45_54,oidns_1750_1999_a_55_64,oidns_1750_1999_a_65_74,oidns_1750_1999_a_75ov,oidns_1750_1999_t,oidns_2000_2999_a_15_19,oidns_2000_2999_a_20_24,oidns_2000_2999_a_25_34,oidns_2000_2999_a_35_44,oidns_2000_2999_a_45_54,oidns_2000_2999_a_55_64,oidns_2000_2999_a_65_74,oidns_2000_2999_a_75ov,oidns_2000_2999_t,oidns_3000mo_a_15_19,oidns_3000mo_a_20_24,oidns_3000mo_a_25_34,oidns_3000mo_a_35_44,oidns_3000mo_a_45_54,oidns_3000mo_a_55_64,oidns_3000mo_a_65_74,oidns_3000mo_a_75ov,oidns_3000mo_t,oidns_pins_a_15_19,oidns_pins_a_20_24,oidns_pins_a_25_34,oidns_pins_a_35_44,oidns_pins_a_45_54,oidns_pins_a_55_64,oidns_pins_a_65_74,oidns_pins_a_75ov,oidns_pins_t,oidns_tot_a_15_19,oidns_tot_a_20_24,oidns_tot_a_25_34,oidns_tot_a_35_44,oidns_tot_a_45_54,oidns_tot_a_55_64,oidns_tot_a_65_74,oidns_tot_a_75ov,oidns_tot_tot,tot_nni_a_15_19,tot_nni_a_20_24,tot_nni_a_25_34,tot_nni_a_35_44,tot_nni_a_45_54,tot_nni_a_55_64,tot_nni_a_65_74,tot_nni_a_75ov,tot_nni_tot,tot_1_149_a_15_19,tot_1_149_a_20_24,tot_1_149_a_25_34,tot_1_149_a_35_44,tot_1_149_a_45_54,tot_1_149_a_55_64,tot_1_149_a_65_74,tot_1_149_a_75ov,tot_1_149_tot,tot_150_299_a_15_19,tot_150_299_a_20_24,tot_150_299_a_25_34,tot_150_299_a_35_44,tot_150_299_a_45_54,tot_150_299_a_55_64,tot_150_299_a_65_74,tot_150_299_a_75ov,tot_150_299_tot,tot_300_399_a_15_19,tot_300_399_a_20_24,tot_300_399_a_25_34,tot_300_399_a_35_44,tot_300_399_a_45_54,tot_300_399_a_55_64,tot_300_399_a_65_74,tot_300_399_a_75ov,tot_300_399_tot,tot_400_499_a_15_19,tot_400_499_a_20_24,tot_400_499_a_25_34,tot_400_499_a_35_44,tot_400_499_a_45_54,tot_400_499_a_55_64,tot_400_499_a_65_74,tot_400_499_a_75ov,tot_400_499_tot,tot_500_649_a_15_19,tot_500_649_a_20_24,tot_500_649_a_25_34,tot_500_649_a_35_44,tot_500_649_a_45_54,tot_500_649_a_55_64,tot_500_649_a_65_74,tot_500_649_a_75ov,tot_500_649_tot,tot_650_799_a_15_19,tot_650_799_a_20_24,tot_650_799_a_25_34,tot_650_799_a_35_44,tot_650_799_a_45_54,tot_650_799_a_55_64,tot_650_799_a_65_74,tot_650_799_a_75ov,tot_650_799_tot,tot_800_999_a_15_19,tot_800_999_a_20_24,tot_800_999_a_25_34,tot_800_999_a_35_44,tot_800_999_a_45_54,tot_800_999_a_55_64,tot_800_999_a_65_74,tot_800_999_a_75ov,tot_800_999_tot,tot_1000_1249_a_15_19,tot_1000_1249_a_20_24,tot_1000_1249_a_25_34,tot_1000_1249_a_35_44,tot_1000_1249_a_45_54,tot_1000_1249_a_55_64,tot_1000_1249_a_65_74,tot_1000_1249_a_75ov,tot_1000_1249_tot,tot_1250_1499_a_15_19,tot_1250_1499_a_20_24,tot_1250_1499_a_25_34,tot_1250_1499_a_35_44,tot_1250_1499_a_45_54,tot_1250_1499_a_55_64,tot_1250_1499_a_65_74,tot_1250_1499_a_75ov,tot_1250_1499_tot,tot_1500_1749_a_15_19,tot_1500_1749_a_20_24,tot_1500_1749_a_25_34,tot_1500_1749_a_35_44,tot_1500_1749_a_45_54,tot_1500_1749_a_55_64,tot_1500_1749_a_65_74,tot_1500_1749_a_75ov,tot_1500_1749_tot,tot_1750_1999_a_15_19,tot_1750_1999_a_20_24,tot_1750_1999_a_25_34,tot_1750_1999_a_35_44,tot_1750_1999_a_45_54,lga_name16
10050,8,6,3,5,0,31,0,14,9,3,3,0,3,0,37,0,5,11,4,20,7,3,0,46,0,0,10,4,13,4,0,0,35,0,0,5,10,3,7,3,0,30,0,0,3,9,11,4,0,0,27,0,0,0,10,7,3,0,0,20,0,0,0,5,8,3,0,0,21,0,0,0,0,4,0,0,0,4,7,9,6,6,14,11,4,3,60,23,45,55,76,91,49,28,11,379,37,11,22,25,23,25,8,3,148,789,50,34,50,44,34,26,3,1033,278,206,124,96,109,109,37,7,965,146,212,190,170,156,180,69,8,1134,172,270,297,213,248,243,87,5,1534,164,399,480,423,441,408,130,13,2457,68,513,739,588,628,491,136,13,3164,23,389,916,737,818,602,104,14,3599,4,202,855,757,782,590,85,6,3284,0,77,550,592,583,416,75,5,2294,0,26,330,453,531,347,42,3,1718,0,5,184,322,377,Albury (C)
10130,0,3,3,6,3,16,0,3,3,4,3,3,0,0,19,0,0,3,3,5,5,0,0,16,0,0,0,0,4,3,3,0,20,0,0,0,0,0,3,0,0,10,0,0,0,3,8,0,0,0,10,0,0,0,3,0,0,3,0,6,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,3,0,6,3,3,3,3,0,3,25,15,17,28,26,30,31,21,8,179,27,4,11,16,22,27,24,3,134,362,72,42,19,28,28,6,5,568,172,164,71,68,78,77,27,6,665,92,164,106,83,94,78,62,17,691,85,164,146,138,127,132,80,14,889,76,214,258,218,228,214,74,23,1307,44,241,401,289,326,276,92,13,1689,17,150,368,321,363,296,62,3,1591,4,85,366,343,397,301,70,16,1570,0,31,244,209,276,192,32,8,994,0,14,161,207,288,198,38,9,921,0,4,97,163,196,Armidale Regional (A)
10250,8,0,7,3,0,31,0,0,7,8,5,8,0,0,24,0,0,3,5,4,7,0,0,22,0,0,3,5,6,0,0,0,19,0,0,0,3,4,3,0,0,8,0,0,0,0,3,3,0,0,10,0,0,0,0,0,5,0,0,6,0,0,0,0,3,0,0,0,12,0,0,0,4,0,0,0,0,8,0,3,0,13,6,3,4,3,27,14,11,21,49,43,46,22,18,216,17,0,13,26,32,26,8,3,126,493,35,17,32,41,41,13,9,673,142,75,65,62,86,108,38,6,577,104,86,114,118,157,175,57,16,824,101,146,156,179,227,230,91,21,1144,72,205,271,336,400,366,110,8,1784,23,247,383,415,510,452,105,15,2145,9,156,382,427,568,448,96,11,2089,3,63,296,424,471,378,89,18,1745,0,24,189,272,255,230,39,7,1015,0,6,108,201,265,201,48,9,830,0,0,67,175,198,Ballina (A)
10300,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,5,5,5,6,0,0,19,3,3,3,3,5,0,0,0,17,4,0,0,0,3,3,0,0,9,4,3,3,5,13,6,3,0,39,3,5,5,9,8,9,4,0,49,5,6,3,11,11,13,4,3,53,4,12,12,9,14,31,11,0,100,3,7,24,16,29,24,5,0,103,6,8,23,28,27,30,7,3,126,0,9,16,17,18,25,8,0,103,0,3,13,20,18,8,0,0,58,0,0,6,11,12,7,3,0,37,0,0,7,9,9,Balranald (A)
10470,3,3,3,0,0,18,0,0,6,11,4,5,3,0,28,3,3,3,7,5,5,3,0,26,0,0,4,5,5,0,0,0,19,0,0,3,6,6,8,0,0,22,0,0,0,5,3,9,0,0,21,0,0,0,3,0,3,0,0,12,0,0,0,3,8,7,0,0,14,0,0,0,0,0,3,0,0,4,6,7,7,10,7,0,0,0,41,28,20,39,62,47,56,18,12,272,28,13,5,21,25,27,15,0,138,467,99,48,24,19,21,14,5,701,197,185,95,84,74,91,40,5,779,121,181,135,119,106,97,51,20,827,124,196,183,147,158,150,81,16,1053,111,289,329,273,300,251,108,24,1679,48,321,478,381,396,316,82,10,2033,18,263,584,450,527,409,79,22,2347,7,159,564,470,522,367,83,11,2187,3,55,356,347,397,283,56,4,1507,0,24,252,351,388,298,47,3,1370,0,9,148,319,294,Bathurst Regional (A)
10550,3,3,7,0,0,23,0,3,0,6,5,3,0,0,19,0,0,0,3,0,3,3,0,14,0,0,3,4,7,6,0,0,22,0,0,0,0,9,3,0,0,9,0,0,0,7,3,0,0,0,7,0,0,0,3,3,4,0,0,10,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,3,0,19,12,16,10,36,37,46,24,4,189,29,0,4,6,18,32,17,0,111,331,22,21,34,42,61,18,3,525,96,48,70,78,112,148,57,4,617,49,52,67,103,144,192,63,20,700,98,80,95,140,196,236,91,4,945,52,121,185,249,329,339,122,25,1420,36,160,258,275,415,354,79,20,1589,20,112,260,314,460,419,89,6,1676,9,55,254,282,446,362,68,7,1481,0,26,135,202,255,237,41,9,905,0,11,92,139,217,167,27,8,659,0,7,61,110,156,Bega Valley (A)
10600,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,7,6,3,4,11,10,16,5,7,64,4,0,5,7,14,9,3,0,49,98,6,3,8,11,21,5,3,164,25,10,29,32,30,49,27,3,209,7,13,26,29,48,74,24,15,234,21,19,28,50,70,84,26,4,306,17,32,55,81,113,108,35,16,460,3,32,86,77,141,123,34,3,496,0,18,75,82,135,125,21,7,463,0,7,49,70,113,101,24,3,369,0,3,41,63,66,66,20,4,259,0,0,31,40,48,45,11,0,171,0,0,9,32,42,Bellingen (A)
10650,0,0,0,0,3,9,0,0,0,3,6,0,0,0,7,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,4,11,8,9,10,45,9,0,4,14,6,10,5,0,53,56,4,10,9,9,3,4,0,94,6,12,14,14,25,36,16,3,122,9,10,18,30,30,47,20,8,177,19,15,21,30,43,58,28,6,218,17,35,48,59,68,67,53,15,349,13,35,53,60,77,92,27,4,366,8,32,70,64,89,87,20,3,383,0,21,59,73,65,73,31,7,324,0,5,38,33,51,56,8,0,189,0,9,36,24,33,42,3,0,147,0,0,16,17,30,Berrigan (A)
10750,24,31,17,9,3,145,3,27,52,36,44,24,12,0,202,3,30,82,72,56,31,3,0,284,0,13,91,69,69,34,4,0,271,0,8,40,52,50,13,5,3,164,0,6,32,17,47,22,0,0,122,0,0,8,26,20,18,3,0,72,0,0,10,29,20,12,3,0,79,0,0,5,10,6,12,0,0,34,25,38,65,52,59,37,12,4,293,111,207,482,463,462,268,69,28,2095,154,81,112,163,131,71,20,8,740,2328,428,186,192,150,123,41,9,3460,1182,882,534,511,429,358,100,17,4009,595,824,691,666,620,515,165,28,4106,532,883,1000,877,856,651,177,30,5003,469,1293,1657,1602,1576,1037,326,33,7994,304,1705,2836,2464,2409,1669,334,17,11737,181,1695,3878,3401,3301,2257,400,22,15138,63,1098,4433,3895,3572,2370,440,19,15890,8,491,2963,2892,2532,1581,321,8,10800,4,200,2147,2354,2233,1383,218,13,8556,3,79,1156,1799,1673,Blacktown (C)
10800,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,3,0,12,3,0,0,11,11,14,11,3,52,7,0,8,10,15,14,0,0,57,34,8,9,7,6,5,7,3,85,16,11,17,5,16,27,16,3,111,18,15,21,14,13,42,20,7,138,16,25,17,31,42,40,13,8,190,17,25,43,51,60,76,22,7,297,3,31,37,56,61,40,24,9,253,0,27,61,56,74,57,25,8,309,0,24,60,62,63,60,17,11,301,0,8,37,53,39,45,11,3,201,0,4,46,51,43,41,9,7,196,0,9,22,29,23,Bland (A)
