lga_code16,mng_nni_h_0,mng_nni_h_1_15,mng_nni_h_16_24,mng_nni_h_25_34,mng_nni_h_35_39,mng_nni_h_40,mng_nni_h_41_48,mng_nni_h_49mo,mng_nni_h_ns,mng_nni_h_tot,mng_1_149_h_0,mng_1_149_h_1_15,mng_1_149_h_16_24,mng_1_149_h_25_34,mng_1_149_h_35_39,mng_1_149_h_40,mng_1_149_h_41_48,mng_1_149_h_49mo,mng_1_149_h_ns,mng_1_149_h_tot,mng_150_299_h_0,mng_150_299_h_1_15,mng_150_299_h_16_24,mng_150_299_h_25_34,mng_150_299_h_35_39,mng_150_299_h_40,mng_150_299_h_41_48,mng_150_299_h_49mo,mng_150_299_h_ns,mng_150_299_h_tot,mng_300_399_h_0,mng_300_399_h_1_15,mng_300_399_h_16_24,mng_300_399_h_25_34,mng_300_399_h_35_39,mng_300_399_h_40,mng_300_399_h_41_48,mng_300_399_h_49mo,mng_300_399_h_ns,mng_300_399_h_tot,mng_400_499_h_0,mng_400_499_h_1_15,mng_400_499_h_16_24,mng_400_499_h_25_34,mng_400_499_h_35_39,mng_400_499_h_40,mng_400_499_h_41_48,mng_400_499_h_49mo,mng_400_499_h_ns,mng_400_499_h_tot,mng_500_649_h_0,mng_500_649_h_1_15,mng_500_649_h_16_24,mng_500_649_h_25_34,mng_500_649_h_35_39,mng_500_649_h_40,mng_500_649_h_41_48,mng_500_649_h_49mo,mng_500_649_h_ns,mng_500_649_h_tot,mng_650_799_h_0,mng_650_799_h_1_15,mng_650_799_h_16_24,mng_650_799_h_25_34,mng_650_799_h_35_39,mng_650_799_h_40,mng_650_799_h_41_48,mng_650_799_h_49mo,mng_650_799_h_ns,mng_650_799_h_tot,mng_800_999_h_0,mng_800_999_h_1_15,mng_800_999_h_16_24,mng_800_999_h_25_34,mng_800_999_h_35_39,mng_800_999_h_40,mng_800_999_h_41_48,mng_800_999_h_49mo,mng_800_999_h_ns,mng_800_999_h_tot,mng_1000_1249_h_0,mng_1000_1249_h_1_15,mng_1000_1249_h_16_24,mng_1000_1249_h_25_34,mng_1000_1249_h_35_39,mng_1000_1249_h_40,mng_1000_1249_h_41_48,mng_1000_1249_h_49mo,mng_1000_1249_h_ns,mng_1000_1249_h_tot,mng_1250_1499_h_0,mng_1250_1499_h_1_15,mng_1250_1499_h_16_24,mng_1250_1499_h_25_34,mng_1250_1499_h_35_39,mng_1250_1499_h_40,mng_1250_1499_h_41_48,mng_1250_1499_h_49mo,mng_1250_1499_h_ns,mng_1250_1499_h_tot,mng_1500_1749_h_0,mng_1500_1749_h_1_15,mng_1500_1749_h_16_24,mng_1500_1749_h_25_34,mng_1500_1749_h_35_39,mng_1500_1749_h_40,mng_1500_1749_h_41_48,mng_1500_1749_h_49mo,mng_1500_1749_h_ns,mng_1500_1749_h_tot,mng_1750_1999_h_0,mng_1750_1999_h_1_15,mng_1750_1999_h_16_24,mng_1750_1999_h_25_34,mng_1750_1999_h_35_39,mng_1750_1999_h_40,mng_1750_1999_h_41_48,mng_1750_1999_h_49mo,mng_1750_1999_h_ns,mng_1750_1999_h_tot,mng_2000_2999_h_0,mng_2000_2999_h_1_15,mng_2000_2999_h_16_24,mng_2000_2999_h_25_34,mng_2000_2999_h_35_39,mng_2000_2999_h_40,mng_2000_2999_h_41_48,mng_2000_2999_h_49mo,mng_2000_2999_h_ns,mng_2000_2999_h_tot,mng_3000mo_h_0,mng_3000mo_h_1_15,mng_3000mo_h_16_24,mng_3000mo_h_25_34,mng_3000mo_h_35_39,mng_3000mo_h_40,mng_3000mo_h_41_48,mng_3000mo_h_49mo,mng_3000mo_h_ns,mng_3000mo_h_tot,mng_pins_h_0,mng_pins_h_1_15,mng_pins_h_16_24,mng_pins_h_25_34,mng_pins_h_35_39,mng_pins_h_40,mng_pins_h_41_48,mng_pins_h_49mo,mng_pins_h_ns,mng_pins_h_tot,mng_tot_h_0,mng_tot_h_1_15,mng_tot_h_16_24,mng_tot_h_25_34,mng_tot_h_35_39,mng_tot_h_40,mng_tot_h_41_48,mng_tot_h_49mo,mng_tot_h_ns,mng_tot_h_tot,pro_nni_h_0,pro_nni_h_1_15,pro_nni_h_16_24,pro_nni_h_25_34,pro_nni_h_35_39,pro_nni_h_40,pro_nni_h_41_48,pro_nni_h_49mo,pro_nni_h_ns,pro_nni_h_tot,pro_1_149_h_0,pro_1_149_h_1_15,pro_1_149_h_16_24,pro_1_149_h_25_34,pro_1_149_h_35_39,pro_1_149_h_40,pro_1_149_h_41_48,pro_1_149_h_49mo,pro_1_149_h_ns,pro_1_149_h_tot,pro_150_299_h_0,pro_150_299_h_1_15,pro_150_299_h_16_24,pro_150_299_h_25_34,pro_150_299_h_35_39,pro_150_299_h_40,pro_150_299_h_41_48,pro_150_299_h_49mo,pro_150_299_h_ns,pro_150_299_h_tot,pro_300_399_h_0,pro_300_399_h_1_15,pro_300_399_h_16_24,pro_300_399_h_25_34,pro_300_399_h_35_39,pro_300_399_h_40,pro_300_399_h_41_48,pro_300_399_h_49mo,pro_300_399_h_ns,pro_300_399_h_tot,lga_name16
10050,0,4,0,0,0,0,3,9,0,16,0,6,0,0,4,3,0,3,0,25,0,4,4,3,0,3,0,8,0,32,0,12,10,3,9,0,3,17,3,56,0,7,13,11,5,9,5,12,3,53,4,11,12,24,13,14,9,30,0,119,6,14,13,28,55,45,16,37,0,210,7,7,7,25,74,60,43,68,9,302,9,6,15,19,72,92,51,115,0,372,6,8,7,17,41,54,71,81,0,289,8,3,4,8,55,62,47,116,4,311,4,0,12,12,27,45,29,77,3,202,15,3,0,11,57,86,86,152,0,408,3,9,3,4,11,21,22,103,0,177,0,0,0,0,6,3,3,6,0,32,72,84,102,166,415,492,399,832,41,2613,4,6,0,3,0,0,0,7,0,15,0,33,3,0,0,0,0,0,0,43,10,37,3,0,0,7,0,3,0,60,7,31,10,8,8,0,0,0,0,66,Albury (C)
10130,3,3,3,3,4,5,3,37,3,56,0,8,7,0,0,3,0,7,0,30,4,8,3,3,3,3,0,13,0,39,3,5,13,4,0,3,0,39,3,76,0,13,8,9,4,15,13,36,0,100,0,5,9,18,16,19,8,61,3,140,0,14,11,17,47,43,17,69,3,207,5,4,9,8,35,34,33,75,3,209,4,7,10,23,41,50,34,100,3,265,3,0,3,9,33,30,23,49,0,154,7,11,6,7,39,21,14,55,0,161,0,3,3,4,26,22,9,28,0,93,6,3,3,7,40,44,19,111,0,233,0,3,0,5,8,24,7,62,0,115,7,3,5,3,0,6,3,25,4,46,40,86,89,118,288,324,200,757,22,1920,0,3,0,0,0,0,0,3,0,6,3,29,7,0,0,3,0,0,0,42,7,37,7,3,0,4,0,4,0,65,4,33,17,3,3,0,0,3,3,69,Armidale Regional (A)
10250,0,3,0,4,3,3,0,17,0,31,0,4,0,4,3,7,0,11,0,25,0,5,3,8,0,3,0,11,0,36,3,8,7,8,3,8,0,18,0,53,4,15,16,10,8,15,6,30,0,98,0,8,8,29,14,22,11,45,0,134,8,14,16,22,40,32,27,58,3,217,5,6,18,24,60,50,30,63,3,272,8,9,12,23,53,56,34,71,0,280,3,7,5,6,30,37,31,57,0,182,3,4,8,3,33,32,22,56,0,161,4,3,3,6,18,16,13,33,0,101,7,5,10,7,22,37,33,81,0,198,7,4,4,8,14,34,7,57,3,139,0,0,0,0,4,4,5,13,0,27,61,96,126,164,305,353,220,613,17,1962,0,0,3,0,5,0,3,0,4,16,0,26,0,4,0,0,0,0,0,29,3,34,5,5,0,3,0,3,0,52,3,33,20,11,4,9,4,4,0,86,Ballina (A)
10300,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,4,3,15,0,25,0,0,0,0,0,3,0,10,0,18,0,0,3,0,3,12,3,11,0,28,0,0,0,0,8,5,3,14,0,28,0,0,0,0,0,3,4,3,0,17,0,0,0,0,0,3,0,3,0,12,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,3,0,11,0,18,0,0,0,0,0,0,0,13,0,12,0,0,0,0,0,4,0,4,0,12,3,3,11,5,12,29,18,100,3,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Balranald (A)
10470,0,5,3,3,0,4,0,14,0,29,3,7,3,3,0,0,0,9,0,24,0,9,3,4,0,4,3,7,3,37,5,5,6,4,3,13,3,25,0,66,0,3,7,10,3,15,3,26,0,75,7,11,9,16,7,18,7,39,3,122,5,0,10,20,41,38,7,45,3,170,3,7,14,25,46,54,28,65,0,254,4,5,4,26,48,52,49,76,4,271,6,9,3,12,43,37,36,64,0,209,11,9,5,8,33,44,26,83,0,227,5,3,3,0,24,28,19,64,0,156,10,4,4,3,51,64,52,115,0,310,4,4,0,5,5,24,17,90,0,144,0,0,0,5,0,3,3,12,3,34,69,91,89,156,317,399,272,733,20,2136,3,0,0,0,0,0,0,4,0,11,0,14,4,0,0,0,0,0,4,29,4,45,3,0,0,3,0,4,0,57,4,22,17,3,0,0,4,3,3,62,Bathurst Regional (A)
10550,4,3,3,3,3,8,0,21,0,41,4,5,0,0,0,0,3,18,0,33,5,10,3,13,3,9,4,34,3,88,4,9,10,12,4,4,6,21,4,87,8,11,14,19,0,12,3,27,3,89,4,16,16,26,11,20,10,47,0,147,4,10,16,21,25,27,21,46,3,177,9,10,9,23,47,44,18,60,6,228,8,7,3,18,40,42,32,63,8,226,11,7,8,11,25,20,23,52,0,156,0,4,3,9,22,29,23,38,3,123,4,4,3,3,7,12,14,33,0,76,9,6,3,7,16,23,17,51,0,128,3,0,3,3,0,8,9,31,0,58,0,0,3,0,0,3,0,13,6,23,64,111,90,174,212,260,176,547,36,1686,0,4,0,0,0,0,0,0,0,5,0,10,0,3,4,0,0,0,0,11,6,30,9,3,0,0,0,0,0,48,0,17,22,6,0,3,0,0,3,55,Bega Valley (A)
10600,0,4,4,3,0,3,0,15,0,28,0,3,0,0,0,0,0,0,0,7,0,7,3,8,0,7,4,12,0,43,0,5,0,11,6,3,3,6,0,38,0,5,6,8,4,3,0,5,0,40,0,6,8,16,3,4,6,14,0,67,0,0,6,11,13,13,4,16,0,65,5,7,4,9,4,15,4,31,0,71,0,3,3,7,11,14,6,9,0,64,0,0,3,4,8,10,6,23,0,56,3,0,0,0,4,4,0,14,0,32,0,0,0,4,3,8,0,4,0,25,0,0,0,0,7,4,8,18,0,38,3,0,0,0,0,5,0,17,0,24,0,0,0,0,0,0,0,4,3,13,21,48,43,80,66,87,44,195,11,594,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,10,0,3,0,0,0,0,0,18,0,12,10,3,3,0,0,0,0,23,Bellingen (A)
10650,0,3,0,3,0,0,3,13,0,24,0,0,0,0,0,4,0,3,0,10,0,3,3,3,0,0,0,19,0,35,0,0,3,3,0,4,0,24,0,38,0,3,4,4,5,5,4,18,0,38,0,3,0,6,8,3,3,30,8,66,6,0,3,3,3,14,0,31,0,68,3,5,6,3,5,14,6,25,0,70,3,7,6,3,6,12,14,43,0,89,0,0,0,3,3,6,6,33,0,58,4,0,0,3,0,7,3,26,0,39,0,0,0,0,3,3,0,9,0,24,0,0,0,3,0,14,4,27,0,46,0,5,3,0,0,0,3,15,0,29,0,0,0,4,0,3,0,13,0,22,21,34,29,47,36,94,50,331,14,648,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,5,Berrigan (A)
10750,4,11,7,10,6,16,3,23,5,79,3,21,8,4,9,0,0,5,0,52,8,33,28,14,8,14,3,23,0,124,4,26,33,24,23,14,3,28,3,166,3,27,56,42,25,31,8,33,4,239,3,33,69,84,71,75,19,70,4,423,8,30,37,73,187,142,42,101,8,634,18,18,40,70,291,277,106,180,17,1011,34,28,28,74,329,429,157,345,12,1441,25,12,22,47,247,364,183,322,10,1240,30,12,21,44,200,376,220,434,12,1343,18,7,19,31,137,277,161,414,0,1062,53,17,19,36,259,542,389,1078,9,2407,31,19,26,35,78,258,227,872,13,1555,3,3,0,4,19,43,17,45,24,157,248,312,405,573,1879,2861,1533,3984,138,11934,15,24,8,6,3,9,0,9,3,78,16,147,18,12,4,7,0,3,0,206,13,172,54,23,14,13,3,15,3,314,8,125,73,25,13,20,5,20,4,295,Blacktown (C)
10800,5,3,0,4,0,9,4,17,0,42,0,4,0,0,0,0,0,4,4,9,0,0,3,3,0,4,0,10,0,15,3,0,0,4,4,8,0,15,3,36,0,3,3,9,0,7,0,19,3,45,0,9,4,6,4,13,4,38,0,75,3,3,8,5,5,8,4,28,0,57,4,3,3,7,3,12,8,45,4,99,9,0,0,0,3,13,5,52,0,87,0,0,0,0,3,11,3,22,0,47,0,0,0,3,0,5,4,29,0,45,0,0,0,0,0,3,0,18,0,24,0,0,0,3,3,13,5,22,0,48,0,4,3,0,0,8,6,31,0,48,0,0,0,3,0,0,0,18,3,26,29,35,24,50,29,113,49,372,23,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,Bland (A)
