lga_code16,maopd_400_499_h_0,maopd_400_499_h_1_15,maopd_400_499_h_16_24,maopd_400_499_h_25_34,maopd_400_499_h_35_39,maopd_400_499_h_40,maopd_400_499_h_41_48,maopd_400_499_h_49mo,maopd_400_499_h_ns,maopd_400_499_h_tot,maopd_500_649_h_0,maopd_500_649_h_1_15,maopd_500_649_h_16_24,maopd_500_649_h_25_34,maopd_500_649_h_35_39,maopd_500_649_h_40,maopd_500_649_h_41_48,maopd_500_649_h_49mo,maopd_500_649_h_ns,maopd_500_649_h_tot,maopd_650_799_h_0,maopd_650_799_h_1_15,maopd_650_799_h_16_24,maopd_650_799_h_25_34,maopd_650_799_h_35_39,maopd_650_799_h_40,maopd_650_799_h_41_48,maopd_650_799_h_49mo,maopd_650_799_h_ns,maopd_650_799_h_tot,maopd_800_999_h_0,maopd_800_999_h_1_15,maopd_800_999_h_16_24,maopd_800_999_h_25_34,maopd_800_999_h_35_39,maopd_800_999_h_40,maopd_800_999_h_41_48,maopd_800_999_h_49mo,maopd_800_999_h_ns,maopd_800_999_h_tot,maopd_1000_1249_h_0,maopd_1000_1249_h_1_15,maopd_1000_1249_h_16_24,maopd_1000_1249_h_25_34,maopd_1000_1249_h_35_39,maopd_1000_1249_h_40,maopd_1000_1249_h_41_48,maopd_1000_1249_h_49mo,maopd_1000_1249_h_ns,maopd_1000_1249_h_tot,maopd_1250_1499_h_0,maopd_1250_1499_h_1_15,maopd_1250_1499_h_16_24,maopd_1250_1499_h_25_34,maopd_1250_1499_h_35_39,maopd_1250_1499_h_40,maopd_1250_1499_h_41_48,maopd_1250_1499_h_49mo,maopd_1250_1499_h_ns,maopd_1250_1499_h_tot,maopd_1500_1749_h_0,maopd_1500_1749_h_1_15,maopd_1500_1749_h_16_24,maopd_1500_1749_h_25_34,maopd_1500_1749_h_35_39,maopd_1500_1749_h_40,maopd_1500_1749_h_41_48,maopd_1500_1749_h_49mo,maopd_1500_1749_h_ns,maopd_1500_1749_h_tot,maopd_1750_1999_h_0,maopd_1750_1999_h_1_15,maopd_1750_1999_h_16_24,maopd_1750_1999_h_25_34,maopd_1750_1999_h_35_39,maopd_1750_1999_h_40,maopd_1750_1999_h_41_48,maopd_1750_1999_h_49mo,maopd_1750_1999_h_ns,maopd_1750_1999_h_tot,maopd_2000_2999_h_0,maopd_2000_2999_h_1_15,maopd_2000_2999_h_16_24,maopd_2000_2999_h_25_34,maopd_2000_2999_h_35_39,maopd_2000_2999_h_40,maopd_2000_2999_h_41_48,maopd_2000_2999_h_49mo,maopd_2000_2999_h_ns,maopd_2000_2999_h_tot,maopd_3000mo_h_0,maopd_3000mo_h_1_15,maopd_3000mo_h_16_24,maopd_3000mo_h_25_34,maopd_3000mo_h_35_39,maopd_3000mo_h_40,maopd_3000mo_h_41_48,maopd_3000mo_h_49mo,maopd_3000mo_h_ns,maopd_3000mo_h_tot,maopd_pins_h_0,maopd_pins_h_1_15,maopd_pins_h_16_24,maopd_pins_h_25_34,maopd_pins_h_35_39,maopd_pins_h_40,maopd_pins_h_41_48,maopd_pins_h_49mo,maopd_pins_h_ns,maopd_pins_h_tot,maopd_tot_h_0,maopd_tot_h_1_15,maopd_tot_h_16_24,maopd_tot_h_25_34,maopd_tot_h_35_39,maopd_tot_h_40,maopd_tot_h_41_48,maopd_tot_h_49mo,maopd_tot_h_ns,maopd_tot_h_tot,lab_nni_h_0,lab_nni_h_1_15,lab_nni_h_16_24,lab_nni_h_25_34,lab_nni_h_35_39,lab_nni_h_40,lab_nni_h_41_48,lab_nni_h_49mo,lab_nni_h_ns,lab_nni_h_tot,lab_1_149_h_0,lab_1_149_h_1_15,lab_1_149_h_16_24,lab_1_149_h_25_34,lab_1_149_h_35_39,lab_1_149_h_40,lab_1_149_h_41_48,lab_1_149_h_49mo,lab_1_149_h_ns,lab_1_149_h_tot,lab_150_299_h_0,lab_150_299_h_1_15,lab_150_299_h_16_24,lab_150_299_h_25_34,lab_150_299_h_35_39,lab_150_299_h_40,lab_150_299_h_41_48,lab_150_299_h_49mo,lab_150_299_h_ns,lab_150_299_h_tot,lab_300_399_h_0,lab_300_399_h_1_15,lab_300_399_h_16_24,lab_300_399_h_25_34,lab_300_399_h_35_39,lab_300_399_h_40,lab_300_399_h_41_48,lab_300_399_h_49mo,lab_300_399_h_ns,lab_300_399_h_tot,lab_400_499_h_0,lab_400_499_h_1_15,lab_400_499_h_16_24,lab_400_499_h_25_34,lab_400_499_h_35_39,lab_400_499_h_40,lab_400_499_h_41_48,lab_400_499_h_49mo,lab_400_499_h_ns,lab_400_499_h_tot,lab_500_649_h_0,lab_500_649_h_1_15,lab_500_649_h_16_24,lab_500_649_h_25_34,lab_500_649_h_35_39,lab_500_649_h_40,lab_500_649_h_41_48,lab_500_649_h_49mo,lab_500_649_h_ns,lab_500_649_h_tot,lab_650_799_h_0,lab_650_799_h_1_15,lab_650_799_h_16_24,lab_650_799_h_25_34,lab_650_799_h_35_39,lab_650_799_h_40,lab_650_799_h_41_48,lab_650_799_h_49mo,lab_650_799_h_ns,lab_650_799_h_tot,lab_800_999_h_0,lab_800_999_h_1_15,lab_800_999_h_16_24,lab_800_999_h_25_34,lab_800_999_h_35_39,lab_800_999_h_40,lab_800_999_h_41_48,lab_800_999_h_49mo,lab_800_999_h_ns,lab_800_999_h_tot,lga_name16
10050,0,16,15,14,6,3,0,4,3,61,4,10,24,24,17,13,3,12,0,106,11,11,10,27,83,52,18,17,0,228,7,6,10,16,88,74,53,43,8,307,4,4,6,10,54,46,56,66,5,253,6,0,5,4,25,30,37,59,0,157,9,3,0,0,5,9,24,40,3,83,5,0,0,4,6,8,22,19,0,65,7,0,0,0,3,4,6,17,0,36,0,0,0,4,0,3,3,0,0,8,0,0,0,0,7,3,3,6,0,18,56,98,83,107,302,248,219,286,24,1429,4,11,0,3,0,0,0,0,0,19,15,185,14,3,0,0,3,0,10,231,0,115,46,8,4,3,0,3,5,189,9,95,68,17,3,3,0,3,7,202,8,65,69,49,7,9,3,5,3,222,6,33,59,104,52,15,13,14,8,306,13,21,18,77,122,69,17,19,0,361,10,8,11,28,89,87,35,14,4,288,Albury (C)
10130,0,6,6,5,0,0,4,3,0,25,0,10,7,9,10,0,0,4,0,41,3,4,9,12,30,13,13,10,0,97,4,0,3,7,26,30,11,12,3,105,3,3,3,3,23,18,15,23,0,92,0,0,3,3,4,3,5,6,0,27,0,0,0,0,0,4,0,6,0,11,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,4,0,3,3,12,14,60,35,48,101,79,59,81,13,483,3,6,0,0,0,0,0,0,0,17,9,90,11,0,3,3,0,0,3,120,3,81,23,12,3,3,6,4,0,134,11,61,26,16,4,0,0,7,7,130,5,39,50,18,10,3,3,10,3,141,4,34,37,48,78,15,11,3,0,244,8,12,13,34,98,52,16,18,5,254,4,7,8,13,55,45,16,16,7,173,Armidale Regional (A)
10250,4,15,17,5,0,3,0,0,0,44,0,14,10,13,16,4,3,6,3,79,0,5,12,16,49,21,4,4,3,125,3,7,11,17,35,37,19,19,0,149,3,3,7,17,16,30,20,28,3,124,3,0,0,5,9,13,4,23,0,60,3,0,0,0,3,5,4,16,0,31,0,0,0,3,0,0,3,11,0,16,0,0,4,0,3,0,0,9,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,22,77,67,84,146,111,74,121,12,717,0,3,0,3,0,0,0,3,0,11,4,151,9,3,0,4,0,0,6,171,13,72,24,11,0,3,0,0,0,117,3,58,48,21,10,7,0,6,3,147,12,50,70,37,23,12,3,7,3,217,12,40,51,80,49,13,8,14,5,267,7,12,30,72,111,52,24,22,3,325,4,12,12,21,83,50,18,13,3,212,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,3,0,4,0,11,0,0,0,0,4,3,0,0,0,15,0,0,0,0,8,3,0,10,0,21,0,0,0,0,4,0,0,3,0,6,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,7,17,11,3,24,4,81,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,6,3,0,0,0,0,0,0,13,0,4,5,3,3,0,0,0,0,15,0,4,4,4,0,0,0,5,0,13,0,0,0,3,3,3,0,0,0,19,0,0,0,4,6,7,3,6,0,27,0,0,0,3,5,6,3,4,0,23,Balranald (A)
10470,3,7,10,3,3,4,3,3,3,41,0,3,12,21,12,3,3,10,0,69,4,4,3,15,50,35,6,11,0,129,0,4,10,17,56,61,30,20,4,205,0,3,5,6,32,43,32,45,3,162,6,0,0,3,12,24,12,48,0,98,3,0,0,0,5,13,10,34,0,69,0,0,3,0,5,0,3,17,0,32,0,0,3,0,3,3,0,21,0,30,0,0,0,0,0,0,0,3,0,7,0,0,0,3,3,0,0,3,4,22,23,44,56,74,196,192,99,219,20,924,3,16,6,0,0,0,0,0,0,27,7,139,6,3,6,0,0,0,7,169,11,88,26,7,8,3,0,5,4,143,6,57,31,25,8,9,0,6,0,145,7,51,48,23,16,10,3,7,6,173,5,38,56,58,57,19,8,15,0,258,7,24,19,48,117,54,13,20,3,299,11,6,11,23,86,81,29,15,0,259,Bathurst Regional (A)
10550,3,10,18,3,0,0,0,0,0,31,4,9,11,11,4,4,3,8,0,60,9,3,11,21,30,24,3,8,0,102,4,0,6,7,34,39,24,21,7,135,0,3,0,3,30,31,21,36,0,129,0,3,0,0,18,17,16,36,0,89,3,0,0,3,9,3,4,14,0,39,0,0,0,0,0,4,0,15,0,19,0,0,0,0,0,0,9,3,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,6,30,38,53,52,125,126,88,142,13,664,3,8,0,0,3,0,0,3,4,20,15,97,6,0,0,0,0,0,5,128,3,68,19,3,4,3,0,0,0,97,11,58,33,15,4,3,0,0,3,128,9,54,54,24,8,3,4,4,0,161,4,37,48,48,27,13,8,8,3,209,11,18,37,39,49,33,9,17,4,220,10,13,11,33,72,64,22,25,7,253,Bega Valley (A)
10600,0,6,0,4,0,0,0,0,0,10,0,9,3,3,3,0,0,3,0,23,0,3,3,6,12,4,0,4,0,36,0,6,5,7,16,8,6,9,3,57,0,0,4,0,13,9,10,15,0,53,0,0,0,0,4,0,3,10,3,19,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,27,22,23,48,30,23,47,4,240,0,0,0,0,0,0,0,0,0,0,0,42,4,3,0,0,0,0,0,52,0,29,4,0,0,0,0,0,0,43,0,22,9,5,0,3,0,4,0,40,0,12,15,3,3,0,0,3,3,40,6,4,12,16,12,3,7,4,5,71,3,5,4,17,18,4,3,4,0,57,0,0,8,13,9,22,4,0,0,60,Bellingen (A)
10650,0,3,3,0,0,3,0,0,0,6,0,4,5,7,0,3,0,3,0,25,3,0,0,0,11,4,0,0,0,29,0,3,0,3,7,11,8,8,0,43,0,0,3,0,13,17,0,13,3,49,3,0,0,0,4,4,11,10,0,33,3,0,0,0,3,0,0,16,0,18,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,22,25,17,14,40,39,16,51,12,226,0,0,0,0,0,0,0,0,0,3,3,20,0,0,0,0,0,0,0,27,3,13,7,3,0,0,0,3,0,27,3,17,4,7,0,0,0,3,3,37,4,10,12,3,0,0,0,0,3,38,3,8,9,11,9,3,0,3,3,53,3,3,3,16,15,9,3,4,0,59,0,0,0,3,23,24,0,4,3,58,Berrigan (A)
10750,10,64,138,88,57,52,8,30,22,461,27,90,163,182,237,136,48,71,36,994,55,90,169,291,954,506,131,142,49,2382,63,76,127,310,1414,914,344,309,66,3626,74,34,75,198,988,847,442,583,47,3295,42,18,26,77,336,415,298,594,22,1822,30,5,11,32,169,229,189,532,22,1225,25,10,6,13,64,89,95,361,3,663,12,9,0,11,44,49,66,315,5,514,0,3,6,5,13,3,7,67,6,116,3,6,12,21,50,49,25,40,43,241,365,661,912,1300,4404,3337,1649,3071,350,16044,10,37,12,11,10,4,0,0,7,94,56,607,69,26,10,6,3,0,10,792,25,417,165,69,32,10,3,5,19,748,19,245,254,103,35,35,8,6,16,709,19,171,325,164,77,31,13,16,32,855,22,144,241,322,316,124,31,35,32,1274,43,103,138,283,743,331,89,77,41,1846,40,60,71,166,691,473,143,113,28,1781,Blacktown (C)
10800,0,3,3,0,0,0,0,3,0,11,0,3,0,3,0,3,0,5,0,20,0,3,0,3,4,6,3,0,0,16,0,0,0,4,13,7,3,5,0,34,4,0,3,0,5,6,4,19,0,47,0,0,0,0,3,6,10,22,0,47,0,0,0,0,0,3,17,37,0,58,3,0,0,0,3,0,0,19,0,31,0,0,0,0,0,3,3,25,0,38,0,0,0,0,0,4,0,3,0,10,0,0,0,0,0,0,0,0,3,6,11,19,16,11,30,45,43,145,7,331,0,3,0,0,0,0,0,0,3,9,0,15,0,0,0,0,0,0,0,21,0,16,4,0,0,0,0,0,0,31,3,6,9,0,0,0,0,0,0,17,0,3,5,10,3,3,0,3,0,31,0,9,3,14,9,3,3,3,3,51,0,3,7,4,7,9,0,3,0,41,0,3,0,8,10,13,3,8,0,45,Bland (A)
