lga_code16,lab_1000_1249_h_0,lab_1000_1249_h_1_15,lab_1000_1249_h_16_24,lab_1000_1249_h_25_34,lab_1000_1249_h_35_39,lab_1000_1249_h_40,lab_1000_1249_h_41_48,lab_1000_1249_h_49mo,lab_1000_1249_h_ns,lab_1000_1249_h_tot,lab_1250_1499_h_0,lab_1250_1499_h_1_15,lab_1250_1499_h_16_24,lab_1250_1499_h_25_34,lab_1250_1499_h_35_39,lab_1250_1499_h_40,lab_1250_1499_h_41_48,lab_1250_1499_h_49mo,lab_1250_1499_h_ns,lab_1250_1499_h_tot,lab_1500_1749_h_0,lab_1500_1749_h_1_15,lab_1500_1749_h_16_24,lab_1500_1749_h_25_34,lab_1500_1749_h_35_39,lab_1500_1749_h_40,lab_1500_1749_h_41_48,lab_1500_1749_h_49mo,lab_1500_1749_h_ns,lab_1500_1749_h_tot,lab_1750_1999_h_0,lab_1750_1999_h_1_15,lab_1750_1999_h_16_24,lab_1750_1999_h_25_34,lab_1750_1999_h_35_39,lab_1750_1999_h_40,lab_1750_1999_h_41_48,lab_1750_1999_h_49mo,lab_1750_1999_h_ns,lab_1750_1999_h_tot,lab_2000_2999_h_0,lab_2000_2999_h_1_15,lab_2000_2999_h_16_24,lab_2000_2999_h_25_34,lab_2000_2999_h_35_39,lab_2000_2999_h_40,lab_2000_2999_h_41_48,lab_2000_2999_h_49mo,lab_2000_2999_h_ns,lab_2000_2999_h_tot,lab_3000mo_h_0,lab_3000mo_h_1_15,lab_3000mo_h_16_24,lab_3000mo_h_25_34,lab_3000mo_h_35_39,lab_3000mo_h_40,lab_3000mo_h_41_48,lab_3000mo_h_49mo,lab_3000mo_h_ns,lab_3000mo_h_tot,lab_pins_h_0,lab_pins_h_1_15,lab_pins_h_16_24,lab_pins_h_25_34,lab_pins_h_35_39,lab_pins_h_40,lab_pins_h_41_48,lab_pins_h_49mo,lab_pins_h_ns,lab_pins_h_tot,lab_tot_h_0,lab_tot_h_1_15,lab_tot_h_16_24,lab_tot_h_25_34,lab_tot_h_35_39,lab_tot_h_40,lab_tot_h_41_48,lab_tot_h_49mo,lab_tot_h_ns,lab_tot_h_tot,oidns_nni_h_0,oidns_nni_h_1_15,oidns_nni_h_16_24,oidns_nni_h_25_34,oidns_nni_h_35_39,oidns_nni_h_40,oidns_nni_h_41_48,oidns_nni_h_49mo,oidns_nni_h_ns,oidns_nni_h_tot,oidns_1_149_h_0,oidns_1_149_h_1_15,oidns_1_149_h_16_24,oidns_1_149_h_25_34,oidns_1_149_h_35_39,oidns_1_149_h_40,oidns_1_149_h_41_48,oidns_1_149_h_49mo,oidns_1_149_h_ns,oidns_1_149_h_tot,oidns_150_299_h_0,oidns_150_299_h_1_15,oidns_150_299_h_16_24,oidns_150_299_h_25_34,oidns_150_299_h_35_39,oidns_150_299_h_40,oidns_150_299_h_41_48,oidns_150_299_h_49mo,oidns_150_299_h_ns,oidns_150_299_h_tot,oidns_300_399_h_0,oidns_300_399_h_1_15,oidns_300_399_h_16_24,oidns_300_399_h_25_34,oidns_300_399_h_35_39,oidns_300_399_h_40,oidns_300_399_h_41_48,oidns_300_399_h_49mo,oidns_300_399_h_ns,oidns_300_399_h_tot,oidns_400_499_h_0,oidns_400_499_h_1_15,oidns_400_499_h_16_24,oidns_400_499_h_25_34,oidns_400_499_h_35_39,oidns_400_499_h_40,oidns_400_499_h_41_48,oidns_400_499_h_49mo,oidns_400_499_h_ns,oidns_400_499_h_tot,oidns_500_649_h_0,oidns_500_649_h_1_15,oidns_500_649_h_16_24,oidns_500_649_h_25_34,oidns_500_649_h_35_39,oidns_500_649_h_40,oidns_500_649_h_41_48,oidns_500_649_h_49mo,oidns_500_649_h_ns,oidns_500_649_h_tot,oidns_650_799_h_0,oidns_650_799_h_1_15,oidns_650_799_h_16_24,oidns_650_799_h_25_34,oidns_650_799_h_35_39,oidns_650_799_h_40,oidns_650_799_h_41_48,oidns_650_799_h_49mo,oidns_650_799_h_ns,oidns_650_799_h_tot,oidns_800_999_h_0,oidns_800_999_h_1_15,oidns_800_999_h_16_24,oidns_800_999_h_25_34,oidns_800_999_h_35_39,oidns_800_999_h_40,oidns_800_999_h_41_48,oidns_800_999_h_49mo,oidns_800_999_h_ns,oidns_800_999_h_tot,oidns_1000_1249_h_0,oidns_1000_1249_h_1_15,oidns_1000_1249_h_16_24,oidns_1000_1249_h_25_34,oidns_1000_1249_h_35_39,oidns_1000_1249_h_40,oidns_1000_1249_h_41_48,oidns_1000_1249_h_49mo,oidns_1000_1249_h_ns,oidns_1000_1249_h_tot,oidns_1250_1499_h_0,oidns_1250_1499_h_1_15,oidns_1250_1499_h_16_24,oidns_1250_1499_h_25_34,oidns_1250_1499_h_35_39,oidns_1250_1499_h_40,oidns_1250_1499_h_41_48,oidns_1250_1499_h_49mo,oidns_1250_1499_h_ns,oidns_1250_1499_h_tot,oidns_1500_1749_h_0,oidns_1500_1749_h_1_15,oidns_1500_1749_h_16_24,oidns_1500_1749_h_25_34,oidns_1500_1749_h_35_39,oidns_1500_1749_h_40,oidns_1500_1749_h_41_48,oidns_1500_1749_h_49mo,oidns_1500_1749_h_ns,oidns_1500_1749_h_tot,oidns_1750_1999_h_0,oidns_1750_1999_h_1_15,oidns_1750_1999_h_16_24,oidns_1750_1999_h_25_34,oidns_1750_1999_h_35_39,oidns_1750_1999_h_40,oidns_1750_1999_h_41_48,oidns_1750_1999_h_49mo,oidns_1750_1999_h_ns,oidns_1750_1999_h_tot,lga_name16
10050,6,4,11,10,43,42,21,20,0,157,0,0,0,8,14,7,14,17,0,56,0,0,0,0,5,11,16,11,0,47,0,0,0,0,3,3,4,3,0,16,0,0,0,0,0,3,6,3,0,12,0,0,0,3,0,0,0,0,0,4,3,10,3,5,3,7,3,0,5,38,80,554,309,319,346,263,134,104,44,2153,3,0,0,0,0,0,0,0,11,12,0,3,0,0,0,0,0,0,8,12,0,4,3,0,0,0,0,0,10,18,0,3,0,0,0,0,0,0,8,18,0,0,3,3,0,0,0,0,10,23,3,6,3,9,0,0,0,0,14,31,0,0,0,4,6,6,0,4,9,37,3,7,0,3,18,8,0,3,5,46,0,0,0,3,9,3,0,9,4,35,0,0,0,0,9,4,4,7,7,30,4,0,0,0,4,5,0,3,0,27,0,0,0,0,4,0,3,3,3,20,Albury (C)
10130,3,4,8,3,29,19,12,8,0,84,0,3,3,3,10,5,7,9,0,32,0,0,0,0,0,3,3,3,0,15,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,3,0,7,0,3,0,0,0,0,0,0,0,4,0,8,0,3,6,6,0,3,3,33,45,352,188,160,302,162,81,79,30,1393,3,0,0,0,0,0,0,0,7,9,0,6,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,3,8,0,4,3,0,0,4,0,4,0,11,0,3,0,3,3,0,0,0,3,16,0,0,3,0,3,3,3,0,3,19,0,0,0,0,3,4,4,0,4,16,0,0,0,0,3,3,0,3,4,20,0,0,0,0,3,3,0,0,0,10,0,0,0,0,4,0,0,0,0,10,0,3,0,0,0,0,0,0,0,6,Armidale Regional (A)
10250,3,3,3,11,29,20,17,21,0,101,0,3,4,3,3,12,7,3,0,28,0,0,3,0,3,4,0,5,0,22,0,0,0,0,3,0,0,5,0,12,0,0,3,0,0,3,0,8,0,16,0,0,0,0,3,0,0,3,0,12,3,12,0,0,4,0,0,0,6,34,54,417,256,261,319,180,71,98,27,1695,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,4,11,0,4,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,17,23,3,0,3,0,0,0,0,0,10,21,0,3,5,0,3,0,0,3,10,31,0,0,3,3,8,3,0,0,8,24,0,0,0,3,3,3,0,3,9,22,0,0,0,0,0,0,0,4,3,19,0,3,0,0,0,3,0,0,0,8,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,6,Ballina (A)
10300,0,0,0,0,7,0,0,3,0,12,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,20,15,20,25,26,7,22,3,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Balranald (A)
10470,8,8,13,22,51,58,18,23,0,202,9,0,0,3,19,26,14,13,0,90,3,3,3,5,30,25,11,16,0,91,0,0,0,0,13,6,9,20,0,49,0,0,0,0,7,4,3,18,0,33,0,3,3,0,0,3,0,3,0,14,0,5,4,5,4,4,0,4,3,31,76,432,235,220,413,305,114,160,28,1982,3,0,0,0,0,0,0,0,10,15,3,4,0,0,0,0,0,0,12,16,0,3,0,0,0,0,0,0,10,15,0,6,3,3,0,0,0,0,4,19,0,0,4,0,0,0,0,0,5,16,0,0,4,3,0,0,0,0,3,18,0,0,0,3,0,4,3,0,10,28,3,4,3,4,0,3,0,5,5,26,0,0,0,4,5,5,0,3,0,19,0,0,0,0,8,3,3,3,3,22,0,3,0,0,4,6,4,4,0,21,0,0,0,0,3,0,0,0,0,12,Bathurst Regional (A)
10550,6,8,12,12,74,60,30,20,0,209,6,0,0,3,20,28,9,18,3,83,3,0,0,0,11,11,4,8,0,40,0,0,3,5,3,0,6,6,0,19,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,9,5,11,6,3,3,4,3,8,7,45,76,371,229,188,276,229,104,119,40,1624,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,0,0,0,4,6,0,0,3,3,0,0,0,0,3,15,3,5,3,0,0,3,0,0,4,18,0,3,0,0,0,0,0,0,7,18,0,3,3,5,3,0,0,0,6,23,0,3,0,0,6,5,0,0,0,19,3,0,0,0,0,0,0,0,6,14,0,0,0,0,6,4,0,6,3,22,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,3,3,3,0,7,0,0,0,3,0,3,0,0,0,10,Bega Valley (A)
10600,0,0,3,4,4,16,4,8,0,40,3,0,0,3,3,12,3,3,0,28,0,0,0,0,5,4,3,6,0,12,0,0,0,0,3,0,0,4,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,10,14,124,66,61,65,64,25,41,17,472,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bellingen (A)
10650,0,0,0,0,7,7,3,6,3,32,0,0,0,0,0,0,4,6,0,12,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,21,79,34,56,53,46,16,37,17,356,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,3,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Berrigan (A)
10750,21,40,43,89,362,347,174,193,26,1292,13,18,25,26,132,206,92,135,14,663,7,11,10,14,83,112,72,103,6,409,4,7,3,0,35,50,32,74,4,213,5,3,6,9,29,33,28,68,0,192,0,12,3,3,8,0,4,22,3,45,4,27,19,12,46,31,10,14,27,187,294,1898,1394,1308,2599,1788,686,866,263,11109,5,8,4,0,7,10,0,6,48,85,8,30,3,3,5,0,0,0,13,66,8,21,12,4,5,4,0,0,35,88,4,12,25,3,4,4,3,0,34,87,8,12,14,8,13,3,0,0,51,108,5,11,22,12,20,11,3,5,56,145,3,12,13,19,47,29,3,6,66,202,8,6,6,17,68,68,15,23,69,284,7,5,4,6,81,64,24,31,46,271,5,3,0,6,35,56,10,23,26,164,0,0,0,3,18,30,18,23,20,122,0,0,0,0,7,22,12,18,6,72,Blacktown (C)
10800,0,0,0,0,7,5,4,7,0,30,0,0,0,0,5,0,0,7,0,14,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,6,6,64,34,42,44,50,20,41,12,317,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Bland (A)
