lga_code16,hq_nni_mng,hq_nni_pro,hq_nni_tectw,hq_nni_copsw,hq_nni_claw,hq_nni_swks,hq_nni_maopdv,hq_nni_lab,hq_nni_idns,hq_nni_tot,hq_1_149_mng,hq_1_149_pro,hq_1_149_tectw,hq_1_149_copsw,hq_1_149_claw,hq_1_149_swks,hq_1_149_maopdv,hq_1_149_lab,hq_1_149_idns,hq_1_149_tot,hq_150_299_mng,hq_150_299_pro,hq_150_299_tectw,hq_150_299_copsw,hq_150_299_claw,hq_150_299_swks,hq_150_299_maopdv,hq_150_299_lab,hq_150_299_idns,hq_150_299_tot,hq_300_399_mng,hq_300_399_pro,hq_300_399_tectw,hq_300_399_copsw,hq_300_399_claw,hq_300_399_swks,hq_300_399_maopdv,hq_300_399_lab,hq_300_399_idns,hq_300_399_tot,hq_400_499_mng,hq_400_499_pro,hq_400_499_tectw,hq_400_499_copsw,hq_400_499_claw,hq_400_499_swks,hq_400_499_maopdv,hq_400_499_lab,hq_400_499_idns,hq_400_499_tot,hq_500_649_mng,hq_500_649_pro,hq_500_649_tectw,hq_500_649_copsw,hq_500_649_claw,hq_500_649_swks,hq_500_649_maopdv,hq_500_649_lab,hq_500_649_idns,hq_500_649_tot,hq_650_799_mng,hq_650_799_pro,hq_650_799_tectw,hq_650_799_copsw,hq_650_799_claw,hq_650_799_swks,hq_650_799_maopdv,hq_650_799_lab,hq_650_799_idns,hq_650_799_tot,hq_800_999_mng,hq_800_999_pro,hq_800_999_tectw,hq_800_999_copsw,hq_800_999_claw,hq_800_999_swks,hq_800_999_maopdv,hq_800_999_lab,hq_800_999_idns,hq_800_999_tot,hq_1000_1249_mng,hq_1000_1249_pro,hq_1000_1249_tectw,hq_1000_1249_copsw,hq_1000_1249_claw,hq_1000_1249_swks,hq_1000_1249_maopdv,hq_1000_1249_lab,hq_1000_1249_idns,hq_1000_1249_tot,hq_1250_1499_mng,hq_1250_1499_pro,hq_1250_1499_tectw,hq_1250_1499_copsw,hq_1250_1499_claw,hq_1250_1499_swks,hq_1250_1499_maopdv,hq_1250_1499_lab,hq_1250_1499_idns,hq_1250_1499_tot,hq_1500_1749_mng,hq_1500_1749_pro,hq_1500_1749_tectw,hq_1500_1749_copsw,hq_1500_1749_claw,hq_1500_1749_swks,hq_1500_1749_maopdv,hq_1500_1749_lab,hq_1500_1749_idns,hq_1500_1749_tot,hq_1750_1999_mng,hq_1750_1999_pro,hq_1750_1999_tectw,hq_1750_1999_copsw,hq_1750_1999_claw,hq_1750_1999_swks,hq_1750_1999_maopdv,hq_1750_1999_lab,hq_1750_1999_idns,hq_1750_1999_tot,hq_2000_2999_mng,hq_2000_2999_pro,hq_2000_2999_tectw,hq_2000_2999_copsw,hq_2000_2999_claw,hq_2000_2999_swks,hq_2000_2999_maopdv,hq_2000_2999_lab,hq_2000_2999_idns,hq_2000_2999_tot,hq_3000mo_mng,hq_3000mo_pro,hq_3000mo_tectw,hq_3000mo_copsw,hq_3000mo_claw,hq_3000mo_swks,hq_3000mo_maopdv,hq_3000mo_lab,hq_3000mo_idns,hq_3000mo_tot,hq_pins_mng,hq_pins_pro,hq_pins_tectw,hq_pins_copsw,hq_pins_claw,hq_pins_swks,hq_pins_maopdv,hq_pins_lab,hq_pins_idns,hq_pins_tot,hq_tot_mng,hq_tot_pro,hq_tot_tectw,hq_tot_copsw,hq_tot_claw,hq_tot_swks,hq_tot_maopdv,hq_tot_lab,hq_tot_idns,hq_tot_tot,cl_nfd_nni_mng,cl_nfd_nni_pro,cl_nfd_nni_tectw,cl_nfd_nni_copsw,cl_nfd_nni_claw,cl_nfd_nni_swks,cl_nfd_nni_maopdv,cl_nfd_nni_lab,cl_nfd_nni_idns,cl_nfd_nni_tot,cl_nfd_1_149_mng,cl_nfd_1_149_pro,cl_nfd_1_149_tectw,cl_nfd_1_149_copsw,cl_nfd_1_149_claw,cl_nfd_1_149_swks,cl_nfd_1_149_maopdv,cl_nfd_1_149_lab,cl_nfd_1_149_idns,cl_nfd_1_149_tot,cl_nfd_150_299_mng,cl_nfd_150_299_pro,cl_nfd_150_299_tectw,cl_nfd_150_299_copsw,cl_nfd_150_299_claw,cl_nfd_150_299_swks,cl_nfd_150_299_maopdv,cl_nfd_150_299_lab,cl_nfd_150_299_idns,cl_nfd_150_299_tot,cl_nfd_300_399_mng,cl_nfd_300_399_pro,cl_nfd_300_399_tectw,cl_nfd_300_399_copsw,cl_nfd_300_399_claw,cl_nfd_300_399_swks,cl_nfd_300_399_maopdv,cl_nfd_300_399_lab,cl_nfd_300_399_idns,cl_nfd_300_399_tot,lga_name16
10050,10,12,0,0,3,0,3,0,0,34,5,11,0,15,10,3,0,5,0,51,7,31,9,35,25,20,0,9,0,138,18,40,14,55,33,23,4,16,0,199,11,63,18,84,46,47,15,20,0,304,39,155,29,141,107,57,7,31,3,574,46,255,54,156,130,56,17,28,6,755,80,413,65,181,172,46,17,22,8,1008,129,593,91,114,184,40,6,14,6,1177,104,657,53,75,122,35,11,5,9,1070,121,587,35,62,91,22,3,3,14,926,111,469,23,60,47,11,9,0,13,747,294,496,28,76,60,15,6,0,16,982,116,233,3,4,20,14,0,0,0,391,16,44,4,7,8,5,0,0,6,96,1096,4067,421,1066,1054,398,98,164,84,8446,0,0,0,0,0,0,0,0,0,3,0,3,3,5,5,3,0,0,0,16,0,3,0,3,0,7,3,3,0,21,5,3,0,10,11,4,3,4,0,36,Albury (C)
10130,25,7,0,0,3,5,0,3,4,45,7,25,3,7,6,6,0,10,0,67,14,49,7,26,22,15,0,10,0,141,10,44,14,36,22,12,4,14,3,170,31,68,12,46,34,28,7,9,0,239,33,108,15,66,65,15,4,54,3,367,52,143,26,70,68,29,7,48,3,459,56,211,26,73,82,16,3,17,3,490,104,333,32,70,121,3,3,12,9,680,58,313,31,48,96,5,4,8,3,569,84,387,28,44,66,4,0,5,3,627,50,370,6,28,27,4,0,3,0,497,178,483,10,31,31,6,0,0,3,745,85,169,0,0,12,5,0,0,0,274,9,25,0,8,12,0,0,3,5,59,798,2739,230,563,664,166,38,194,44,5431,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,10,3,0,3,4,3,0,0,0,0,12,0,0,0,3,3,10,0,0,0,18,Armidale Regional (A)
10250,16,10,3,0,9,3,0,0,0,40,10,17,4,11,4,0,0,3,3,53,9,36,5,25,19,10,3,9,0,108,14,60,11,53,26,18,3,16,3,210,24,65,19,52,33,28,0,21,0,248,28,131,26,114,60,20,7,34,5,431,52,177,28,112,63,32,11,34,4,522,84,242,41,103,78,39,4,19,0,610,85,305,40,78,102,29,6,10,5,655,83,289,24,34,40,9,3,5,3,484,79,327,21,39,24,8,0,3,4,498,51,343,15,32,30,7,3,3,3,478,148,283,7,34,27,7,0,5,3,510,86,144,4,0,9,8,0,3,4,257,8,20,0,7,4,5,0,0,4,46,772,2441,249,691,503,231,50,164,54,5161,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,3,0,0,0,6,0,0,3,3,3,3,0,0,0,16,0,0,0,9,8,3,3,3,0,29,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,6,0,3,0,0,0,0,0,13,4,4,3,3,0,0,0,0,0,17,10,5,3,3,0,0,0,0,0,19,3,4,0,3,0,0,0,0,0,20,0,19,0,0,0,0,0,0,0,20,4,7,0,6,0,0,0,0,0,20,3,4,0,7,0,0,0,0,0,12,8,3,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,32,64,10,29,12,0,0,5,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Balranald (A)
10470,11,3,0,3,7,3,0,0,0,34,4,14,0,14,0,3,0,3,0,35,15,26,11,35,17,22,5,14,3,136,10,41,11,35,11,17,3,8,0,139,13,50,9,57,32,15,0,20,3,197,24,106,20,78,58,26,3,21,3,343,54,171,31,82,66,31,9,27,5,469,54,238,33,98,88,36,12,19,3,590,91,338,41,101,114,22,8,22,9,751,82,375,34,48,83,13,7,5,6,656,104,400,35,65,55,10,3,11,3,680,76,437,28,45,43,7,0,6,3,642,202,408,17,64,41,10,3,6,7,762,105,144,5,0,15,3,0,3,0,275,13,17,0,8,11,6,0,0,3,64,848,2763,286,742,634,229,53,170,51,5783,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,11,0,0,0,6,0,3,0,5,0,22,3,0,3,3,3,3,0,3,0,26,Bathurst Regional (A)
10550,11,7,0,0,0,0,0,3,0,23,9,9,0,0,15,3,0,5,0,48,29,33,7,37,16,16,0,6,3,153,17,31,12,32,20,15,0,9,0,147,27,47,15,38,29,23,3,8,0,195,39,101,21,67,41,25,8,10,3,305,45,123,17,63,45,24,3,11,5,335,53,169,27,73,61,9,7,16,0,423,63,228,17,46,64,10,3,18,5,450,48,215,14,23,39,11,5,9,0,366,35,234,12,13,21,3,0,6,3,338,43,206,12,22,12,6,0,3,0,308,93,153,10,31,7,0,0,3,3,302,28,80,0,5,3,0,0,0,0,120,3,16,3,5,3,0,0,0,0,36,553,1644,166,473,382,153,27,115,34,3560,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,13,3,0,0,0,5,5,0,0,0,15,0,0,3,8,3,0,0,3,0,23,Bega Valley (A)
10600,13,0,0,0,0,0,0,0,0,14,0,6,0,4,3,0,0,0,0,23,12,8,8,8,10,4,0,3,0,58,11,19,4,10,12,9,4,0,0,68,12,25,11,17,8,9,3,6,0,90,16,35,6,23,23,8,0,3,0,114,19,51,12,37,16,4,0,10,0,147,22,53,10,23,15,9,3,5,3,129,27,75,4,17,15,3,3,7,3,143,25,70,3,3,3,3,6,4,0,113,10,71,0,9,3,3,0,0,0,95,15,62,3,8,3,0,0,3,0,86,32,45,0,5,5,3,0,0,3,96,13,27,3,0,0,0,0,0,0,46,8,7,0,3,5,0,0,0,0,24,228,558,60,160,107,53,22,41,21,1248,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,Bellingen (A)
10650,3,3,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,8,9,0,4,4,0,0,0,3,0,23,10,8,3,4,7,3,0,3,0,32,3,5,0,10,3,0,0,0,0,23,6,20,4,14,5,3,3,3,0,56,12,18,7,12,9,3,0,3,0,61,23,15,3,15,13,5,0,0,0,77,21,40,3,16,6,0,0,6,0,91,16,28,0,0,8,0,4,5,0,60,15,27,4,0,3,0,3,0,3,53,14,32,0,3,3,0,0,0,0,49,33,22,0,8,0,0,0,0,0,62,6,10,0,0,0,0,0,0,0,11,5,3,0,0,0,0,0,0,0,9,178,235,34,81,56,12,11,24,8,639,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,8,Berrigan (A)
10750,36,48,14,18,24,16,9,8,23,202,12,87,16,52,44,44,19,28,11,307,44,192,30,179,127,161,32,83,16,860,53,200,67,192,147,161,92,123,15,1046,89,244,78,248,187,201,130,121,29,1323,142,446,132,408,317,280,200,183,25,2121,184,721,223,513,475,253,393,259,37,3055,331,1146,346,583,712,276,537,244,61,4240,561,1985,433,547,872,213,472,185,64,5333,511,2150,279,336,524,133,251,109,42,4342,584,2155,215,235,345,120,140,56,34,3882,519,1980,153,187,189,74,62,26,14,3206,1502,1881,182,188,250,137,52,38,37,4255,1122,689,38,20,90,73,10,4,8,2055,60,135,22,39,34,23,22,13,45,397,5755,14063,2221,3743,4338,2167,2403,1476,465,36630,0,0,0,3,4,3,4,0,0,18,0,0,0,11,7,3,0,4,0,30,3,3,6,11,5,15,0,11,0,69,5,8,5,31,27,17,9,12,0,118,Blacktown (C)
10800,5,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,10,0,3,0,4,3,0,0,0,0,13,3,3,0,0,0,0,0,0,0,10,10,8,0,4,3,0,0,6,0,27,10,14,3,7,15,0,0,6,0,46,3,12,5,5,5,4,0,3,0,42,20,23,3,3,7,0,0,0,0,53,13,34,0,3,5,0,0,3,0,63,8,30,4,3,7,0,0,0,0,55,11,28,0,4,6,0,3,0,0,52,6,16,0,3,0,0,0,0,0,33,24,35,7,4,0,0,5,0,0,77,17,25,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,6,136,222,31,56,45,11,17,17,3,532,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,Bland (A)
