lga_code16,ciii_iv_1000_1249_mng,ciii_iv_1000_1249_pro,ciii_iv_1000_1249_tectw,ciii_iv_1000_1249_copsw,ciii_iv_1000_1249_claw,ciii_iv_1000_1249_swks,ciii_iv_1000_1249_maopdv,ciii_iv_1000_1249_lab,ciii_iv_1000_1249_idns,ciii_iv_1000_1249_tot,ciii_iv_1250_1499_mng,ciii_iv_1250_1499_pro,ciii_iv_1250_1499_tectw,ciii_iv_1250_1499_copsw,ciii_iv_1250_1499_claw,ciii_iv_1250_1499_swks,ciii_iv_1250_1499_maopdv,ciii_iv_1250_1499_lab,ciii_iv_1250_1499_idns,ciii_iv_1250_1499_tot,ciii_iv_1500_1749_mng,ciii_iv_1500_1749_pro,ciii_iv_1500_1749_tectw,ciii_iv_1500_1749_copsw,ciii_iv_1500_1749_claw,ciii_iv_1500_1749_swks,ciii_iv_1500_1749_maopdv,ciii_iv_1500_1749_lab,ciii_iv_1500_1749_idns,ciii_iv_1500_1749_tot,ciii_iv_1750_1999_mng,ciii_iv_1750_1999_pro,ciii_iv_1750_1999_tectw,ciii_iv_1750_1999_copsw,ciii_iv_1750_1999_claw,ciii_iv_1750_1999_swks,ciii_iv_1750_1999_maopdv,ciii_iv_1750_1999_lab,ciii_iv_1750_1999_idns,ciii_iv_1750_1999_tot,ciii_iv_2000_2999_mng,ciii_iv_2000_2999_pro,ciii_iv_2000_2999_tectw,ciii_iv_2000_2999_copsw,ciii_iv_2000_2999_claw,ciii_iv_2000_2999_swks,ciii_iv_2000_2999_maopdv,ciii_iv_2000_2999_lab,ciii_iv_2000_2999_idns,ciii_iv_2000_2999_tot,ciii_iv_3000mo_mng,ciii_iv_3000mo_pro,ciii_iv_3000mo_tectw,ciii_iv_3000mo_copsw,ciii_iv_3000mo_claw,ciii_iv_3000mo_swks,ciii_iv_3000mo_maopdv,ciii_iv_3000mo_lab,ciii_iv_3000mo_idns,ciii_iv_3000mo_tot,ciii_iv_pins_mng,ciii_iv_pins_pro,ciii_iv_pins_tectw,ciii_iv_pins_copsw,ciii_iv_pins_claw,ciii_iv_pins_swks,ciii_iv_pins_maopdv,ciii_iv_pins_lab,ciii_iv_pins_idns,ciii_iv_pins_tot,ciii_iv_tot_mng,ciii_iv_tot_pro,ciii_iv_tot_tectw,ciii_iv_tot_copsw,ciii_iv_tot_claw,ciii_iv_tot_swks,ciii_iv_tot_maopdv,ciii_iv_tot_lab,ciii_iv_tot_idns,ciii_iv_tot_tot,ci_ii_nni_mng,ci_ii_nni_pro,ci_ii_nni_tectw,ci_ii_nni_copsw,ci_ii_nni_claw,ci_ii_nni_swks,ci_ii_nni_maopdv,ci_ii_nni_lab,ci_ii_nni_idns,ci_ii_nni_tot,ci_ii_1_149_mng,ci_ii_1_149_pro,ci_ii_1_149_tectw,ci_ii_1_149_copsw,ci_ii_1_149_claw,ci_ii_1_149_swks,ci_ii_1_149_maopdv,ci_ii_1_149_lab,ci_ii_1_149_idns,ci_ii_1_149_tot,ci_ii_150_299_mng,ci_ii_150_299_pro,ci_ii_150_299_tectw,ci_ii_150_299_copsw,ci_ii_150_299_claw,ci_ii_150_299_swks,ci_ii_150_299_maopdv,ci_ii_150_299_lab,ci_ii_150_299_idns,ci_ii_150_299_tot,ci_ii_300_399_mng,ci_ii_300_399_pro,ci_ii_300_399_tectw,ci_ii_300_399_copsw,ci_ii_300_399_claw,ci_ii_300_399_swks,ci_ii_300_399_maopdv,ci_ii_300_399_lab,ci_ii_300_399_idns,ci_ii_300_399_tot,ci_ii_400_499_mng,ci_ii_400_499_pro,ci_ii_400_499_tectw,ci_ii_400_499_copsw,ci_ii_400_499_claw,ci_ii_400_499_swks,ci_ii_400_499_maopdv,ci_ii_400_499_lab,ci_ii_400_499_idns,ci_ii_400_499_tot,ci_ii_500_649_mng,ci_ii_500_649_pro,ci_ii_500_649_tectw,ci_ii_500_649_copsw,ci_ii_500_649_claw,ci_ii_500_649_swks,ci_ii_500_649_maopdv,ci_ii_500_649_lab,ci_ii_500_649_idns,ci_ii_500_649_tot,ci_ii_650_799_mng,ci_ii_650_799_pro,ci_ii_650_799_tectw,ci_ii_650_799_copsw,ci_ii_650_799_claw,ci_ii_650_799_swks,ci_ii_650_799_maopdv,ci_ii_650_799_lab,ci_ii_650_799_idns,ci_ii_650_799_tot,ci_ii_800_999_mng,ci_ii_800_999_pro,ci_ii_800_999_tectw,ci_ii_800_999_copsw,ci_ii_800_999_claw,ci_ii_800_999_swks,ci_ii_800_999_maopdv,ci_ii_800_999_lab,ci_ii_800_999_idns,ci_ii_800_999_tot,ci_ii_1000_1249_mng,ci_ii_1000_1249_pro,ci_ii_1000_1249_tectw,ci_ii_1000_1249_copsw,ci_ii_1000_1249_claw,ci_ii_1000_1249_swks,ci_ii_1000_1249_maopdv,ci_ii_1000_1249_lab,ci_ii_1000_1249_idns,ci_ii_1000_1249_tot,ci_ii_1250_1499_mng,ci_ii_1250_1499_pro,ci_ii_1250_1499_tectw,ci_ii_1250_1499_copsw,ci_ii_1250_1499_claw,ci_ii_1250_1499_swks,ci_ii_1250_1499_maopdv,ci_ii_1250_1499_lab,ci_ii_1250_1499_idns,ci_ii_1250_1499_tot,ci_ii_1500_1749_mng,ci_ii_1500_1749_pro,ci_ii_1500_1749_tectw,ci_ii_1500_1749_copsw,ci_ii_1500_1749_claw,ci_ii_1500_1749_swks,ci_ii_1500_1749_maopdv,ci_ii_1500_1749_lab,ci_ii_1500_1749_idns,ci_ii_1500_1749_tot,ci_ii_1750_1999_mng,ci_ii_1750_1999_pro,ci_ii_1750_1999_tectw,ci_ii_1750_1999_copsw,ci_ii_1750_1999_claw,ci_ii_1750_1999_swks,ci_ii_1750_1999_maopdv,ci_ii_1750_1999_lab,ci_ii_1750_1999_idns,ci_ii_1750_1999_tot,lga_name16
10050,100,71,441,117,157,52,88,48,6,1074,90,33,251,35,90,37,57,19,6,621,106,30,167,27,31,18,37,25,0,423,47,16,89,13,11,5,18,3,3,210,57,18,52,10,17,9,19,3,0,175,22,4,10,3,0,5,3,0,0,56,8,3,33,12,8,15,7,14,5,106,640,318,2057,888,927,517,429,436,76,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,3,0,9,12,4,0,5,0,32,0,3,0,11,7,12,5,3,0,43,0,3,7,3,18,8,0,9,0,52,3,3,7,13,19,10,0,16,0,72,3,0,6,9,10,15,6,9,3,62,10,5,4,15,23,14,6,6,0,84,7,4,3,3,16,8,6,5,0,48,3,0,3,3,8,0,0,0,0,25,0,0,0,0,9,0,0,0,0,14,0,3,0,0,0,0,0,0,0,5,Albury (C)
10130,60,18,150,39,53,21,37,27,3,408,29,12,76,12,32,8,7,4,4,197,25,12,54,10,14,8,7,3,3,135,20,7,22,3,7,0,0,3,0,59,23,3,13,3,3,3,3,3,0,59,3,0,3,0,0,4,0,0,0,18,13,3,22,0,5,0,7,7,6,58,355,124,794,332,331,214,134,258,46,2573,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,13,0,0,0,3,3,4,0,3,0,15,0,3,3,7,3,3,0,0,0,17,4,0,4,4,5,6,0,9,0,31,3,3,4,11,10,3,3,5,0,43,3,4,3,0,6,4,0,0,0,18,0,4,3,5,7,0,3,5,0,26,3,0,0,0,3,4,0,0,0,10,0,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,Armidale Regional (A)
10250,77,34,236,55,56,23,51,39,0,575,48,18,116,19,25,8,28,11,0,283,39,8,72,10,8,17,9,10,0,173,17,4,45,3,9,3,5,6,0,99,18,5,26,3,11,12,8,3,0,78,16,0,6,0,0,3,3,3,0,34,9,8,17,5,3,4,0,6,9,52,439,216,1226,556,375,248,210,364,40,3667,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,3,5,0,10,3,0,0,3,0,3,0,6,0,13,0,3,4,3,7,8,0,14,0,40,7,4,3,15,11,7,3,5,0,48,5,0,3,3,10,4,0,5,0,29,3,0,4,4,15,4,0,3,0,37,4,0,0,3,10,6,0,8,0,25,0,0,0,0,3,0,0,0,0,8,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,Ballina (A)
10300,10,0,8,3,0,0,4,6,0,26,3,0,0,0,0,0,3,0,0,9,3,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,32,3,42,15,14,4,14,27,4,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Balranald (A)
10470,83,45,264,69,108,39,52,65,9,732,60,28,160,52,67,17,40,35,3,468,60,26,119,53,32,8,22,37,3,377,50,12,80,48,8,8,12,18,8,238,66,11,83,16,11,10,11,13,6,226,18,3,12,0,0,5,5,6,0,48,3,0,18,8,4,0,5,5,4,57,526,225,1405,701,504,316,287,424,65,4453,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,11,0,0,0,3,3,6,0,9,0,24,5,0,3,7,3,9,0,0,0,22,0,0,0,3,6,9,0,3,0,31,0,9,6,10,12,7,0,11,0,56,4,0,3,4,12,6,0,7,0,36,8,3,3,6,24,3,9,7,0,65,9,0,0,3,12,6,3,6,0,40,6,3,3,0,9,0,0,7,0,25,3,0,0,0,3,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,Bathurst Regional (A)
10550,65,18,165,38,49,22,39,75,9,475,38,6,100,12,19,12,34,30,0,251,32,6,66,9,8,10,18,15,0,157,12,4,42,8,5,4,9,12,3,92,16,3,42,3,5,8,3,0,0,76,10,3,5,4,3,0,0,0,0,27,3,0,14,0,3,7,0,7,3,47,403,118,1008,396,270,243,203,393,45,3081,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,0,0,0,3,0,0,0,6,0,12,0,0,4,3,6,0,0,4,0,21,4,0,0,4,3,6,0,4,0,21,10,0,3,6,4,5,3,0,0,34,3,3,5,3,10,12,4,9,0,40,5,0,3,7,4,5,4,8,0,34,3,3,0,5,15,0,3,4,0,30,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,Bega Valley (A)
10600,17,3,34,5,8,9,16,12,0,108,12,0,21,0,0,4,7,16,0,60,8,0,11,0,0,3,0,6,0,37,0,0,7,0,0,4,4,4,0,27,3,0,10,0,3,0,3,0,0,21,3,0,9,0,0,0,0,0,0,12,0,0,3,3,0,0,3,0,0,10,130,34,277,111,70,63,69,106,13,883,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,5,3,0,0,0,0,10,0,0,0,0,3,0,0,0,0,12,0,0,0,3,3,0,0,3,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,Bellingen (A)
10650,28,4,31,5,11,3,16,4,3,105,20,3,13,0,3,0,5,3,0,47,6,0,21,0,0,0,10,3,0,45,7,0,9,0,0,3,3,0,0,17,3,0,3,5,0,0,0,3,0,16,0,0,0,0,0,0,0,3,0,9,3,0,4,0,0,0,0,0,0,10,158,23,183,107,50,41,66,84,5,717,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Berrigan (A)
10750,297,147,1409,246,520,177,675,299,72,3830,267,116,1052,124,332,139,414,169,47,2656,340,118,784,82,224,112,295,106,29,2089,243,91,500,29,100,69,197,64,28,1315,385,114,506,31,67,82,178,67,16,1437,156,18,100,7,17,27,32,15,3,373,27,12,119,19,21,24,38,28,42,326,2170,954,6920,1989,2429,1382,3016,1673,365,20901,0,0,0,0,4,0,0,0,0,6,0,0,0,9,8,4,0,7,0,32,3,4,6,4,9,21,10,12,0,69,0,3,5,14,15,23,3,12,0,76,6,3,6,17,12,19,3,22,0,84,3,9,12,33,28,27,16,17,3,140,14,6,11,31,44,21,42,26,3,186,15,10,15,18,60,19,52,30,0,229,23,6,3,14,71,13,49,8,6,194,11,5,3,9,35,12,22,5,0,102,5,7,3,5,20,3,7,9,3,68,7,4,3,3,11,0,5,4,0,35,Blacktown (C)
10800,27,0,30,6,18,6,15,13,0,110,14,0,16,3,4,4,17,6,0,62,7,0,9,0,3,0,20,3,0,54,9,0,21,0,0,0,8,0,0,38,8,3,38,0,0,0,21,0,0,67,8,0,3,0,0,0,3,0,0,12,7,0,4,0,0,0,0,3,0,16,153,20,214,43,55,35,108,68,5,706,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,7,5,0,0,0,4,5,0,0,0,8,0,0,0,0,3,0,0,0,0,9,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,Bland (A)
