lga_code16,tot_nni_mng,tot_nni_pro,tot_nni_tectw,tot_nni_copsw,tot_nni_claw,tot_nni_swks,tot_nni_maopdv,tot_nni_lab,tot_nni_idns,tot_nni_tot,tot_1_149_mng,tot_1_149_pro,tot_1_149_tectw,tot_1_149_copsw,tot_1_149_claw,tot_1_149_swks,tot_1_149_maopdv,tot_1_149_lab,tot_1_149_idns,tot_1_149_tot,tot_150_299_mng,tot_150_299_pro,tot_150_299_tectw,tot_150_299_copsw,tot_150_299_claw,tot_150_299_swks,tot_150_299_maopdv,tot_150_299_lab,tot_150_299_idns,tot_150_299_tot,tot_300_399_mng,tot_300_399_pro,tot_300_399_tectw,tot_300_399_copsw,tot_300_399_claw,tot_300_399_swks,tot_300_399_maopdv,tot_300_399_lab,tot_300_399_idns,tot_300_399_tot,tot_400_499_mng,tot_400_499_pro,tot_400_499_tectw,tot_400_499_copsw,tot_400_499_claw,tot_400_499_swks,tot_400_499_maopdv,tot_400_499_lab,tot_400_499_idns,tot_400_499_tot,tot_500_649_mng,tot_500_649_pro,tot_500_649_tectw,tot_500_649_copsw,tot_500_649_claw,tot_500_649_swks,tot_500_649_maopdv,tot_500_649_lab,tot_500_649_idns,tot_500_649_tot,tot_650_799_mng,tot_650_799_pro,tot_650_799_tectw,tot_650_799_copsw,tot_650_799_claw,tot_650_799_swks,tot_650_799_maopdv,tot_650_799_lab,tot_650_799_idns,tot_650_799_tot,tot_800_999_mng,tot_800_999_pro,tot_800_999_tectw,tot_800_999_copsw,tot_800_999_claw,tot_800_999_swks,tot_800_999_maopdv,tot_800_999_lab,tot_800_999_idns,tot_800_999_tot,tot_1000_1249_mng,tot_1000_1249_pro,tot_1000_1249_tectw,tot_1000_1249_copsw,tot_1000_1249_claw,tot_1000_1249_swks,tot_1000_1249_maopdv,tot_1000_1249_lab,tot_1000_1249_idns,tot_1000_1249_tot,tot_1250_1499_mng,tot_1250_1499_pro,tot_1250_1499_tectw,tot_1250_1499_copsw,tot_1250_1499_claw,tot_1250_1499_swks,tot_1250_1499_maopdv,tot_1250_1499_lab,tot_1250_1499_idns,tot_1250_1499_tot,tot_1500_1749_mng,tot_1500_1749_pro,tot_1500_1749_tectw,tot_1500_1749_copsw,tot_1500_1749_claw,tot_1500_1749_swks,tot_1500_1749_maopdv,tot_1500_1749_lab,tot_1500_1749_idns,tot_1500_1749_tot,tot_1750_1999_mng,tot_1750_1999_pro,tot_1750_1999_tectw,tot_1750_1999_copsw,tot_1750_1999_claw,tot_1750_1999_swks,tot_1750_1999_maopdv,tot_1750_1999_lab,tot_1750_1999_idns,tot_1750_1999_tot,tot_2000_2999_mng,tot_2000_2999_pro,tot_2000_2999_tectw,tot_2000_2999_copsw,tot_2000_2999_claw,tot_2000_2999_swks,tot_2000_2999_maopdv,tot_2000_2999_lab,tot_2000_2999_idns,tot_2000_2999_tot,tot_3000mo_mng,tot_3000mo_pro,tot_3000mo_tectw,tot_3000mo_copsw,tot_3000mo_claw,tot_3000mo_swks,tot_3000mo_maopdv,tot_3000mo_lab,tot_3000mo_idns,tot_3000mo_tot,tot_pins_mng,tot_pins_pro,tot_pins_tectw,tot_pins_copsw,tot_pins_claw,tot_pins_swks,tot_pins_maopdv,tot_pins_lab,tot_pins_idns,tot_pins_tot,tot_tot_mng,tot_tot_pro,tot_tot_tectw,tot_tot_copsw,tot_tot_claw,tot_tot_swks,tot_tot_maopdv,tot_tot_lab,tot_tot_idns,tot_tot_tot,lga_name16
10050,11,16,5,12,12,9,0,3,5,73,18,22,15,36,21,25,7,22,4,168,15,43,25,91,61,64,9,57,3,382,37,50,65,137,96,95,19,70,3,565,28,80,115,203,150,119,37,86,9,833,80,205,202,347,278,161,41,109,21,1440,120,307,353,367,347,196,102,143,17,1957,187,480,507,375,431,167,130,127,26,2438,250,684,541,253,395,109,117,79,24,2457,205,706,313,119,250,74,80,34,15,1798,235,631,202,89,133,45,49,29,17,1425,168,498,113,78,59,23,36,8,16,1010,359,528,78,85,76,27,21,7,13,1196,149,248,18,9,21,20,3,0,0,466,24,56,44,27,30,27,12,19,34,279,1893,4554,2606,2220,2367,1151,658,806,219,16478,Albury (C)
10130,41,8,5,3,3,4,3,6,7,79,13,31,14,21,15,15,0,26,4,137,18,51,18,63,34,37,7,33,7,278,34,53,37,69,39,45,11,52,3,344,62,78,58,92,65,63,8,48,8,481,75,131,86,150,128,66,14,125,4,787,103,180,190,156,149,86,37,110,13,1027,140,236,205,127,194,59,44,73,15,1098,178,364,193,121,204,29,50,49,13,1195,102,337,108,68,142,22,14,14,7,819,115,409,91,55,85,20,7,6,11,799,74,377,34,26,33,7,0,9,3,575,206,493,22,42,39,10,3,3,3,822,91,177,6,5,17,8,0,0,0,306,25,27,21,14,20,3,7,15,16,159,1284,2958,1104,1012,1175,474,214,570,112,8915,Armidale Regional (A)
10250,21,9,12,3,8,3,7,7,0,74,18,25,13,17,6,17,7,14,5,118,15,39,30,52,30,25,13,42,6,255,28,74,63,103,56,58,14,49,11,444,55,94,67,135,80,74,15,85,8,624,65,174,158,267,143,91,32,97,15,1042,131,235,220,286,173,94,50,139,18,1350,178,282,334,220,185,90,58,98,19,1460,179,345,285,152,185,54,64,64,11,1347,143,311,153,58,79,24,32,18,4,827,128,343,91,47,35,25,13,17,6,702,79,353,59,35,37,13,8,4,6,596,169,298,38,35,35,19,7,12,10,618,100,147,12,0,12,19,3,8,6,301,14,32,23,18,15,10,0,10,18,148,1331,2757,1557,1433,1094,617,326,664,132,9914,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,5,0,12,4,0,0,0,0,0,0,3,0,16,3,0,0,0,4,4,0,3,0,18,9,4,7,4,6,0,3,8,0,40,7,7,9,8,3,0,3,7,0,47,12,6,14,5,7,0,10,12,0,69,10,10,8,8,3,0,4,3,0,52,4,19,3,4,3,0,4,0,0,32,5,7,4,9,3,0,0,4,0,25,6,9,3,7,0,0,0,0,0,14,9,3,0,0,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,11,0,3,0,4,0,0,0,0,0,5,76,70,56,49,29,10,20,45,4,365,Balranald (A)
10470,18,11,12,9,12,4,0,7,5,78,4,12,11,36,9,18,5,16,0,116,23,40,32,81,39,60,6,46,9,332,37,48,55,84,42,46,14,47,10,384,35,55,73,129,74,62,13,65,7,522,64,143,151,212,139,101,29,87,7,936,117,203,221,227,162,128,42,115,18,1229,150,282,305,230,265,110,107,113,14,1577,194,401,324,184,264,67,72,104,12,1614,154,420,204,110,172,37,54,50,8,1206,175,445,170,127,95,24,33,55,14,1136,126,455,112,99,58,14,19,30,7,919,279,427,101,83,59,18,17,22,13,1023,132,152,21,4,19,10,7,8,0,343,22,18,27,18,24,10,10,15,25,167,1540,3109,1810,1620,1418,723,425,782,151,11570,Bathurst Regional (A)
10550,30,7,9,0,4,3,0,11,0,64,25,11,15,16,20,22,6,26,0,138,49,43,49,69,42,32,0,33,7,321,42,47,73,82,43,47,8,48,7,386,45,59,77,104,60,72,14,56,9,494,97,126,115,190,105,94,26,68,8,829,117,157,172,169,114,113,37,87,14,970,148,196,230,161,151,58,53,125,7,1130,149,258,190,98,150,31,55,97,15,1039,101,226,126,36,65,28,41,43,4,666,73,250,80,24,42,18,22,21,4,523,62,216,50,30,20,8,6,16,8,413,113,161,51,35,20,7,3,3,4,405,40,86,5,5,5,0,3,0,0,152,13,15,24,10,9,10,3,13,10,103,1102,1850,1265,1029,827,541,271,659,97,7642,Bega Valley (A)
10600,18,0,4,0,3,3,0,0,0,32,3,7,3,7,11,3,0,9,0,49,28,14,17,16,14,12,4,10,7,117,20,19,25,16,14,18,10,13,0,133,23,26,33,40,16,16,3,18,5,190,45,39,41,65,49,19,7,26,0,290,40,61,65,66,30,23,7,25,8,334,44,67,59,43,30,15,20,29,3,310,40,79,39,28,23,7,21,18,4,276,39,81,30,3,5,6,8,19,0,193,22,71,12,6,8,8,0,13,0,146,18,66,8,5,3,4,4,7,0,117,32,47,12,7,6,3,3,5,3,125,19,27,7,0,0,0,0,0,0,56,7,7,9,3,3,0,3,0,6,41,411,614,363,317,222,141,108,192,47,2408,Bellingen (A)
10650,13,3,0,3,5,0,0,3,0,25,4,0,4,4,3,3,0,3,0,26,18,4,4,10,4,4,0,6,3,64,24,5,15,20,9,11,3,17,0,94,20,9,13,24,13,10,0,9,0,102,25,21,32,39,16,15,9,12,0,180,39,25,32,46,29,11,15,25,5,219,47,20,50,33,35,12,17,21,3,236,57,45,33,23,19,8,15,20,3,215,39,36,10,5,14,0,12,10,0,129,24,32,21,7,7,0,12,3,3,109,20,32,7,7,3,5,3,0,0,69,34,26,3,8,0,0,0,4,3,86,8,10,0,0,0,0,0,3,0,19,8,5,8,4,3,0,3,3,4,36,379,268,240,235,156,80,95,134,16,1616,Berrigan (A)
10750,53,58,46,32,46,36,25,18,48,362,21,105,48,120,75,92,31,87,19,600,63,229,122,308,204,295,78,186,33,1515,87,245,213,382,266,311,145,233,35,1915,132,289,319,510,340,347,208,292,50,2488,259,543,575,827,608,496,380,435,63,4179,362,843,883,1030,934,498,928,636,94,6207,579,1326,1463,1035,1419,566,1420,694,158,8655,959,2207,1940,891,1648,455,1366,569,163,10199,845,2330,1381,491,1016,318,781,320,107,7584,993,2326,1033,337,636,271,511,190,76,6386,824,2120,683,232,323,147,302,114,48,4800,1979,2055,709,234,359,230,262,116,62,6005,1317,736,147,30,116,109,47,22,20,2546,105,175,157,71,76,59,95,82,187,1007,8592,15580,9719,6517,8071,4234,6582,3995,1164,64446,Blacktown (C)
10800,20,0,0,0,3,0,0,3,0,26,5,0,3,6,4,0,0,3,0,23,7,3,5,16,3,8,0,12,0,58,18,3,7,7,4,0,0,11,0,51,22,7,10,12,11,5,0,12,0,92,39,16,22,16,23,16,6,20,0,161,23,14,30,22,19,11,9,13,0,141,51,27,33,10,20,4,12,13,3,168,50,39,29,9,26,8,19,17,5,207,27,30,26,6,10,4,25,11,0,136,23,31,9,4,10,0,29,4,3,109,17,20,18,3,4,0,17,0,0,76,30,35,46,5,3,0,27,0,3,153,28,25,3,0,3,0,3,0,0,68,11,0,3,0,0,0,3,3,6,31,380,250,259,127,139,61,145,120,22,1501,Bland (A)
10850,12,0,0,0,0,3,3,0,0,18,8,0,3,7,3,0,0,5,0,31,14,11,3,12,10,8,3,11,0,62,19,5,4,13,9,4,7,12,0,72,12,12,11,14,4,4,0,9,0,58,20,7,14,11,9,9,9,7,4,101,28,31,26,17,23,4,9,20,3,166,33,29,34,18,20,9,24,20,3,186,48,33,38,7,25,8,26,21,0,203,31,36,29,6,13,3,32,20,0,161,29,34,44,3,13,3,30,17,0,170,25,46,47,8,6,0,45,15,0,190,40,62,122,3,13,3,59,6,7,320,43,30,32,0,0,0,3,0,5,112,6,3,3,0,3,3,3,4,3,28,357,338,406,124,147,65,249,168,30,1885,Blayney (A)
10900,24,20,3,10,9,5,3,4,3,79,12,60,23,64,31,24,5,47,3,265,27,132,63,142,79,68,12,84,8,624,53,142,79,175,85,76,20,89,13,724,51,182,111,212,97,111,19,97,8,881,96,289,168,321,187,119,31,143,15,1363,114,316,257,372,193,110,33,125,11,1530,158,375,317,319,222,83,49,95,22,1642,220,480,304,222,196,63,53,66,14,1608,162,466,178,98,123,48,22,26,11,1128,143,449,132,81,70,18,15,23,12,949,87,470,70,58,29,14,11,21,9,763,230,380,66,53,44,15,13,10,8,821,93,158,16,8,12,7,3,3,7,310,17,41,35,33,16,20,8,12,20,194,1485,3957,1817,2160,1400,770,297,847,160,12894,Blue Mountains (C)
10950,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,11,3,3,3,3,0,0,3,0,21,13,0,6,0,4,3,0,3,0,27,7,4,3,3,0,0,6,5,0,25,12,4,6,5,3,3,0,10,3,46,14,3,6,16,4,3,0,3,3,48,8,13,16,15,9,3,8,13,4,84,22,17,22,8,6,3,6,13,0,107,6,14,6,8,8,0,7,5,0,49,14,17,17,6,12,0,11,7,0,86,7,15,17,3,3,0,16,0,0,64,13,27,31,3,0,3,12,0,0,93,24,8,7,0,0,0,3,0,0,47,5,0,3,0,0,0,3,0,3,23,153,133,148,72,55,22,71,62,14,735,Bogan (A)
