lga_code16,p_m3_trn_and_2_oth_ms_15_24,p_m3_trn_and_2_oth_ms_25_34,p_m3_trn_and_2_oth_ms_35_44,p_m3_trn_and_2_oth_ms_45_54,p_m3_trn_and_2_oth_ms_55_64,p_m3_trn_and_2_oth_ms_65_74,p_m3_trn_and_2_oth_ms_75ov,p_m3_trn_and_2_oth_ms_tot,p_m3_bus2othms_ex_tn_15_24,p_m3_bus2othms_ex_tn_25_34,p_m3_bus2othms_ex_tn_35_44,p_m3_bus2othms_ex_tn_45_54,p_m3_bus2othms_ex_tn_55_64,p_m3_bus2othms_ex_tn_65_74,p_m3_bus2othms_ex_tn_75ov,p_m3_bus2othms_ex_tn_tot,p_m3_other_m3_15_24,p_m3_other_m3_25_34,p_m3_other_m3_35_44,p_m3_other_m3_45_54,p_m3_other_m3_55_64,p_m3_other_m3_65_74,p_m3_other_m3_75ov,p_m3_other_m3_tot,p_m3_tot_m3_15_24,p_m3_tot_m3_25_34,p_m3_tot_m3_35_44,p_m3_tot_m3_45_54,p_m3_tot_m3_55_64,p_m3_tot_m3_65_74,p_m3_tot_m3_75ov,p_m3_tot_m3_tot,p_wkd_at_home_15_24,p_wkd_at_home_25_34,p_wkd_at_home_35_44,p_wkd_at_home_45_54,p_wkd_at_home_55_64,p_wkd_at_home_65_74,p_wkd_at_home_75ov,p_wkd_at_home_tot,p_did_not_go_to_work_15_24,p_did_not_go_to_work_25_34,p_did_not_go_to_work_35_44,p_did_not_go_to_work_45_54,p_did_not_go_to_work_55_64,p_did_not_go_to_work_65_74,p_did_not_go_to_work_75ov,p_did_not_go_to_work_tot,p_mt_ns_15_24,p_mt_ns_25_34,p_mt_ns_35_44,p_mt_ns_45_54,p_mt_ns_55_64,p_mt_ns_65_74,p_mt_ns_75ov,p_mt_ns_tot,p_tot_15_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75ov,p_tot_tot,lga_name16
10050,0,0,0,5,0,0,0,5,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,5,5,4,6,3,0,0,18,20,96,159,161,184,84,29,737,666,578,447,400,397,114,9,2611,38,23,42,38,47,26,9,224,4133,4997,5002,5459,4194,921,104,24820,Albury (C)
10130,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,3,0,3,7,6,0,3,0,13,27,56,154,187,213,189,67,891,385,245,167,194,218,79,11,1300,29,26,26,28,12,11,5,138,2238,2387,2402,2898,2334,695,144,13097,Armidale Regional (A)
10250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,3,0,0,4,0,0,0,10,16,83,244,290,329,203,66,1239,336,230,213,283,308,96,3,1472,27,23,42,34,34,25,15,197,2062,2182,2990,3573,3119,833,146,14913,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,14,22,14,0,78,11,7,11,12,7,3,0,50,0,6,0,4,0,0,0,19,91,116,168,180,191,42,9,795,Balranald (A)
10470,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,7,5,0,0,0,0,0,12,32,88,146,171,195,150,47,837,509,350,277,270,296,85,19,1808,55,29,42,34,33,12,3,205,2988,3425,3439,3758,2927,774,146,17455,Bathurst Regional (A)
10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,11,0,0,0,4,6,0,0,11,15,56,139,194,291,184,55,938,259,218,225,301,393,116,13,1518,33,19,25,34,29,24,10,168,1437,1584,2107,3055,2884,762,118,11940,Bega Valley (A)
10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,33,89,111,137,82,39,493,50,51,74,98,100,30,0,409,9,3,4,13,11,3,4,50,334,480,671,912,907,256,65,3609,Bellingen (A)
10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,54,74,97,52,15,330,41,47,38,47,60,25,7,261,7,6,3,5,3,3,5,46,322,400,467,574,653,237,55,2709,Berrigan (A)
10750,76,73,44,36,18,12,0,260,3,9,0,0,0,0,0,15,6,6,3,7,4,0,0,20,91,90,46,38,22,12,0,295,107,656,1045,818,557,190,22,3393,1997,1690,1432,1118,974,311,36,7559,230,258,187,221,142,51,17,1112,15915,23441,24399,22963,15282,3117,238,105352,Blacktown (C)
10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,17,32,68,86,88,61,31,386,51,45,34,37,60,20,6,257,11,9,3,13,12,6,7,53,318,439,520,536,535,183,69,2599,Bland (A)
