lga_code16,ewft_16_techfei_ft,ewft_16_techfei_pt,ewft_16_techfei_ns,ewft_16_techfei_tot,ewft_16_uniotis_ft,ewft_16_uniotis_pt,ewft_16_uniotis_ns,ewft_16_uniotis_tot,ewft_16_other,ewft_16_ns,ewft_16_tot,ewft_17_techfei_ft,ewft_17_techfei_pt,ewft_17_techfei_ns,ewft_17_techfei_tot,ewft_17_uniotis_ft,ewft_17_uniotis_pt,ewft_17_uniotis_ns,ewft_17_uniotis_tot,ewft_17_other,ewft_17_ns,ewft_17_tot,ewft_18_techfei_ft,ewft_18_techfei_pt,ewft_18_techfei_ns,ewft_18_techfei_tot,ewft_18_uniotis_ft,ewft_18_uniotis_pt,ewft_18_uniotis_ns,ewft_18_uniotis_tot,ewft_18_other,ewft_18_ns,ewft_18_tot,ewft_19_techfei_ft,ewft_19_techfei_pt,ewft_19_techfei_ns,ewft_19_techfei_tot,ewft_19_uniotis_ft,ewft_19_uniotis_pt,ewft_19_uniotis_ns,ewft_19_uniotis_tot,ewft_19_other,ewft_19_ns,ewft_19_tot,ewft_20_24_techfei_ft,ewft_20_24_techfei_pt,ewft_20_24_techfei_ns,ewft_20_24_techfei_tot,ewft_20_24_uniotis_ft,ewft_20_24_uniotis_pt,ewft_20_24_uniotis_ns,ewft_20_24_uniotis_tot,ewft_20_24_other,ewft_20_24_ns,ewft_20_24_tot,ewft_25_29_techfei_ft,ewft_25_29_techfei_pt,ewft_25_29_techfei_ns,ewft_25_29_techfei_tot,ewft_25_29_uniotis_ft,ewft_25_29_uniotis_pt,ewft_25_29_uniotis_ns,ewft_25_29_uniotis_tot,ewft_25_29_other,ewft_25_29_ns,ewft_25_29_tot,ewft_30over_techfei_ft,ewft_30over_techfei_pt,ewft_30over_techfei_ns,ewft_30over_techfei_tot,ewft_30over_uniotis_ft,ewft_30over_uniotis_pt,ewft_30over_uniotis_ns,ewft_30over_uniotis_tot,ewft_30over_other,ewft_30over_ns,ewft_30over_tot,ewft_tot_techfei_ft,ewft_tot_techfei_pt,ewft_tot_techfei_ns,ewft_tot_techfei_tot,ewft_tot_uniotis_ft,ewft_tot_uniotis_pt,ewft_tot_uniotis_ns,ewft_tot_uniotis_tot,ewft_tot_other,ewft_tot_ns,ewft_tot_tot,ewpt_16_techfei_ft,ewpt_16_techfei_pt,ewpt_16_techfei_ns,ewpt_16_techfei_tot,ewpt_16_uniotis_ft,ewpt_16_uniotis_pt,ewpt_16_uniotis_ns,ewpt_16_uniotis_tot,ewpt_16_other,ewpt_16_ns,ewpt_16_tot,ewpt_17_techfei_ft,ewpt_17_techfei_pt,ewpt_17_techfei_ns,ewpt_17_techfei_tot,ewpt_17_uniotis_ft,ewpt_17_uniotis_pt,ewpt_17_uniotis_ns,ewpt_17_uniotis_tot,ewpt_17_other,ewpt_17_ns,ewpt_17_tot,ewpt_18_techfei_ft,ewpt_18_techfei_pt,ewpt_18_techfei_ns,ewpt_18_techfei_tot,ewpt_18_uniotis_ft,ewpt_18_uniotis_pt,ewpt_18_uniotis_ns,ewpt_18_uniotis_tot,ewpt_18_other,ewpt_18_ns,ewpt_18_tot,ewpt_19_techfei_ft,ewpt_19_techfei_pt,ewpt_19_techfei_ns,ewpt_19_techfei_tot,ewpt_19_uniotis_ft,ewpt_19_uniotis_pt,ewpt_19_uniotis_ns,ewpt_19_uniotis_tot,ewpt_19_other,ewpt_19_ns,ewpt_19_tot,ewpt_20_24_techfei_ft,ewpt_20_24_techfei_pt,ewpt_20_24_techfei_ns,ewpt_20_24_techfei_tot,ewpt_20_24_uniotis_ft,ewpt_20_24_uniotis_pt,ewpt_20_24_uniotis_ns,ewpt_20_24_uniotis_tot,ewpt_20_24_other,ewpt_20_24_ns,ewpt_20_24_tot,ewpt_25_29_techfei_ft,ewpt_25_29_techfei_pt,ewpt_25_29_techfei_ns,ewpt_25_29_techfei_tot,ewpt_25_29_uniotis_ft,ewpt_25_29_uniotis_pt,ewpt_25_29_uniotis_ns,ewpt_25_29_uniotis_tot,ewpt_25_29_other,ewpt_25_29_ns,ewpt_25_29_tot,ewpt_30over_techfei_ft,ewpt_30over_techfei_pt,ewpt_30over_techfei_ns,ewpt_30over_techfei_tot,ewpt_30over_uniotis_ft,ewpt_30over_uniotis_pt,ewpt_30over_uniotis_ns,ewpt_30over_uniotis_tot,ewpt_30over_other,ewpt_30over_ns,ewpt_30over_tot,ewpt_tot_techfei_ft,ewpt_tot_techfei_pt,ewpt_tot_techfei_ns,ewpt_tot_techfei_tot,ewpt_tot_uniotis_ft,ewpt_tot_uniotis_pt,ewpt_tot_uniotis_ns,ewpt_tot_uniotis_tot,ewpt_tot_other,ewpt_tot_ns,ewpt_tot_tot,eafw_16_techfei_ft,eafw_16_techfei_pt,eafw_16_techfei_ns,eafw_16_techfei_tot,eafw_16_uniotis_ft,eafw_16_uniotis_pt,eafw_16_uniotis_ns,eafw_16_uniotis_tot,eafw_16_other,eafw_16_ns,eafw_16_tot,eafw_17_techfei_ft,eafw_17_techfei_pt,eafw_17_techfei_ns,eafw_17_techfei_tot,eafw_17_uniotis_ft,eafw_17_uniotis_pt,eafw_17_uniotis_ns,eafw_17_uniotis_tot,eafw_17_other,eafw_17_ns,eafw_17_tot,eafw_18_techfei_ft,eafw_18_techfei_pt,lga_name16
10050,0,4,0,4,0,0,0,0,4,0,9,0,13,0,14,0,0,0,0,0,0,15,3,38,0,44,0,0,0,0,3,0,47,3,33,0,38,3,3,0,7,3,0,46,21,125,0,144,25,54,0,83,16,7,249,12,55,0,62,8,85,0,101,19,7,194,16,118,0,134,35,220,0,255,55,84,530,49,387,0,444,75,369,0,445,98,100,1083,0,0,0,0,0,0,0,0,231,4,236,9,3,0,12,0,0,0,0,265,4,283,14,9,0,27,34,4,0,37,139,7,205,11,8,0,18,61,7,0,71,9,3,100,35,43,0,73,303,45,0,353,14,3,440,19,26,0,49,61,35,0,97,10,5,156,30,124,0,157,74,118,0,189,54,51,449,111,229,0,336,533,216,0,748,714,75,1874,0,0,0,0,0,0,0,0,16,0,16,0,3,0,3,0,0,0,0,24,0,24,0,0,Albury (C)
10130,0,4,0,5,0,0,0,0,0,0,5,0,7,0,6,0,0,0,0,3,0,12,0,13,0,14,0,0,0,0,0,0,14,3,6,0,12,3,3,0,6,0,0,19,14,37,0,50,14,58,0,74,3,8,136,10,19,0,37,13,42,0,56,3,5,97,3,76,3,78,35,199,0,239,33,48,394,30,165,0,198,71,304,0,373,42,61,681,4,0,0,3,0,0,0,0,101,0,110,6,5,0,7,0,0,0,0,108,0,118,3,4,0,12,60,3,0,59,48,0,115,3,9,0,6,87,3,0,90,0,0,105,12,23,0,35,289,76,0,361,5,6,400,3,14,0,17,74,35,0,111,3,0,135,5,59,0,65,95,103,3,199,22,33,316,37,114,0,148,608,218,4,825,280,42,1296,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,14,0,11,0,0,Armidale Regional (A)
10250,0,3,0,7,0,0,0,0,0,0,6,0,13,0,13,0,0,0,0,0,0,10,0,18,0,24,0,0,0,0,0,0,24,0,12,0,17,0,0,0,0,0,0,18,8,51,3,58,12,25,0,36,3,3,102,3,17,0,22,7,29,0,37,6,6,66,9,89,0,93,5,130,3,147,32,63,337,25,195,4,222,22,185,3,211,45,80,561,3,3,0,9,0,0,0,0,150,0,160,0,8,0,8,0,0,0,0,147,8,158,4,6,0,9,13,0,0,14,85,3,112,0,8,0,12,31,4,0,37,3,5,51,13,22,0,36,114,30,0,147,3,0,189,5,14,0,13,29,17,0,54,5,3,78,18,95,0,112,58,97,0,151,35,49,347,44,161,0,197,247,150,3,400,424,64,1093,0,0,0,0,0,0,0,0,12,0,10,0,3,0,3,0,0,0,0,18,0,17,0,0,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,4,0,4,0,9,17,0,13,0,14,0,4,0,4,0,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,3,0,3,0,0,0,0,0,0,3,0,6,0,6,0,0,0,0,3,5,8,0,9,0,9,0,3,0,3,4,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Balranald (A)
10470,0,0,0,0,0,0,0,0,0,0,3,0,15,0,15,0,0,0,0,0,0,15,3,27,0,33,0,0,0,3,3,0,38,7,34,0,35,3,5,0,5,3,0,47,12,73,4,90,28,45,0,77,7,4,174,5,52,0,60,9,57,0,64,12,11,147,11,119,0,129,20,249,0,270,46,83,526,39,320,3,365,59,352,0,422,74,103,957,0,0,0,0,0,0,0,0,130,3,138,0,4,0,4,0,0,0,0,134,8,143,7,11,0,16,47,5,0,53,47,0,111,0,8,0,13,107,3,0,112,3,0,125,7,23,0,37,388,65,0,450,7,3,494,10,14,0,27,50,28,0,79,4,4,113,18,97,0,116,43,105,0,150,22,45,329,44,160,0,210,636,205,0,838,344,65,1455,0,0,0,0,0,0,0,0,5,3,11,3,0,0,3,0,0,0,0,16,0,20,0,0,Bathurst Regional (A)
10550,0,3,0,3,0,0,0,0,0,0,3,0,7,0,7,0,0,0,0,0,0,10,0,12,0,13,0,0,0,0,0,0,15,8,18,0,20,0,0,0,0,0,0,25,9,40,0,45,3,14,0,20,0,3,67,0,17,0,17,0,16,0,16,3,4,46,3,42,0,45,5,81,0,84,20,85,232,16,138,0,154,5,111,0,119,32,94,399,0,0,0,3,0,0,0,0,100,3,108,3,3,0,4,0,0,0,0,118,3,126,0,3,0,8,5,0,0,5,46,0,59,0,0,0,5,3,0,0,6,5,0,18,3,17,0,18,28,4,0,32,8,8,64,3,20,0,22,11,9,0,19,3,4,48,4,41,3,49,28,66,0,92,27,57,225,19,86,3,103,72,85,0,157,301,72,643,0,0,0,0,0,0,0,0,5,3,12,0,0,0,0,0,0,0,0,13,0,15,0,0,Bega Valley (A)
10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,8,0,7,0,7,0,0,0,0,0,0,5,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,7,0,9,0,30,0,31,9,28,74,0,22,0,27,0,32,0,38,9,31,103,0,0,0,0,0,0,0,0,35,0,37,0,0,0,0,0,0,0,0,35,0,33,0,0,0,0,0,0,0,0,23,0,21,3,0,0,4,3,0,0,3,0,0,10,0,0,0,8,6,3,0,11,0,0,19,0,0,0,0,4,11,0,17,0,3,21,8,27,0,38,9,30,0,46,8,16,104,13,37,0,49,27,48,0,71,95,20,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,Bellingen (A)
10650,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,5,0,5,0,0,0,0,0,0,5,0,6,0,6,0,0,0,0,0,0,6,0,9,0,5,0,5,0,3,0,0,12,0,4,0,4,0,6,0,6,0,0,14,0,13,0,14,0,13,0,13,0,17,49,3,38,0,40,0,25,0,25,0,21,87,0,0,0,0,0,0,0,0,13,0,12,0,0,0,0,0,0,0,0,22,3,25,0,0,0,0,0,0,0,0,5,0,8,0,3,0,3,0,0,0,0,0,0,7,0,3,0,3,4,3,0,5,3,0,15,0,3,0,3,3,3,0,10,0,0,12,3,7,0,8,3,13,0,12,9,4,39,5,19,0,19,15,17,0,31,49,9,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berrigan (A)
10750,0,23,0,23,0,0,0,0,7,0,29,3,48,0,54,0,0,0,0,13,0,67,14,110,0,122,12,6,0,18,9,0,148,7,134,0,143,13,16,0,26,11,6,187,53,333,3,388,139,175,0,317,65,23,796,30,173,3,205,67,270,3,342,76,25,652,87,511,15,612,150,757,16,926,359,341,2237,199,1326,23,1546,388,1216,16,1623,537,402,4110,13,8,0,23,0,0,0,0,747,17,787,12,14,0,32,7,0,0,9,655,13,707,44,36,0,85,424,27,0,456,190,5,733,43,36,0,81,576,58,3,641,27,8,761,114,113,3,227,1729,296,3,2031,127,40,2422,67,81,0,144,310,132,0,439,96,19,700,116,311,8,439,246,311,3,561,246,144,1388,417,598,9,1024,3293,825,12,4137,2100,242,7495,3,0,0,3,0,0,0,0,64,3,69,3,0,0,3,0,0,0,0,79,4,93,6,7,Blacktown (C)
10800,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,5,0,4,0,4,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,0,3,0,8,0,6,0,3,0,3,0,0,8,0,7,0,7,0,0,0,0,0,3,12,0,11,0,11,3,16,0,12,6,21,57,3,30,0,35,4,18,0,22,11,25,88,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,12,0,0,8,0,0,18,0,3,0,3,3,7,0,11,0,0,9,3,9,0,9,0,6,0,6,0,5,19,3,17,0,18,12,13,0,28,33,5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,Bland (A)
