lga_code16,nfans_75ov_ewft,nfans_75ov_ewpt,nfans_75ov_eafw,nfans_75ov_ehw_ns,nfans_75ov_tot,nfans_tot_ewft,nfans_tot_ewpt,nfans_tot_eafw,nfans_tot_ehw_ns,nfans_tot_tot,tot_15_19_ewft,tot_15_19_ewpt,tot_15_19_eafw,tot_15_19_ehw_ns,tot_15_19_tot,tot_20_24_ewft,tot_20_24_ewpt,tot_20_24_eafw,tot_20_24_ehw_ns,tot_20_24_tot,tot_25_29_ewft,tot_25_29_ewpt,tot_25_29_eafw,tot_25_29_ehw_ns,tot_25_29_tot,tot_30_34_ewft,tot_30_34_ewpt,tot_30_34_eafw,tot_30_34_ehw_ns,tot_30_34_tot,tot_35_39_ewft,tot_35_39_ewpt,tot_35_39_eafw,tot_35_39_ehw_ns,tot_35_39_tot,tot_40_44_ewft,tot_40_44_ewpt,tot_40_44_eafw,tot_40_44_ehw_ns,tot_40_44_tot,tot_45_49_ewft,tot_45_49_ewpt,tot_45_49_eafw,tot_45_49_ehw_ns,tot_45_49_tot,tot_50_54_ewft,tot_50_54_ewpt,tot_50_54_eafw,tot_50_54_ehw_ns,tot_50_54_tot,tot_55_59_ewft,tot_55_59_ewpt,tot_55_59_eafw,tot_55_59_ehw_ns,tot_55_59_tot,tot_60_64_ewft,tot_60_64_ewpt,tot_60_64_eafw,tot_60_64_ehw_ns,tot_60_64_tot,tot_65_69_ewft,tot_65_69_ewpt,tot_65_69_eafw,tot_65_69_ehw_ns,tot_65_69_tot,tot_70_74_ewft,tot_70_74_ewpt,tot_70_74_eafw,tot_70_74_ehw_ns,tot_70_74_tot,tot_75ov_ewft,tot_75ov_ewpt,tot_75ov_eafw,tot_75ov_ehw_ns,tot_75ov_tot,tot_tot_ewft,tot_tot_ewpt,tot_tot_eafw,tot_tot_ehw_ns,tot_tot_tot,lga_name16
10050,0,0,0,0,0,172,100,17,22,312,355,1251,63,49,1724,1289,1004,64,59,2408,1567,702,121,39,2428,1540,842,149,34,2570,1492,825,86,35,2437,1624,832,70,40,2569,1831,809,64,48,2757,1785,802,89,28,2703,1559,795,110,32,2493,901,689,82,25,1704,288,388,41,24,739,50,115,17,8,186,23,60,7,11,104,14305,9118,966,426,24820,Albury (C)
10130,0,0,0,0,0,97,66,15,5,185,162,641,55,33,893,564,668,56,52,1344,748,387,54,16,1207,757,356,53,16,1183,681,356,48,11,1097,849,423,19,21,1305,933,406,30,21,1390,1034,421,30,23,1509,904,409,61,13,1388,563,322,46,16,945,218,209,24,11,462,106,107,4,11,230,63,67,10,4,144,7585,4776,487,254,13097,Armidale Regional (A)
10250,0,0,0,0,3,124,93,11,15,240,169,755,39,25,985,536,481,35,23,1073,594,359,35,19,1002,693,426,49,20,1181,821,488,30,31,1376,938,618,30,34,1617,1028,654,38,18,1741,1094,667,51,25,1834,995,728,67,42,1829,617,602,56,13,1287,203,356,39,13,610,75,128,12,9,228,48,77,3,13,146,7814,6333,487,277,14913,Ballina (A)
10300,0,0,0,0,0,6,8,0,0,14,8,13,5,0,26,44,18,0,7,69,36,16,3,0,62,34,13,3,5,55,40,25,0,0,69,66,33,3,3,96,56,29,3,3,91,54,31,0,4,88,75,29,5,3,110,43,37,0,3,86,17,11,3,0,35,3,5,0,0,9,0,4,0,0,9,487,257,28,28,795,Balranald (A)
10470,0,3,0,0,3,145,78,13,20,254,246,802,54,50,1154,881,821,79,56,1840,1163,473,77,30,1745,1057,504,83,38,1676,1053,474,49,24,1601,1230,533,42,27,1835,1338,500,49,26,1908,1298,475,51,24,1844,1135,494,62,22,1717,694,426,72,21,1208,274,243,28,7,554,76,129,19,4,220,46,78,10,11,146,10491,5940,679,343,17455,Bathurst Regional (A)
10550,0,0,0,0,0,93,89,10,3,192,174,501,39,27,738,396,252,28,28,701,439,226,34,9,708,505,304,57,9,873,538,368,30,14,956,678,425,36,17,1152,862,502,48,17,1431,962,589,49,27,1622,852,724,91,29,1702,523,566,73,30,1186,209,290,30,20,554,65,115,21,11,211,40,61,8,8,118,6246,4922,531,244,11940,Bega Valley (A)
10600,0,0,0,0,0,26,35,0,0,61,34,145,3,9,187,71,68,4,6,146,101,83,4,8,193,156,115,12,8,289,141,126,18,6,289,199,162,10,7,378,228,179,16,12,442,250,193,18,7,466,253,221,25,7,505,167,204,19,8,402,74,95,4,4,174,25,44,7,0,79,25,30,5,9,65,1731,1653,139,82,3609,Bellingen (A)
10650,0,0,0,0,0,19,11,0,0,33,52,78,9,6,143,114,53,5,7,180,125,69,7,3,209,128,54,5,7,193,130,78,10,4,221,163,80,4,3,245,191,70,11,6,278,172,99,9,10,296,190,135,19,3,340,171,114,25,5,311,71,69,8,11,163,26,32,9,3,74,18,29,3,6,55,1552,960,126,79,2709,Berrigan (A)
10750,4,4,0,3,4,731,327,22,85,1176,1319,4251,233,184,5986,5230,4140,224,326,9926,7996,2536,359,296,11185,8658,2867,435,289,12253,8582,2917,314,308,12118,8932,2895,216,237,12281,8615,2731,204,256,11807,8253,2450,224,233,11157,6735,2154,229,145,9267,3952,1775,195,91,6015,1307,932,105,54,2399,295,369,20,35,710,68,136,19,22,238,69939,30163,2775,2479,105352,Blacktown (C)
10800,0,0,0,0,0,31,20,0,3,55,38,65,3,10,120,129,57,10,3,195,144,50,4,3,204,151,73,6,8,233,167,61,8,9,248,194,70,9,3,270,194,57,3,3,257,187,76,11,8,279,211,79,13,7,314,131,75,12,7,222,68,33,10,9,125,28,20,4,5,60,34,24,8,6,69,1674,751,91,80,2599,Bland (A)
