id,school_name,street_address,suburb,sector,type,latitude,longitude
1,Charles Conder Primary,Tom Roberts Avenue,Conder,Government,Primary School,-35.46488,149.09845
2,Lanyon High,Heidelberg Street,Conder,Government,High School,-35.460390000000004,149.09508
3,St Clare of Assisi Primary,Heidelberg Street,Conder,Non-Government,Catholic systemic,-35.45791,149.09677
4,Gordon Primary,Knoke Avenue,Gordon,Government,Primary School,-35.455517,149.08698
5,Theodore Primary,Lawrence-Wackett Crescent,Theodore,Government,Primary School,-35.447666,149.12396
6,Birrigai Outdoor School,Tidbinbilla Road,Tharwa,Government,Specialist School/Education Centre,-35.44473,148.95998
7,Calwell High,Casey Crescent,Calwell,Government,High School,-35.44105,149.11763
8,St Francis of Assisi Primary,Casey Crescent,Calwell,Non-Government,Catholic systemic,-35.4408,149.1196
9,Covenant Christian School,Woodcock Drive,Gordon,Non-Government,Independent Christian,-35.43922,149.09071
10,Calwell Primary,Casey Crescent,Calwell,Government,Primary School,-35.43841,149.10925
11,Bonython Primary,Hurtle Avenue,Bonython,Government,Primary School,-35.431847,149.08261000000002
12,Richardson Primary,May Gibbs Close,Richardson,Government,Primary School,-35.42886,149.11393999999999
13,Isabella Plains Early Childhood School,Ellerston Avenue,Isabella Plains,Government,Early Childhood School,-35.428715000000004,149.0895
14,Isabella Plains Early Childhood School,Ellerston Avenue,Isabella Plains,Government,Primary School,-35.428715000000004,149.0895
15,Gilmore Primary,Heagney Crescent,Gilmore,Government,Primary School,-35.419487,149.13558999999998
16,Caroline Chisholm School,Hambidge Crescent,Chisholm,Government,Preschool to Year 10,-35.418156,149.12204
17,Caroline Chisholm Primary,Hambidge Crescent,Chisholm,Government,Primary School,-35.418156,149.12204
18,Caroline Chisholm School,Hambidge Crescent,Chisholm,Government,High School,-35.418156,149.12204
19,Monash Primary,Corlette Crescent,Monash,Government,Primary School,-35.41488,149.08942
20,Gowrie Primary,Jeffries Street,Gowrie,Government,Primary School,-35.41361,149.11057
21,Lake Tuggeranong College,Cowlishaw Street,Tuggeranong,Government,Colleges Year 11-12,-35.4132,149.06793000000002
22,Holy Family Parish Primary,Castleton Crescent,Gowrie,Non-Government,Catholic systemic,-35.4103,149.11655
23,Trinity Christian School,McBryde Crescent,Wanniassa,Non-Government,Independent Christian,-35.408264,149.08604
24,St Mary MacKillop College - Isabella Plains Campus,Ellerston Avenue,Isabella Plains,Non-Government,Catholic systemic,-35.404922,149.08926
25,St Mary MacKillop College - Wanniassa Campus,Mackinnon Street,Wanniassa,Non-Government,Catholic systemic,-35.404922,149.08926
26,Fadden Primary,Hanlon Crescent,Fadden,Government,Primary School,-35.404284999999994,149.11818
27,Erindale College,McBryde Crescent,Wanniassa,Government,Colleges Year 11-12,-35.403008,149.09717
28,Wanniassa School,Wheeler Crescent,Wanniassa,Government,High School,-35.395275,149.08559
29,Wanniassa School,Sternberg Crescent,Wanniassa,Government,Preschool to Year 10,-35.394993,149.08636
30,Wanniassa School,Sternberg Crescent,Wanniassa,Government,Primary School,-35.394993,149.08636
31,St Anthony's Primary,Wheeler Crescent,Wanniassa,Non-Government,Catholic systemic,-35.39405,149.0801
32,Namadgi School,O'Halloran Circuit,Kambah,Government,Preschool to Year 10,-35.393840000000004,149.06444
33,Namadgi School,O'Halloran Circuit,Kambah,Government,Primary School,-35.393840000000004,149.06444
34,Namadgi School,O'Halloran Circuit,Kambah,Government,High School,-35.393840000000004,149.06444
35,Wanniassa Hills Primary,Langdon Avenue,Wanniassa,Government,Primary School,-35.39307,149.0959
36,Tuggeranong Introductory English Centre (at Wanniassa Hills Primary School),Langdon Avenue,Wanniassa,Government,Introductory English Centre,-35.39282,149.09216
