crash_id,crash_date,crash_time,severity,crash_type,cyclists,cyclist_casualties,reported_location,latitude,longitude
1122265,23-Oct-15,9:00,Injury,Right angle collision,1,1,COWPER/COX INTERSECTION,-35.26334,149.141637
1034637,14-May-12,12:37,Injury,Collision with parked vehicle,1,1,CAPITAL CIRCLE (COMMONWEALTH/COMMSPARLERM -> CANBERRA),-35.304932,149.125419
1055714,20-Feb-13,7:57,Injury,Right turn into oncoming vehicle,1,1,MORPHETT/NORTHBOURNE INTERSECTION,-35.253575,149.13335800000002
1083381,17-Mar-14,7:30,Injury,Same direction side swipe,1,1,BUNDA/NORTHBOURNE/RUDD INTERSECTION,-35.277134999999994,149.129453
1025046,4-Jan-12,8:50,Property Damage Only,Other - Vehicle to Vehicle,1,0,BARRY/COOYONG/NORTHBOURNE INTERSECTION,-35.275784,149.129771
1107433,7-Apr-15,8:05,Property Damage Only,Other - Vehicle to Vehicle,1,0,NORTHBOURNE AVENUE (MORPHETT -> MURDOCH),-35.252917,149.133364
1036447,10-Jun-12,16:30,Property Damage Only,Right angle collision,1,0,HIBBERSON STREET (GOZZARD -> GUNGAHLIN),-35.185382000000004,149.13394399999999
1084780,26-Apr-14,11:00,Injury,Right angle collision,1,1,TELOPEA/WENTWORTH/EASTLAKE INTERSECTION,-35.311098,149.14178700000002
1033807,27-Apr-12,16:30,Property Damage Only,Other - Vehicle to Vehicle,1,0,MACARTHUR/NORTHBOURNE/WAKEFIELD INTERSECTION,-35.260511,149.132038
1081057,5-Feb-14,17:15,Property Damage Only,Other - Vehicle to Vehicle,1,0,TORRENS STREET (BALLUMBIR/COOYONG -> ELOUERA),-35.274949,149.133857
1027295,3-Feb-12,5:50,Injury,Other - Vehicle to Vehicle,1,1,STONEHAVEN/MELBOURNE/GOWRIE INTERSECTION,-35.319359000000006,149.11449299999998
1088480,14-Jun-14,13:50,Injury,Right turn into oncoming vehicle,1,1,LAMBERT/WATTLE INTERSECTION,-35.247679,149.11985900000002
1097029,3-Sep-14,16:30,Injury,Struck pedestrian (On Road),1,1,COLLEGE/KIRINARI INTERSECTION,-35.242388,149.085286
1093159,7-Aug-14,8:30,Property Damage Only,Right turn into oncoming vehicle,1,0,MURDOCH/NORTHBOURNE INTERSECTION,-35.252666,149.133305
1046402,12-Sep-12,8:00,Property Damage Only,Right angle collision,1,0,COTTER/SWALLOWTAIL INTERSECTION,-35.326114000000004,149.03040900000002
