ogc_fid,institution,campus_name,address1,address2,suburb,state,postcode,country,street_address,provider_type,latitude,longitude
1,Batchelor Institute,Batchelor,,cnr Kirra Cres and Nurndina St,BATCHELOR,NT,845,Australia,"cnr Kirra Cres and Nurndina St, BATCHELOR, NT, 0845, Australia",TAFE,-13.047249,131.03221100000002
2,Batchelor Institute,The Desert Peoples Centre,,Desert People Centre,ALICE SPRINGS,NT,870,Australia,"Desert People Centre, ALICE SPRINGS, NT, 0870, Australia",TAFE,-23.759498,133.878311
3,Bendigo TAFE,Castlemaine,,65 Templeton Street,CASTLEMAINE,VIC,3450,Australia,"65 Templeton Street, CASTLEMAINE, VIC, 3450, Australia",TAFE,-37.063106,144.218984
4,Bendigo TAFE,Bendigo,,23 Mundy Street,BENDIGO,VIC,3550,Australia,"23 Mundy Street, BENDIGO, VIC, 3550, Australia",TAFE,-36.7573005,144.2832416
5,Bendigo TAFE,Charleston Road,,Charleston Road,BENDIGO,VIC,3550,Australia,"Charleston Road, BENDIGO, VIC, 3550, Australia",TAFE,-36.7524961,144.2949021
6,Bendigo TAFE,Echuca,,Cnr Hare & Darling Streets,ECHUCA,VIC,3564,Australia,"Cnr Hare & Darling Streets, ECHUCA, VIC, 3564, Australia",TAFE,-36.130217,144.750825
7,Bendigo TAFE and Kangan Institute,Bendigo TAFE - Bendigo Technical Education College (BTEC),,21 St. Andrews Avenue,BENDIGO,VIC,3550,Australia,"21 St. Andrews Avenue, BENDIGO, VIC, 3550, Australia",TAFE,-36.7602,144.284
8,Box Hill Institute,City,,253 Flinders Lane,MELBOURNE,VIC,3000,Australia,"253 Flinders Lane, MELBOURNE, VIC, 3000, Australia",TAFE,-37.81694088,144.96584140000002
9,Box Hill Institute,Box Hill,,465 Elgar Road,BOX HILL,VIC,3128,Australia,"465 Elgar Road, BOX HILL, VIC, 3128, Australia",TAFE,-37.81552,145.114738
10,Box Hill Institute,Whitehorse,,1000 Whitehorse Road,BOX HILL,VIC,3128,Australia,"1000 Whitehorse Road, BOX HILL, VIC, 3128, Australia",TAFE,-37.8187,145.126
11,Box Hill Institute,Nelson,,853 Whitehorse Road,BOX HILL,VIC,3128,Australia,"853 Whitehorse Road, BOX HILL, VIC, 3128, Australia",TAFE,-37.8166229,145.1192576
12,Box Hill Institute,Lilydale,,34 John Street,LILYDALE,VIC,3140,Australia,"34 John Street, LILYDALE, VIC, 3140, Australia",TAFE,-37.758694,145.34718600000002
13,Canberra Institute of Technology,CIT Woden,,160 Ainsworth Street,PHILLIP,ACT,2606,Australia,"160 Ainsworth Street, PHILLIP, ACT, 2606, Australia",TAFE,-35.348329,149.096518
14,Canberra Institute of Technology,CIT Fyshwick,,81 Mildura Street,FYSHWICK,ACT,2609,Australia,"81 Mildura Street, FYSHWICK, ACT, 2609, Australia",TAFE,-35.326935999999996,149.158466
15,Canberra Institute of Technology,CIT Reid,,37 Constitution Avenue,REID,ACT,2612,Australia,"37 Constitution Avenue, REID, ACT, 2612, Australia",TAFE,-35.286986999999996,149.1379209
16,Canberra Institute of Technology,CIT Bruce,,35 Vowels Crescent,BRUCE ,ACT,2617,Australia,"35 Vowels Crescent, BRUCE , ACT, 2617, Australia",TAFE,-35.249246,149.095689
17,Canberra Institute of Technology,CIT Tuggeranong,,205 Anketell Street,TUGGERANONG,ACT,2900,Australia,"205 Anketell Street, TUGGERANONG, ACT, 2900, Australia",TAFE,-35.4162774,149.068516
18,Canberra Institute of Technology,CIT Gungahlin,,25 Gozzard Street,GUNGAHLIN,ACT,2912,Australia,"25 Gozzard Street, GUNGAHLIN, ACT, 2912, Australia",TAFE,-35.186043,149.13172600000001
19,Central Regional TAFE,Northam,,Hutt Street,NORTHAM,WA,6401,Australia,"Hutt Street, NORTHAM, WA, 6401, Australia",TAFE,-31.643559999999997,116.664368
20,Central Regional TAFE,Merredin,,42 Throssell Road,MERREDIN,WA,6415,Australia,"42 Throssell Road, MERREDIN, WA, 6415, Australia",TAFE,-31.48668833,118.28426599999999
21,Central Regional TAFE,Kalgoorlie,,34 Cheetham Street Kalgoorlie,KALGOORLIE,WA,6430,Australia,"34 Cheetham Street Kalgoorlie, KALGOORLIE, WA, 6430, Australia",TAFE,-30.749625,121.4757872
22,Central Regional TAFE,Moora,,242 Berkshire Valley Road,MOORA,WA,6510,Australia,"242 Berkshire Valley Road, MOORA, WA, 6510, Australia",TAFE,-30.6382863,116.0152601
23,Central Regional TAFE,Technology Park,,Arthur Rd,GERALDTON,WA,6530,Australia,"Arthur Rd, GERALDTON, WA, 6530, Australia",TAFE,-28.801071000000004,114.697993
24,Central Regional TAFE,Geraldton,,173-175 Fitzgerald Street,GERALDTON,WA,6530,Australia,"173-175 Fitzgerald Street, GERALDTON, WA, 6530, Australia",TAFE,-28.786634999999997,114.60798
25,Central Regional TAFE,Central Regional TAFE,,175 Fitzgerald Street,GERALDTON,WA,6530,Australia,"175 Fitzgerald Street, GERALDTON, WA, 6530, Australia",TAFE,-28.786568,114.60842199999999
26,Central Regional TAFE,BCMI - Geraldton,,133 Willcock Drive Separation Point,GERALDTON,WA,6530,Australia,"133 Willcock Drive Separation Point, GERALDTON, WA, 6530, Australia",TAFE,-28.789905800000003,114.59794879999998
27,Central Regional TAFE,Wiluna Technical Centre,,Mudjon Street,WILUNA,WA,6646,Australia,"Mudjon Street, WILUNA, WA, 6646, Australia",TAFE,-26.598670000000002,120.22707
28,Central Regional TAFE,Carnarvon,,14 Camel Lane,CARNARVON,WA,6701,Australia,"14 Camel Lane, CARNARVON, WA, 6701, Australia",TAFE,-24.882628,113.656107
29,Central Regional TAFE,Exmouth,,5 Pellew Street,EXMOUTH,WA,6707,Australia,"5 Pellew Street, EXMOUTH, WA, 6707, Australia",TAFE,-21.9389358,114.12943119999998
30,Charles Darwin University,CDU Waterfront Darwin,,22 Kitchener Drive,DARWIN,NT,800,Australia,"22 Kitchener Drive, DARWIN, NT, 0800, Australia",TAFE,-12.467944300000001,130.84538700000002
31,Charles Darwin University,Casuarina,,Ellengowan Drive,CASUARINA,NT,810,Australia,"Ellengowan Drive, CASUARINA, NT, 0810, Australia",TAFE,-12.372836,130.870688
32,Charles Darwin University,Palmerston,,University Avenue,PALMERSTON,NT,830,Australia,"University Avenue, PALMERSTON, NT, 0830, Australia",TAFE,-12.475876,130.97863600000002
33,Charles Darwin University,Katherine Town Centre,,19 Second Street,KATHERINE,NT,851,Australia,"19 Second Street, KATHERINE, NT, 0851, Australia",TAFE,-14.461000899999998,132.2637258
34,Charles Darwin University,Tennant Creek Centre,,65 Staunton Street,TENNANT CREEK,NT,860,Australia,"65 Staunton Street, TENNANT CREEK, NT, 0860, Australia",TAFE,-19.65247,134.1955986
35,Charles Darwin University,Alice Springs,,17 Grevillea Dr,Sadadeen,NT,870,Australia,"17 Grevillea Dr, Sadadeen, NT, 0870, Australia",TAFE,-23.6983153,133.89733429999998
36,Charles Darwin University,Yulara Centre,,13 Winmati Street,YULARA,NT,872,Australia,"13 Winmati Street, YULARA, NT, 0872, Australia",TAFE,-25.234994,130.982947
37,Charles Darwin University,Nhulunbuy Campus,,Chesterfield Circuit,NHULUNBUY,NT,881,Australia,"Chesterfield Circuit, NHULUNBUY, NT, 0881, Australia",TAFE,-12.183099,136.784641
38,Chisholm Institute,Melbourne City,,35 Vowels Crescent,BRUCE,ACT,2617,Australia,"35 Vowels Crescent, BRUCE, ACT, 2617, Australia",TAFE,-35.248111200000004,149.0946633
39,Chisholm Institute,Melbourne City,,399 Lonsdale Street,MELBOURNE,VIC,3000,Australia,"399 Lonsdale Street, MELBOURNE, VIC, 3000, Australia",TAFE,-37.8130461,144.96068209999999
40,Chisholm Institute,Flinders Lane,,234 Flinders Lane,MELBOURNE,VIC,3000,Australia,"234 Flinders Lane, MELBOURNE, VIC, 3000, Australia",TAFE,-37.8174531,144.96378130000002
41,Chisholm Institute,Melbourne City,,399 Lonsdale Street,MELBOURNE,VIC,3000,Australia,"399 Lonsdale Street, MELBOURNE, VIC, 3000, Australia",TAFE,-37.8130461,144.96068209999999
42,Chisholm Institute,Flinders Lane,,234 Flinders Lane,MELBOURNE,VIC,3000,Australia,"234 Flinders Lane, MELBOURNE, VIC, 3000, Australia",TAFE,-37.81656454,144.9662619
43,Chisholm Institute,Flinders Lane,,Jarlo Drive,LILYDALE,VIC,3140,Australia,"Jarlo Drive, LILYDALE, VIC, 3140, Australia",TAFE,-37.765532,145.346824
44,Chisholm Institute,Springvale,,Corner Boulton Street and Springvale Road,SPRINGVALE,VIC,3171,Australia,"Corner Boulton Street and Springvale Road, SPRINGVALE, VIC, 3171, Australia",TAFE,-37.9452297,145.153445
