cd_code_06,usual_resident_population_,irsd_score_2006,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_
1010309,504,926,7058,2,19,NSW,2448,3,21
1011405,479,950,9545,3,26,NSW,3290,3,28
1011812,515,1064,27059,8,73,NSW,8338,8,71
1030107,87,1074,28809,8,77,NSW,8831,8,75
1031106,83,1051,24915,7,67,NSW,7733,7,66
1031501,166,1092,31659,9,85,NSW,9643,9,82
1031605,198,1044,23666,7,64,NSW,7387,7,63
1031807,732,766,889,1,3,NSW,301,1,3
1031910,529,952,9672,3,26,NSW,3336,3,29
1032008,415,1030,21153,6,57,NSW,6674,6,57
1032012,536,980,13147,4,36,NSW,4391,4,38
1151805,399,720,573,1,2,NSW,179,1,2
1032302,713,728,615,1,2,NSW,190,1,2
1032408,500,1055,25566,7,69,NSW,7932,7,68
1040706,82,992,14882,4,40,NSW,4907,5,42
1040811,354,893,4537,2,13,NSW,1605,2,14
1041706,306,880,3821,2,11,NSW,1365,2,12
1042803,412,1042,23307,7,63,NSW,7282,7,62
1050101,129,1046,24044,7,65,NSW,7483,7,64
1152505,394,1031,21297,6,57,NSW,6713,6,57
1152906,86,1080,29770,8,80,NSW,9104,8,78
1050414,346,989,14411,4,39,NSW,4762,5,41
1051809,461,783,1061,1,3,NSW,375,1,4
1051901,707,917,6326,2,17,NSW,2195,2,19
1052009,742,943,8724,3,24,NSW,3015,3,26
1060513,420,915,6149,2,17,NSW,2132,2,19
1062109,398,910,5783,2,16,NSW,1989,2,17
1070105,459,876,3623,1,10,NSW,1293,2,11
1091806,491,956,10193,3,28,NSW,3522,3,30
1412201,740,1098,32390,9,87,NSW,9863,9,84
1070211,767,984,13739,4,37,NSW,4572,4,39
1070306,425,1019,19132,6,52,NSW,6113,6,52
1080310,299,821,1689,1,5,NSW,604,1,6
1081602,403,1032,21389,6,58,NSW,6740,6,58
2041309,326,1001,16387,5,44,VIC,3488,4,39
2041603,561,1037,22333,6,60,VIC,5078,6,56
2041613,256,1017,18818,6,51,VIC,4143,5,46
1071014,486,1062,26874,8,72,NSW,8295,8,71
1090704,522,883,4017,2,11,NSW,1434,2,13
1071206,592,1090,31328,9,84,NSW,9542,9,81
1071616,751,904,5284,2,15,NSW,1838,2,16
1091012,440,904,5326,2,15,NSW,1852,2,16
1391308,524,1090,31356,9,84,NSW,9552,9,81
1080110,954,861,2900,1,8,NSW,1045,1,9
1080208,438,1024,20104,6,54,NSW,6380,6,55
1091013,131,862,2941,1,8,NSW,1063,1,9
1052405,193,1069,27932,8,75,NSW,8579,8,73
1101702,477,1031,21201,6,57,NSW,6691,6,57
1101905,366,978,12884,4,35,NSW,4315,4,37
1102006,361,1040,22915,7,62,NSW,7149,7,61
1110113,177,1002,16453,5,44,NSW,5371,5,46
1110504,689,928,7278,2,20,NSW,2518,3,22
1412303,608,1105,33366,9,90,NSW,10140,9,86
1110811,848,1055,25488,7,69,NSW,7908,7,67
1111415,602,950,9476,3,26,NSW,3269,3,28
1111809,444,893,4521,2,13,NSW,1599,2,14
1120709,618,1030,21108,6,57,NSW,6661,6,57
1140201,502,933,7679,3,21,NSW,2653,3,23
1052510,202,1019,19278,6,52,NSW,6167,6,53
1121202,670,1100,32702,9,88,NSW,9947,9,85
1121412,575,952,9689,3,26,NSW,3340,3,29
1121608,448,1013,18190,5,49,NSW,5842,5,50
1122007,781,914,6071,2,17,NSW,2098,2,18
1151504,293,1045,23885,7,64,NSW,7438,7,63
1151708,227,994,15105,5,41,NSW,4975,5,43
4111213,304,1039,22709,7,61,SA ,2176,7,69
1140610,609,1101,32828,9,88,NSW,9983,9,85
1142006,272,1006,17061,5,46,NSW,5538,5,47
1142403,351,874,3506,1,10,NSW,1252,2,11
1151205,611,964,11188,3,30,NSW,3808,4,33
1160601,108,1014,18442,5,50,NSW,5914,6,51
1160607,636,1005,17021,5,46,NSW,5527,5,47
1161504,217,1015,18586,5,50,NSW,5954,6,51
1301501,494,986,13992,4,38,NSW,4642,4,40
1161912,535,1031,21222,6,57,NSW,6700,6,57
1162102,130,1030,21074,6,57,NSW,6654,6,57
1162210,213,1020,19368,6,52,NSW,6191,6,53
1170904,323,1003,16610,5,45,NSW,5424,5,46
1310310,648,1092,31615,9,85,NSW,9634,9,82
1400701,323,542,177,1,1,NSW,19,1,1
1170507,282,1162,37321,10,100,NSW,11733,10,100
1412311,515,1038,22527,7,61,NSW,7043,6,60
1171602,604,1005,16966,5,46,NSW,5518,5,47
1180314,308,1116,34553,10,93,NSW,10568,9,90
1180512,631,1042,23254,7,63,NSW,7265,7,62
1181513,331,1038,22474,6,60,NSW,7029,6,60
1220603,820,1076,29206,8,78,NSW,8936,8,76
1220604,491,950,9442,3,26,NSW,3256,3,28
3162513,347,904,5297,2,15,QLD,963,2,13
1181702,276,796,1231,1,4,NSW,435,1,4
1190405,308,1007,17220,5,46,NSW,5583,5,48
1190801,519,926,7082,2,19,NSW,2456,3,21
1192002,472,864,3020,1,9,NSW,1097,1,10
1192004,138,854,2639,1,8,NSW,955,1,9
1192612,213,850,2502,1,7,NSW,915,1,8
3061012,182,840,2159,1,6,QLD,302,1,5
1201614,1112,1021,19565,6,53,NSW,6244,6,53
1210906,1139,993,14959,4,40,NSW,4934,5,42
1211010,269,1064,27196,8,73,NSW,8376,8,71
3231610,192,1134,36132,10,97,QLD,7290,10,98
1220706,685,1029,20961,6,56,NSW,6629,6,57
1222206,865,979,13016,4,35,NSW,4354,4,37
1230112,582,1073,28658,8,77,NSW,8782,8,75
1240504,722,1132,36020,10,97,NSW,11140,10,95
1241006,441,1068,27819,8,75,NSW,8553,8,73
1230811,255,1000,16155,5,44,NSW,5292,5,45
1240306,593,1105,33374,9,90,NSW,10144,9,86
1261307,502,988,14261,4,39,NSW,4725,5,41
2352309,156,1138,36387,10,98,VIC,8881,10,98
1241305,667,1147,36861,10,99,NSW,11500,10,98
1242608,514,1000,16059,5,43,NSW,5255,5,45
1250304,799,1095,31993,9,86,NSW,9736,9,83
1250609,662,1053,25193,7,68,NSW,7822,7,67
1261103,531,1144,36706,10,98,NSW,11435,10,97
3211904,390,889,4294,2,12,QLD,733,1,10
1270303,748,737,668,1,2,NSW,215,1,2
1271706,648,949,9400,3,26,NSW,3243,3,28
1272015,388,986,14007,4,38,NSW,4649,4,40
1272211,654,998,15767,5,43,NSW,5172,5,44
1272607,776,1061,26705,8,72,NSW,8250,7,70
1272806,829,1051,24890,7,67,NSW,7727,7,66
3161815,275,845,2336,1,7,QLD,337,1,5
1272905,836,1075,28940,8,78,NSW,8856,8,75
1280808,574,1053,25235,7,68,NSW,7837,7,67
1280906,617,947,9119,3,25,NSW,3150,3,27
1281211,526,949,9329,3,25,NSW,3223,3,28
1291109,571,1078,29491,8,79,NSW,9014,8,77
1300902,661,985,13863,4,38,NSW,4603,4,39
1291313,773,1036,22176,6,60,NSW,6948,6,59
1291321,1673,1011,17936,5,48,NSW,5768,5,49
1300604,595,1043,23503,7,63,NSW,7337,7,63
1301311,479,887,4208,2,12,NSW,1497,2,13
1312306,541,1142,36640,10,98,NSW,11413,10,97
1312506,759,1129,35721,10,96,NSW,11007,10,94
1320312,1063,904,5343,2,15,NSW,1860,2,16
1321411,298,706,521,1,2,NSW,154,1,2
1330503,646,927,7130,2,20,NSW,2474,3,21
1361501,378,1027,20537,6,55,NSW,6509,6,56
2360111,409,1046,23947,7,64,VIC,5522,7,61
1312601,870,1101,32875,9,88,NSW,10002,9,85
1320301,725,875,3549,1,10,NSW,1267,2,11
1390913,575,1112,34145,10,92,NSW,10424,9,89
1330810,1024,1107,33616,9,90,NSW,10235,9,87
1331106,665,946,9006,3,25,NSW,3111,3,27
1332801,439,1102,32971,9,89,NSW,10023,9,85
1340211,582,924,6843,2,19,NSW,2372,3,21
1340513,1228,872,3402,1,10,NSW,1216,2,11
1341602,883,923,6800,2,19,NSW,2357,2,20
1342209,664,1026,20502,6,55,NSW,6498,6,56
1351503,371,887,4218,2,12,NSW,1502,2,13
1351508,1255,952,9780,3,27,NSW,3370,3,29
4121411,351,1121,35108,10,94,SA ,3089,10,98
1362004,842,1029,20919,6,56,NSW,6613,6,56
1362812,1089,1055,25521,7,69,NSW,7915,7,68
1370411,444,1121,35092,10,94,NSW,10755,10,92
1371201,337,1160,37280,10,100,NSW,11706,10,100
