statistical_local_area_code,statistical_local_area_name,state_code,state_name,statistical_division,statistical_division_name,statistical_subdivision,statistical_subdivision_name,local_government_area,local_government_area_name,seifa_2001_population,irsad_score,irsd_score,ier_score,ieo_score,q10_irsad,q25_irsad,q50_irsad,q75_irsad,q90_irsad,q10_irsd,q25_irsd,q50_irsd,q75_irsd,q90_irsd,q10_ier,q25_ier,q50_ier,q75_ier,q90_ier,q10_ieo,q25_ieo,q50_ieo,q75_ieo,q90_ieo,total_irsad,total_irsd,total_ier,total_ieo,min_irsad,min_irsd,min_ier,min_ieo,max_irsad,max_irsd,max_ier,max_ieo,med_irsad,med_irsd,med_ier,med_ieo
105051100,Botany Bay (C),1,New South Wales,105,Sydney,10505,Inner Sydney,11100,Botany Bay (C),35897,985.041,955.086,1022.21,977.948,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,35360012.0,34284708.0,36694152.0,35105396.0,838.3710000000001,640.105,792.7230000000001,906.087,1107.2,1077.17,1171.38,1077.84,979.1669999999999,969.882,1031.68,969.821
105054800,Leichhardt (A),1,New South Wales,105,Sydney,10505,Inner Sydney,14800,Leichhardt (A),62452,1159.02,1076.91,1171.84,1166.52,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,72383160.0,67255000.0,73184016.0,72851240.0,891.278,657.34,857.4019999999999,988.548,1289.83,1186.02,1352.68,1259.2,1170.43,1095.06,1177.02,1176.36
105055200,Marrickville (A),1,New South Wales,105,Sydney,10505,Inner Sydney,15200,Marrickville (A),73431,1067.91,999.553,1082.37,1080.43,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,78417632.0,73398168.0,79479824.0,79336984.0,902.6289999999999,756.8839999999999,904.607,927.655,1246.36,1151.47,1269.0,1236.64,1072.31,1001.74,1080.46,1080.99
105057070,South Sydney (C),1,New South Wales,105,Sydney,10505,Inner Sydney,17070,South Sydney (C),80675,1123.9,1033.28,1120.04,1151.96,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,90670288.0,83360120.0,90359120.0,92934448.0,783.7660000000001,480.329,738.544,784.5210000000001,1251.07,1174.91,1323.38,1281.02,1158.32,1083.63,1147.55,1181.58
105057201,Sydney (C) - Inner,1,New South Wales,105,Sydney,10505,Inner Sydney,17200,Sydney (C),3751,1119.29,998.7869999999999,1115.48,1154.14,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,4198457.5,3746448.2,4184162.2,4329168.0,881.3910000000001,724.942,828.5269999999999,947.682,1260.27,1173.42,1322.14,1251.26,1135.07,1042.78,1106.17,1192.26
105252850,Fairfield (C),1,New South Wales,105,Sydney,10525,Fairfield-Liverpool,12850,Fairfield (C),181308,915.4,849.217,958.041,901.65,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,165969260.0,153969810.0,173700540.0,163476340.0,778.28,528.766,815.065,780.4760000000001,1085.28,1066.28,1207.94,1014.14,916.046,867.8510000000001,954.2860000000001,902.085
105254900,Liverpool (C),1,New South Wales,105,Sydney,10525,Fairfield-Liverpool,14900,Liverpool (C),153958,978.012,948.932,1030.38,948.7360000000001,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,150572830.0,146095710.0,158635440.0,146065500.0,770.655,566.0319999999999,796.465,772.873,1170.64,1139.77,1226.56,1115.87,986.293,972.0089999999999,1041.84,945.308
105301450,Camden (A),1,New South Wales,105,Sydney,10530,Outer South Western Sydney,11450,Camden (A),43945,1042.91,1040.93,1101.81,994.475,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,45830656.0,45743460.0,48419084.0,43702200.0,926.2389999999999,893.7439999999999,938.2689999999999,888.225,1142.62,1125.52,1259.77,1083.6,1050.02,1048.5,1100.15,997.047
105301500,Campbelltown (C),1,New South Wales,105,Sydney,10530,Outer South Western Sydney,11500,Campbelltown (C),142659,969.4789999999999,940.6080000000001,1010.97,939.203,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,138304850.0,134186130.0,144224590.0,133985790.0,700.143,459.588,771.88,717.778,1186.5,1130.35,1304.64,1100.26,989.709,983.785,1021.3,951.0939999999999
105308400,Wollondilly (A),1,New South Wales,105,Sydney,10530,Outer South Western Sydney,18400,Wollondilly (A),37123,1003.12,1022.85,1033.52,968.2130000000001,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,37238876.0,37971304.0,38367364.0,35942976.0,904.253,932.942,947.6410000000001,882.612,1091.2,1106.54,1147.38,1065.91,1001.24,1026.2,1036.63,968.534
110105650,Muswellbrook (A),1,New South Wales,110,Hunter,11010,Hunter SD Bal,15650,Muswellbrook (A),14331,949.227,945.415,995.1569999999999,910.419,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,13603373.0,13548744.0,14261594.0,13047214.0,733.3530000000001,556.067,840.18,735.693,1043.37,1048.89,1108.72,1003.75,961.043,979.539,986.485,916.5269999999999
110106800,Scone (A),1,New South Wales,110,Hunter,11010,Hunter SD Bal,16800,Scone (A),9469,955.1419999999999,976.183,976.7869999999999,932.7410000000001,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,9044242.0,9243474.0,9249198.0,8832127.0,887.586,890.965,898.434,832.194,1041.04,1071.79,1053.87,1025.58,952.51,985.31,970.1060000000001,939.3389999999999
110107000,Singleton (A),1,New South Wales,110,Hunter,11010,Hunter SD Bal,17000,Singleton (A),19946,984.545,986.388,1029.63,937.579,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,19637730.0,19674498.0,20536948.0,18700954.0,863.763,836.618,823.96,794.681,1090.21,1108.88,1150.33,1093.64,1003.03,1009.61,1031.51,942.073
105057202,Sydney (C) - Remainder,1,New South Wales,105,Sydney,10505,Inner Sydney,17200,Sydney (C),19299,1142.16,1026.77,1136.48,1180.22,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,22042528.0,19815628.0,21932960.0,22777026.0,1059.87,868.565,1007.92,1111.47,1244.83,1164.43,1274.55,1251.87,1145.74,1021.47,1143.72,1179.14
105106550,Randwick (C),1,New South Wales,105,Sydney,10510,Eastern Suburbs,16550,Randwick (C),119730,1107.93,1050.88,1124.51,1112.71,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,132652260.0,125822460.0,134637140.0,133224410.0,735.9739999999999,543.6080000000001,782.7330000000001,746.32,1234.51,1183.3,1260.24,1254.07,1117.45,1066.12,1132.01,1134.14
105108050,Waverley (A),1,New South Wales,105,Sydney,10510,Eastern Suburbs,18050,Waverley (A),58218,1154.62,1094.76,1168.95,1159.87,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,67219832.0,63734648.0,68054208.0,67525352.0,1036.2,962.852,1044.58,1071.28,1258.6,1197.27,1283.92,1246.71,1153.28,1096.4,1165.77,1162.04
105108500,Woollahra (A),1,New South Wales,105,Sydney,10510,Eastern Suburbs,18500,Woollahra (A),49743,1223.32,1140.59,1252.74,1209.2,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,60851640.0,56736256.0,62315148.0,60148988.0,1134.97,1069.87,1094.11,1155.53,1277.13,1199.98,1330.92,1267.18,1223.64,1141.65,1253.15,1210.84
105154150,Hurstville (C),1,New South Wales,105,Sydney,10515,St George-Sutherland,14150,Hurstville (C),70642,1043.41,1018.85,1060.19,1040.79,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,73708312.0,71973504.0,74894080.0,73523712.0,864.1389999999999,735.477,897.074,867.5,1184.06,1159.29,1190.6,1181.0,1034.55,1012.03,1055.84,1032.43
105530752,Blacktown (C) - South-East,1,New South Wales,105,Sydney,10553,Blacktown,10750,Blacktown (C),90421,977.4630000000001,957.187,1006.29,958.977,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,88383136.0,86549848.0,90989368.0,86711672.0,764.133,592.635,801.1289999999999,805.048,1125.56,1077.78,1198.23,1078.26,971.535,969.03,996.0189999999999,954.293
105530753,Blacktown (C) - South-West,1,New South Wales,105,Sydney,10553,Blacktown,10750,Blacktown (C),91350,923.564,888.0160000000001,974.541,896.2260000000001,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,84367560.0,81120304.0,89024336.0,81870264.0,736.025,543.61,803.078,752.92,1059.93,1045.63,1116.36,1003.91,930.2189999999999,931.137,968.7560000000001,908.205
105554100,Hunter's Hill (A),1,New South Wales,105,Sydney,10555,Lower Northern Sydney,14100,Hunter's Hill (A),12692,1176.17,1116.88,1194.55,1161.81,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,14927981.0,14175480.0,15161261.0,14745750.0,985.068,887.1010000000001,971.951,1023.52,1265.29,1174.52,1320.66,1226.93,1169.14,1122.04,1175.48,1163.63
105554700,Lane Cove (A),1,New South Wales,105,Sydney,10555,Lower Northern Sydney,14700,Lane Cove (A),30756,1197.0,1131.96,1211.83,1189.5,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,36814972.0,34814428.0,37271036.0,36584228.0,1095.85,994.054,1083.68,1117.76,1280.33,1194.85,1306.68,1247.31,1197.18,1136.11,1221.24,1189.38
105555350,Mosman (A),1,New South Wales,105,Sydney,10555,Lower Northern Sydney,15350,Mosman (A),25740,1231.08,1147.3,1260.95,1209.11,908.933,923.952,948.1339999999999,1008.84,1107.67,936.507,957.187,981.334,1021.63,1080.3,891.047,911.945,950.591,1011.16,1124.51,914.605,930.235,952.285,1003.16,1105.45,31687994.0,29531566.0,32456906.0,31122390.0,1149.66,1067.62,1171.66,1124.94,1312.47,1195.06,1371.92,1261.37,1233.19,1150.63,1266.17,1212.44
