sa3_code16,sa3_name16,num_jobs_000_males,num_jobs_000_females,num_jobs_000_persons,median_income_per_job_aud_males,median_income_per_job_aud_females,median_income_per_job_aud_persons
10102,Queanbeyan,25.318,24.019000000000002,49.338,38120.0,29236.0,33349.0
10103,Snowy Mountains,9.03,8.377,17.406,16612.0,12610.0,14497.0
10104,South Coast,23.636,23.723000000000003,47.356,22227.0,16092.0,18938.0
10105,Goulburn - Mulwaree,14.353,12.798,27.15,26343.0,19835.0,22756.0
10106,Young - Yass,15.503,13.669,29.169,21787.0,18808.0,20250.0
10201,Gosford,63.07,60.808,123.87700000000001,33664.0,21188.0,26512.0
10202,Wyong,57.008,52.324,109.33200000000001,31994.0,21245.0,26000.0
10301,Bathurst,18.01,16.769000000000002,34.775999999999996,29061.0,20098.0,23977.0
10302,Lachlan Valley,21.697,18.544,40.236,20850.0,16380.0,18683.0
10303,Lithgow - Mudgee,17.090999999999998,14.353,31.447,27537.0,16945.0,21360.0
10304,Orange,23.184,21.484,44.668,27369.0,19399.0,22859.0
10401,Clarence Valley,16.384,14.879000000000001,31.27,22160.0,16853.0,19542.0
10402,Coffs Harbour,32.592,31.994,64.582,21948.0,16004.0,18796.0
10501,Bourke - Cobar - Coonamble,9.703,8.211,17.912,19114.0,16536.0,17820.0
10502,Broken Hill and Far West,6.744,6.312,13.054,33304.0,21582.0,26900.0
10503,Dubbo,28.238000000000003,26.186999999999998,54.428000000000004,22256.0,17556.0,19687.0
10601,Lower Hunter,33.436,27.869,61.303000000000004,35000.0,18953.0,25277.0
10602,Maitland,28.803,25.969,54.771,39491.0,21905.0,28853.0
10603,Port Stephens,24.991,22.778000000000002,47.773,32140.0,18456.0,23941.0
10604,Upper Hunter,12.59,10.507,23.094,35145.0,17784.0,24469.0
10701,Dapto - Port Kembla,26.664,22.719,49.385,35658.0,23630.0,28839.0
10702,Illawarra Catchment Reserve,,,,,,
10703,Kiama - Shellharbour,32.961,30.046999999999997,63.007,37124.0,22739.0,28673.0
10704,Wollongong,47.854,45.276,93.12899999999999,35166.0,22255.0,27654.0
10801,Great Lakes,9.184,8.709,17.898,23344.0,17899.0,20461.0
10802,Kempsey - Nambucca,15.177999999999999,13.62,28.801,20874.0,17589.0,19175.0
10803,Lord Howe Island,0.253,0.24600000000000002,0.503,12370.0,11862.0,12231.0
10804,Port Macquarie,25.42,25.521,50.945,26182.0,18916.0,22093.0
10805,Taree - Gloucester,16.335,15.407,31.743000000000002,24804.0,18832.0,21590.0
10901,Albury,24.174,23.125,47.3,27818.0,19019.0,22910.0
10902,Lower Murray,5.513,4.356,9.868,14408.0,12918.0,13640.0
10903,Upper Murray exc. Albury,15.883,14.754000000000001,30.639,22772.0,15527.0,18975.0
11001,Armidale,14.674000000000001,13.977,28.656999999999996,19156.0,16094.0,17524.0
11002,Inverell - Tenterfield,13.735,12.383,26.119,18253.0,14684.0,16229.0
11003,Moree - Narrabri,10.215,8.549,18.761,24312.0,17658.0,20870.0
11004,Tamworth - Gunnedah,32.416,28.864,61.284,25132.0,18427.0,21492.0
11101,Lake Macquarie - East,44.729,42.511,87.244,36920.0,22594.0,28380.0
11102,Lake Macquarie - West,27.729,24.82,52.547,33971.0,21463.0,26939.0
11103,Newcastle,64.858,62.668,127.531,32628.0,21592.0,26168.0
11201,Richmond Valley - Coastal,31.575,32.61,64.188,20000.0,14382.0,17067.0
11202,Richmond Valley - Hinterland,24.619,23.581999999999997,48.202,22994.0,18169.0,20304.0
11203,Tweed Valley,31.475,30.618000000000002,62.091,24840.0,18397.0,21267.0
11301,Griffith - Murrumbidgee (West),21.726,19.081,40.806,22900.0,16752.0,19478.0
11302,Tumut - Tumbarumba,6.1739999999999995,5.242999999999999,11.414000000000001,26115.0,14824.0,19736.0
11303,Wagga Wagga,37.161,35.010999999999996,72.167,28038.0,19589.0,23142.0
11401,Shoalhaven,32.378,31.095,63.471000000000004,26698.0,17604.0,21532.0
11402,Southern Highlands,17.791,17.47,35.260999999999996,29451.0,18229.0,22701.0
11501,Baulkham Hills,58.36,56.382,114.73899999999999,43279.0,26372.0,33603.0
11502,Dural - Wisemans Ferry,10.789000000000001,10.633,21.42,36507.0,21299.0,27624.0
11503,Hawkesbury,10.626,10.068,20.695,37862.0,22633.0,28915.0
11504,Rouse Hill - McGraths Hill,13.664000000000001,13.129000000000001,26.788,45011.0,24458.0,33373.0
11601,Blacktown,58.148,46.758,104.90299999999999,30812.0,25016.0,27949.0
11602,Blacktown - North,38.668,35.184,73.852,42802.0,27868.0,34716.0
11603,Mount Druitt,45.378,34.887,80.26100000000001,28706.0,23275.0,26007.0
11701,Botany,20.676,18.627,39.306,31436.0,24568.0,27829.0
11703,Sydney Inner City,139.866,121.447,261.308,20025.0,15452.0,17791.0
11802,Eastern Suburbs - South,61.302,62.974,124.274,32380.0,23021.0,27118.0
11901,Bankstown,61.203,50.952,112.15799999999999,29294.0,22675.0,26000.0
11902,Canterbury,54.282,40.359,94.645,23941.0,21565.0,22930.0
11903,Hurstville,50.522,46.94,97.46600000000001,29660.0,23051.0,26153.0
11904,Kogarah - Rockdale,60.253,53.986999999999995,114.23899999999999,27584.0,23196.0,25405.0
12001,Canada Bay,34.606,35.449,70.054,40807.0,28250.0,33845.0
12002,Leichhardt,25.44,27.096,52.54,45593.0,33025.0,38659.0
12003,Strathfield - Burwood - Ashfield,69.842,63.582,133.42,25875.0,22206.0,24090.0
12101,Chatswood - Lane Cove,47.001999999999995,46.95,93.95200000000001,43364.0,27207.0,34199.0
12102,Hornsby,32.915,32.101,65.01,41141.0,25170.0,31999.0
12103,Ku-ring-gai,44.856,45.923,90.77799999999999,45425.0,23355.0,31461.0
12104,North Sydney - Mosman,43.025,46.291000000000004,89.311,49805.0,30977.0,38575.0
12201,Manly,20.262999999999998,20.46,40.722,40679.0,22438.0,29861.0
12202,Pittwater,26.021,26.741,52.762,35836.0,20142.0,26479.0
12203,Warringah,65.753,66.385,132.134,38000.0,22888.0,29249.0
12301,Camden,25.65,24.289,49.931999999999995,44571.0,26514.0,33963.0
12302,Campbelltown (NSW),64.82,53.353,118.17299999999999,32637.0,24443.0,28338.0
12303,Wollondilly,16.816,15.079,31.9,40000.0,23990.0,31066.0
12401,Blue Mountains,29.801,29.875999999999998,59.67100000000001,34684.0,21997.0,27117.0
12402,Blue Mountains - South,,,,,,
12403,Penrith,58.16,52.563,110.721,38930.0,25674.0,31627.0
12404,Richmond - Windsor,14.604000000000001,13.413,28.016,35798.0,22495.0,28499.0
