sa3_code16,sa3_name16,num_employed_000_males,num_employed_000_females,num_employed_000_persons,median_income_per_employed_aud_males,median_income_per_employed_aud_females,median_income_per_employed_aud_persons
10102,Queanbeyan,18.199,16.718,34.923,61367.0,47641.0,54889.0
10103,Snowy Mountains,6.0729999999999995,5.247000000000001,11.317,39733.0,29448.0,34348.0
10104,South Coast,17.73,16.695,34.424,35431.0,27674.0,31193.0
10105,Goulburn - Mulwaree,9.962,8.805,18.765,45387.0,32827.0,38493.0
10106,Young - Yass,10.658,9.568999999999999,20.227,43803.0,32561.0,38259.0
10201,Gosford,47.023,43.873000000000005,90.896,50450.0,33856.0,41232.0
10202,Wyong,41.136,37.099000000000004,78.23100000000001,49225.0,32546.0,40315.0
10301,Bathurst,12.969000000000001,11.654000000000002,24.625999999999998,49888.0,33966.0,41519.0
10302,Lachlan Valley,16.155,13.564,29.72,39473.0,27793.0,33988.0
10303,Lithgow - Mudgee,12.68,10.538,23.217,52298.0,27362.0,38308.0
10304,Orange,16.644000000000002,14.98,31.627,51208.0,35135.0,42633.0
10401,Clarence Valley,12.104000000000001,10.82,22.92,35746.0,26874.0,31128.0
10402,Coffs Harbour,22.84,21.338,44.175,38224.0,29245.0,33469.0
10501,Bourke - Cobar - Coonamble,7.657,6.197,13.850999999999999,41016.0,30467.0,35661.0
10502,Broken Hill and Far West,5.504,4.831,10.338,50192.0,33234.0,40780.0
10503,Dubbo,19.804000000000002,17.833,37.638000000000005,42124.0,32824.0,37347.0
10601,Lower Hunter,24.930999999999997,20.337,45.272,62708.0,29613.0,42886.0
10602,Maitland,20.444000000000003,17.785999999999998,38.234,64747.0,34136.0,46815.0
10603,Port Stephens,19.023,16.585,35.607,53058.0,30258.0,40097.0
10604,Upper Hunter,9.674,7.751,17.429000000000002,65344.0,29380.0,44060.0
10701,Dapto - Port Kembla,19.575,16.671,36.25,55662.0,32944.0,42488.0
10702,Illawarra Catchment Reserve,,,,,,
10703,Kiama - Shellharbour,24.108,21.613000000000003,45.72,56844.0,32877.0,42752.0
10704,Wollongong,34.941,31.795,66.729,58049.0,36323.0,45414.0
10801,Great Lakes,6.9910000000000005,6.45,13.447000000000001,36098.0,26314.0,30929.0
10802,Kempsey - Nambucca,10.898,10.043,20.944000000000003,34283.0,27196.0,30439.0
10803,Lord Howe Island,0.14300000000000002,0.15,0.297,34400.0,25599.0,30503.0
10804,Port Macquarie,18.347,17.95,36.295,40104.0,30807.0,35431.0
