yr,shc_mdl_p_ovr18_pdwel_1112_1415_m_curr_smokers_num,shc_mdl_p_ovr18_pdwel_1112_1415_m_curr_smokers_pr100,shc_mdl_p_ovr18_pdwel_1112_1415_f_curr_smokers_num,shc_mdl_p_ovr18_pdwel_1112_1415_f_curr_smokers_pr100,shc_mdl_p_ovr18_pdwel_1112_1415_hi_psyc_strs_k_scl_num,shc_mdl_p_ovr18_pdwel_1112_1415_hi_psyc_strs_k_scl_pr100,shc_mdl_p_ovr18_pdwel_1112_1415_p_poor_slfasd_hlth_ov15_num,shc_mdl_p_ovr18_pdwel_1112_1415_p_poor_slfasd_hlth_ov15_pr100,shc_mdl_p_ovr18_pdwel_1112_1415_p_hi_blood_pressure_num,priv_hlth_taxpayers_report_having_priv_hlth_insur_num,core_activity_need_asst_p_need_asst_core_activ_pr100,sa3_code16,sa3_name16,ogc_fid
2016,,,,,,,,,,22387.0,3.8,10102,Queanbeyan,1
2015,4207.0,19.4,2557.0,12.0,4589.0,10.6,6282.0,13.8,8919.0,21467.0,,10102,Queanbeyan,2
2014,,,,,,,,,,20200.0,,10102,Queanbeyan,3
2013,,,,,,,,,,19059.0,,10102,Queanbeyan,4
2012,3910.0,18.2,2859.0,13.5,3774.0,8.8,5104.0,11.3,7309.0,18263.0,,10102,Queanbeyan,5
2011,,,,,,,,,,17482.0,3.3,10102,Queanbeyan,6
2016,,,,,,,,,,6915.0,4.4,10103,Snowy Mountains,7
2015,1688.0,23.0,978.0,14.0,1412.0,9.8,2549.0,16.8,3248.0,6905.0,,10103,Snowy Mountains,8
2014,,,,,,,,,,6473.0,,10103,Snowy Mountains,9
2013,,,,,,,,,,5827.0,,10103,Snowy Mountains,10
2012,1412.0,19.5,1131.0,16.1,1276.0,8.9,2231.0,14.8,2534.0,5601.0,,10103,Snowy Mountains,11
2011,,,,,,,,,,5387.0,4.6,10103,Snowy Mountains,12
2016,,,,,,,,,,20694.0,6.9,10104,South Coast,13
2015,6245.0,23.0,4258.0,15.0,5203.0,9.4,10403.0,17.8,11313.0,19288.0,,10104,South Coast,14
2014,,,,,,,,,,18163.0,,10104,South Coast,15
2013,,,,,,,,,,16154.0,,10104,South Coast,16
2012,5497.0,20.2,4493.0,16.1,6433.0,11.7,10699.0,18.5,11739.0,15688.0,,10104,South Coast,17
2011,,,,,,,,,,15306.0,6.3,10104,South Coast,18
2016,,,,,,,,,,10785.0,6.4,10105,Goulburn - Mulwaree,19
2015,2869.0,22.5,1924.0,14.5,2855.0,11.0,4606.0,16.7,6195.0,10305.0,,10105,Goulburn - Mulwaree,20
2014,,,,,,,,,,9706.0,,10105,Goulburn - Mulwaree,21
