yr,est_res_pop_ur_erp_30_jun_p_0_14_yrs_pr100,est_res_pop_ur_erp_30_jun_p_15_24_yrs_pr100,est_res_pop_ur_erp_30_jun_p_25_34_yrs_pr100,est_res_pop_ur_erp_30_jun_p_35_44_yrs_pr100,est_res_pop_ur_erp_30_jun_p_45_54_yrs_pr100,est_res_pop_ur_erp_30_jun_p_55_64_yrs_pr100,est_res_pop_ur_erp_30_jun_p_65_74_yrs_pr100,est_res_pop_ur_erp_30_jun_p_75_84_yrs_pr100,est_res_pop_ur_erp_30_jun_p_85_yrs_ov_pr100,est_res_pop_ur_erp_30_jun_m_0_4_yrs_num,est_res_pop_ur_erp_30_jun_m_5_9_yrs_num,est_res_pop_ur_erp_30_jun_m_10_14_yrs_num,est_res_pop_ur_erp_30_jun_m_15_19_yrs_num,est_res_pop_ur_erp_30_jun_m_20_24_yrs_num,est_res_pop_ur_erp_30_jun_m_25_29_yrs_num,est_res_pop_ur_erp_30_jun_m_30_34_yrs_num,est_res_pop_ur_erp_30_jun_m_35_39_yrs_num,est_res_pop_ur_erp_30_jun_m_40_44_yrs_num,est_res_pop_ur_erp_30_jun_m_45_49_yrs_num,est_res_pop_ur_erp_30_jun_m_50_54_yrs_num,est_res_pop_ur_erp_30_jun_m_55_59_yrs_num,est_res_pop_ur_erp_30_jun_m_60_64_yrs_num,est_res_pop_ur_erp_30_jun_m_65_69_yrs_num,est_res_pop_ur_erp_30_jun_m_70_74_yrs_num,est_res_pop_ur_erp_30_jun_m_75_79_yrs_num,est_res_pop_ur_erp_30_jun_m_80_84_yrs_num,est_res_pop_ur_erp_30_jun_m_85_yrs_ov_num,est_res_pop_ur_erp_30_jun_m_tot_num,est_res_pop_ur_erp_30_jun_f_0_4_yrs_num,est_res_pop_ur_erp_30_jun_f_5_9_yrs_num,est_res_pop_ur_erp_30_jun_f_10_14_yrs_num,est_res_pop_ur_erp_30_jun_f_15_19_yrs_num,est_res_pop_ur_erp_30_jun_f_20_24_yrs_num,est_res_pop_ur_erp_30_jun_f_25_29_yrs_num,est_res_pop_ur_erp_30_jun_f_30_34_yrs_num,est_res_pop_ur_erp_30_jun_f_35_39_yrs_num,est_res_pop_ur_erp_30_jun_f_40_44_yrs_num,est_res_pop_ur_erp_30_jun_f_45_49_yrs_num,est_res_pop_ur_erp_30_jun_f_50_54_yrs_num,est_res_pop_ur_erp_30_jun_f_55_59_yrs_num,est_res_pop_ur_erp_30_jun_f_60_64_yrs_num,est_res_pop_ur_erp_30_jun_f_65_69_yrs_num,est_res_pop_ur_erp_30_jun_f_70_74_yrs_num,est_res_pop_ur_erp_30_jun_f_75_79_yrs_num,est_res_pop_ur_erp_30_jun_f_80_84_yrs_num,est_res_pop_ur_erp_30_jun_f_85_yrs_ov_num,est_res_pop_ur_erp_30_jun_f_tot_num,est_res_pop_ur_erp_30_jun_p_0_4_yrs_num,est_res_pop_ur_erp_30_jun_p_5_9_yrs_num,est_res_pop_ur_erp_30_jun_p_10_14_yrs_num,est_res_pop_ur_erp_30_jun_p_15_19_yrs_num,est_res_pop_ur_erp_30_jun_p_20_24_yrs_num,est_res_pop_ur_erp_30_jun_p_25_29_yrs_num,est_res_pop_ur_erp_30_jun_p_30_34_yrs_num,est_res_pop_ur_erp_30_jun_p_35_39_yrs_num,est_res_pop_ur_erp_30_jun_p_40_44_yrs_num,est_res_pop_ur_erp_30_jun_p_45_49_yrs_num,est_res_pop_ur_erp_30_jun_p_50_54_yrs_num,est_res_pop_ur_erp_30_jun_p_55_59_yrs_num,est_res_pop_ur_erp_30_jun_p_60_64_yrs_num,est_res_pop_ur_erp_30_jun_p_65_69_yrs_num,est_res_pop_ur_erp_30_jun_p_70_74_yrs_num,est_res_pop_ur_erp_30_jun_p_75_79_yrs_num,est_res_pop_ur_erp_30_jun_p_80_84_yrs_num,est_res_pop_ur_erp_30_jun_p_85_yrs_ov_num,est_res_pop_ur_erp_30_jun_p_tot_num,est_res_pop_ur_erp_30_jun_p_wrking_age_pop_15_64_yrs_pr100,est_res_pop_ur_erp_30_jun_med_age_ur_erp_30_jun_m_yrs,est_res_pop_ur_erp_30_jun_med_age_ur_erp_30_jun_f_yrs,est_res_pop_ur_erp_30_jun_med_age_ur_erp_30_jun_p_yrs,births_dth_births_p_num,births_dth_tot_fert_rt_per_f_p_rt,births_dth_dth_p_num,births_dth_stnd_death_rt_per_1000_pop_p_rt,pop_density_pop_density_p_p_km2,regional_mig_internal_mig_arrivals_num,regional_mig_internal_mig_departures_num,regional_mig_internal_mig_net_mig_num,regional_mig_ovs_mig_arrivals_num,regional_mig_ovs_mig_departures_num,regional_mig_ovs_mig_net_mig_num,ab_torres_strait_islander_ppls_prop_tot_pop_net_mig_pr100,ovs_brn_pop_prop_tot_pop_brn_oce_ar_excl_aus_net_mig_pr100,ovs_brn_pop_prop_tot_pop_brn_n_west_eu_net_mig_pr100,ovs_brn_pop_prop_tot_pop_brn_s_eastern_eu_net_mig_pr100,ovs_brn_pop_prop_tot_pop_brn_n_africa_middle_east_net_mig_pr100,ovs_brn_pop_prop_tot_pop_brn_sea_net_mig_pr100,ovs_brn_pop_prop_tot_pop_brn_ne_asia_net_mig_pr100,ovs_brn_pop_prop_tot_pop_brn_s_c_asia_net_mig_pr100,ovs_brn_pop_prop_tot_pop_brn_americas_net_mig_pr100,ovs_brn_pop_prop_tot_pop_brn_sub_sar_afr_net_mig_pr100,ovs_brn_pop_prop_tot_pop_tot_brn_ovs_net_mig_pr100,rel_aff_buddhism_net_mig_pr100,rel_aff_christianity_net_mig_pr100,rel_aff_hinduism_net_mig_pr100,rel_aff_islam_net_mig_pr100,rel_aff_judaism_net_mig_pr100,rel_aff_oth_religions_net_mig_pr100,rel_aff_sec_bels_oth_sprt_blfs_no_rel_aff_net_mig_pr100,rel_aff_inadequately_described_ns_net_mig_pr100,aus_citizenship_aus_citizen_net_mig_pr100,aus_citizenship_no_aus_citizen_net_mig_pr100,aus_citizenship_aus_citizenship_ns_net_mig_pr100,spks_lang_oth_eng_home_prop_tot_pop_net_mig_pr100,sa3_code16,sa3_name16,ogc_fid
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,1.1,4.0,0.9,0.3,0.7,0.3,0.3,0.4,0.4,8.2,,,,,,,,,91.0,2.6,6.3,3.1,10105,Goulburn - Mulwaree,1
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10105,Goulburn - Mulwaree,2
2013,18.4,12.1,10.9,12.6,14.1,13.2,10.6,5.9,2.3,1059.0,1161.0,1156.0,1203.0,1061.0,985.0,987.0,1009.0,1198.0,1200.0,1304.0,1197.0,1191.0,1048.0,814.0,564.0,390.0,278.0,17805.0,1005.0,1045.0,1021.0,1039.0,949.0,909.0,927.0,998.0,1200.0,1144.0,1278.0,1155.0,1083.0,1004.0,833.0,585.0,511.0,528.0,17214.0,2064.0,2206.0,2177.0,2242.0,2010.0,1894.0,1914.0,2007.0,2398.0,2344.0,2582.0,2352.0,2274.0,2052.0,1647.0,1149.0,901.0,806.0,35019.0,62.9,41.3,42.9,42.1,404.0,2.1,322.0,6.4,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10105,Goulburn - Mulwaree,3
2014,18.4,12.0,11.1,12.4,13.8,13.3,10.8,5.9,2.3,1078.0,1195.0,1139.0,1177.0,1121.0,1011.0,1000.0,1021.0,1195.0,1177.0,1303.0,1230.0,1163.0,1092.0,846.0,603.0,379.0,290.0,18020.0,1005.0,1083.0,1017.0,1018.0,944.0,952.0,958.0,958.0,1218.0,1097.0,1327.0,1161.0,1151.0,1008.0,869.0,605.0,497.0,542.0,17410.0,2083.0,2278.0,2156.0,2195.0,2065.0,1963.0,1958.0,1979.0,2413.0,2274.0,2630.0,2391.0,2314.0,2100.0,1715.0,1208.0,876.0,832.0,35430.0,62.6,41.2,43.2,42.3,318.0,2.0,363.0,6.7,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10105,Goulburn - Mulwaree,4
2015,18.4,11.8,11.4,12.1,13.8,13.3,10.9,5.9,2.4,1107.0,1214.0,1127.0,1140.0,1159.0,1057.0,1028.0,1034.0,1179.0,1163.0,1344.0,1233.0,1154.0,1115.0,875.0,623.0,386.0,301.0,18239.0,1032.0,1082.0,1028.0,1022.0,914.0,1007.0,1009.0,934.0,1178.0,1118.0,1311.0,1194.0,1187.0,1034.0,887.0,622.0,492.0,563.0,17614.0,2139.0,2296.0,2155.0,2162.0,2073.0,2064.0,2037.0,1968.0,2357.0,2281.0,2655.0,2427.0,2341.0,2149.0,1762.0,1245.0,878.0,864.0,35853.0,62.4,41.2,43.4,42.4,397.0,1.9,334.0,6.6,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10105,Goulburn - Mulwaree,5
2016,18.4,11.6,11.8,11.7,13.6,13.4,11.0,6.0,2.4,1154.0,1190.0,1145.0,1132.0,1155.0,1110.0,1065.0,1041.0,1148.0,1199.0,1295.0,1281.0,1159.0,1166.0,881.0,635.0,413.0,313.0,18482.0,1067.0,1080.0,1051.0,1026.0,886.0,1054.0,1050.0,949.0,1095.0,1183.0,1277.0,1240.0,1202.0,1075.0,881.0,647.0,502.0,573.0,17838.0,2221.0,2270.0,2196.0,2158.0,2041.0,2164.0,2115.0,1990.0,2243.0,2382.0,2572.0,2521.0,2361.0,2241.0,1762.0,1282.0,915.0,886.0,36320.0,62.1,41.1,43.6,42.4,396.0,1.9,367.0,6.8,4.0,,,,,,,3.7,1.2,3.8,0.8,0.4,0.9,0.5,0.7,0.5,0.5,9.2,0.7,67.0,0.3,0.3,,0.4,20.5,10.8,88.0,3.5,8.6,4.1,10105,Goulburn - Mulwaree,6
2017,18.2,11.6,11.9,11.4,13.6,13.5,11.2,6.2,2.5,1144.0,1183.0,1158.0,1155.0,1148.0,1164.0,1087.0,1067.0,1079.0,1243.0,1263.0,1305.0,1163.0,1170.0,907.0,682.0,428.0,329.0,18675.0,1045.0,1097.0,1034.0,1039.0,908.0,1054.0,1041.0,974.0,1074.0,1241.0,1231.0,1278.0,1201.0,1077.0,937.0,672.0,492.0,574.0,17969.0,2189.0,2280.0,2192.0,2194.0,2056.0,2218.0,2128.0,2041.0,2153.0,2484.0,2494.0,2583.0,2364.0,2247.0,1844.0,1354.0,920.0,903.0,36667.0,62.0,41.2,43.9,42.5,384.0,2.0,330.0,6.4,4.0,1867.0,1747.0,120.0,262.0,99.0,163.0,,,,,,,,,,,,,,,,,,,,,,,,10105,Goulburn - Mulwaree,7
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36958.0,,,,,,,,,4.1,2296.0,2196.0,100.0,251.0,109.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,10105,Goulburn - Mulwaree,8
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,1.1,4.8,0.5,0.1,0.5,0.2,0.2,0.4,0.3,8.2,,,,,,,,,92.0,2.5,5.5,2.1,10805,Taree - Gloucester,9
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10805,Taree - Gloucester,10
