state_code,state_name,sa3_code16,sa3_name16,males_age_0_4,males_age_5_9,males_age_10_14,males_age_15_19,males_age_20_24,males_age_25_29,males_age_30_34,males_age_35_39,males_age_40_44,males_age_45_49,males_age_50_54,males_age_55_59,males_age_60_64,males_age_65_69,males_age_70_74,males_age_75_79,males_age_80_84,males_age_85_plus,males_total,females_age_0_4,females_age_5_9,females_age_10_14,females_age_15_19,females_age_20_24,females_age_25_29,females_age_30_34,females_age_35_39,females_age_40_44,females_age_45_49,females_age_50_54,females_age_55_59,females_age_60_64,females_age_65_69,females_age_70_74,females_age_75_79,females_age_80_84,females_age_85_plus,females_total,persons_age_0_4,persons_age_5_9,persons_age_10_14,persons_age_15_19,persons_age_20_24,persons_age_25_29,persons_age_30_34,persons_age_35_39,persons_age_40_44,persons_age_45_49,persons_age_50_54,persons_age_55_59,persons_age_60_64,persons_age_65_69,persons_age_70_74,persons_age_75_79,persons_age_80_84,persons_age_85_plus,persons_total
1,New South Wales,10102,Queanbeyan,2087,2137,1975,1943,1737,2013,2147,1960,2222,2401,2320,2113,1678,1413,1004,591,347,265,30353,1943,1959,1862,1850,1753,2083,2130,2052,2144,2473,2302,1985,1630,1313,939,643,381,395,29837,4030,4096,3837,3793,3490,4096,4277,4012,4366,4874,4622,4098,3308,2726,1943,1234,728,660,60190
1,New South Wales,10103,Snowy Mountains,520,641,634,623,659,668,592,516,684,740,691,792,686,623,504,361,232,161,10327,446,558,599,508,464,539,534,546,585,716,691,748,626,553,475,312,229,264,9393,966,1199,1233,1131,1123,1207,1126,1062,1269,1456,1382,1540,1312,1176,979,673,461,425,19720
1,New South Wales,10104,South Coast,1637,2065,2056,1953,1387,1309,1416,1426,1737,2074,2381,2962,3227,3364,2711,1819,1118,941,35583,1559,1827,1941,1881,1315,1368,1498,1630,1826,2310,2582,3281,3433,3214,2601,1848,1214,1440,36768,3196,3892,3997,3834,2702,2677,2914,3056,3563,4384,4963,6243,6660,6578,5312,3667,2332,2381,72351
1,New South Wales,10105,Goulburn - Mulwaree,1144,1183,1158,1155,1148,1164,1087,1067,1079,1243,1263,1305,1163,1170,907,682,428,329,18675,1045,1097,1034,1039,908,1054,1041,974,1074,1241,1231,1278,1201,1077,937,672,492,574,17969,2189,2280,2192,2194,2056,2218,2128,2041,2153,2484,2494,2583,2364,2247,1844,1354,920,903,36644
1,New South Wales,10106,Young - Yass,1190,1325,1337,1152,856,831,836,927,1196,1231,1289,1303,1200,1193,949,639,329,304,18087,1145,1268,1299,1177,925,872,897,1099,1196,1421,1238,1309,1181,1141,883,658,458,507,18674,2335,2593,2636,2329,1781,1703,1733,2026,2392,2652,2527,2612,2381,2334,1832,1297,787,811,36761
1,New South Wales,10201,Gosford,5372,5634,5479,5357,5152,4870,4793,4819,5442,5739,5612,5702,5217,4795,4448,3039,2023,2112,85605,4848,5342,5238,5085,4704,4639,4938,5193,5596,6164,5960,6200,5721,5281,4751,3519,2685,3573,89437,10220,10976,10717,10442,9856,9509,9731,10012,11038,11903,11572,11902,10938,10076,9199,6558,4708,5685,175042
1,New South Wales,10202,Wyong,5227,5716,5551,5199,5078,4654,4807,4645,4797,5104,4954,5034,4583,4308,3914,2954,1868,1799,80192,5036,5276,5152,4977,4904,4894,4945,4870,5031,5529,5142,5565,5072,4802,4276,3312,2364,2855,84002,10263,10992,10703,10176,9982,9548,9752,9515,9828,10633,10096,10599,9655,9110,8190,6266,4232,4654,164194
1,New South Wales,10301,Bathurst,1582,1667,1656,1794,1935,1777,1507,1366,1402,1578,1416,1508,1327,1308,1038,665,393,355,24274,1458,1552,1487,1776,1803,1469,1338,1343,1379,1568,1474,1554,1373,1287,1032,687,572,660,23812,3040,3219,3143,3570,3738,3246,2845,2709,2781,3146,2890,3062,2700,2595,2070,1352,965,1015,48086
1,New South Wales,10302,Lachlan Valley,1744,1995,1940,1718,1602,1402,1361,1425,1447,1623,1834,2046,1885,1907,1491,1136,794,649,27999,1785,1968,1776,1756,1392,1477,1494,1452,1541,1683,1874,1892,1871,1665,1441,1189,888,1097,28241,3529,3963,3716,3474,2994,2879,2855,2877,2988,3306,3708,3938,3756,3572,2932,2325,1682,1746,56240
1,New South Wales,10303,Lithgow - Mudgee,1529,1567,1554,1455,1253,1403,1392,1227,1383,1640,1644,1785,1533,1560,1386,919,515,432,24177,1489,1536,1434,1273,1112,1267,1302,1291,1401,1554,1661,1691,1528,1476,1296,951,635,661,23558,3018,3103,2988,2728,2365,2670,2694,2518,2784,3194,3305,3476,3061,3036,2682,1870,1150,1093,47735
