sa3_name_2011,hl_p_improv_dwell_tent_so,hl_p_supp_accom,hl_p_temp_oth_hholds,hl_p_boading_houses,hl_p_oth_temp_lodgings,hl_p_sever_crwd_dwell,hl_p_homeless_tot,omh_p_oth_crwd_dwell,omh_p_oth_impor_dwell,omh_p_marg_hsed_cpark,sa3_code11
Goulburn - Yass,9.0,51.0,47.0,16.0,3.0,25.0,148.0,106.0,69.0,48.0,10101
Queanbeyan,13.0,46.0,71.0,5.0,0.0,21.0,158.0,48.0,45.0,35.0,10102
Snowy Mountains,3.0,0.0,29.0,0.0,0.0,0.0,35.0,30.0,22.0,17.0,10103
South Coast,22.0,70.0,48.0,3.0,6.0,35.0,186.0,45.0,57.0,106.0,10104
Gosford,52.0,67.0,123.0,85.0,7.0,68.0,403.0,172.0,3.0,37.0,10201
Wyong,72.0,78.0,125.0,9.0,8.0,69.0,363.0,205.0,7.0,273.0,10202
Bathurst,16.0,81.0,21.0,0.0,0.0,16.0,134.0,105.0,0.0,8.0,10301
Lachlan Valley,4.0,7.0,57.0,0.0,3.0,22.0,85.0,62.0,31.0,56.0,10302
Lithgow - Mudgee,13.0,11.0,23.0,8.0,0.0,40.0,95.0,69.0,12.0,57.0,10303
Orange,7.0,31.0,44.0,26.0,0.0,6.0,117.0,105.0,25.0,17.0,10304
Clarence Valley,35.0,34.0,52.0,13.0,5.0,56.0,198.0,102.0,40.0,114.0,10401
Coffs Harbour,32.0,88.0,99.0,33.0,6.0,72.0,320.0,122.0,26.0,255.0,10402
Bourke - Cobar - Coonamble,25.0,38.0,20.0,9.0,3.0,50.0,139.0,131.0,41.0,32.0,10501
Broken Hill and Far West,3.0,7.0,27.0,19.0,6.0,19.0,69.0,87.0,0.0,12.0,10502
Dubbo,7.0,14.0,61.0,33.0,4.0,54.0,177.0,162.0,38.0,64.0,10503
Lower Hunter,24.0,19.0,58.0,9.0,0.0,78.0,187.0,144.0,36.0,29.0,10601
Maitland,4.0,30.0,57.0,0.0,0.0,15.0,109.0,108.0,0.0,62.0,10602
Port Stephens,5.0,23.0,66.0,8.0,0.0,11.0,109.0,57.0,16.0,111.0,10603
Upper Hunter,8.0,29.0,23.0,0.0,0.0,24.0,82.0,62.0,3.0,23.0,10604
Dapto - Port Kembla,51.0,63.0,64.0,72.0,6.0,32.0,287.0,102.0,3.0,4.0,10701
Illawarra Catchment Reserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10702
Kiama - Shellharbour,3.0,58.0,78.0,7.0,3.0,16.0,165.0,124.0,0.0,57.0,10703
Wollongong,39.0,210.0,100.0,40.0,13.0,113.0,522.0,142.0,0.0,87.0,10704
Great Lakes,7.0,3.0,26.0,0.0,0.0,21.0,62.0,22.0,11.0,81.0,10801
Kempsey - Nambucca,30.0,116.0,54.0,13.0,0.0,49.0,272.0,191.0,30.0,96.0,10802
Lord Howe Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10803
Port Macquarie,13.0,69.0,73.0,9.0,3.0,44.0,209.0,48.0,7.0,215.0,10804
Taree - Gloucester,28.0,34.0,54.0,59.0,0.0,26.0,198.0,54.0,34.0,56.0,10805
Albury,7.0,54.0,58.0,15.0,3.0,10.0,149.0,56.0,4.0,31.0,10901
Lower Murray,3.0,0.0,7.0,0.0,3.0,0.0,13.0,43.0,3.0,23.0,10902
Upper Murray exc. Albury,4.0,0.0,44.0,5.0,0.0,8.0,65.0,32.0,14.0,46.0,10903
Armidale,9.0,64.0,19.0,111.0,0.0,0.0,202.0,65.0,3.0,35.0,11001
Inverell - Tenterfield,22.0,21.0,43.0,0.0,0.0,34.0,110.0,71.0,40.0,23.0,11002
Moree - Narrabri,3.0,80.0,27.0,0.0,0.0,40.0,142.0,87.0,8.0,34.0,11003
Tamworth - Gunnedah,8.0,61.0,36.0,26.0,0.0,16.0,149.0,140.0,14.0,62.0,11004
Lake Macquarie - East,11.0,43.0,120.0,13.0,3.0,58.0,253.0,110.0,0.0,61.0,11101
Lake Macquarie - West,29.0,33.0,37.0,0.0,0.0,52.0,157.0,90.0,0.0,125.0,11102
Newcastle,51.0,179.0,111.0,245.0,3.0,75.0,657.0,201.0,15.0,0.0,11103
Richmond Valley - Coastal,211.0,55.0,78.0,42.0,5.0,41.0,423.0,114.0,5.0,273.0,11201
Richmond Valley - Hinterland,63.0,100.0,79.0,60.0,6.0,66.0,372.0,132.0,33.0,140.0,11202
Tweed Valley,44.0,67.0,112.0,39.0,5.0,33.0,308.0,136.0,16.0,279.0,11203
Griffith - Murrumbidgee (West),11.0,16.0,36.0,3.0,0.0,71.0,137.0,134.0,13.0,56.0,11301
Tumut - Tumbarumba,0.0,9.0,13.0,0.0,0.0,0.0,27.0,0.0,10.0,18.0,11302
Wagga Wagga,3.0,59.0,76.0,15.0,4.0,39.0,202.0,67.0,47.0,25.0,11303
Shoalhaven,13.0,91.0,96.0,0.0,3.0,17.0,224.0,161.0,9.0,142.0,11401
Southern Highlands,3.0,9.0,27.0,27.0,3.0,5.0,84.0,11.0,13.0,15.0,11402
Baulkham Hills,0.0,25.0,45.0,0.0,0.0,64.0,136.0,155.0,0.0,0.0,11501
Dural - Wisemans Ferry,3.0,0.0,22.0,3.0,0.0,12.0,40.0,40.0,21.0,18.0,11502
Hawkesbury,5.0,0.0,10.0,0.0,0.0,12.0,30.0,74.0,12.0,48.0,11503
Rouse Hill - McGraths Hill,0.0,0.0,7.0,0.0,0.0,17.0,29.0,58.0,0.0,21.0,11504
Blacktown,0.0,99.0,72.0,43.0,0.0,358.0,573.0,627.0,0.0,0.0,11601
Blacktown - North,3.0,10.0,36.0,0.0,0.0,81.0,140.0,175.0,17.0,112.0,11602
Mount Druitt,0.0,51.0,86.0,6.0,7.0,541.0,690.0,906.0,3.0,0.0,11603
Botany,0.0,23.0,25.0,76.0,4.0,123.0,258.0,150.0,0.0,0.0,11701
Eastern Suburbs - North,23.0,36.0,53.0,423.0,0.0,52.0,589.0,134.0,0.0,0.0,11801
Eastern Suburbs - South,0.0,54.0,107.0,282.0,6.0,163.0,617.0,379.0,0.0,0.0,11802
Bankstown,8.0,55.0,106.0,93.0,11.0,374.0,642.0,1276.0,22.0,24.0,11901
Canterbury,0.0,38.0,62.0,107.0,0.0,460.0,659.0,1149.0,0.0,0.0,11902
Hurstville,0.0,24.0,57.0,33.0,0.0,272.0,380.0,459.0,0.0,0.0,11903
Kogarah - Rockdale,0.0,56.0,75.0,91.0,0.0,347.0,564.0,744.0,4.0,28.0,11904
Canada Bay,0.0,15.0,42.0,63.0,0.0,46.0,168.0,136.0,0.0,0.0,12001
Leichhardt,0.0,44.0,30.0,226.0,0.0,18.0,319.0,26.0,3.0,0.0,12002
Strathfield - Burwood - Ashfield,9.0,188.0,60.0,790.0,8.0,376.0,1427.0,907.0,0.0,0.0,12003
Chatswood - Lane Cove,0.0,26.0,45.0,32.0,0.0,89.0,191.0,212.0,0.0,0.0,12101
Hornsby,44.0,18.0,38.0,0.0,0.0,77.0,178.0,112.0,0.0,0.0,12102
Ku-ring-gai,0.0,0.0,38.0,3.0,0.0,20.0,57.0,86.0,0.0,0.0,12103
North Sydney - Mosman,0.0,19.0,49.0,301.0,0.0,23.0,394.0,39.0,0.0,0.0,12104
Manly,24.0,29.0,21.0,30.0,0.0,10.0,111.0,34.0,0.0,0.0,12201
Pittwater,0.0,0.0,33.0,0.0,0.0,22.0,56.0,39.0,0.0,0.0,12202
Warringah,4.0,60.0,69.0,19.0,0.0,46.0,206.0,220.0,0.0,21.0,12203
Camden,0.0,4.0,24.0,0.0,0.0,28.0,58.0,33.0,0.0,4.0,12301
Campbelltown (NSW),6.0,131.0,126.0,9.0,3.0,372.0,645.0,722.0,3.0,13.0,12302
Wollondilly,8.0,0.0,27.0,0.0,0.0,34.0,67.0,95.0,32.0,53.0,12303
Blue Mountains,35.0,40.0,49.0,28.0,13.0,72.0,238.0,42.0,3.0,4.0,12401
Marrickville - Sydenham - Petersham,6.0,103.0,42.0,668.0,0.0,90.0,913.0,281.0,7.0,0.0,11702
Sydney Inner City,486.0,676.0,163.0,1148.0,31.0,459.0,2965.0,1265.0,0.0,0.0,11703
Blue Mountains - South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12402
Penrith,45.0,124.0,144.0,4.0,0.0,85.0,416.0,223.0,20.0,20.0,12403
Richmond - Windsor,38.0,81.0,43.0,0.0,0.0,17.0,189.0,80.0,3.0,0.0,12404
St Marys,0.0,24.0,37.0,14.0,0.0,91.0,165.0,270.0,0.0,0.0,12405
Auburn,16.0,33.0,34.0,27.0,0.0,521.0,628.0,1149.0,0.0,0.0,12501
Carlingford,0.0,12.0,34.0,0.0,0.0,28.0,71.0,116.0,0.0,0.0,12502
Merrylands - Guildford,10.0,77.0,56.0,40.0,0.0,644.0,830.0,1439.0,30.0,0.0,12503
Parramatta,56.0,139.0,73.0,64.0,12.0,266.0,613.0,759.0,0.0,0.0,12504
Pennant Hills - Epping,0.0,5.0,14.0,0.0,0.0,48.0,61.0,66.0,0.0,0.0,12601
Ryde - Hunters Hill,0.0,3.0,67.0,27.0,5.0,135.0,239.0,262.0,0.0,0.0,12602
Bringelly - Green Valley,7.0,44.0,59.0,0.0,0.0,181.0,286.0,437.0,0.0,0.0,12701
Fairfield,3.0,169.0,63.0,33.0,0.0,1031.0,1304.0,1847.0,0.0,35.0,12702
Liverpool,15.0,116.0,68.0,8.0,0.0,311.0,515.0,506.0,0.0,0.0,12703
Cronulla - Miranda - Caringbah,0.0,26.0,39.0,21.0,0.0,34.0,120.0,71.0,3.0,28.0,12801
Sutherland - Menai - Heathcote,17.0,23.0,70.0,12.0,0.0,69.0,192.0,94.0,0.0,40.0,12802
Ballarat,16.0,242.0,66.0,66.0,3.0,18.0,407.0,106.0,6.0,14.0,20101
Creswick - Daylesford - Ballan,4.0,14.0,20.0,0.0,0.0,17.0,52.0,47.0,11.0,52.0,20102
Maryborough - Pyrenees,17.0,17.0,27.0,0.0,0.0,0.0,64.0,30.0,30.0,39.0,20103
Bendigo,19.0,132.0,65.0,43.0,6.0,23.0,279.0,110.0,0.0,51.0,20201
Heathcote - Castlemaine - Kyneton,8.0,44.0,46.0,0.0,0.0,27.0,123.0,48.0,31.0,26.0,20202
Loddon - Elmore,8.0,0.0,15.0,0.0,3.0,7.0,34.0,30.0,3.0,22.0,20203
Barwon - West,4.0,0.0,12.0,0.0,0.0,0.0,15.0,16.0,36.0,0.0,20301
Geelong,55.0,283.0,143.0,46.0,0.0,62.0,589.0,246.0,8.0,141.0,20302
Surf Coast - Bellarine Peninsula,4.0,0.0,46.0,0.0,0.0,12.0,60.0,39.0,0.0,9.0,20303
Upper Goulburn Valley,36.0,63.0,39.0,16.0,0.0,0.0,157.0,64.0,62.0,105.0,20401
Wangaratta - Benalla,9.0,80.0,24.0,8.0,0.0,13.0,139.0,18.0,40.0,23.0,20402
Wodonga - Alpine,29.0,121.0,60.0,0.0,0.0,21.0,228.0,44.0,12.0,41.0,20403
Baw Baw,0.0,43.0,33.0,0.0,0.0,17.0,98.0,27.0,9.0,74.0,20501
Gippsland - East,15.0,79.0,25.0,4.0,0.0,0.0,131.0,29.0,25.0,144.0,20502
Gippsland - South West,11.0,47.0,56.0,7.0,0.0,5.0,124.0,49.0,21.0,59.0,20503
Latrobe Valley,9.0,95.0,63.0,10.0,3.0,9.0,177.0,137.0,48.0,40.0,20504
Wellington,21.0,49.0,35.0,7.0,0.0,7.0,119.0,31.0,21.0,22.0,20505
Brunswick - Coburg,8.0,177.0,57.0,58.0,0.0,113.0,407.0,264.0,4.0,0.0,20601
Darebin - South,4.0,171.0,34.0,5.0,0.0,33.0,243.0,89.0,0.0,0.0,20602
Essendon,15.0,162.0,44.0,59.0,0.0,60.0,339.0,104.0,0.0,0.0,20603
