sa3_code_2011,sa3_name_2011,year,reg_mv_pas_vhcls,reg_mv_campervans,reg_mv_lt_comm_vhcls,reg_mv_lt_rgd_trks,reg_mv_hvy_rgd_trks,reg_mv_artcltd_trks,reg_mv_non_frght_trks,reg_mv_buses,reg_mv_mtrcycls,reg_mv_tot_vhcls,reg_mv_ptrl_fuel,reg_mv_disl_fuel,reg_mv_lpg_dl_oth_fuel,trst_accom_est_wth_15_more_rms,ag_area_hldng_ha,ag_area_brdacr_crps_crl_ha,ag_area_veg_ha,ag_area_orchd_nut_trs_ha,ag_area_all_frt_exc_grp_ha,ag_area_brdacr_crp_non_crl_ha,ag_comm_diary_ctl,ag_comm_meat_ctl,ag_comm_sheep,ag_comm_pigs,ag_grs_val_ag_prod_,ag_grs_val_crps_,ag_grs_val_livstk_slghtr_,ag_grs_val_livstk_prdct_,empl_industry_ag_frst_fsh_pc,empl_industry_mining_pc,empl_industry_mnfctrng_pc,empl_industry_elc_gs_wtr_wst_pc,empl_industry_construction_pc,empl_industry_whlsle_trd_pc,empl_industry_retail_trd_pc,empl_industry_accom_food_pc,empl_industry_trnsprt_pst_wrhsng_pc,empl_industry_infomedia_telecom_pc,empl_industry_financ_insur_pc,empl_industry_rent_rl_est_pc,empl_industry_prof_sci_tech_pc,empl_industry_admin_supp_pc,empl_industry_pub_admin_safety_pc,empl_industry_edu_train_pc,empl_industry_hlth_soc_ass_pc,empl_industry_art_rec_pc,empl_industry_oth_serv_pc,empl_industry_tot,bus_industry_ag_frst_fsh,bus_industry_mining,bus_industry_mnfctrng,bus_industry_elc_gs_wtr_wst,bus_industry_construction,bus_industry_whlsle_trd,bus_industry_retail_trd,bus_industry_accom_food,bus_industry_trnsprt_pst_wrhsng,bus_industry_infomedia_telecom,bus_industry_financ_insur,bus_industry_rent_rl_est,bus_industry_prof_sci_tech,bus_industry_admin_supp,bus_industry_pub_admin_safety,bus_industry_edu_train,bus_industry_hlth_soc_ass,bus_industry_art_rec,bus_industry_oth_serv,bus_industry_current_unkwn,bus_industry_tot
10101,Goulburn - Yass,2014,37177.0,179.0,16454.0,603.0,2080.0,406.0,41.0,258.0,2573.0,59771.0,41414.0,16727.0,1632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2894.0,18.0,217.0,23.0,988.0,169.0,423.0,238.0,404.0,16.0,309.0,426.0,484.0,154.0,14.0,51.0,224.0,88.0,249.0,71.0,7460.0
10101,Goulburn - Yass,2013,36931.0,166.0,15760.0,603.0,2059.0,400.0,42.0,274.0,2438.0,58673.0,41769.0,15199.0,1707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2854.0,16.0,215.0,23.0,957.0,163.0,435.0,235.0,402.0,17.0,296.0,423.0,503.0,165.0,14.0,54.0,217.0,80.0,249.0,71.0,7389.0
10101,Goulburn - Yass,2012,36160.0,155.0,15129.0,598.0,2068.0,382.0,39.0,279.0,2361.0,57171.0,41478.0,13949.0,1740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2873.0,19.0,223.0,22.0,990.0,174.0,452.0,260.0,411.0,20.0,304.0,432.0,514.0,185.0,14.0,56.0,218.0,81.0,262.0,65.0,7575.0
10101,Goulburn - Yass,2011,35746.0,135.0,14723.0,593.0,2068.0,387.0,41.0,273.0,2354.0,56320.0,41568.0,12984.0,1764.0,,,,,,,,,,,,,,,,11.5,0.6,5.6,1.4,8.1,2.7,10.9,6.7,4.3,1.0,1.6,1.2,4.8,2.1,11.6,7.4,11.8,1.0,3.7,30673.0,2909.0,20.0,236.0,26.0,992.0,169.0,462.0,275.0,397.0,22.0,283.0,418.0,521.0,176.0,18.0,58.0,202.0,82.0,261.0,58.0,7585.0
10101,Goulburn - Yass,2010,35109.0,128.0,14210.0,572.0,2044.0,333.0,44.0,270.0,2280.0,54990.0,41265.0,12001.0,1725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102,Queanbeyan,2014,29784.0,86.0,9370.0,458.0,1336.0,116.0,21.0,185.0,2241.0,43597.0,32087.0,10125.0,1379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.0,13.0,196.0,14.0,1118.0,98.0,230.0,151.0,322.0,32.0,210.0,395.0,498.0,157.0,15.0,62.0,130.0,64.0,209.0,71.0,4595.0
10102,Queanbeyan,2013,29555.0,78.0,9025.0,432.0,1318.0,113.0,21.0,181.0,2175.0,42898.0,32379.0,9070.0,1450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.0,15.0,191.0,16.0,1106.0,93.0,235.0,154.0,323.0,29.0,195.0,382.0,498.0,144.0,13.0,64.0,132.0,71.0,204.0,68.0,4542.0
10102,Queanbeyan,2012,29229.0,74.0,9003.0,488.0,1366.0,114.0,22.0,189.0,2087.0,42572.0,32463.0,8692.0,1417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.0,13.0,211.0,14.0,1119.0,99.0,258.0,153.0,322.0,34.0,196.0,385.0,515.0,156.0,13.0,65.0,125.0,82.0,216.0,61.0,4663.0
10102,Queanbeyan,2011,29230.0,77.0,10026.0,449.0,1651.0,136.0,33.0,185.0,2027.0,43814.0,32755.0,9538.0,1524.0,,,,,,,,,,,,0.4,0.0,0.4,0.0,1.8,0.2,4.9,1.4,9.8,2.3,9.0,4.9,3.7,1.5,1.5,1.4,7.1,2.7,26.3,6.2,8.4,1.4,3.7,29313.0,617.0,13.0,221.0,16.0,1147.0,99.0,259.0,165.0,316.0,36.0,179.0,370.0,521.0,155.0,18.0,64.0,125.0,74.0,218.0,60.0,4673.0
10102,Queanbeyan,2010,28601.0,76.0,9640.0,432.0,1602.0,142.0,36.0,188.0,2074.0,42791.0,32585.0,8655.0,1551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
