SA3_MAIN11,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,SA3_NAME11
10703,39,1907,502,260,1387,1.1,1152,2.7,Kiama - Shellharbour
10704,37,2037,522,260,1567,1.1,1164,2.5,Wollongong
10801,51,1378,393,200,884,1.1,725,2.2,Great Lakes
10802,47,1291,382,190,880,1.1,727,2.3,Kempsey - Nambucca
10803,48,1164,633,125,1333,1.2,915,2.3,Lord Howe Island
10804,47,1650,447,250,1008,1.1,836,2.3,Port Macquarie
10805,47,1300,396,200,935,1.1,774,2.4,Taree - Gloucester
59797,37,0,2000,0,0,0.0,0,0.0,Migratory - Offshore - Shipping (WA)
10901,38,1408,545,190,1327,1.1,1008,2.4,Albury
10902,42,1083,463,140,1059,1.1,860,2.4,Lower Murray
10903,46,1192,454,150,1044,1.1,836,2.3,Upper Murray exc. Albury
11001,38,1300,486,190,1217,1.1,960,2.4,Armidale
11002,44,1100,396,150,919,1.1,745,2.4,Inverell - Tenterfield
11003,37,1300,547,140,1264,1.1,1022,2.5,Moree - Narrabri
11004,40,1360,501,200,1164,1.1,937,2.4,Tamworth - Gunnedah
11101,41,1800,535,260,1461,1.1,1149,2.5,Lake Macquarie - East
11102,41,1733,496,250,1295,1.1,1062,2.6,Lake Macquarie - West
11103,37,1742,558,271,1508,1.1,1154,2.4,Newcastle
11201,44,1680,482,300,1094,1.1,898,2.4,Richmond Valley - Coastal
11202,41,1346,440,210,1045,1.1,852,2.4,Richmond Valley - Hinterland
11203,45,1733,442,295,1045,1.1,845,2.4,Tweed Valley
11301,37,1300,506,160,1215,1.1,975,2.6,Griffith - Murrumbidgee (West)
11302,42,1300,478,160,1194,1.1,926,2.4,Tumut - Tumbarumba
11303,37,1430,536,200,1299,1.1,1022,2.5,Wagga Wagga
11401,46,1517,426,220,984,1.1,822,2.3,Shoalhaven
11402,45,1868,548,260,1348,1.1,1094,2.5,Southern Highlands
11501,38,2509,724,462,2299,1.1,2139,3.1,Baulkham Hills
11502,41,2600,650,350,2022,1.1,1813,3.0,Dural - Wisemans Ferry
11503,39,2156,641,270,1722,1.1,1575,3.0,Hawkesbury
11504,35,2600,739,450,2128,1.1,2030,3.3,Rouse Hill - McGraths Hill
11601,34,2000,551,300,1440,1.1,1306,2.9,Blacktown
11602,32,2500,740,395,2010,1.1,1924,3.2,Blacktown - North
11603,31,1863,471,250,1230,1.2,1169,3.2,Mount Druitt
11701,37,2500,575,330,1488,1.2,1244,2.6,Botany
11801,36,3000,1049,501,2661,1.2,2069,2.3,Eastern Suburbs - North
11802,35,2600,718,440,2066,1.2,1578,2.4,Eastern Suburbs - South
11901,35,2058,439,315,1246,1.2,1104,3.0,Bankstown
11902,35,1993,413,300,1115,1.3,1021,2.9,Canterbury
11903,38,2167,543,350,1512,1.2,1293,2.8,Hurstville
11904,37,2167,562,375,1459,1.2,1296,2.7,Kogarah - Rockdale
12001,37,2600,791,480,2179,1.2,1832,2.5,Canada Bay
12002,37,3000,1086,480,2738,1.1,2234,2.3,Leichhardt
12003,35,2167,591,380,1631,1.2,1418,2.6,Strathfield - Burwood - Ashfield
12101,37,2800,903,470,2540,1.2,2071,2.6,Chatswood - Lane Cove
12102,37,2352,695,400,2005,1.1,1719,2.8,Hornsby
12103,41,3000,814,575,2679,1.1,2508,2.9,Ku-ring-gai
12104,37,2840,1188,480,2790,1.2,2257,2.1,North Sydney - Mosman
12201,37,3033,985,520,2649,1.1,2220,2.5,Manly
12202,42,3000,754,500,2137,1.1,1819,2.7,Pittwater
12203,38,2600,745,440,2081,1.1,1722,2.7,Warringah
12301,33,2200,719,365,1916,1.1,1783,3.0,Camden
12302,33,1801,547,260,1393,1.1,1253,2.9,Campbelltown (NSW)
12303,37,2100,601,270,1620,1.1,1439,2.9,Wollondilly
12401,42,1842,590,280,1623,1.1,1270,2.5,Blue Mountains
12402,16,0,316,0,0,2.0,0,7.0,Blue Mountains - South
12403,34,2000,643,295,1635,1.1,1423,2.8,Penrith
12404,34,2000,594,280,1454,1.1,1249,2.7,Richmond - Windsor
12405,33,1907,587,300,1479,1.1,1344,3.0,St Marys
12501,31,2000,420,350,1161,1.3,1158,3.1,Auburn
12502,39,2300,566,350,1659,1.1,1438,2.8,Carlingford
12503,33,2000,424,300,1185,1.2,1060,3.0,Merrylands - Guildford
12504,33,2058,609,346,1537,1.2,1377,2.6,Parramatta
12601,40,2500,697,430,2251,1.1,1897,2.9,Pennant Hills - Epping
12602,37,2400,646,370,1913,1.2,1507,2.6,Ryde - Hunters Hill
70204,27,1889,345,27,1294,1.5,2012,4.0,East Arnhem
12701,32,2167,488,300,1388,1.1,1331,3.4,Bringelly - Green Valley
12702,36,1800,372,280,1081,1.2,1046,3.2,Fairfield
12703,33,2167,532,290,1416,1.2,1278,3.0,Liverpool
