SA3_MAIN11,SEO_Males,SEO_Females,SEO_Persons,SOL_Arabic_M,SOL_Arabic_F,SOL_Arabic_P,SOL_Assyrian_M,SOL_Assyrian_F,SOL_Assyrian_P,SOL_Aus_Indig_Lang_M,SOL_Aus_Indig_Lang_F,SOL_Aus_Indig_Lang_P,SOL_Chin_lang_Cant_M,SOL_Chin_lang_Cant_F,SOL_Chin_lang_Cant_P,SOL_Chin_lang_Mand_M,SOL_Chin_lang_Mand_F,SOL_Chin_lang_Mand_P,SOL_Chin_lang_Other_M,SOL_Chin_lang_Other_F,SOL_Chin_lang_Other_P,SOL_Chin_lang_Tot_M,SOL_Chin_lang_Tot_F,SOL_Chin_lang_Tot_P,SOL_Croatian_M,SOL_Croatian_F,SOL_Croatian_P,SOL_Dutch_M,SOL_Dutch_F,SOL_Dutch_P,SOL_French_M,SOL_French_F,SOL_French_P,SOL_German_M,SOL_German_F,SOL_German_P,SOL_Greek_M,SOL_Greek_F,SOL_Greek_P,SOL_Hungarian_M,SOL_Hungarian_F,SOL_Hungarian_P,SOL_In_Ar_Lang_Beng_M,SOL_In_Ar_Lang_Beng_F,SOL_In_Ar_Lang_Beng_P,SOL_In_Ar_Lang_Hind_M,SOL_In_Ar_Lang_Hind_F,SOL_In_Ar_Lang_Hind_P,SOL_In_Ar_Lang_Punj_M,SOL_In_Ar_Lang_Punj_F,SOL_In_Ar_Lang_Punj_P,SOL_In_Ar_Lang_Sinh_M,SOL_In_Ar_Lang_Sinh_F,SOL_In_Ar_Lang_Sinh_P,SOL_In_Ar_Lang_Urdu_M,SOL_In_Ar_Lang_Urdu_F,SOL_In_Ar_Lang_Urdu_P,SOL_In_Ar_Lang_Othr_M,SOL_In_Ar_Lang_Othr_F,SOL_In_Ar_Lang_Othr_P,SOL_In_Ar_Lang_Tot_M,SOL_In_Ar_Lang_Tot_F,SOL_In_Ar_Lang_Tot_P,SOL_Ir_Lang_Dari_M,SOL_Ir_Lang_Dari_F,SOL_Ir_Lang_Dari_P,SOL_Ir_La_Pe_excl_Da_M,SOL_Ir_La_Pe_excl_Da_F,SOL_Ir_La_Pe_excl_Da_P,SOL_Irani_Lan_Othr_M,SOL_Irani_Lan_Othr_F,SOL_Irani_Lan_Othr_P,SOL_Iran_Lan_Tot_M,SOL_Iran_Lan_Tot_F,SOL_Iran_Lan_Tot_P,SOL_Italian_M,SOL_Italian_F,SOL_Italian_P,SOL_Japanese_M,SOL_Japanese_F,SOL_Japanese_P,SOL_Khmer_M,SOL_Khmer_F,SOL_Khmer_P,SOL_Korean_M,SOL_Korean_F,SOL_Korean_P,SOL_Macedonian_M,SOL_Macedonian_F,SOL_Macedonian_P,SOL_Maltese_M,SOL_Maltese_F,SOL_Maltese_P,SOL_Polish_M,SOL_Polish_F,SOL_Polish_P,SOL_Portuguese_M,SOL_Portuguese_F,SOL_Portuguese_P,SOL_Russian_M,SOL_Russian_F,SOL_Russian_P,SOL_Samoan_M,SOL_Samoan_F,SOL_Samoan_P,SOL_Serbian_M,SOL_Serbian_F,SOL_Serbian_P,SOL_Se_As_A_L_Filipino_M,SOL_Se_As_A_L_Filipino_F,SOL_Se_As_A_L_Filipino_P,SOL_Se_As_A_L_Indon_M,SOL_Se_As_A_L_Indon_F,SOL_Se_As_A_L_Indon_P,SOL_Se_As_A_L_Tagal_M,SOL_Se_As_A_L_Tagal_F,SOL_Se_As_A_L_Tagal_P,SOL_Se_As_A_L_Othr_M,SOL_Se_As_A_L_Othr_F,SOL_Se_As_A_L_Othr_P,SOL_Se_As_A_L_Tot_M,SOL_Se_As_A_L_Tot_F,SOL_Se_As_A_L_Tot_P,SOL_Spanish_M,SOL_Spanish_F,SOL_Spanish_P,SOL_Tamil_M,SOL_Tamil_F,SOL_Tamil_P,SOL_Thai_M,SOL_Thai_F,SOL_Thai_P,SOL_Turkish_M,SOL_Turkish_F,SOL_Turkish_P,SOL_Vietnamese_M,SOL_Vietnamese_F,SOL_Vietnamese_P,SOL_Other_M,SOL_Other_F,SOL_Other_P,SOL_Tot_M,SOL_Tot_F,SOL_Tot_P,Language_spoken_home_ns_M,Language_spoken_home_ns_F,Language_spoken_home_ns_P,Total_M,Total_F,Total_P,SA3_NAME11
10101,30573,31418,61991,108,73,181,0,0,0,8,6,14,30,32,62,36,48,84,10,5,15,76,85,161,41,31,72,41,47,88,23,26,49,82,69,151,91,59,150,9,3,12,8,4,12,17,21,38,3,3,6,3,5,8,10,6,16,11,12,23,52,51,103,3,3,6,3,0,3,0,0,0,6,3,9,92,73,165,3,3,6,11,9,20,8,10,18,11,7,18,13,15,28,22,21,43,8,7,15,3,13,16,0,3,3,37,24,61,6,26,32,6,10,16,22,36,58,10,7,17,44,79,123,47,39,86,4,5,9,17,26,43,6,8,14,18,27,45,183,163,346,1064,985,2049,2022,1438,3460,33659,33841,67500,Goulburn - Yass
10102,22446,22432,44878,72,58,130,0,3,3,5,5,10,55,65,120,77,96,173,14,14,28,146,175,321,142,144,286,24,33,57,48,67,115,88,111,199,140,131,271,35,31,66,52,38,90,98,97,195,97,71,168,22,27,49,46,33,79,55,55,110,370,321,691,0,0,0,18,12,30,5,8,13,23,20,43,346,325,671,12,23,35,4,4,8,22,18,40,499,452,951,27,24,51,66,74,140,31,28,59,26,39,65,41,38,79,150,140,290,38,80,118,38,56,94,53,78,131,9,11,20,138,225,363,91,80,171,18,16,34,18,37,55,17,10,27,37,49,86,346,375,721,2982,3056,6038,1423,1172,2595,26851,26660,53511,Queanbeyan
10103,8368,8113,16481,30,23,53,0,0,0,3,4,7,13,8,21,8,24,32,6,3,9,27,35,62,12,5,17,19,29,48,32,22,54,96,103,199,17,21,38,9,4,13,0,0,0,0,9,9,0,0,0,7,5,12,0,0,0,8,3,11,15,17,32,0,0,0,0,0,0,0,0,0,0,0,0,52,44,96,6,5,11,0,0,0,0,4,4,5,6,11,0,3,3,11,9,20,0,0,0,12,14,26,0,0,0,4,8,12,3,3,6,3,9,12,0,8,8,4,0,4,10,20,30,22,15,37,0,0,0,14,11,25,3,10,13,8,4,12,69,89,158,476,505,981,892,576,1468,9736,9194,18930,Snowy Mountains
10104,30685,31802,62487,10,10,20,0,0,0,21,19,40,25,26,51,14,16,30,3,4,7,42,46,88,67,74,141,72,98,170,55,60,115,159,220,379,75,58,133,20,22,42,0,0,0,3,3,6,0,0,0,0,0,0,3,0,3,3,3,6,9,6,15,0,0,0,0,3,3,0,0,0,0,3,3,123,81,204,12,27,39,0,0,0,3,4,7,3,12,15,17,11,28,23,22,45,11,4,15,12,11,23,5,11,16,31,18,49,0,30,30,6,8,14,12,34,46,4,19,23,22,91,113,43,49,92,3,4,7,11,32,43,3,4,7,38,37,75,151,153,304,1041,1187,2228,1642,1523,3165,33368,34512,67880,South Coast
10201,70743,75939,146682,140,122,262,8,9,17,14,11,25,209,251,460,179,269,448,20,34,54,408,554,962,70,70,140,151,170,321,139,174,313,277,307,584,206,221,427,37,56,93,25,28,53,77,79,156,44,24,68,22,21,43,11,16,27,38,36,74,217,204,421,0,0,0,30,24,54,6,4,10,36,28,64,329,296,625,78,114,192,12,10,22,104,130,234,8,5,13,80,81,161,81,106,187,55,69,124,87,127,214,9,12,21,40,55,95,56,134,190,43,64,107,54,154,208,26,28,54,179,380,559,319,349,668,28,25,53,73,137,210,29,29,58,54,56,110,723,762,1485,3991,4669,8660,3942,3826,7768,78676,84434,163110,Gosford
10202,66234,70706,136940,124,94,218,5,9,14,14,11,25,127,159,286,76,130,206,15,18,33,218,307,525,47,50,97,98,137,235,51,87,138,142,150,292,159,167,326,39,44,83,5,18,23,51,60,111,21,11,32,7,3,10,27,32,59,39,36,75,150,160,310,3,4,7,23,20,43,4,5,9,30,29,59,322,272,594,37,50,87,7,7,14,22,31,53,11,14,25,122,126,248,32,47,79,32,35,67,43,59,102,26,27,53,58,57,115,41,119,160,37,55,92,47,174,221,13,15,28,138,363,501,216,236,452,13,21,34,27,86,113,21,25,46,41,40,81,465,483,948,2710,3224,5934,3080,3122,6202,72024,77052,149076,Wyong
10301,19533,19956,39489,66,36,102,0,0,0,8,3,11,39,33,72,45,45,90,6,4,10,90,82,172,13,8,21,24,24,48,17,25,42,55,43,98,20,24,44,3,5,8,13,12,25,18,22,40,4,3,7,6,10,16,6,7,13,10,6,16,57,60,117,4,0,4,3,9,12,6,10,16,13,19,32,38,42,80,12,19,31,6,5,11,3,9,12,4,0,4,7,8,15,4,8,12,0,3,3,14,14,28,5,0,5,18,11,29,4,18,22,0,4,4,14,22,36,0,5,5,18,49,67,22,20,42,7,10,17,5,14,19,7,6,13,18,19,37,159,129,288,713,695,1408,1738,919,2657,21984,21570,43554,Bathurst
10302,25444,25805,51249,34,27,61,3,0,3,18,17,35,30,42,72,14,17,31,0,3,3,44,62,106,3,13,16,7,19,26,5,12,17,17,25,42,28,20,48,4,3,7,5,3,8,8,14,22,3,0,3,7,9,16,0,0,0,4,3,7,27,29,56,0,0,0,3,0,3,0,0,0,3,0,3,40,38,78,11,10,21,6,5,11,5,3,8,0,3,3,7,6,13,7,10,17,0,0,0,4,0,4,3,0,3,6,6,12,14,26,40,0,3,3,15,21,36,0,0,0,29,50,79,13,13,26,5,7,12,4,18,22,0,0,0,13,9,22,123,115,238,469,520,989,1341,1218,2559,27254,27543,54797,Lachlan Valley
10303,20167,19997,40164,28,20,48,3,0,3,7,3,10,26,41,67,10,25,35,9,6,15,45,72,117,24,18,42,25,21,46,17,18,35,49,67,116,28,18,46,12,9,21,4,0,4,9,7,16,10,9,19,0,0,0,5,4,9,7,0,7,35,20,55,0,0,0,3,0,3,0,0,0,3,0,3,50,54,104,5,7,12,0,0,0,3,3,6,3,6,9,10,7,17,5,14,19,0,6,6,3,7,10,3,3,6,8,5,13,12,22,34,7,5,12,8,42,50,0,0,0,27,69,96,32,44,76,3,3,6,5,23,28,5,8,13,15,23,38,111,93,204,564,641,1205,1567,982,2549,22298,21620,43918,Lithgow - Mudgee
10304,24401,25396,49797,66,68,134,0,0,0,11,3,14,39,36,75,33,42,75,6,5,11,78,83,161,27,24,51,15,21,36,23,25,48,50,55,105,48,40,88,7,15,22,0,3,3,23,26,49,13,14,27,4,4,8,11,9,20,10,9,19,61,65,126,0,0,0,12,8,20,5,0,5,17,8,25,93,92,185,10,12,22,0,0,0,14,15,29,4,7,11,4,5,9,8,32,40,13,12,25,42,52,94,0,0,0,8,8,16,22,36,58,6,11,17,12,27,39,6,7,13,46,81,127,31,39,70,15,12,27,26,22,48,14,18,32,9,11,20,278,300,578,1018,1125,2143,1368,1161,2529,26787,27682,54469,Orange
