SA3_MAIN11,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total,SA3_NAME11
10801,829,366,1204,3604,1540,204,5348,17424,2411,25183,Great Lakes
10802,1129,212,1345,6018,2541,330,8889,25646,3498,38033,Kempsey - Nambucca
10803,7,0,7,52,15,0,67,223,14,304,Lord Howe Island
10804,1932,501,2455,10427,4251,615,15293,40006,4464,59763,Port Macquarie
10805,1156,230,1394,7000,2993,373,10366,28394,3150,41910,Taree - Gloucester
10901,1061,192,1268,9044,3594,461,13099,29613,3384,46096,Albury
10902,153,57,210,1854,709,82,2645,6362,915,9922,Lower Murray
10903,765,306,1087,5821,2404,267,8492,21648,2942,33082,Upper Murray exc. Albury
11001,570,124,697,5200,2034,279,7513,19166,2276,28955,Armidale
11002,688,207,901,5384,2086,294,7764,19900,2563,30227,Inverell - Tenterfield
11003,323,49,372,4045,1435,265,5745,12054,2011,19810,Moree - Narrabri
11004,1304,323,1646,11951,4684,586,17221,38500,5045,60766,Tamworth - Gunnedah
11101,2254,492,2776,18880,9426,963,29269,59892,5962,95123,Lake Macquarie - East
11102,1701,294,2004,10857,5390,594,16841,36605,3540,56986,Lake Macquarie - West
11103,3216,688,3950,23483,10836,1374,35693,84337,8962,128992,Newcastle
11201,1715,353,2087,11471,4289,753,16513,39044,4388,59945,Richmond Valley - Coastal
11202,1267,235,1519,10462,4401,677,15540,35934,3899,55373,Richmond Valley - Hinterland
11203,2252,633,2902,12421,4899,701,18021,45966,5958,69945,Tweed Valley
11301,698,183,895,7305,2761,313,10379,22209,3518,36106,Griffith - Murrumbidgee (West)
11302,286,63,353,2163,806,106,3075,7438,969,11482,Tumut - Tumbarumba
11303,1528,325,1876,13913,5534,717,20164,44969,5457,70590,Wagga Wagga
11401,2021,528,2567,12734,5528,681,18943,50318,6998,76259,Shoalhaven
11402,936,226,1168,6927,2851,351,10129,23198,2470,35797,Southern Highlands
11501,1841,430,2309,24379,8261,886,33526,68400,4537,106463,Baulkham Hills
11502,418,58,492,4149,1736,202,6087,13274,972,20333,Dural - Wisemans Ferry
11503,190,39,232,4152,1517,223,5892,11599,1493,18984,Hawkesbury
11504,128,26,154,5693,1615,227,7535,11485,1081,20101,Rouse Hill - McGraths Hill
11601,1323,270,1609,21213,6715,687,28615,63211,6813,98639,Blacktown
11602,280,34,321,15987,3562,585,20134,32366,3329,55829,Blacktown - North
11603,712,138,857,17389,5017,566,22972,47384,6681,77037,Mount Druitt
11701,566,98,676,6284,1882,182,8348,21186,2683,32217,Botany
11802,2316,432,2777,18348,6039,710,25097,73131,11258,109486,Eastern Suburbs - South
11901,2774,625,3443,24665,7726,640,33031,80728,10742,124501,Bankstown
11902,1542,452,2015,19985,5489,324,25798,63992,9735,99525,Canterbury
11903,2585,432,3047,18753,6196,469,25418,64345,6297,96060,Hurstville
69797,3,0,3,12,12,0,24,72,27,123,Migratory - Offshore - Shipping (Tas.)
20605,808,365,1188,10369,4164,427,14960,58505,7871,81336,Port Phillip
20903,461,155,627,11925,4137,752,16814,31460,2287,50561,Nillumbik - Kinglake
20904,1157,438,1602,28931,8646,867,38444,83846,9400,131690,Whittlesea - Wallan
21001,971,243,1229,8334,3614,236,12184,30390,3067,45641,Keilor
21002,255,47,308,5058,1628,266,6952,12654,1114,20720,Macedon Ranges
21003,1649,453,2122,9771,2946,286,13003,37188,5178,55369,Moreland - North
21004,274,125,405,6710,2354,308,9372,17922,1824,29118,Sunbury
21005,624,126,760,21741,5585,536,27862,65443,8562,101867,Tullamarine - Broadmeadows
21101,2089,417,2532,25015,8960,1192,35167,80499,6026,121692,Knox
21102,379,63,445,4429,1874,217,6520,13114,928,20562,Manningham - East
21103,1911,447,2374,17553,6441,958,24952,54600,4464,84016,Maroondah
21104,1078,305,1399,9447,3705,515,13667,30645,2427,46739,Whitehorse - East
11801,2253,664,2962,16808,6341,633,23782,65463,12906,102151,Eastern Suburbs - North
11904,2469,443,2949,18848,5994,423,25265,67414,8448,101127,Kogarah - Rockdale
12001,1207,281,1500,11991,3814,355,16160,40591,4800,61551,Canada Bay
12002,471,154,630,8883,2450,402,11735,28561,3119,43415,Leichhardt
12003,2446,570,3067,20182,5784,652,26618,79193,10068,115879,Strathfield - Burwood - Ashfield
12101,1950,294,2278,18266,4665,697,23628,52843,4797,81268,Chatswood - Lane Cove
12102,1209,236,1461,14608,4350,692,19650,38371,2862,60883,Hornsby
12103,2852,583,3485,19950,6753,800,27503,55037,4467,87007,Ku-ring-gai
12104,1520,355,1908,11836,4582,418,16836,52500,7165,76501,North Sydney - Mosman
12201,673,173,859,7000,2223,311,9534,20139,2558,32231,Manly
12202,1220,278,1518,10403,4011,555,14969,27891,2867,45727,Pittwater
12203,3251,588,3878,26055,8562,1199,35816,70027,6588,112431,Warringah
12301,613,82,704,10830,3213,515,14558,22817,1851,39226,Camden
12302,931,429,1378,23649,8932,923,33504,72396,9104,115004,Campbelltown (NSW)
12303,352,65,423,6494,2347,308,9149,17185,1798,28132,Wollondilly
12401,1209,322,1548,12550,5374,912,18836,38138,3954,60928,Blue Mountains
12402,0,0,0,0,0,0,0,6,0,6,Blue Mountains - South
12403,1119,282,1420,22351,8385,1077,31813,59079,6380,97272,Penrith
12404,499,77,585,6148,2330,304,8782,16953,2417,28152,Richmond - Windsor
12405,315,134,453,8469,3043,383,11895,25908,3070,40873,St Marys
12501,742,121,873,10979,2522,196,13697,38975,7115,59787,Auburn
12502,777,266,1056,10218,3278,355,13851,31348,3106,48305,Carlingford
12503,1789,450,2258,20655,6296,466,27417,69253,9803,106473,Merrylands - Guildford
12504,1780,489,2293,20895,5715,547,27157,65861,8792,101810,Parramatta
12601,855,101,975,7394,2621,289,10304,23681,1327,35312,Pennant Hills - Epping
12602,2681,491,3215,19303,5878,652,25833,67669,6163,99665,Ryde - Hunters Hill
12701,400,119,525,13274,3582,323,17179,38359,5534,61072,Bringelly - Green Valley
