SA3_MAIN11,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P,SA3_NAME11
10802,5792,11502,74,398,475,2294,143,672,2021,8245,2713,11609,147,582,322,998,787,2377,1256,3957,3969,15566,27,142,218,814,126,522,1273,3746,1644,5224,61,185,221,468,751,1595,1033,2248,2677,7472,191,397,12629,34937,Kempsey - Nambucca
10803,44,79,0,0,4,8,3,3,24,89,31,100,0,4,0,3,7,13,7,20,38,120,0,3,0,5,0,0,3,3,3,11,0,0,0,0,6,7,6,7,9,18,0,0,91,217,Lord Howe Island
10804,10054,19901,106,573,783,3537,197,853,3844,15233,4930,20196,279,1088,606,1915,1195,3662,2080,6665,7010,26861,42,186,268,934,137,453,1467,3887,1914,5460,107,321,365,772,977,2010,1449,3103,3363,8563,210,427,20637,55752,Port Macquarie
10805,6838,13550,89,500,524,2442,171,777,2456,9959,3240,13678,195,784,412,1272,898,2773,1505,4829,4745,18507,31,141,202,723,103,376,1184,3319,1520,4559,48,153,234,498,746,1572,1028,2223,2548,6782,162,327,14293,39166,Taree - Gloucester
10901,6042,11889,110,621,670,3083,190,886,3426,13570,4396,18160,261,1052,519,1647,954,2939,1734,5638,6130,23798,35,151,184,665,101,383,1158,3148,1478,4347,93,288,272,583,700,1472,1065,2343,2543,6690,199,408,14914,42785,Albury
10902,1496,2960,27,156,136,646,44,196,737,2949,944,3947,53,211,93,279,243,745,389,1235,1333,5182,6,30,38,146,17,61,210,592,271,829,16,40,36,75,148,315,200,430,471,1259,42,86,3342,9487,Lower Murray
10903,5535,10897,75,418,513,2363,125,548,2152,8627,2865,11956,171,680,308,939,608,1857,1087,3476,3952,15432,18,68,117,400,69,257,660,1832,864,2557,41,126,121,247,397,828,559,1201,1423,3758,114,237,11024,30324,Upper Murray exc. Albury
11001,3800,7472,82,469,408,1900,116,505,1972,7838,2578,10712,155,604,337,1074,556,1677,1048,3355,3626,14067,26,126,117,431,56,198,701,1922,900,2677,27,90,147,303,392,824,566,1217,1466,3894,132,271,9024,25704,Armidale
11002,4691,9246,53,296,419,1956,99,452,2046,8339,2617,11043,117,468,255,746,680,2050,1052,3264,3669,14307,25,113,130,516,67,263,807,2386,1029,3278,34,102,128,260,471,995,633,1357,1662,4635,150,299,10172,28487,Inverell - Tenterfield
11003,2583,5112,46,254,242,1057,105,506,1671,6704,2064,8521,102,394,169,499,425,1328,696,2221,2760,10742,17,82,81,298,59,232,558,1639,715,2251,28,80,66,144,321,701,415,925,1130,3176,108,228,6581,19258,Moree - Narrabri
