SA3_MAIN11,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families,SA3_NAME11
19797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NSW)
19999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (NSW)
20101,8895,736,438,66,5,6,43,10189,Ballarat
20102,2546,212,132,24,4,4,15,2937,Creswick - Daylesford - Ballan
20103,1963,199,145,20,0,4,15,2346,Maryborough - Pyrenees
20201,7905,726,441,50,6,12,28,9168,Bendigo
20202,4175,351,220,34,0,6,23,4809,Heathcote - Castlemaine - Kyneton
20603,6553,317,113,31,0,8,10,7032,Essendon
11801,10666,624,198,35,0,0,14,11537,Eastern Suburbs - North
20203,1013,86,58,8,0,3,3,1171,Loddon - Elmore
20301,2055,158,97,14,3,3,3,2333,Barwon - West
20302,17094,1416,771,99,5,19,63,19467,Geelong
20303,6295,438,245,31,0,8,26,7043,Surf Coast - Bellarine Peninsula
20401,4381,406,233,25,0,5,22,5072,Upper Goulburn Valley
20402,4048,356,220,27,3,7,26,4687,Wangaratta - Benalla
20403,6180,550,347,38,3,8,39,7165,Wodonga - Alpine
20501,4340,340,241,39,8,5,25,4998,Baw Baw
20502,3339,320,198,38,4,3,39,3941,Gippsland - East
20503,4849,454,284,21,0,4,44,5656,Gippsland - South West
20504,6475,656,428,44,3,7,57,7670,Latrobe Valley
20505,3721,330,244,24,5,0,22,4346,Wellington
20601,7669,365,127,54,0,3,12,8230,Brunswick - Coburg
20602,5028,248,100,18,3,3,11,5411,Darebin - South
10803,35,0,0,0,0,0,0,35,Lord Howe Island
10804,5907,607,369,59,0,6,62,7010,Port Macquarie
10805,3947,372,286,65,8,8,60,4746,Taree - Gloucester
10901,5317,433,283,40,5,3,52,6133,Albury
10902,1144,75,77,10,0,3,24,1333,Lower Murray
10903,3404,261,216,29,0,9,33,3952,Upper Murray exc. Albury
11001,3170,219,154,36,7,11,28,3625,Armidale
11002,3066,293,228,36,3,4,40,3670,Inverell - Tenterfield
11003,2368,147,161,42,0,7,36,2761,Moree - Narrabri
11004,6871,647,410,73,6,15,66,8088,Tamworth - Gunnedah
11101,12110,1050,630,141,7,26,92,14056,Lake Macquarie - East
11102,6571,702,467,80,10,14,68,7912,Lake Macquarie - West
11103,13956,1241,714,109,9,24,85,16138,Newcastle
11201,6249,573,330,49,3,8,45,7257,Richmond Valley - Coastal
11202,5880,551,420,71,4,15,62,7003,Richmond Valley - Hinterland
11203,6942,717,420,90,9,13,48,8239,Tweed Valley
11301,4759,294,242,50,3,8,44,5400,Griffith - Murrumbidgee (West)
11302,1315,131,86,5,3,0,13,1553,Tumut - Tumbarumba
11303,8304,671,493,66,6,5,81,9626,Wagga Wagga
11401,7331,690,476,84,5,18,96,8700,Shoalhaven
11402,4149,327,229,25,0,10,29,4769,Southern Highlands
11501,20739,947,473,195,3,8,37,22402,Baulkham Hills
11502,3421,218,130,30,0,4,12,3815,Dural - Wisemans Ferry
11503,2968,201,153,40,4,6,14,3386,Hawkesbury
11504,4114,228,145,40,0,3,20,4550,Rouse Hill - McGraths Hill
11601,15582,884,556,278,19,16,61,17396,Blacktown
11602,11110,614,432,135,4,9,32,12336,Blacktown - North
11603,11927,796,603,249,26,24,86,13711,Mount Druitt
11701,4554,250,121,62,3,0,12,5002,Botany
11802,12351,659,265,90,0,7,38,13410,Eastern Suburbs - South
11901,19633,990,560,274,16,23,55,21551,Bankstown
11902,15880,752,354,231,7,17,36,17277,Canterbury
11903,14516,752,339,188,3,17,41,15856,Hurstville
11904,14248,729,282,162,6,7,39,15473,Kogarah - Rockdale
12001,8737,447,160,70,3,10,14,9441,Canada Bay
12002,5209,335,97,22,0,7,11,5681,Leichhardt
12003,15160,690,263,166,5,9,34,16327,Strathfield - Burwood - Ashfield
12101,12427,581,188,81,3,3,22,13305,Chatswood - Lane Cove
12102,10453,552,232,71,3,7,30,11348,Hornsby
12103,16056,644,266,100,0,8,24,17098,Ku-ring-gai
12104,7385,451,104,23,0,3,10,7976,North Sydney - Mosman
12201,4441,254,92,15,0,4,8,4814,Manly
12202,7127,512,248,50,4,0,13,7954,Pittwater
12203,17715,1060,460,125,10,6,24,19400,Warringah
12301,6895,576,414,60,7,10,31,7993,Camden
12302,16471,1293,896,305,21,41,122,19149,Campbelltown (NSW)
12303,4421,331,267,58,3,6,30,5116,Wollondilly
12401,8003,703,396,55,3,6,48,9214,Blue Mountains
12402,0,0,0,0,0,0,0,0,Blue Mountains - South
12403,14440,1257,845,187,18,27,77,16851,Penrith
12404,3640,364,252,37,7,9,30,4339,Richmond - Windsor
12405,6044,478,360,91,6,17,42,7038,St Marys
12501,8906,430,165,175,0,9,38,9723,Auburn
12502,7973,376,167,99,0,12,11,8638,Carlingford
12503,16230,814,461,258,10,9,64,17846,Merrylands - Guildford
12504,14687,668,284,143,3,12,39,15836,Parramatta
12601,6281,268,99,57,0,3,10,6718,Pennant Hills - Epping
12602,14378,657,229,143,9,10,28,15454,Ryde - Hunters Hill
12701,10827,580,374,179,15,18,46,12039,Bringelly - Green Valley
12702,22060,1178,611,464,16,32,82,24443,Fairfield
12703,13539,732,473,190,12,11,48,15005,Liverpool
12801,12128,775,383,57,4,10,30,13387,Cronulla - Miranda - Caringbah
12802,14748,894,448,94,0,11,33,16228,Sutherland - Menai - Heathcote
10101,6388,577,431,70,4,12,55,7537,Goulburn - Yass
10102,5929,520,311,45,3,5,29,6842,Queanbeyan
10103,1638,113,89,13,3,6,9,1871,Snowy Mountains
10104,5076,537,322,51,0,11,60,6057,South Coast
10201,16137,1464,894,131,12,17,92,18747,Gosford
10202,13285,1512,1052,165,20,23,139,16196,Wyong
10301,4018,374,231,36,3,7,26,4695,Bathurst
10302,4815,364,301,56,3,10,72,5621,Lachlan Valley
10303,3832,360,275,50,6,7,48,4578,Lithgow - Mudgee
10304,5360,434,326,48,8,13,29,6218,Orange
10401,3832,367,291,57,3,20,46,4616,Clarence Valley
10402,6948,693,449,77,4,9,59,8239,Coffs Harbour
10501,2005,139,122,65,3,8,42,2384,Bourke - Cobar - Coonamble
10502,1551,167,114,22,3,3,20,1880,Broken Hill and Far West
10503,5998,449,369,81,9,8,109,7023,Dubbo
10601,8168,763,599,105,13,16,88,9752,Lower Hunter
10602,7078,636,457,60,9,17,46,8303,Maitland
10603,6068,608,409,66,12,9,49,7221,Port Stephens
10604,2850,234,222,29,0,3,28,3366,Upper Hunter
10701,7690,638,428,81,5,18,60,8920,Dapto - Port Kembla
10702,0,0,0,0,0,0,0,0,Illawarra Catchment Reserve
10703,9091,856,507,105,9,22,66,10656,Kiama - Shellharbour
10704,12331,835,486,85,6,13,45,13801,Wollongong
10801,2047,203,116,19,0,6,36,2427,Great Lakes
10802,3303,293,248,54,4,11,55,3968,Kempsey - Nambucca
20604,3699,280,53,30,3,0,14,4079,Melbourne City
20605,5746,443,96,19,0,3,11,6318,Port Phillip
21105,16762,1509,889,108,5,16,64,19353,Yarra Ranges
