SA3_MAIN11,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons,SA3_NAME11
11004,25659,65515,889,1438,203,375,1092,1813,1773,2659,38,57,21,37,36,48,1868,2801,160,257,19,36,95,198,274,491,44,94,28937,70714,3397,0,32334,70714,Tamworth - Gunnedah
11101,37169,98821,2805,4740,1079,2298,3884,7038,2240,3505,165,263,267,467,77,124,2749,4359,255,376,5,9,81,166,341,551,14,31,44157,110800,3538,0,47695,110800,Lake Macquarie - East
11102,23061,61029,1007,1635,208,435,1215,2070,869,1255,53,88,18,47,24,40,964,1430,325,512,3,6,28,52,356,570,19,40,25615,65139,2806,0,28421,65139,Lake Macquarie - West
11103,45582,116698,3687,6443,3398,7072,7085,13515,4792,7443,1911,3094,1387,2408,90,157,8180,13102,26,42,8,20,173,356,207,418,85,121,61139,143854,5045,0,66184,143854,Newcastle
11201,21695,55018,1915,3560,1368,2874,3283,6434,2535,4210,142,253,73,136,80,119,2830,4718,847,1296,21,21,84,165,952,1482,33,60,28793,67712,4101,0,32894,67712,Richmond Valley - Coastal
11202,23061,59144,856,1436,285,559,1141,1995,1523,2418,75,101,51,69,58,88,1707,2676,336,513,40,70,106,209,482,792,19,32,26410,64639,2751,0,29161,64639,Richmond Valley - Hinterland
11203,21893,57382,4247,8296,2171,4314,6418,12610,2410,4253,1128,2008,494,905,112,209,4144,7375,1081,1646,12,24,64,127,1157,1797,46,89,33658,79253,4205,0,37863,79253,Tweed Valley
11301,14610,38793,630,1189,93,188,723,1377,940,1752,3,3,3,5,8,17,954,1777,124,178,13,22,31,81,168,281,14,45,16469,42273,2486,0,18955,42273,Griffith - Murrumbidgee (West)
11302,5083,12519,49,69,26,36,75,105,220,298,3,4,45,76,0,0,268,378,31,37,5,8,20,36,56,81,22,30,5504,13113,1354,0,6858,13113,Tumut - Tumbarumba
11303,28913,75219,884,1423,172,331,1056,1754,2467,3786,90,127,32,42,30,59,2619,4014,87,110,15,47,132,297,234,454,47,78,32869,81519,4180,0,37049,81519,Wagga Wagga
11401,31793,77210,1517,2632,330,619,1847,3251,1433,2092,21,36,4,3,58,94,1516,2225,593,843,3,16,55,131,651,990,61,107,35868,83783,13543,0,49411,83783,Shoalhaven
11402,15086,37817,1019,1875,178,324,1197,2199,261,342,0,0,9,15,26,49,296,406,63,97,5,14,40,78,108,189,18,38,16705,40649,2969,0,19674,40649,Southern Highlands
11501,34449,111681,1407,2672,3942,9930,5349,12602,600,976,641,1332,750,1510,35,71,2026,3889,3,0,0,0,4,10,7,10,32,68,41863,128250,1949,0,43812,128250,Baulkham Hills
50901,18733,46585,921,1532,99,219,1020,1751,585,905,11,22,0,0,18,24,614,951,209,317,29,65,41,101,279,483,12,26,20658,49796,5583,0,26241,49796,Albany
10303,15182,37430,710,1206,29,54,739,1260,478,670,46,61,0,0,6,15,530,746,124,181,18,26,79,143,221,350,13,22,16685,39808,3365,0,20050,39808,Lithgow - Mudgee
10304,17628,46646,996,1682,75,123,1071,1805,831,1146,29,35,20,31,20,44,900,1256,77,108,18,36,71,129,166,273,14,28,19779,50008,2181,0,21960,50008,Orange
10401,16632,41446,518,820,274,526,792,1346,998,1569,76,126,12,23,18,29,1104,1747,402,630,38,66,82,171,522,867,32,45,19082,45451,3319,0,22401,45451,Clarence Valley
10402,24527,64073,1755,3038,1226,2401,2981,5439,2170,3516,260,438,234,408,94,163,2758,4525,882,1349,28,48,68,138,978,1535,18,31,31262,75603,3753,0,35015,75603,Coffs Harbour
10501,8416,21152,126,213,6,18,132,231,399,591,0,0,0,0,0,3,399,594,249,374,45,67,68,131,362,572,30,67,9339,22616,2654,0,11993,22616,Bourke - Cobar - Coonamble
10502,7864,18127,74,104,0,0,74,104,285,460,0,0,65,144,3,7,353,611,55,101,0,0,26,54,81,155,55,171,8427,19168,1949,0,10376,19168,Broken Hill and Far West
10503,21770,56794,873,1482,45,102,918,1584,1569,2256,20,25,18,25,12,28,1619,2334,121,191,27,45,116,247,264,483,20,55,24591,61250,3264,0,27855,61250,Dubbo
