SA3_MAIN11,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P,SA3_NAME11
10103,7830,7463,15293,3701,2109,5810,889,1794,2683,284,265,549,199,139,338,5073,4307,9380,2116,2657,4773,3.9,3.2,3.6,64.8,57.7,61.3,62.3,55.8,59.1,163,141,304,83,141,224,574,858,1432,430,645,1075,2384,1213,3597,7415,7162,14577,1321,1370,2691,5244,5047,10291,2951,2949,5900,Snowy Mountains
10104,27465,28903,56368,8713,4725,13438,3579,6753,10332,931,934,1865,1084,760,1844,14307,13172,27479,11577,14175,25752,7.6,5.8,6.7,52.1,45.6,48.7,48.1,42.9,45.5,491,439,930,350,643,993,2071,2874,4945,1541,2545,4086,8529,4391,12920,26802,27827,54629,4579,4859,9438,18546,18833,37379,11178,12241,23419,South Coast
10201,63162,69443,132605,27648,14878,42526,7463,16861,24324,2172,2362,4534,2487,2128,4615,39770,36229,75999,19645,29375,49020,6.3,5.9,6.1,63.0,52.2,57.3,59.0,49.1,53.8,1672,1423,3095,689,1181,1870,6036,8080,14116,4788,6927,11715,18536,10577,29113,63865,68809,132674,9939,10972,20911,42923,46300,89223,26393,29105,55498,Gosford
10202,56547,62335,118882,23644,12182,35826,5816,13929,19745,1953,2100,4053,2696,2381,5077,34109,30592,64701,19386,28511,47897,7.9,7.8,7.8,60.3,49.1,54.4,55.6,45.3,50.2,618,600,1218,357,608,965,2776,4595,7371,3083,4781,7864,18106,10592,28698,58303,62457,120760,9645,10534,20179,38302,40888,79190,24947,27693,52640,Wyong
10301,17283,17249,34532,8149,4306,12455,1775,4402,6177,605,605,1210,577,536,1113,11106,9849,20955,5290,6551,11841,5.2,5.4,5.3,64.3,57.1,60.7,60.9,54.0,57.5,398,363,761,173,331,504,1301,2089,3390,937,1390,2327,4972,2798,7770,16663,16875,33538,3250,3480,6730,10874,10904,21778,7720,8157,15877,Bathurst
10302,21446,21947,43393,9803,4659,14462,1911,4905,6816,780,773,1553,690,569,1259,13184,10906,24090,6942,9883,16825,5.2,5.2,5.2,61.5,49.7,55.5,58.3,47.1,52.6,140,175,315,114,252,366,964,1868,2832,830,1545,2375,5532,3338,8870,22303,22517,44820,3263,3444,6707,16018,16030,32048,7782,8231,16013,Lachlan Valley
10303,17764,17577,35341,7636,3428,11064,1607,4117,5724,633,545,1178,695,537,1232,10571,8627,19198,6061,7986,14047,6.6,6.2,6.4,59.5,49.1,54.3,55.6,46.0,50.8,172,167,339,109,255,364,893,1441,2334,790,1242,2032,5471,2690,8161,17530,17432,34962,2860,2943,5803,12333,12117,24450,6744,7010,13754,Lithgow - Mudgee
10304,20560,21763,42323,10689,5721,16410,1939,5132,7071,735,811,1546,576,525,1101,13939,12189,26128,5469,8576,14045,4.1,4.3,4.2,67.8,56.0,61.7,65.0,53.6,59.1,484,379,863,194,350,544,1672,2661,4333,1194,1980,3174,5779,3580,9359,20999,21941,42940,3962,4151,8113,14036,14550,28586,9050,9812,18862,Orange
10101,26644,27209,53853,12597,6799,19396,2873,6447,9320,982,971,1953,804,685,1489,17256,14902,32158,8032,10999,19031,4.7,4.6,4.6,64.8,54.8,59.7,61.7,52.2,56.9,572,521,1093,286,504,790,1858,2829,4687,1467,2312,3779,7301,4108,11409,26961,27580,54541,4241,4491,8732,18603,18807,37410,10561,11291,21852,Goulburn - Yass
10102,21251,21236,42487,12225,8017,20242,2295,4883,7178,865,1031,1896,472,371,843,15857,14302,30159,4093,5906,9999,3.0,2.6,2.8,74.6,67.3,71.0,72.4,65.6,69.0,1290,899,2189,448,680,1128,2360,3206,5566,1656,2154,3810,5207,2903,8110,21248,21207,42455,3800,3950,7750,13625,13543,27168,9794,10040,19834,Queanbeyan
