SA3_MAIN11,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot,SA3_NAME11
10101,1013,1231,2456,3575,3976,2987,972,218,24,16452,19,30,70,148,178,265,162,57,5,934,0,3,3,4,3,7,0,0,0,20,44,35,76,89,83,53,15,0,0,395,5,3,8,23,19,5,0,0,0,63,8,17,47,69,66,46,3,0,0,256,7,17,41,66,61,25,4,0,0,221,319,200,320,407,406,225,46,3,0,1926,306,166,196,225,260,134,20,3,0,1310,3,13,28,73,77,56,9,4,0,263,11,13,24,24,32,25,4,0,0,133,3,41,77,97,78,36,5,0,0,337,15,14,38,45,39,28,3,3,0,185,21,56,138,206,193,117,23,3,0,757,8,11,51,106,105,59,15,0,0,355,18,61,320,538,435,206,18,3,0,1599,24,68,244,407,449,355,50,3,0,1600,72,215,403,670,918,631,77,3,3,2992,16,20,22,34,18,24,3,0,0,137,44,47,103,110,79,76,12,0,0,471,Goulburn - Yass
10102,842,1364,2931,3721,3685,2282,504,52,3,15384,3,5,11,15,35,47,32,14,0,162,3,3,0,3,3,0,0,0,0,12,31,25,59,71,83,60,14,3,0,346,5,3,25,30,43,12,0,0,0,118,12,30,60,105,76,33,8,0,0,324,10,25,31,50,52,35,6,0,0,209,336,193,226,275,244,158,28,3,0,1463,212,114,143,120,133,78,10,0,0,810,5,22,56,69,61,38,4,0,0,255,9,22,39,53,56,26,5,0,0,210,14,39,68,61,66,28,3,0,0,279,25,46,50,50,42,34,3,0,0,250,27,83,204,253,205,138,22,0,0,932,14,23,68,113,117,80,8,0,0,423,32,233,942,1236,1085,354,26,0,0,3908,23,66,211,358,355,207,29,3,0,1252,68,169,396,475,515,357,43,0,0,2023,23,22,48,51,39,35,6,0,0,224,48,78,93,100,99,55,8,0,0,481,Queanbeyan
10103,323,369,737,1019,1185,864,297,77,6,4877,4,8,15,37,42,66,44,14,4,234,0,0,3,0,0,0,0,0,0,3,13,8,16,24,21,15,0,0,0,97,0,0,15,17,23,5,3,0,0,63,0,0,8,26,22,15,7,0,0,78,4,7,8,16,14,13,0,0,0,62,81,46,78,123,137,79,10,0,3,557,92,71,137,123,137,93,26,0,0,679,0,4,9,10,24,25,3,0,0,75,0,6,0,13,12,7,0,0,0,38,0,7,18,18,19,8,0,0,0,70,13,5,22,17,16,6,0,0,0,79,4,13,46,71,49,39,10,0,0,232,4,11,19,41,43,25,14,0,0,157,3,17,64,77,124,39,7,3,0,334,7,16,54,121,145,84,17,3,0,447,13,36,74,127,228,132,28,3,0,641,6,18,36,36,38,9,3,0,0,146,6,9,17,26,22,17,0,0,0,97,Snowy Mountains
10104,881,814,1676,2596,3470,2982,688,106,11,13224,3,9,20,46,72,90,44,14,4,302,0,0,0,3,0,4,0,0,0,7,46,29,69,121,158,72,12,0,0,507,3,3,4,13,7,5,0,0,0,35,4,7,33,68,88,57,8,0,0,265,6,8,26,37,59,47,6,0,0,189,348,142,230,369,496,335,58,0,0,1978,290,135,226,320,436,260,39,3,0,1709,3,14,21,40,81,55,15,5,0,234,10,8,22,35,38,29,6,0,0,148,3,22,50,79,73,48,3,0,0,278,10,20,28,55,65,62,12,3,0,255,17,30,81,134,183,128,23,3,0,599,5,13,56,82,118,66,11,3,0,354,10,18,74,152,188,129,4,3,0,578,10,19,163,299,524,377,33,0,0,1425,51,115,255,567,1012,677,63,4,0,2744,10,10,31,49,48,30,9,0,0,187,32,50,64,93,98,69,9,0,0,415,South Coast
10201,2183,3398,6512,8453,8882,6268,1408,162,20,37286,6,11,20,43,48,35,33,4,0,200,0,3,8,13,4,12,0,0,0,40,73,102,233,355,386,219,32,0,0,1400,4,5,18,32,29,18,0,0,0,106,14,31,140,239,228,144,32,0,0,828,17,53,160,246,227,144,27,0,3,877,812,714,683,813,1073,585,96,9,0,4785,795,506,373,416,435,232,24,3,0,2784,3,26,70,131,168,99,25,0,0,522,44,55,117,131,143,104,11,3,0,608,21,125,300,330,332,203,22,4,0,1337,60,64,105,151,169,87,21,6,0,663,48,164,440,571,499,314,74,3,0,2113,24,118,267,320,331,189,24,0,0,1273,24,78,409,540,506,271,38,0,0,1866,65,204,617,896,1170,790,80,6,0,3828,159,532,1304,1838,2633,1617,221,7,0,8311,46,83,83,136,104,57,18,4,0,531,86,172,238,317,289,198,32,5,0,1337,Gosford
10202,2026,2943,6090,7292,7359,4713,899,82,13,31417,5,3,14,28,28,23,10,0,0,111,0,4,7,4,4,0,0,0,0,19,64,113,251,420,406,216,30,4,0,1504,3,10,32,38,30,17,0,0,0,130,15,38,135,175,165,94,11,0,0,633,18,42,132,182,195,92,14,0,0,675,802,635,816,985,1036,522,75,5,0,4876,871,410,367,452,420,204,24,4,0,2752,7,22,68,107,167,88,12,0,0,471,16,48,69,70,76,36,8,0,0,323,19,113,251,292,252,104,8,0,0,1039,36,62,122,116,110,55,12,3,0,516,36,115,315,311,259,178,42,4,0,1260,31,104,202,251,307,146,25,0,0,1066,12,70,379,470,397,192,11,0,0,1531,43,161,548,676,795,428,63,4,0,2718,138,477,1016,1585,1977,1217,130,6,0,6546,44,50,68,87,76,40,10,0,0,375,86,134,234,298,199,142,13,3,0,1109,Wyong
10301,656,1150,1907,2186,2283,1761,493,82,12,10530,7,20,25,40,40,84,74,14,5,309,0,3,3,3,3,3,6,0,0,21,35,53,94,127,163,74,6,0,0,552,0,4,42,39,32,13,3,0,0,133,3,3,28,35,49,22,3,0,0,143,8,15,22,35,21,17,0,0,0,118,256,234,219,206,211,145,22,0,0,1293,222,188,106,132,147,77,14,3,0,889,3,12,23,37,55,29,4,3,0,166,9,35,40,31,18,6,5,0,0,144,5,11,38,56,44,27,3,3,0,187,8,11,20,41,27,19,4,3,0,133,15,50,82,88,69,56,14,0,0,374,10,27,45,63,65,49,4,0,0,263,10,40,117,197,171,113,14,0,0,662,18,92,224,401,475,299,32,3,0,1544,41,173,294,403,498,359,53,3,0,1824,13,18,14,15,14,17,3,0,0,94,23,31,60,70,65,38,4,3,0,294,Bathurst
10302,710,983,2001,2423,2890,2377,851,229,30,12494,21,32,97,202,259,309,230,73,9,1232,4,25,55,42,23,5,0,0,0,154,16,23,57,59,75,52,8,0,0,290,0,0,0,11,9,0,0,0,0,20,4,10,20,32,30,20,8,3,0,127,8,24,38,58,63,32,0,0,0,223,272,124,210,289,337,194,32,0,0,1458,181,107,145,165,215,122,17,0,0,952,8,4,32,54,57,46,12,3,0,216,4,5,11,14,14,11,0,0,0,59,10,20,50,47,48,16,0,0,0,191,8,9,9,24,22,19,3,0,0,94,13,29,94,87,81,61,15,3,0,383,7,14,30,57,63,50,3,3,0,227,9,30,122,155,141,60,11,0,0,528,21,71,286,365,396,262,46,3,0,1450,59,109,305,481,645,449,57,3,0,2108,0,0,20,21,14,11,0,0,0,66,27,35,72,68,56,42,19,3,0,322,Lachlan Valley
10303,581,802,1594,2128,2392,1772,516,88,6,9879,10,6,29,47,77,95,98,27,3,392,7,24,51,39,39,11,0,0,0,171,15,27,47,72,75,44,19,4,0,303,5,0,10,6,21,10,3,0,0,55,6,12,24,48,48,19,5,0,0,162,7,11,18,46,40,19,3,0,0,144,199,123,165,265,279,157,33,0,0,1221,197,102,158,167,214,121,16,3,0,978,0,5,25,53,54,34,10,0,0,181,0,3,11,18,18,6,0,0,0,56,4,29,37,39,54,25,5,0,0,193,9,12,19,30,21,18,3,0,0,112,9,31,63,98,75,48,13,0,0,337,7,23,45,82,92,39,5,0,0,293,4,31,100,133,135,64,6,0,0,473,6,40,143,284,269,184,24,0,0,950,28,112,201,342,524,304,45,3,0,1559,9,0,7,23,17,24,0,0,0,80,27,41,50,55,65,37,5,3,0,283,Lithgow - Mudgee
10304,789,1240,2561,2882,2915,2205,644,121,6,13363,9,15,26,43,90,113,102,27,3,428,12,29,70,44,28,8,0,0,0,191,32,53,99,112,107,58,10,3,0,474,0,8,11,8,8,7,0,0,0,42,9,14,52,68,56,36,6,0,0,241,15,29,40,52,47,28,5,0,0,216,322,185,251,276,314,163,26,3,0,1540,207,126,149,145,198,80,13,0,0,918,6,11,37,71,53,38,11,0,0,227,5,18,24,17,27,12,0,0,0,103,0,26,76,78,61,28,6,0,0,275,10,13,34,48,33,19,5,3,0,165,11,56,113,132,106,78,20,3,0,519,7,34,74,97,98,45,9,0,0,364,6,32,163,219,239,119,4,0,0,782,20,74,262,414,432,309,45,0,0,1556,67,204,524,681,831,522,69,3,0,2901,4,10,17,19,15,12,3,3,0,83,34,57,98,94,89,53,5,0,0,430,Orange
