SA3_MAIN11,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot,SA3_NAME11
10401,61,54,123,159,141,124,28,4,0,694,36,22,45,80,73,65,24,15,0,360,1284,1222,2381,3774,4790,3426,615,88,11,17591,Clarence Valley
10402,96,128,211,304,318,203,33,8,0,1301,72,46,105,156,144,120,33,20,4,700,2354,2386,4978,7219,8839,6088,930,138,14,32946,Coffs Harbour
10501,23,26,70,68,62,40,11,8,0,308,30,27,51,65,63,59,24,6,4,329,493,858,1875,2170,2506,1715,621,151,21,10410,Bourke - Cobar - Coonamble
10502,18,40,51,47,66,41,8,0,0,271,16,19,39,48,43,47,9,3,0,224,527,721,1440,1688,2163,1394,264,36,0,8233,Broken Hill and Far West
10503,95,154,220,245,243,191,69,13,0,1230,48,44,85,100,117,102,57,17,0,570,2020,2425,5120,6192,6981,5001,1409,276,24,29448,Dubbo
10601,174,300,407,415,340,175,31,6,4,1852,72,101,161,198,172,124,39,23,0,890,2672,3571,7055,8264,8271,5125,932,159,19,36068,Lower Hunter
10602,110,216,353,353,272,161,40,0,0,1505,40,56,119,130,118,78,17,10,3,571,2202,3063,6270,7113,6727,3926,582,74,10,29967,Maitland
10603,120,131,191,271,280,177,40,7,0,1217,36,59,75,152,121,103,44,12,3,605,2045,2395,4433,6236,6827,4456,835,89,6,27322,Port Stephens
10604,58,104,134,102,88,58,11,0,0,555,40,35,57,70,55,54,27,10,4,352,933,1362,2800,3014,3146,2074,496,91,14,13930,Upper Hunter
10701,99,170,280,297,289,157,26,0,0,1318,55,68,139,144,139,95,15,12,0,667,1929,2902,5777,6829,7122,3864,492,55,4,28974,Dapto - Port Kembla
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,Illawarra Catchment Reserve
10703,115,235,317,359,306,176,37,0,0,1545,66,78,118,125,153,78,25,8,8,659,2552,3459,6646,8531,9320,5193,763,92,8,36564,Kiama - Shellharbour
10704,109,262,436,449,384,231,81,12,0,1964,80,142,201,207,231,137,32,14,3,1047,3078,5854,11489,12427,12388,7311,1179,143,16,53885,Wollongong
10801,24,36,71,98,86,70,16,0,0,401,17,23,31,48,59,41,29,10,0,258,666,616,1237,2058,2704,1945,427,55,9,9717,Great Lakes
10802,36,58,83,122,120,92,21,0,0,532,28,17,48,71,95,60,22,10,3,354,1009,936,2038,3122,4350,3208,622,100,9,15394,Kempsey - Nambucca
10803,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,11,43,39,55,40,23,0,0,214,Lord Howe Island
