sa3_name16,sa3_code16,p_85y_ov_no_udw,p_85y_ov_udw_notstated,p_85y_ov_total,p_tot_udw_5_hrs_less,p_tot_udw_5_14_hrs,p_tot_udw_15_29_hrs,p_tot_udw_30_hrs_more,p_tot_no_udw,p_tot_udw_notstated,p_tot_total
Queanbeyan,10102,319,106,693,10765,13925,5733,3732,7805,4139,46101
Snowy Mountains,10103,168,127,449,3420,4364,1950,1567,2705,2083,16097
South Coast,10104,991,565,2389,9932,15966,9223,7133,11036,6743,60033
Goulburn - Mulwaree,10105,297,269,892,5488,7491,3687,3001,5856,3646,29165
Young - Yass,10106,317,239,839,5545,7727,3922,3392,5050,3046,28685
Gosford,10201,2425,1220,5691,30489,38033,18076,13661,27613,10932,138818
Wyong,10202,1934,1233,4585,25923,32382,15827,13387,29392,11576,128494
Bathurst,10301,421,228,1008,7622,9951,4636,3718,6847,4780,37548
Lachlan Valley,10302,763,416,1749,7868,10360,5600,5242,9675,5778,44522
Lithgow - Mudgee,10303,500,199,1051,6364,9080,4856,4462,7589,5499,37851
Orange,10304,621,215,1262,9305,12215,5707,4604,9217,4271,45320
Clarence Valley,10401,801,283,1614,6846,10388,5847,5502,8654,4798,42036
Coffs Harbour,10402,941,676,2437,13440,19135,9645,7519,13600,7057,70390
Bourke - Cobar - Coonamble,10501,217,106,444,3130,4179,1949,1848,4652,3274,19041
Broken Hill and Far West,10502,305,131,625,2633,3960,1900,1773,4475,2048,16795
Dubbo,10503,803,318,1677,10350,13870,6797,5729,11667,6904,55318
Lower Hunter,10601,753,319,1581,12795,17544,8850,8373,14658,7534,69748
Maitland,10602,562,253,1248,12294,15809,7754,6320,11722,4027,57916
Port Stephens,10603,845,369,1840,10761,15263,8263,6634,12066,5825,58816
Upper Hunter,10604,230,138,553,4519,6044,2891,2721,4650,2840,23662
Dapto - Port Kembla,10701,966,363,1940,12349,15176,7611,6278,14984,4538,60943
Illawarra Catchment Reserve,10702,0,0,0,0,3,0,0,4,0,8
Kiama - Shellharbour,10703,823,513,2076,15093,19049,9762,7633,15298,5797,72628
Wollongong,10704,1603,469,3312,25183,28852,12716,9008,22909,7489,106148
Great Lakes,10801,644,342,1449,4314,6587,3778,3133,6050,2982,26840
Kempsey - Nambucca,10802,658,452,1573,6272,9255,5472,4876,8647,5468,39985
Lord Howe Island,10803,3,5,10,68,102,39,27,55,41,327
Port Macquarie,10804,1406,558,2981,12041,17481,9162,7133,13398,6246,65458
Taree - Gloucester,10805,704,457,1734,7196,11034,6537,5847,9527,4745,44882
Albury,10901,751,348,1587,10440,13192,6220,4633,10179,4790,49454
Lower Murray,10902,114,50,245,1742,2450,1186,1067,2233,1514,10189
Upper Murray exc. Albury,10903,620,336,1373,6259,8321,4413,3745,7550,4418,34709
Armidale,11001,343,164,825,6356,8369,3717,2796,5969,3128,30334
