sa3_code16,p_15_yrs_over_m,p_15_yrs_over_f,p_15_yrs_over_p,lfs_emplyed_wrked_full_time_m,lfs_emplyed_wrked_full_time_f,lfs_emplyed_wrked_full_time_p,lfs_emplyed_wrked_part_time_m,lfs_emplyed_wrked_part_time_f,lfs_emplyed_wrked_part_time_p,lfs_employed_away_from_work_m,lfs_employed_away_from_work_f,lfs_employed_away_from_work_p,lfs_unmplyed_lookng_for_wrk_m,lfs_unmplyed_lookng_for_wrk_f,lfs_unmplyed_lookng_for_wrk_p,lfs_tot_lf_m,lfs_tot_lf_f,lfs_tot_lf_p,lfs_n_the_labour_force_m,lfs_n_the_labour_force_f,lfs_n_the_labour_force_p,percent_unem_loyment_m,percent_unem_loyment_f,percent_unem_loyment_p,percnt_labforc_prticipation_m,percnt_labforc_prticipation_f,percnt_labforc_prticipation_p,percnt_employment_to_populn_m,percnt_employment_to_populn_f,percnt_employment_to_populn_p,non_sch_quals_postgrad_dgre_m,non_sch_quals_postgrad_dgre_f,non_sch_quals_postgrad_dgre_p,non_sch_quals_gr_dip_gr_crt_m,non_sch_quals_gr_dip_gr_crt_f,non_sch_quals_gr_dip_gr_crt_p,non_sch_quals_bchelr_degree_m,non_sch_quals_bchelr_degree_f,non_sch_quals_bchelr_degree_p,non_sch_quls_advncd_dip_dip_m,non_sch_quls_advncd_dip_dip_f,non_sch_quls_advncd_dip_dip_p,non_sch_quls_cert3a4_level_m,non_sch_quls_cert3a4_level_f,non_sch_quls_cert3a4_level_p,non_sch_quls_cert1a2_level_m,non_sch_quls_cert1a2_level_f,non_sch_quls_cert1a2_level_p,non_sch_quls_certnfd_level_m,non_sch_quls_certnfd_level_f,non_sch_quls_certnfd_level_p,non_sch_quls_certtot_level_m,non_sch_quls_certtot_level_f,non_sch_quls_certtot_level_p,migtn_lvd_same_add_1_yr_ago_m,migtn_lvd_same_add_1_yr_ago_f,migtn_lvd_same_add_1_yr_ago_p,migtn_lvd_diff_add_1_yr_ago_m,migtn_lvd_diff_add_1_yr_ago_f,migtn_lvd_diff_add_1_yr_ago_p,migtn_lvd_sme_add_5_yrs_ago_m,migtn_lvd_sme_add_5_yrs_ago_f,migtn_lvd_sme_add_5_yrs_ago_p,mign_lvd_diff_add_5_yrs_ago_m,mign_lvd_diff_add_5_yrs_ago_f,mign_lvd_diff_add_5_yrs_ago_p,sa3_name16
10102,22990,23112,46101,12235,8293,20524,2551,5209,7758,793,953,1746,679,571,1248,16254,15020,31271,4998,6457,11453,4.2,3.8,4.0,70.7,65.0,67.8,67.8,62.5,65.1,1535,1234,2772,483,823,1302,2685,3794,6482,2002,2576,4575,5362,2403,7774,174,382,552,297,599,902,5835,3387,9219,21823,21546,43371,4065,4123,8191,14393,14193,28584,10310,10510,20818,Queanbeyan
10103,8291,7803,16097,3676,2255,5931,1037,1927,2963,280,265,546,181,146,330,5173,4586,9761,2385,2530,4919,3.5,3.2,3.4,62.4,58.8,60.6,60.2,57.0,58.6,192,199,393,86,155,235,671,1041,1716,526,830,1348,2417,981,3401,78,162,247,133,246,383,2634,1392,4027,7447,7113,14555,1333,1293,2625,5294,5049,10340,3135,3024,6157,Snowy Mountains
10104,29146,30894,60033,8489,4983,13468,3894,7095,10989,831,903,1737,989,749,1735,14202,13727,27931,12567,14690,27255,7.0,5.5,6.2,48.7,44.4,46.5,45.3,42.0,43.6,659,708,1368,418,803,1222,2350,3562,5911,1929,3073,5000,8391,3622,12011,295,581,884,560,1071,1636,9247,5278,14527,26752,27806,54562,4382,4700,9081,18650,19031,37685,11486,12503,23986,South Coast
10105,14643,14524,29165,6137,3362,9504,1615,3380,4995,425,485,909,521,438,960,8701,7669,16372,4843,5678,10527,6.0,5.7,5.9,59.4,52.8,56.1,55.8,49.8,52.8,282,319,602,146,266,410,902,1431,2329,953,1534,2482,3924,1931,5848,146,262,406,234,479,714,4304,2668,6972,13415,13479,26897,2286,2361,4647,9119,9079,18203,5788,6039,11824,Goulburn - Mulwaree
10106,13953,14734,28685,6373,3694,10067,1625,3537,5159,496,554,1048,385,329,718,8869,8118,16987,4057,5480,9534,4.3,4.1,4.2,63.6,55.1,59.2,60.9,52.8,56.7,434,463,900,183,372,551,1189,2025,3220,916,1424,2337,3559,1621,5176,125,252,380,203,435,636,3889,2302,6196,13996,14374,28366,2143,2342,4480,9974,10088,20056,5289,5862,11152,Young - Yass
10201,66344,72473,138818,28343,15788,44131,8215,18159,26374,1799,2152,3949,2580,2312,4889,40938,38410,79348,21652,29874,51523,6.3,6.0,6.2,61.7,53.0,57.2,57.8,49.8,53.6,2284,2257,4539,827,1528,2357,7531,10237,17766,5607,8512,14121,17857,8620,26479,603,1198,1800,1288,2349,3638,19748,12166,31919,64054,68224,132274,10584,11483,22068,42898,45715,88616,29090,31542,60635,Gosford
10202,61260,67238,128494,25119,13534,38657,6963,15880,22849,1649,1992,3636,2667,2543,5208,36400,33955,70354,20981,28887,49870,7.3,7.5,7.4,59.4,50.5,54.8,55.1,46.7,50.7,868,981,1855,425,828,1244,3556,6083,9636,3972,6579,10551,18409,9673,28084,602,1280,1883,1155,2101,3249,20163,13050,33213,59618,63050,122666,10240,11225,21467,39172,41057,80228,27671,30441,58117,Wyong
10301,18747,18805,37548,7948,4633,12577,1975,4641,6615,545,673,1211,722,576,1300,11193,10511,21705,6126,6828,12957,6.5,5.5,6.0,59.7,55.9,57.8,55.8,52.9,54.3,484,530,1015,245,452,697,1475,2585,4064,1127,1825,2953,5065,2253,7316,193,409,607,303,625,930,5564,3292,8857,16871,17278,34153,3286,3456,6750,10999,11114,22117,8216,8752,16967,Bathurst
10302,21969,22553,44522,9193,4567,13759,2063,4898,6962,701,765,1468,790,663,1445,12747,10887,23634,7121,9519,16643,6.2,6.1,6.1,58.0,48.3,53.1,54.4,45.4,49.8,188,258,447,130,308,437,1048,2160,3213,940,1837,2779,5440,2710,8145,241,513,759,363,637,1003,6039,3860,9899,21349,21435,42778,2902,3187,6092,15444,15218,30666,7556,8164,15723,Lachlan Valley
10303,19005,18849,37851,7315,3445,10758,1786,4330,6115,522,565,1087,788,589,1386,10410,8935,19346,6640,8002,14642,7.6,6.6,7.2,54.8,47.4,51.1,50.6,44.2,47.4,211,285,498,136,275,414,1014,1773,2790,945,1578,2521,5534,2349,7886,217,420,631,324,546,866,6078,3311,9383,17380,17302,34678,2734,2868,5605,12023,11666,23690,7059,7454,14510,Lithgow - Mudgee
