sa3_code16,p_pgrad_deg_35_44,p_pgrad_deg_45_54,p_pgrad_deg_55_64,p_pgrad_deg_65_74,p_pgrad_deg_75_84,p_pgrad_deg_85ov,p_pgrad_deg_total,p_graddip_and_gradcert_15_24,p_graddip_and_gradcert_25_34,p_graddip_and_gradcert_35_44,p_graddip_and_gradcert_45_54,p_graddip_and_gradcert_55_64,p_graddip_and_gradcert_65_74,p_graddip_and_gradcert_75_84,p_graddip_and_gradcert_85ov,p_graddip_and_gradcert_total,p_bachdeg_15_24,p_bachdeg_25_34,p_bachdeg_35_44,p_bachdeg_45_54,p_bachdeg_55_64,p_bachdeg_65_74,p_bachdeg_75_84,p_bachdeg_85ov,p_bachdeg_total,p_advdip_and_dip_15_24,p_advdip_and_dip_25_34,p_advdip_and_dip_35_44,p_advdip_and_dip_45_54,p_advdip_and_dip_55_64,p_advdip_and_dip_65_74,p_advdip_and_dip_75_84,p_advdip_and_dip_85ov,p_advdip_and_dip_total,p_cert_iii_iv_15_24,p_cert_iii_iv_25_34,p_cert_iii_iv_35_44,p_cert_iii_iv_45_54,p_cert_iii_iv_55_64,p_cert_iii_iv_65_74,p_cert_iii_iv_75_84,p_cert_iii_iv_85ov,p_cert_iii_iv_total,p_cert_i_ii_15_24,p_cert_i_ii_25_34,p_cert_i_ii_35_44,p_cert_i_ii_45_54,p_cert_i_ii_55_64,p_cert_i_ii_65_74,p_cert_i_ii_75_84,p_cert_i_ii_85ov,p_cert_i_ii_total,p_cert_levl_nfd_15_24,p_cert_levl_nfd_25_34,p_cert_levl_nfd_35_44,p_cert_levl_nfd_45_54,p_cert_levl_nfd_55_64,p_cert_levl_nfd_65_74,p_cert_levl_nfd_75_84,p_cert_levl_nfd_85ov,p_cert_levl_nfd_total,p_cert_lev_tot_15_24,p_cert_lev_tot_25_34,p_cert_lev_tot_35_44,p_cert_lev_tot_45_54,p_cert_lev_tot_55_64,p_cert_lev_tot_65_74,p_cert_lev_tot_75_84,p_cert_lev_tot_85ov,p_cert_lev_tot_total,p_lev_edu_ides_15_24,p_lev_edu_ides_25_34,p_lev_edu_ides_35_44,p_lev_edu_ides_45_54,p_lev_edu_ides_55_64,p_lev_edu_ides_65_74,p_lev_edu_ides_75_84,p_lev_edu_ides_85ov,p_lev_edu_ides_total,p_lev_edu_ns_15_24,p_lev_edu_ns_25_34,p_lev_edu_ns_35_44,p_lev_edu_ns_45_54,p_lev_edu_ns_55_64,p_lev_edu_ns_65_74,p_lev_edu_ns_75_84,p_lev_edu_ns_85ov,p_lev_edu_ns_total,p_tot_15_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_total,sa3_name16
10102,697,798,489,245,54,6,2772,16,204,297,362,269,145,21,0,1302,337,1603,1590,1344,935,485,154,36,6482,228,836,1023,1192,791,364,123,25,4575,771,1684,1580,1646,1246,571,210,60,7774,149,110,81,86,77,46,3,5,552,45,86,143,223,192,141,52,14,902,963,1885,1799,1955,1516,758,263,78,9219,17,57,45,67,59,41,19,8,311,603,678,674,779,678,578,322,131,4437,2177,5714,6119,6501,4735,2606,956,290,29102,Queanbeyan
10103,74,76,109,68,12,0,393,6,19,44,41,69,43,8,0,235,74,313,371,359,327,189,64,22,1716,49,188,254,340,259,178,66,14,1348,271,607,632,718,595,385,167,39,3401,51,36,42,46,49,21,3,0,247,27,54,40,64,85,66,37,9,383,346,694,712,829,730,465,203,44,4027,8,21,13,15,19,21,16,3,117,303,289,273,367,322,303,238,125,2217,772,1574,1738,2026,1838,1275,609,216,10055,Snowy Mountains
10104,161,260,381,352,85,24,1368,16,74,138,226,446,253,48,15,1222,96,596,943,1061,1488,1184,423,128,5911,99,366,640,945,1344,1101,379,122,5000,746,1560,1729,2357,2722,1848,836,214,12011,130,132,138,150,182,115,33,6,884,79,109,188,257,428,389,145,47,1636,957,1801,2054,2770,3327,2349,1012,270,14527,15,28,37,71,129,135,72,22,516,729,498,633,954,1300,1497,1245,669,7540,1914,3464,4611,6284,8416,6871,3262,1246,36076,South Coast
10105,107,116,151,95,25,7,602,8,53,73,74,141,46,13,4,410,93,482,463,428,434,291,102,32,2329,106,379,456,530,527,321,126,32,2482,561,1137,1064,1154,929,656,276,71,5848,92,74,56,89,63,30,3,6,406,53,71,107,152,152,124,37,15,714,710,1278,1235,1384,1141,812,316,93,6972,12,19,12,19,47,47,20,10,183,484,515,524,567,532,604,489,317,4041,1418,2817,2879,3118,2978,2224,1099,492,17016,Goulburn - Mulwaree
10106,205,224,194,124,40,8,900,8,51,126,139,134,81,14,3,551,120,547,770,693,556,394,109,30,3220,71,285,495,547,476,315,119,28,2337,495,891,1026,1083,871,570,205,47,5176,90,67,52,83,48,36,8,0,380,47,39,96,149,141,120,38,13,636,632,995,1173,1308,1053,726,251,57,6196,4,10,25,29,31,41,16,8,164,436,251,367,442,530,555,419,255,3249,1280,2240,3156,3390,2974,2226,973,381,16616,Young - Yass
10201,1083,1005,898,579,191,56,4539,43,269,468,518,607,330,87,25,2357,840,3798,4188,3241,2873,1845,757,241,17766,617,1992,2873,3152,2640,1795,794,261,14121,2180,4508,4748,5331,4525,3101,1511,575,26479,335,264,291,319,305,207,52,21,1800,188,307,403,685,843,766,323,130,3638,2702,5075,5442,6340,5677,4070,1889,719,31919,42,122,152,261,289,342,170,82,1458,1377,1173,1355,1614,1748,2031,1899,1508,12709,5653,13114,15561,16130,14735,10998,5784,2895,84870,Gosford
10202,402,418,385,244,70,22,1855,25,195,239,247,316,150,64,13,1244,535,2235,2280,1626,1553,950,373,87,9636,590,1848,2345,2195,1799,1163,453,156,10551,2609,5406,5190,5442,4429,2990,1565,453,28084,443,322,344,327,268,138,36,12,1883,255,354,481,625,674,579,218,70,3249,3307,6079,6018,6383,5364,3711,1814,529,33213,49,99,117,148,225,198,116,46,1002,1480,1212,1283,1666,1818,2207,2107,1395,13169,6000,11971,12689,12687,11464,8637,4990,2247,70673,Wyong
10301,204,202,241,145,43,10,1015,13,95,132,166,157,112,20,3,697,231,971,901,763,659,379,128,33,4064,145,424,543,631,617,388,146,60,2953,830,1533,1342,1436,1116,709,272,83,7316,142,117,104,102,82,39,15,3,607,72,98,141,185,202,165,55,16,930,1046,1746,1581,1729,1404,915,342,97,8857,19,30,29,51,53,60,23,18,270,994,754,620,645,604,674,453,250,4988,2455,4187,4013,4178,3725,2670,1155,474,22851,Bathurst
10302,94,104,91,56,16,0,447,10,63,85,81,131,47,15,5,437,166,803,753,577,463,321,96,35,3213,112,374,491,578,629,388,156,53,2779,863,1515,1499,1568,1394,848,354,105,8145,155,132,119,144,119,56,25,6,759,78,95,152,204,232,166,59,10,1003,1096,1744,1772,1915,1750,1073,436,120,9899,16,19,33,30,73,52,32,12,263,812,570,638,873,1014,1065,897,406,6284,2209,3651,3865,4157,4151,2998,1646,643,23328,Lachlan Valley
10303,111,102,126,68,26,3,498,3,48,81,79,124,67,16,0,414,98,597,592,491,491,365,114,37,2790,94,361,449,550,542,334,148,37,2521,756,1519,1403,1629,1262,847,379,96,7886,132,121,99,113,95,59,10,4,631,55,93,99,185,192,174,58,17,866,938,1729,1596,1923,1553,1077,448,120,9383,6,24,30,37,66,66,31,14,272,727,708,732,873,926,1025,640,220,5847,1874,3537,3585,4058,3828,2999,1408,428,21722,Lithgow - Mudgee
