sa3_code16,m_pode_pode_nfd_mng,m_pode_pode_nfd_pro,m_pode_pode_nfd_ttw,m_pode_pode_nfd_cps,m_pode_pode_nfd_ca,m_pode_pode_nfd_sal,m_pode_pode_nfd_mod,m_pode_pode_nfd_lab,m_pode_pode_nfd_idns,m_pode_pode_nfd_tot,m_pode_doctde_mng,m_pode_doctde_pro,m_pode_doctde_ttw,m_pode_doctde_cps,m_pode_doctde_ca,m_pode_doctde_sal,m_pode_doctde_mod,m_pode_doctde_lab,m_pode_doctde_idns,m_pode_doctde_tot,m_pode_masde_mng,m_pode_masde_pro,m_pode_masde_ttw,m_pode_masde_cps,m_pode_masde_ca,m_pode_masde_sal,m_pode_masde_mod,m_pode_masde_lab,m_pode_masde_idns,m_pode_masde_tot,m_grdigrcer_grdigrcernfd_mng,m_grdigrcer_grdigrcernfd_pro,m_grdigrcer_grdigrcernfd_ttw,m_grdigrcer_grdigrcernfd_cps,m_grdigrcer_grdigrcernfd_ca,m_grdigrcer_grdigrcernfd_sal,m_grdigrcer_grdigrcernfd_mod,m_grdigrcer_grdigrcernfd_lab,m_grdigrcer_grdigrcernfd_idns,m_grdigrcer_grdigrcernfd_tot,m_grdi_grcer_grdi_mng,m_grdi_grcer_grdi_pro,m_grdi_grcer_grdi_ttw,m_grdi_grcer_grdi_cps,m_grdi_grcer_grdi_ca,m_grdi_grcer_grdi_sal,m_grdi_grcer_grdi_mod,m_grdi_grcer_grdi_lab,m_grdi_grcer_grdi_idns,m_grdi_grcer_grdi_tot,m_grdi_grcer_gradcer_mng,m_grdi_grcer_gradcer_pro,m_grdi_grcer_gradcer_ttw,m_grdi_grcer_gradcer_cps,m_grdi_grcer_gradcer_ca,m_grdi_grcer_gradcer_sal,m_grdi_grcer_gradcer_mod,m_grdi_grcer_gradcer_lab,m_grdi_grcer_gradcer_idns,m_grdi_grcer_gradcer_tot,m_bade_bade_mng,m_bade_bade_pro,m_bade_bade_ttw,m_bade_bade_cps,m_bade_bade_ca,m_bade_bade_sal,m_bade_bade_mod,m_bade_bade_lab,m_bade_bade_idns,m_bade_bade_tot,m_advdi_di_advdi_di_nfd_mng,m_advdi_di_advdi_di_nfd_pro,m_advdi_di_advdi_di_nfd_ttw,m_advdi_di_advdi_di_nfd_cps,m_advdi_di_advdi_di_nfd_ca,m_advdi_di_advdi_di_nfd_sal,m_advdi_di_advdi_di_nfd_mod,m_advdi_di_advdi_di_nfd_lab,m_advdi_di_advdi_di_nfd_idns,m_advdi_di_advdi_di_nfd_tot,m_advdi_di_advdi_asde_mng,m_advdi_di_advdi_asde_pro,m_advdi_di_advdi_asde_ttw,m_advdi_di_advdi_asde_cps,m_advdi_di_advdi_asde_ca,m_advdi_di_advdi_asde_sal,m_advdi_di_advdi_asde_mod,m_advdi_di_advdi_asde_lab,m_advdi_di_advdi_asde_idns,m_advdi_di_advdi_asde_tot,m_advdi_di_dip_mng,m_advdi_di_dip_pro,m_advdi_di_dip_ttw,m_advdi_di_dip_cps,m_advdi_di_dip_ca,m_advdi_di_dip_sal,m_advdi_di_dip_mod,m_advdi_di_dip_lab,m_advdi_di_dip_idns,m_advdi_di_dip_tot,m_cert_certiii_iv_mng,m_cert_certiii_iv_pro,m_cert_certiii_iv_ttw,m_cert_certiii_iv_cps,m_cert_certiii_iv_ca,m_cert_certiii_iv_sal,m_cert_certiii_iv_mod,m_cert_certiii_iv_lab,m_cert_certiii_iv_idns,m_cert_certiii_iv_tot,m_cert_certi_ii_mng,m_cert_certi_ii_pro,m_cert_certi_ii_ttw,m_cert_certi_ii_cps,m_cert_certi_ii_ca,m_cert_certi_ii_sal,m_cert_certi_ii_mod,m_cert_certi_ii_lab,m_cert_certi_ii_idns,m_cert_certi_ii_tot,m_cert_cert_nfd_mng,m_cert_cert_nfd_pro,m_cert_cert_nfd_ttw,m_cert_cert_nfd_cps,m_cert_cert_nfd_ca,m_cert_cert_nfd_sal,m_cert_cert_nfd_mod,m_cert_cert_nfd_lab,m_cert_cert_nfd_idns,m_cert_cert_nfd_tot,m_le_id_mng,m_le_id_pro,m_le_id_ttw,m_le_id_cps,m_le_id_ca,m_le_id_sal,m_le_id_mod,m_le_id_lab,m_le_id_idns,m_le_id_tot,m_le_ns_mng,m_le_ns_pro,m_le_ns_ttw,m_le_ns_cps,m_le_ns_ca,m_le_ns_sal,m_le_ns_mod,m_le_ns_lab,m_le_ns_idns,m_le_ns_tot,m_tot_mng,m_tot_pro,m_tot_ttw,m_tot_cps,m_tot_ca,m_tot_sal,m_tot_mod,m_tot_lab,m_tot_idns,m_tot_tot,f_pode_pode_nfd_mng,f_pode_pode_nfd_pro,f_pode_pode_nfd_ttw,f_pode_pode_nfd_cps,f_pode_pode_nfd_ca,f_pode_pode_nfd_sal,f_pode_pode_nfd_mod,f_pode_pode_nfd_lab,f_pode_pode_nfd_idns,f_pode_pode_nfd_tot,f_pode_doctde_mng,f_pode_doctde_pro,f_pode_doctde_ttw,f_pode_doctde_cps,f_pode_doctde_ca,f_pode_doctde_sal,f_pode_doctde_mod,f_pode_doctde_lab,f_pode_doctde_idns,f_pode_doctde_tot,f_pode_masde_mng,f_pode_masde_pro,f_pode_masde_ttw,f_pode_masde_cps,f_pode_masde_ca,f_pode_masde_sal,f_pode_masde_mod,f_pode_masde_lab,f_pode_masde_idns,f_pode_masde_tot,f_grdigrcer_grdigrcernfd_mng,f_grdigrcer_grdigrcernfd_pro,f_grdigrcer_grdigrcernfd_ttw,f_grdigrcer_grdigrcernfd_cps,f_grdigrcer_grdigrcernfd_ca,f_grdigrcer_grdigrcernfd_sal,f_grdigrcer_grdigrcernfd_mod,f_grdigrcer_grdigrcernfd_lab,f_grdigrcer_grdigrcernfd_idns,f_grdigrcer_grdigrcernfd_tot,sa3_name16
10102,0,5,0,0,0,0,0,0,0,10,56,153,5,0,10,3,0,0,3,232,398,381,27,43,109,28,14,10,31,1033,6,18,0,0,3,0,0,0,3,31,82,102,11,8,34,0,3,0,6,251,37,32,3,7,10,0,0,0,5,101,562,953,124,130,195,82,35,63,45,2187,3,0,0,0,0,0,0,6,0,16,169,152,95,79,74,30,20,23,9,663,214,186,172,123,121,56,36,41,20,961,601,186,2057,252,256,160,359,362,83,4311,8,12,19,26,10,14,11,28,0,128,41,37,28,24,24,16,21,20,3,216,20,26,9,8,10,5,11,8,4,105,35,26,48,13,19,13,38,46,29,253,2234,2276,2593,715,884,405,553,605,227,10486,3,7,0,0,4,0,0,0,0,14,50,86,0,0,19,0,0,3,3,163,234,412,10,45,87,12,0,7,17,828,12,23,0,4,5,0,0,0,0,43,Queanbeyan
10103,0,0,0,0,0,0,0,0,0,3,6,11,0,0,0,0,0,0,0,27,38,49,3,3,10,0,0,6,4,109,0,3,0,0,0,0,0,0,0,4,15,23,3,5,0,0,0,0,0,45,4,3,0,0,0,0,0,0,0,15,149,223,30,38,22,10,7,21,3,512,0,0,0,0,0,0,0,0,0,3,51,32,20,23,15,8,3,18,0,161,61,29,39,28,4,17,5,18,6,205,358,42,740,104,54,94,194,213,27,1822,15,3,12,9,3,0,7,17,0,59,25,8,12,9,3,3,12,11,0,89,8,5,5,5,3,4,0,7,0,39,32,3,21,16,3,15,32,28,15,159,762,426,883,234,117,159,267,328,62,3253,0,3,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,10,33,84,5,3,8,0,0,3,4,142,0,6,0,3,3,0,0,0,0,12,Snowy Mountains
10104,0,3,0,0,0,0,0,0,0,3,4,41,0,0,0,0,0,0,4,62,54,161,14,9,8,3,3,3,3,263,3,7,0,0,0,0,0,0,0,14,34,102,6,14,4,6,0,4,0,171,5,12,0,5,3,0,0,0,0,28,229,683,91,82,57,37,13,57,18,1271,0,0,3,0,0,0,0,0,0,3,112,115,68,69,26,20,15,34,10,466,120,83,102,92,27,36,29,48,9,538,703,123,2287,251,158,260,460,641,75,4959,19,12,20,20,12,16,22,47,0,165,51,17,32,45,7,23,19,60,4,269,18,9,15,6,3,0,9,8,0,70,57,23,72,28,8,37,30,86,25,371,1405,1402,2705,621,324,443,608,992,158,8649,0,13,0,0,0,0,0,0,0,19,4,42,0,0,3,0,0,0,3,57,49,254,5,19,28,3,0,6,0,357,4,12,0,0,3,0,0,0,0,21,South Coast
10105,3,0,0,0,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0,29,52,84,6,10,12,3,3,0,3,175,0,6,0,0,0,0,0,0,0,7,18,33,3,6,3,0,0,3,0,64,8,8,0,9,3,0,0,0,0,31,156,310,37,68,35,30,19,33,8,678,3,0,0,0,0,0,0,0,0,8,83,62,36,46,11,13,13,9,8,279,97,56,55,112,32,14,18,21,6,412,456,65,1176,251,83,106,387,280,49,2847,13,3,16,12,15,13,10,20,3,99,30,3,15,29,6,16,26,22,3,139,11,7,3,6,0,0,7,4,0,38,36,5,29,12,14,16,41,40,19,205,962,660,1378,565,213,214,517,435,90,5024,3,4,0,0,0,0,0,0,0,9,3,21,0,0,0,0,0,0,3,29,28,136,0,11,14,5,0,6,0,204,7,4,0,0,3,0,0,0,0,10,Goulburn - Mulwaree
10106,0,3,0,0,0,0,0,0,0,6,28,47,0,4,0,0,0,3,0,82,104,96,8,5,27,4,0,5,5,253,6,3,0,0,0,0,0,0,0,9,23,51,6,3,8,0,0,3,0,90,8,7,0,7,6,0,0,0,0,30,307,400,51,56,63,23,5,28,14,943,0,0,0,0,0,0,0,0,0,4,135,55,44,32,21,16,8,15,3,320,124,52,55,62,27,12,13,30,0,379,519,99,1109,89,106,105,269,328,50,2669,19,4,12,12,0,3,15,24,0,96,44,8,18,12,8,8,19,25,4,141,9,6,9,0,0,6,0,8,0,38,53,11,43,9,10,21,38,53,14,255,1379,840,1347,289,279,205,359,520,99,5316,7,7,0,0,5,0,0,0,0,14,14,51,3,0,0,0,0,4,0,70,82,164,3,8,11,4,0,4,3,288,0,4,0,0,3,0,0,0,0,10,Young - Yass
10201,3,26,0,0,0,0,0,0,0,34,37,246,4,0,4,3,0,0,9,307,363,731,47,41,81,30,5,13,22,1341,11,26,0,3,9,3,0,0,0,47,65,255,16,21,21,9,0,3,7,394,41,64,8,9,9,0,0,0,0,131,1021,3111,346,341,309,219,68,137,74,5611,7,3,3,3,3,0,0,3,0,24,391,452,256,222,142,111,60,73,29,1722,484,509,366,283,191,167,79,109,36,2226,1594,606,5773,685,553,597,924,1157,185,12074,50,47,44,45,24,40,44,82,4,369,96,101,98,106,52,90,83,116,3,744,56,77,44,21,14,20,22,28,4,286,102,76,130,63,34,52,80,123,86,755,4321,6319,7121,1838,1465,1341,1370,1847,452,26066,10,33,0,3,4,0,0,0,0,50,15,155,3,0,8,3,0,0,6,193,201,979,26,50,116,28,3,11,20,1431,7,46,0,3,4,0,0,0,0,62,Gosford
10202,0,13,0,0,0,0,0,0,0,18,10,59,0,0,0,0,0,0,0,78,144,296,14,15,20,13,6,10,3,525,10,9,0,0,0,3,0,0,0,22,19,125,15,19,5,3,7,4,0,189,22,28,9,8,7,0,3,3,0,71,414,1348,140,227,139,107,67,87,24,2555,5,6,0,5,3,3,0,0,0,21,262,261,166,168,83,67,51,50,12,1124,370,274,297,273,139,124,86,89,33,1681,1315,473,6049,645,465,544,1292,1416,208,12403,44,20,48,39,20,45,48,74,6,349,80,46,88,103,40,73,112,101,11,651,22,32,39,19,8,9,23,42,0,194,76,38,141,52,30,55,120,178,78,770,2790,3013,6999,1570,965,1040,1819,2051,386,20639,4,29,0,0,0,0,0,0,0,31,9,53,0,4,5,0,0,0,0,73,93,462,9,33,48,15,0,0,5,664,4,27,0,0,3,0,0,0,0,32,Wyong
10301,0,4,0,0,0,0,0,0,0,5,8,74,0,0,7,0,0,0,0,88,65,148,8,9,17,0,0,6,0,244,3,6,0,0,0,0,0,0,0,6,26,74,4,8,3,0,4,0,0,122,21,24,3,7,0,0,0,0,0,52,245,561,79,97,41,40,22,50,9,1156,0,0,0,0,0,0,0,0,0,0,77,66,48,74,12,19,12,21,4,330,104,76,94,81,32,37,29,26,3,486,498,124,1663,276,140,142,460,416,60,3788,22,6,23,16,6,13,22,27,0,139,37,7,17,17,12,20,32,41,4,179,9,15,10,9,0,6,9,12,0,62,46,8,47,12,3,8,32,43,26,222,1157,1188,1999,596,284,292,625,637,116,6894,0,7,0,0,0,0,0,0,0,14,11,70,0,0,5,0,0,0,3,87,51,206,8,22,27,0,0,0,3,315,0,16,0,3,0,0,0,0,0,23,Bathurst
10302,0,3,0,0,0,0,0,0,0,4,6,13,0,0,3,0,0,0,0,22,43,59,3,0,4,3,0,3,4,118,4,0,0,0,0,0,0,0,0,6,16,39,4,3,3,0,0,0,0,60,12,7,3,4,0,0,0,0,0,29,272,423,38,47,27,15,16,38,8,893,0,0,0,0,0,0,0,0,0,4,122,61,39,40,8,12,16,21,0,329,139,44,50,60,15,19,28,26,3,391,927,94,1617,100,93,162,554,457,70,4079,47,0,18,6,6,21,24,38,4,157,88,15,27,9,3,20,43,30,3,239,14,7,11,3,6,8,4,5,0,55,129,14,65,12,3,30,69,67,27,416,1821,778,1886,300,176,289,761,680,128,6815,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,16,40,121,5,5,10,3,0,3,3,192,3,3,0,0,0,0,0,0,0,14,Lachlan Valley
10303,0,0,0,0,0,0,0,0,0,4,4,10,0,0,4,0,0,0,0,10,38,71,9,3,5,0,0,6,0,137,0,0,0,0,0,0,0,0,0,0,12,32,9,3,0,3,0,0,0,67,8,7,7,0,3,0,4,0,0,29,165,353,63,41,38,19,24,17,3,730,0,0,0,0,0,0,0,0,0,0,78,48,54,36,10,8,29,13,5,273,96,51,97,62,23,15,28,29,8,408,454,77,1782,141,101,102,866,348,61,3929,21,0,13,6,4,15,31,41,4,139,40,9,30,14,6,13,42,25,4,178,8,3,4,0,3,10,10,4,0,45,51,8,50,7,4,18,77,53,28,288,977,673,2118,320,198,200,1113,538,101,6236,0,4,0,0,0,0,0,0,0,3,0,19,0,0,3,0,0,0,0,25,26,116,0,11,13,4,0,3,3,179,3,6,0,0,0,0,0,0,0,7,Lithgow - Mudgee
