sa3_code16,p_oth_scs_15_19,p_oth_scs_20_24,p_oth_scs_25_34,p_oth_scs_35_44,p_oth_scs_45_54,p_oth_scs_55_64,p_oth_scs_65_74,p_oth_scs_75_84,p_oth_scs_85ov,p_oth_scs_tot,p_id_ns_15_19,p_id_ns_20_24,p_id_ns_25_34,p_id_ns_35_44,p_id_ns_45_54,p_id_ns_55_64,p_id_ns_65_74,p_id_ns_75_84,p_id_ns_85ov,p_id_ns_tot,p_tot_15_19,p_tot_20_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_tot,sa3_name16
10102,63,129,258,231,226,146,37,4,0,1095,75,128,218,226,277,178,41,14,0,1153,1692,2514,6111,6579,7481,4489,1008,123,16,30027,Queanbeyan
10103,18,34,61,58,65,47,10,4,0,298,22,33,47,60,58,68,23,15,3,317,535,770,1626,1787,2232,1760,598,111,19,9436,Snowy Mountains
10104,69,80,154,192,220,215,48,3,0,991,77,80,116,164,223,234,71,21,5,990,1625,1625,3524,4676,6559,6385,1569,200,31,26195,South Coast
10105,43,74,138,123,101,94,31,5,3,610,38,55,111,88,116,111,35,16,3,574,951,1252,2791,2981,3555,2836,854,160,22,15408,Goulburn - Mulwaree
10106,42,71,100,111,137,89,42,8,0,596,46,58,82,131,156,107,48,24,0,663,950,1199,2437,3449,3998,2932,1039,224,41,16274,Young - Yass
10201,136,297,614,618,682,520,156,11,0,3039,142,285,495,641,701,495,168,45,13,2984,4377,6336,13418,15948,17613,13267,3121,322,45,74452,Gosford
10202,136,364,622,587,636,393,77,11,0,2827,189,304,523,552,644,473,130,30,6,2852,4229,6379,12795,13827,14946,10641,2126,169,24,65144,Wyong
10301,42,95,165,171,129,96,33,4,0,735,60,65,142,151,159,130,57,15,3,791,1239,2032,4019,4038,4430,3474,983,160,20,20409,Bathurst
10302,63,115,168,162,160,125,49,6,4,852,65,119,155,143,180,157,71,32,13,933,1253,1816,3786,4148,4937,4343,1458,382,63,22183,Lachlan Valley
10303,40,109,155,162,154,113,34,4,0,773,41,56,91,109,138,107,48,20,8,618,973,1393,3256,3537,4316,3318,948,191,38,17966,Lithgow - Mudgee
10304,75,107,267,208,197,143,40,3,0,1039,75,76,127,171,178,138,75,32,7,880,1539,2069,5169,5510,5611,4260,1296,232,36,25729,Orange
10401,37,78,130,142,180,113,35,3,0,725,46,54,86,114,147,134,55,27,3,667,1075,1234,2477,3396,4273,3855,914,164,30,17415,Clarence Valley
10402,73,132,274,250,301,225,65,9,0,1316,79,109,227,267,286,232,70,26,6,1309,2148,2620,6012,7005,8230,6917,1534,170,25,34661,Coffs Harbour
10501,15,37,47,50,53,46,20,6,3,275,24,25,67,73,69,68,41,12,0,380,310,695,1897,1674,2066,1745,630,158,25,9203,Bourke - Cobar - Coonamble
10502,20,32,70,56,55,65,14,7,0,312,7,38,54,42,51,67,15,10,8,284,405,669,1569,1430,1739,1605,365,45,15,7839,Broken Hill and Far West
10503,62,159,280,227,229,190,75,10,0,1241,80,103,202,174,209,179,92,39,9,1093,1668,2499,5906,5695,6431,5361,1671,353,76,29666,Dubbo
10601,108,262,442,369,359,186,48,3,0,1778,89,162,257,301,371,235,51,25,8,1501,2400,3442,7392,7771,8183,5745,1263,190,28,36407,Lower Hunter
10602,82,191,416,322,308,189,39,7,0,1555,79,129,279,271,259,176,47,13,13,1262,2113,3266,7696,7517,7232,4737,894,96,24,33572,Maitland
10603,67,139,220,251,276,194,57,8,0,1214,65,109,152,225,264,219,82,23,4,1147,1795,2394,4582,5804,6861,5101,1225,165,20,27956,Port Stephens
10604,28,71,114,112,82,48,17,3,0,476,32,39,82,101,111,75,29,13,3,478,731,1041,2717,2773,2945,2118,565,120,29,13027,Upper Hunter
10701,81,171,342,292,280,174,39,0,0,1392,78,164,276,267,306,189,45,16,7,1343,1842,3075,6466,6865,6977,4595,713,68,8,30624,Dapto - Port Kembla
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,Illawarra Catchment Reserve
10703,101,178,367,365,330,221,50,4,0,1616,93,169,256,290,356,246,52,16,8,1485,2518,3874,7503,8490,9082,6384,1077,116,17,39059,Kiama - Shellharbour
10704,107,292,496,448,451,266,59,10,0,2128,100,232,409,395,420,248,79,35,7,1913,3184,6593,12325,12844,12552,8318,1610,189,28,57644,Wollongong
10801,14,32,67,89,80,88,29,4,0,407,34,29,43,67,96,89,26,19,4,403,621,633,1414,1875,2525,2306,621,85,18,10095,Great Lakes
10802,29,60,95,117,120,115,32,0,0,570,43,39,118,97,125,116,47,25,0,620,946,1125,2299,2910,3775,3558,913,141,25,15699,Kempsey - Nambucca
10803,0,0,0,0,3,0,0,0,0,6,0,0,3,3,3,3,0,0,0,11,7,11,35,50,48,42,13,6,0,225,Lord Howe Island
10804,55,130,250,254,280,196,59,5,0,1236,75,72,134,189,216,185,68,24,5,975,1881,2031,4747,6103,7470,5871,1358,181,23,29660,Port Macquarie
10805,35,75,110,153,181,133,35,3,0,716,39,64,84,106,169,156,63,25,12,718,1107,1343,2689,3337,4589,4140,1096,162,26,18484,Taree - Gloucester
