sa3_code16,i_4000more_1aw_othnw,i_4000more_bnw,i_4000more_lfsta_ns,i_4000more_tot,part_inc_stated_be_wft,part_inc_stated_be_wpt,part_inc_stated_be_baw,part_inc_stated_1eft_othpt,part_inc_stated_1eft_othaw,part_inc_stated_1eft_othnw,part_inc_stated_1ept_othaw,part_inc_stated_1ept_othnw,part_inc_stated_1aw_othnw,part_inc_stated_bnw,part_inc_stated_lfsta_ns,part_inc_stated_tot,all_inc_ns_be_wft,all_inc_ns_be_wpt,all_inc_ns_be_baw,all_inc_ns_1eft_othpt,all_inc_ns_1eft_othaw,all_inc_ns_1eft_othnw,all_inc_ns_1ept_othaw,all_inc_ns_1ept_othnw,all_inc_ns_1aw_othnw,all_inc_ns_bnw,all_inc_ns_lfsta_ns,all_inc_ns_tot,tot_be_wft,tot_be_wpt,tot_be_baw,tot_1eft_othpt,tot_1eft_othaw,tot_1eft_othnw,tot_1ept_othaw,tot_1ept_othnw,tot_1aw_othnw,tot_bnw,tot_lfsta_ns,tot_tot,sa3_name16
10102,4,7,3,1517,185,20,14,117,24,60,0,23,8,35,410,884,9,3,3,10,3,3,0,0,4,0,18,51,2444,203,93,1989,367,1044,76,224,75,317,434,7259,Queanbeyan
10103,0,0,0,118,72,7,3,38,7,14,3,3,0,10,101,269,3,0,3,7,0,0,0,0,0,3,6,30,560,86,26,562,69,212,29,63,22,106,118,1851,Snowy Mountains
10104,3,14,0,235,99,36,11,127,12,62,9,53,10,82,363,852,7,3,0,4,0,0,0,3,0,13,26,53,1050,391,59,1694,151,768,66,411,72,647,409,5717,South Coast
10105,0,5,0,246,85,19,7,81,6,36,12,14,6,34,181,469,8,0,5,4,0,3,0,3,3,4,11,41,880,150,31,1074,130,559,59,170,55,276,200,3579,Goulburn - Mulwaree
10106,0,12,0,518,126,11,4,116,6,49,8,9,4,24,206,561,8,0,5,4,0,3,0,0,0,3,9,32,1038,160,51,1237,155,589,58,166,45,283,226,4013,Young - Yass
10201,12,29,0,2164,366,67,25,444,45,215,27,93,38,159,956,2432,18,6,16,34,3,14,0,11,3,19,45,183,3893,808,187,6482,663,3471,212,939,256,1409,1049,19363,Gosford
10202,3,27,0,1064,282,54,21,348,40,195,13,81,30,164,776,2016,21,0,14,31,0,17,3,4,5,27,44,164,3322,665,151,5436,588,3104,188,884,223,1520,859,16946,Wyong
10301,5,7,0,370,111,14,6,97,10,50,8,20,4,31,259,611,10,0,0,11,0,8,0,0,0,12,10,51,1264,173,41,1509,198,721,49,184,57,324,276,4814,Bathurst
10302,0,3,0,281,155,24,8,137,16,70,5,17,11,52,266,769,10,0,7,9,0,0,0,0,3,17,18,61,1201,170,79,1680,196,803,58,208,67,481,297,5246,Lachlan Valley
10303,0,4,0,424,98,22,3,120,7,68,3,28,10,43,212,620,6,0,3,5,0,4,3,0,9,10,12,64,812,181,55,1450,152,830,56,227,72,456,246,4534,Lithgow - Mudgee
