sa3_code16,p15_19_managers,p15_19_professionals,p15_19_technictrades_wrs,p15_19_communpersnlsvc_w,p15_19_clericaladminis_w,p15_19_sales_w,p15_19_mach_oper_drivers,p15_19_labourers,p15_19_occu_id_ns,p15_19_tot,p20_24_managers,p20_24_professionals,p20_24_technictrades_w,p20_24_communpersnlsvc_w,p20_24_clericaladminis_w,p20_24_sales_w,p20_24_mach_oper_drivers,p20_24_labourers,p20_24_occu_id_ns,p20_24_tot,p25_34_managers,p25_34_professionals,p25_34_technictrades_w,p25_34_communpersnlsvc_w,p25_34_clericaladminis_w,p25_34_sales_w,p25_34_mach_oper_drivers,p25_34_labourers,p25_34_occu_id_ns,p25_34_tot,p35_44_managers,p35_44_professionals,p35_44_technictrades_w,p35_44_communpersnlsvc_w,p35_44_clericaladminis_w,p35_44_sales_w,p35_44_mach_oper_drivers,p35_44_labourers,p35_44_occu_id_ns,p35_44_tot,p45_54_managers,p45_54_professionals,p45_54_technictrades_w,p45_54_communpersnlsvc_w,p45_54_clericaladminis_w,p45_54_sales_w,p45_54_mach_oper_drivers,p45_54_labourers,p45_54_occu_id_ns,p45_54_tot,p55_64_managers,p55_64_professionals,p55_64_technictrades_w,p55_64_communpersnlsvc_w,p55_64_clericaladminis_w,p55_64_sales_w,p55_64_mach_oper_drivers,p55_64_labourers,p55_64_occu_id_ns,p55_64_tot,p65_74_managers,p65_74_professionals,p65_74_technictrades_w,p65_74_communpersnlsvc_w,p65_74_clericaladminis_w,p65_74_sales_w,p65_74_mach_oper_drivers,p65_74_labourers,p65_74_occu_id_ns,p65_74_tot,p75_84_managers,p75_84_professionals,p75_84_technictrades_w,p75_84_communpersnlsvc_w,p75_84_clericaladminis_w,p75_84_sales_w,p75_84_mach_oper_drivers,p75_84_labourers,p75_84_occu_id_ns,p75_84_tot,p85_ov_managers,p85_ov_professionals,p85_ov_technictrades_w,p85_ov_communpersnlsvc_w,p85_ov_clericaladminis_w,p85_ov_sales_w,p85_ov_mach_oper_drivers,p85_ov_labourers,p85_ov_occu_id_ns,p85_ov_tot,p_tot_managers,p_tot_professionals,p_tot_technictrades_w,p_tot_communpersnlsvc_w,p_tot_clericaladminis_w,p_tot_sales_w,p_tot_mach_oper_drivers,p_tot_labourers,p_tot_occu_id_ns,p_tot_tot,sa3_name16
10102,26,37,237,353,117,581,36,282,32,1692,137,227,533,458,450,361,82,213,44,2514,709,1315,1072,664,1102,410,257,434,152,6111,1289,1622,774,607,1187,338,281,345,145,6579,1606,1556,827,597,1576,350,351,448,171,7481,820,957,491,350,884,241,297,352,97,4489,236,224,97,58,151,67,77,81,16,1008,56,20,11,0,13,7,7,4,10,123,3,4,3,0,0,0,0,0,0,16,4860,5970,4046,3091,5473,2359,1390,2162,680,30027,Queanbeyan
10103,9,6,70,111,26,154,14,122,9,535,42,51,150,154,46,101,65,141,28,770,194,251,318,234,161,132,99,204,19,1626,308,299,283,204,226,141,101,192,31,1787,492,327,265,221,320,176,156,228,33,2232,414,275,181,181,226,137,140,178,31,1760,242,65,50,36,57,48,41,60,9,598,65,8,3,6,5,0,0,8,6,111,10,0,0,0,0,0,0,0,3,19,1773,1283,1320,1159,1072,896,620,1144,171,9436,Snowy Mountains
10104,27,20,245,275,65,599,26,346,29,1625,75,84,425,288,144,245,74,260,30,1625,317,553,772,495,354,342,170,471,39,3524,657,833,760,576,581,404,295,501,76,4676,902,1132,965,829,883,618,365,779,83,6559,955,1233,816,750,828,553,400,733,115,6385,370,284,126,117,184,148,119,178,39,1569,71,44,13,6,13,14,10,14,16,200,11,3,3,0,0,0,4,0,7,31,3387,4188,4126,3331,3051,2929,1470,3286,431,26195,South Coast
10105,16,13,153,155,41,327,24,204,13,951,68,89,318,236,98,168,60,207,16,1252,290,417,549,421,342,237,200,292,52,2791,403,463,390,472,382,229,284,303,50,2981,527,515,455,532,509,228,337,404,56,3555,511,541,268,362,342,183,259,310,51,2836,297,131,60,55,92,53,77,78,19,854,92,18,10,4,7,3,3,16,9,160,13,3,3,0,3,0,0,0,3,22,2229,2189,2199,2247,1816,1419,1236,1815,265,15408,Goulburn - Mulwaree
10106,20,18,143,187,53,270,20,235,15,950,65,97,305,190,105,146,46,222,19,1199,313,450,474,275,270,171,123,312,40,2437,742,725,449,307,470,211,160,323,51,3449,843,722,449,365,683,221,279,361,72,3998,736,503,287,261,407,179,196,319,45,2932,445,132,64,45,105,48,68,108,27,1039,122,19,8,3,16,7,9,24,16,224,22,5,5,0,4,0,3,8,0,41,3305,2674,2189,1635,2108,1257,901,1911,291,16274,Young - Yass
10201,63,97,524,833,197,1558,122,934,61,4377,339,712,1307,1251,612,1072,212,749,97,6336,1368,3522,2435,1665,1584,1139,496,1013,203,13418,2446,4139,2343,1625,2292,1058,653,1119,267,15948,2644,4048,2259,1876,2920,1279,847,1452,296,17613,1742,3041,1585,1349,2321,1036,818,1161,207,13267,443,748,288,240,590,284,206,252,70,3121,80,68,28,8,33,20,19,23,43,322,12,8,4,0,3,3,5,3,14,45,9135,16380,10766,8844,10557,7453,3368,6701,1251,74452,Gosford
10202,55,67,633,624,138,1612,130,906,73,4229,308,515,1395,1191,546,1098,308,922,100,6379,1190,2184,2657,1663,1511,1155,862,1363,218,12795,1718,2403,2338,1638,1957,1073,1076,1380,238,13827,1802,2216,2141,1943,2321,1266,1298,1727,230,14946,1135,1718,1409,1222,1692,965,1056,1244,198,10641,264,388,238,183,334,224,237,196,52,2126,25,33,11,10,25,12,14,18,19,169,0,8,4,3,3,0,0,0,5,24,6504,9529,10832,8472,8532,7403,4985,7755,1137,65144,Wyong
10301,29,25,171,218,33,438,31,276,23,1239,81,182,372,499,158,361,85,277,24,2032,392,827,820,528,418,353,242,386,53,4019,541,839,607,448,535,262,324,391,78,4038,631,872,523,538,665,241,393,509,63,4430,544,765,362,347,472,212,322,399,60,3474,298,154,77,72,122,54,84,104,21,983,62,26,14,3,12,14,7,13,16,160,7,4,3,0,0,0,0,0,3,20,2591,3699,2950,2654,2412,1940,1479,2344,347,20409,Bathurst
10302,40,25,205,173,47,398,33,299,26,1253,114,183,421,252,138,241,117,311,41,1816,478,710,652,456,329,320,347,443,52,3786,868,681,572,399,503,265,363,423,82,4148,1081,670,588,490,612,332,488,585,92,4937,1214,549,456,357,471,267,426,552,62,4343,637,137,111,62,138,60,112,155,47,1458,252,13,17,6,20,12,19,31,21,382,30,0,3,0,3,8,0,3,13,63,4708,2983,3031,2196,2253,1891,1907,2791,427,22183,Lachlan Valley
10303,11,13,186,155,34,299,19,231,21,973,59,93,406,200,112,202,86,222,19,1393,271,463,736,381,334,258,433,319,49,3256,381,528,594,398,457,245,533,354,49,3537,575,571,617,457,571,303,641,516,63,4316,561,484,414,334,440,189,430,415,50,3318,305,123,101,66,86,57,71,102,25,948,109,9,13,0,15,7,9,19,8,191,21,0,4,0,3,0,0,3,4,38,2293,2283,3072,1994,2053,1566,2225,2179,295,17966,Lithgow - Mudgee
