sa3_name16,sa3_code16,indigenous_aboriginal_m,indigenous_aboriginal_f,indigenous_aboriginal_p,indigenous_torres_strait_is_m,indigenous_torres_strait_is_f,indigenous_torres_strait_is_p,indig_bth_abor_torr_strt_is_m,indig_bth_abor_torr_strt_is_f,indig_bth_abor_torr_strt_is_p,indigenous_totm,indigenous_totf,indigenous_totp,non_indig_m,non_indig_f,non_indig_p,indigenous_status_nsm,indigenous_status_nsf,indigenous_status_nsp,tot_m,tot_f,tot_p
Queanbeyan,10102,830,864,1693,23,10,29,18,13,28,869,883,1752,25848,25639,51482,2114,1984,4098,28828,28501,57331
Snowy Mountains,10103,227,173,394,11,12,22,3,0,5,242,186,425,8950,8404,17345,826,769,1596,10013,9354,19366
South Coast,10104,1456,1570,3022,23,20,44,30,25,57,1513,1614,3127,30462,31828,62292,2634,2582,5217,34606,36029,70638
Goulburn - Mulwaree,10105,658,607,1263,17,11,32,17,11,27,693,630,1322,16074,15784,31855,1229,1154,2381,17989,17572,35559
Young - Yass,10106,626,577,1204,15,12,29,6,9,14,644,601,1245,15876,16488,32371,1154,1172,2326,17678,18257,35942
Gosford,10201,2286,2291,4575,57,64,128,31,31,61,2377,2389,4761,75240,80358,155601,4263,4424,8687,81880,87173,169053
Wyong,10202,3672,3741,7410,90,86,174,57,83,137,3814,3908,7722,68750,73283,142034,4319,4606,8931,76884,81803,158683
Bathurst,10301,1219,1086,2309,25,32,55,29,25,55,1279,1144,2423,20514,20311,40820,1654,1695,3351,23445,23152,46594
Lachlan Valley,10302,2424,2544,4971,32,26,60,35,40,73,2493,2603,5099,22508,22846,45353,2459,2427,4881,27462,27879,55336
Lithgow - Mudgee,10303,1319,1225,2541,32,20,54,20,11,35,1372,1257,2625,19790,19520,39313,2363,2314,4676,23530,23085,46612
Orange,10304,1528,1508,3035,24,24,51,35,26,56,1582,1561,3149,24772,25946,50720,1906,1841,3750,28264,29346,57614
Clarence Valley,10401,1536,1532,3070,28,42,70,28,34,63,1597,1603,3198,21476,21972,43447,1837,1780,3611,24907,25357,50261
Coffs Harbour,10402,1897,2046,3947,41,35,78,35,43,80,1976,2129,4104,36883,39319,76201,2820,2905,5724,41677,44344,86021
Bourke - Cobar - Coonamble,10501,2991,3200,6195,17,25,40,28,31,63,3033,3261,6297,7733,7148,14883,1544,1425,2975,12314,11834,24152
Broken Hill and Far West,10502,1093,1129,2224,7,6,13,9,10,17,1112,1140,2255,8085,8359,16443,773,751,1519,9965,10251,20217
Dubbo,10503,5130,5074,10205,58,64,120,71,97,165,5260,5234,10493,26192,27196,53387,2748,2786,5532,34198,35213,69414
Lower Hunter,10601,2880,2612,5484,87,66,156,61,58,123,3031,2739,5765,37842,37958,75800,3040,3068,6107,43911,43765,87675
Maitland,10602,1754,1837,3591,53,53,108,54,48,107,1865,1940,3799,32625,34280,66906,1731,1728,3456,36217,37948,74162
Port Stephens,10603,1640,1653,3294,45,49,95,31,38,64,1718,1735,3448,31058,31905,62966,2516,2450,4963,35289,36092,71381
Upper Hunter,10604,1007,988,2000,19,16,30,22,13,31,1049,1018,2066,13028,12810,25838,1142,1150,2292,15216,14984,30196
Dapto - Port Kembla,10701,1242,1365,2610,29,18,48,20,28,51,1292,1414,2706,33924,35121,69042,1788,1815,3600,37002,38356,75354
Illawarra Catchment Reserve,10702,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,4,3,8
Kiama - Shellharbour,10703,1413,1467,2884,41,37,81,28,26,55,1484,1533,3015,40154,42039,82193,2294,2335,4633,43931,45907,89837
Wollongong,10704,1245,1280,2532,38,22,62,29,27,53,1309,1327,2642,58962,60234,119188,3282,3187,6468,63552,64742,128301
Great Lakes,10801,789,786,1572,13,15,33,11,16,32,811,819,1634,13347,14076,27422,1090,1117,2206,15252,16017,31272
Kempsey - Nambucca,10802,2287,2358,4643,26,23,48,63,64,127,2374,2441,4819,19639,19903,39541,1866,1900,3765,23882,24242,48127
Lord Howe Island,10803,3,5,3,0,0,0,0,0,0,3,5,3,166,165,336,22,17,40,192,191,382
Port Macquarie,10804,1525,1585,3104,20,17,34,13,14,31,1554,1619,3175,33780,36883,70660,2375,2359,4731,37704,40861,78567
Taree - Gloucester,10805,1739,1827,3571,43,29,70,40,24,63,1823,1887,3702,22680,23840,46521,1758,1870,3636,26263,27598,53856
Albury,10901,824,846,1669,17,18,42,18,13,25,856,877,1738,26851,28559,55411,2054,2071,4120,29757,31508,61271
Lower Murray,10902,512,505,1016,7,3,3,13,12,23,527,514,1043,5220,4962,10183,691,631,1319,6438,6110,12547
Upper Murray exc. Albury,10903,500,615,1116,19,21,37,8,11,21,525,640,1168,18526,18676,37198,1816,1802,3615,20862,21120,41980
Armidale,11001,1205,1256,2456,23,21,45,22,11,36,1253,1287,2543,15367,16459,31825,1335,1385,2720,17957,19135,37090
Inverell - Tenterfield,11002,1385,1356,2743,27,23,49,32,42,79,1449,1424,2871,15771,16254,32024,1687,1765,3454,18905,19439,38345
Moree - Narrabri,11003,1985,2206,4191,22,27,49,42,48,88,2047,2276,4326,9398,9075,18477,1422,1403,2822,12868,12756,25622
Tamworth - Gunnedah,11004,4151,4206,8352,90,83,167,80,77,152,4318,4361,8676,32203,33575,65779,3009,3030,6044,39531,40969,80496
Lake Macquarie - East,11101,2077,2110,4186,26,31,57,31,31,65,2128,2178,4309,54158,57080,111239,2216,2256,4474,58500,61519,120014
Lake Macquarie - West,11102,1745,1746,3487,56,44,102,48,37,88,1852,1826,3676,33419,35181,68596,1464,1473,2932,36735,38477,75205
Newcastle,11103,2775,2902,5682,60,53,113,62,54,120,2898,3015,5914,74435,76829,151263,3468,3239,6703,80798,83082,163884
Richmond Valley - Coastal,11201,970,1031,2003,53,44,103,33,36,74,1067,1115,2180,33292,35754,69047,3460,3598,7059,37820,40460,78280
Richmond Valley - Hinterland,11202,1882,1903,3777,44,47,87,42,43,79,1964,1989,3951,29576,30917,60496,2792,2716,5511,34334,35614,69950
Tweed Valley,11203,1494,1561,3055,142,120,258,162,144,304,1796,1821,3616,39230,42329,81559,3087,3110,6194,44109,47261,91371
Griffith - Murrumbidgee (West),11301,1402,1423,2823,30,26,51,13,10,27,1440,1461,2899,20439,20406,40850,2222,2177,4395,24100,24040,48144
Tumut - Tumbarumba,11302,305,314,615,11,4,15,6,4,11,318,321,640,6370,6224,12595,615,589,1206,7301,7135,14437
Wagga Wagga,11303,2379,2350,4733,46,49,93,42,27,72,2476,2430,4904,40836,41729,82567,3015,2873,5885,46322,47032,93357
Shoalhaven,11401,2682,2623,5300,55,70,124,39,29,70,2773,2718,5494,43160,44327,87489,3268,3247,6515,49202,50286,99490
Southern Highlands,11402,426,488,910,9,11,24,5,12,20,443,506,955,21011,22982,43997,1422,1496,2924,22878,24988,47869
Baulkham Hills,11501,259,269,520,3,5,8,10,3,17,272,275,552,68282,71350,139634,1760,1795,3557,70323,73420,143738
Dural - Wisemans Ferry,11502,95,90,187,4,6,11,0,0,0,104,101,201,12358,12456,24815,602,608,1212,13063,13164,26229
Hawkesbury,11503,347,304,653,0,3,8,7,3,12,358,312,674,11197,11056,22251,860,807,1665,12418,12171,24588
Rouse Hill - McGraths Hill,11504,203,196,406,3,3,9,0,0,0,207,202,415,15828,15797,31621,557,592,1151,16594,16587,33182
Blacktown,11601,1317,1372,2684,48,48,104,36,41,73,1400,1463,2858,63168,62978,126143,2867,2883,5750,67432,67314,134753
Blacktown - North,11602,749,556,1304,13,11,26,17,15,38,777,590,1368,44173,44037,88216,1620,1620,3243,46581,46244,92823
Mount Druitt,11603,2477,2641,5122,57,63,114,41,35,76,2575,2740,5312,49195,51168,100363,3155,3235,6388,54923,57145,112066
Botany,11701,361,409,769,11,14,26,14,13,23,387,431,815,21446,21633,43084,1420,1371,2791,23254,23441,46693
Sydney Inner City,11703,1164,1126,2298,53,45,95,43,53,96,1264,1229,2489,95401,90785,186187,14173,11397,25570,110837,103409,214249
Eastern Suburbs - North,11801,225,184,411,17,17,29,4,14,20,250,210,457,54229,59491,113719,5847,6353,12208,60329,66053,126382
Eastern Suburbs - South,11802,1095,952,2044,27,33,60,24,14,38,1142,1002,2148,63195,65704,128902,4833,4770,9600,69175,71477,140654
Bankstown,11901,642,701,1340,15,33,52,13,8,22,667,749,1412,79283,81798,161090,4466,4459,8924,84425,87005,171429
Canterbury,11902,312,386,697,24,27,53,9,8,21,338,422,768,64270,62812,127083,3675,3543,7223,68285,66782,135070
Hurstville,11903,294,383,680,17,17,31,3,3,8,317,409,721,59101,62373,121478,2462,2528,4995,61881,65311,127193
Kogarah - Rockdale,11904,416,420,834,26,20,43,12,16,22,447,447,902,63880,65327,129205,3827,3794,7617,68158,69567,137723
