sa3_name16,sa3_code16,presch_indig_m,presch_indig_f,presch_indig_p,presch_nonind_m,presch_nonind_f,presch_nonind_p,presch_indig_st_nsm,presch_indig_st_nsf,presch_indig_st_nsp,presch_totm,presch_totf,presch_totp,infprim_indig_m,infprim_indig_f,infprim_indig_p,infprim_nonind_m,infprim_nonind_f,infprim_nonind_p,infprim_indig_st_nsm,infprim_indig_st_nsf,infprim_indig_st_nsp,infprim_totm,infprim_totf,infprim_totp,sec_indig_m,sec_indig_f,sec_indig_p,sec_nonind_m,sec_nonind_f,sec_nonind_p,sec_indig_st_nsm,sec_indig_st_nsf,sec_indig_st_nsp,sec_totm,sec_totf,sec_totp,tfei_ft_st_15_24_in_m,tfei_ft_st_15_24_id_f,tfei_ft_st_15_24_id_p,tfei_ft_st_15_24_no_id_m,tfei_ft_st_15_24_no_id_f,tfei_ft_st_15_24_no_id_p,tfei_ft_st_15_24_i_s_n_s_m,tfei_ft_st_15_24_i_s_n_s_f,tfei_ft_st_15_24_i_s_n_s_p,tfei_ft_st_15_24_totm,tfei_ft_st_15_24_totf,tfei_ft_st_15_24_totp,tfei_ft_st_25over_id_m,tfei_ft_st_25over_id_f,tfei_ft_st_25over_id_p,tfei_ft_st_25ov_non_id_m,tfei_ft_st_25ov_non_id_f,tfei_ft_st_25ov_non_id_p,tfei_ft_st_25ov_i_s_n_st_m,tfei_ft_st_25ov_i_s_n_st_f,tfei_ft_st_25ov_i_s_n_st_p,tfei_ft_st_25ov_totm,tfei_ft_st_25ov_totf,tfei_ft_st_25ov_totp,tfei_pt_st_15_24_id_m,tfei_pt_st_15_24_id_f,tfei_pt_st_15_24_id_p,tfei_pt_st_15_24_non_id_m,tfei_pt_st_15_24_no_id_f,tfei_pt_st_15_24_no_id_p,tfei_pt_st_15_24_i_s_n_s_m,tfei_pt_st_15_24_i_s_n_s_f,tfei_pt_st_15_24_i_s_n_s_p,tfei_pt_st_15_24_totm,tfei_pt_st_15_24_totf,tfei_pt_st_15_24_totp,tfei_pt_st_25ov_id_m,tfei_pt_st_25ov_id_f,tfei_pt_st_25ov_id_p,tfei_pt_st_25ov_non_id_m,tfei_pt_st_25ov_non_id_f,tfei_pt_st_25ov_non_id_p,tfei_pt_st_25ov_i_s_n_s_m,tfei_pt_st_25ov_i_s_n_s_f,tfei_pt_st_25ov_id_s_n_s_p,tfei_pt_st_25ov_totm,tfei_pt_st_25ov_totf,tfei_pt_st_25ov_totp,tfei_ft_pt_s_s_nt_st_id_m,tfei_ft_pt_s_s_nt_st_id_f,tfei_ft_pt_s_s_nt_st_id_p,tfei_ft_pt_s_s_nt_s_n_i_m,tfei_ft_pt_s_s_n_st_n_i_f,tfei_ft_pt_s_s_n_s_no_id_p,tfei_f_p_s_s_n_s_i_s_n_s_m,tfei_f_p_s_s_n_s_i_s_n_s_f,tfei_f_p_s_s_n_s_i_s_n_s_p,tfei_ft_pt_s_s_nt_st_to_m,tfei_ft_pt_s_s_nt_st_to_f,tfei_ft_pt_s_s_nt_st_to_p,tfei_tot_indig_m,tfei_tot_indig_f,tfei_tot_indig_p,tfei_tot_nonind_m,tfei_tot_nonind_f,tfei_tot_nonind_p,tfei_tot_indst_nsm,tfei_tot_indst_nsf,tfei_tot_indst_nsp,tfei_tot_totm,tfei_tot_totf,tfei_tot_totp,ut_ft_s_15_24_ind_m,ut_ft_s_15_24_ind_f,ut_ft_s_15_24_ind_p,ut_ft_s_15_24_nonind_m,ut_ft_s_15_24_nonind_f,ut_ft_s_15_24_nonind_p,ut_ft_s_15_24_in_st_nsm,ut_ft_s_15_24_in_st_nsf,ut_ft_s_15_24_in_st_nsp,ut_ft_s_15_24_totm,ut_ft_s_15_24_totf,ut_ft_s_15_24_totp,ut_ft_s_25_over_ind_m,ut_ft_s_25_over_ind_f,ut_ft_s_25_over_ind_p,ut_ft_s_25ov_nonind_m,ut_ft_s_25ov_nonind_f,ut_ft_s_25ov_nonind_p,ut_ft_s_25ov_indst_nsm,ut_ft_s_25ov_indst_nsf,ut_ft_s_25ov_indst_nsp,ut_ft_s_25ov_totm,ut_ft_s_25ov_totf,ut_ft_s_25ov_totp,ut_pt_s_15_24_ind_m,ut_pt_s_15_24_ind_f,ut_pt_s_15_24_ind_p,ut_pt_s_15_24_no_ind_m,ut_pt_s_15_24_nonind_f,ut_pt_s_15_24_nonind_p,ut_pt_s_15_24_in_st_nsm,ut_pt_s_15_24_in_st_nsf,ut_pt_s_15_24_in_st_nsp,ut_pt_s_15_24_totm,ut_pt_s_15_24_totf,ut_pt_s_15_24_totp,ut_pt_s_25over_in_m,ut_pt_s_25over_in_f,ut_pt_s_25over_in_p,ut_pt_s_25over_non_in_m,ut_pt_s_25over_non_in_f,ut_pt_s_25over_non_in_p,ut_pt_s_25ov_in_s_nsm,ut_pt_s_25ov_in_s_nsf,ut_pt_s_25ov_in_s_nsp,ut_pt_s_25over_totm,ut_pt_s_25over_totf,ut_pt_s_25over_totp,ut_ft_pt_stud_st_ns_ind_m,ut_ft_pt_stud_st_ns_ind_f,ut_ft_pt_stud_st_ns_ind_p,ut_ft_pt_stu_st_ns_nonind_m,ut_ft_pt_stu_st_ns_nonind_f,ut_ft_pt_stu_st_ns_nonind_p,ut_ft_pt_st_st_ns_in_st_nsm,ut_ft_pt_st_st_ns_in_st_nsf,ut_ft_pt_st_st_ns_in_st_nsp,ut_ft_pt_stu_st_ns_totm,ut_ft_pt_stu_st_ns_totf,ut_ft_pt_stu_st_ns_totp,ut_tot_indig_m,ut_tot_indig_f,ut_tot_indig_p,ut_tot_nonind_m,ut_tot_nonind_f,ut_tot_nonind_p,ut_tot_indigstat_nsm,ut_tot_indigstat_nsf,ut_tot_indigstat_nsp,ut_tot_totm,ut_tot_totf,ut_tot_totp,oei_ind_m,oei_ind_f,oei_ind_p,oei_nonind_m,oei_nonind_f,oei_nonind_p,oei_indst_nsm,oei_indst_nsf,oei_indst_nsp,oei_totm,oei_totf,oei_totp,t_ei_ns_ind_m,t_ei_ns_ind_f,t_ei_ns_ind_p,t_ei_ns_nonind_m,t_ei_ns_nonind_f,t_ei_ns_nonind_p,t_ei_ns_indst_nsm,t_ei_ns_indst_nsf
Queanbeyan,10102,26,16,48,475,344,824,3,4,4,502,364,873,153,107,262,2338,2282,4620,20,23,39,2517,2413,4926,113,98,211,1832,1751,3581,24,20,46,1969,1868,3839,7,4,5,69,87,152,0,0,0,70,85,155,0,4,8,33,44,81,0,0,0,34,51,82,5,7,16,252,136,382,3,4,3,262,145,407,11,13,25,208,314,520,0,0,0,222,329,542,0,0,0,8,5,12,0,0,0,8,5,12,23,29,52,568,585,1152,3,4,3,588,617,1207,3,9,11,338,429,766,3,7,7,351,441,790,5,7,8,175,211,390,0,0,0,181,217,403,3,5,9,60,104,160,0,0,0,63,110,172,7,14,24,364,575,938,3,0,3,375,595,964,0,0,0,0,3,3,0,0,0,3,3,9,21,31,60,934,1320,2260,7,10,19,967,1361,2327,5,13,16,139,233,373,0,0,0,144,247,390,43,40,82,419,432,857,1806,1699
Snowy Mountains,10103,3,5,16,156,114,272,0,7,7,163,127,288,18,17,41,768,701,1471,12,15,28,802,737,1541,25,16,39,546,528,1071,11,9,18,579,550,1130,0,0,0,9,11,21,0,0,0,9,14,18,0,3,3,3,18,21,0,0,0,3,21,25,0,0,3,58,56,110,0,0,0,64,55,117,3,3,7,86,116,200,0,0,0,85,120,207,0,0,0,0,0,5,0,0,0,3,0,5,3,10,8,162,199,355,3,0,4,162,207,374,3,0,3,53,61,110,0,0,0,50,61,115,0,0,0,10,32,44,0,0,0,10,32,44,0,0,3,13,21,37,0,0,0,11,26,34,0,6,3,58,138,190,0,0,0,58,144,196,0,0,0,0,3,3,0,0,0,0,3,3,6,5,12,131,257,382,0,0,0,133,260,393,0,0,0,38,72,112,0,3,0,44,79,120,38,12,50,400,235,633,714,670
South Coast,10104,57,42,102,425,384,810,4,8,9,487,437,927,253,278,534,2201,2004,4204,51,47,99,2510,2329,4835,164,155,318,1724,1742,3465,30,36,68,1926,1930,3853,5,9,12,34,42,76,0,0,0,41,47,92,6,10,13,21,50,68,0,0,0,23,55,84,11,9,24,184,123,308,5,0,6,202,134,334,12,15,24,155,284,436,3,0,5,165,304,467,0,0,0,3,14,14,0,0,0,3,13,16,39,43,76,388,514,899,9,3,13,436,557,994,3,3,3,67,122,188,0,0,0,71,124,196,0,9,9,51,139,186,0,3,3,51,151,200,0,3,3,12,42,56,0,0,0,13,46,64,0,11,15,120,338,457,0,0,3,122,349,480,0,0,0,0,3,3,0,0,0,0,3,3,5,23,35,253,639,893,3,3,4,264,669,938,4,9,12,82,189,269,0,3,3,85,201,283,86,105,189,881,1049,1935,2202,2158
Goulburn - Mulwaree,10105,20,10,32,297,290,582,8,3,11,317,302,623,93,111,207,1362,1220,2587,21,16,42,1477,1357,2835,62,67,130,974,901,1878,18,17,30,1055,988,2043,0,8,8,30,45,74,0,0,0,30,48,79,4,3,3,17,29,49,0,0,0,22,29,53,10,3,13,169,98,266,0,5,3,175,103,285,4,9,13,89,199,281,0,0,0,91,209,298,0,0,0,3,5,10,0,0,0,3,5,10,14,23,37,310,374,679,3,3,5,328,393,721,6,6,9,78,125,206,0,0,0,86,130,210,3,0,3,48,80,128,0,3,3,50,87,135,0,0,0,22,40,61,0,0,3,21,41,62,0,6,9,83,192,278,3,4,4,88,201,292,0,0,0,3,3,6,0,0,0,3,4,7,8,15,23,232,446,677,4,9,12,247,464,707,0,6,8,72,115,185,0,0,3,76,120,196,141,19,160,877,512,1396,992,931
Young - Yass,10106,38,16,51,324,302,619,0,5,6,359,317,676,101,114,216,1562,1486,3053,26,20,45,1688,1619,3307,70,66,137,1116,1167,2289,19,18,39,1210,1254,2468,5,0,5,29,36,61,0,0,0,28,36,65,0,6,6,12,32,45,0,0,0,12,35,48,3,3,3,126,93,218,0,0,0,131,96,225,3,10,11,88,226,311,0,4,4,92,237,323,3,0,5,0,3,4,0,0,3,4,7,12,12,17,28,249,384,632,4,7,6,263,400,666,8,0,9,90,168,261,0,3,4,94,175,274,0,0,0,26,78,102,0,0,0,29,78,106,0,3,3,29,49,76,0,0,0,29,52,82,0,7,7,98,247,346,0,3,3,102,251,356,0,0,0,3,3,6,0,0,0,3,3,6,5,10,17,251,543,794,0,4,7,262,554,814,4,6,10,48,89,136,3,7,4,49,98,148,40,20,60,397,514,905,945,940
Gosford,10201,83,78,158,1573,1449,3022,12,19,36,1671,1544,3215,323,343,664,6593,6230,12821,80,76,153,6996,6646,13640,273,255,526,5042,5005,10043,64,48,115,5376,5311,10689,15,27,46,172,204,369,4,0,4,192,225,416,8,11,24,106,209,319,0,0,0,122,225,339,35,18,52,623,329,953,0,4,8,659,354,1010,20,37,60,433,846,1278,4,8,9,458,884,1346,0,0,0,13,15,35,0,0,0,19,15,32,82,91,181,1354,1600,2951,9,16,23,1444,1708,3154,33,53,89,1097,1403,2506,7,9,24,1137,1471,2607,15,24,41,395,615,1004,3,3,6,408,641,1055,9,6,18,241,285,522,3,0,3,253,293,542,9,21,31,611,1189,1794,0,0,3,625,1211,1831,4,0,3,4,14,17,3,0,5,13,12,27,71,109,182,2347,3499,5840,15,18,37,2430,3628,6063,20,25,42,342,623,969,3,3,4,364,653,1016,103,94,196,1473,1809,3279,3461,3572
Wyong,10202,156,149,308,1548,1383,2930,16,15,33,1715,1548,3267,673,598,1265,6283,5858,12143,78,70,145,7038,6524,13562,446,431,873,4523,4457,8984,54,63,118,5022,4948,9974,20,30,47,142,202,345,0,4,4,162,236,400,0,17,16,89,227,315,0,0,3,93,246,335,50,42,92,591,362,954,11,3,9,652,409,1055,21,72,92,418,782,1199,4,6,6,442,853,1296,0,4,4,12,9,28,0,0,0,12,14,31,97,157,251,1254,1585,2836,10,8,21,1364,1750,3114,44,62,101,681,921,1604,7,7,10,729,983,1710,18,31,44,226,485,719,0,5,5,249,522,770,12,11,22,175,216,389,0,3,3,185,231,418,16,40,52,359,874,1229,3,3,4,375,916,1291,3,0,3,3,12,14,0,4,4,8,16,27,81,139,228,1443,2509,3957,6,18,32,1541,2671,4211,24,43,73,266,597,866,0,5,5,295,645,941,131,166,298,1570,1884,3456,3491,3779
Bathurst,10301,42,34,79,393,366,761,3,0,4,441,404,842,184,205,392,1892,1718,3611,20,25,49,2099,1948,4044,131,102,233,1548,1461,3002,18,14,34,1694,1573,3269,5,6,16,45,68,115,0,0,0,54,79,127,0,9,16,37,68,106,0,0,0,34,81,120,3,7,16,154,110,267,3,3,7,166,123,288,10,23,32,138,257,399,0,4,7,149,288,439,0,0,0,3,9,8,0,0,0,4,9,12,23,55,76,379,520,895,9,9,17,407,580,982,11,21,36,445,670,1122,3,0,3,457,694,1154,9,10,19,120,125,239,0,3,3,121,141,261,0,4,3,64,91,148,0,0,5,65,96,158,11,22,30,187,364,543,0,0,0,192,379,574,0,0,0,0,0,4,0,0,0,0,0,4,26,54,82,815,1252,2064,4,4,9,839,1313,2153,6,6,16,74,133,209,3,0,5,82,143,228,233,45,281,1188,438,1619,1422,1461
Lachlan Valley,10302,85,85,172,421,427,850,3,6,14,512,520,1033,412,386,805,1977,1920,3899,46,48,91,2436,2357,4792,277,294,571,1344,1377,2721,25,26,54,1651,1693,3349,3,11,8,31,41,65,0,0,0,30,49,79,3,10,17,11,45,63,0,0,0,18,60,75,25,19,44,150,129,277,3,0,3,178,150,325,15,34,49,97,293,394,0,3,3,115,332,447,0,3,5,5,8,9,0,0,0,3,8,16,53,81,129,295,515,803,4,3,5,346,597,940,13,19,36,86,156,239,0,0,0,95,177,272,8,8,16,16,55,74,0,0,3,22,69,88,3,4,10,24,56,75,0,0,0,24,63,85,3,12,23,87,191,281,0,0,0,91,208,301,0,3,3,0,3,3,0,0,0,0,9,7,29,51,78,209,469,674,0,0,4,236,518,755,8,13,22,43,131,168,0,3,3,55,142,197,114,115,230,644,757,1399,2063,2059
Lithgow - Mudgee,10303,51,38,92,317,334,649,15,11,20,384,379,761,203,196,397,1634,1559,3190,48,44,91,1882,1798,3683,130,141,267,1209,1051,2263,29,21,48,1370,1204,2572,4,7,11,34,56,98,0,0,0,39,63,102,3,7,11,18,54,76,0,0,0,23,59,86,13,16,34,175,130,302,0,3,3,187,151,335,15,25,40,116,278,392,0,0,0,137,301,440,0,0,0,13,6,15,0,0,0,9,6,22,36,56,92,359,523,885,0,6,7,396,585,983,3,7,11,55,119,174,0,0,0,54,132,186,4,10,12,37,68,103,0,0,3,36,79,117,0,0,0,26,39,69,0,0,0,30,41,73,3,19,17,94,230,320,3,0,3,97,245,341,0,0,0,0,0,0,0,0,0,0,0,0,6,31,38,210,460,672,4,0,7,224,497,716,8,5,10,68,106,177,0,0,0,75,111,181,141,50,193,925,614,1535,1990,1946
