sa3_name16,sa3_code16,t_ei_ns_indst_nsp,t_ei_ns_totm,t_ei_ns_totf,t_ei_ns_totp,tot_indig_m,tot_indig_f,tot_indig_p,tot_nonind_m,tot_nonind_f,tot_nonind_p,tot_indigstat_nsm,tot_indigstat_nsf,tot_indigstat_nsp,tot_totm,tot_totf,tot_totp
Queanbeyan,10102,3510,2274,2175,4447,392,337,725,6707,6955,13667,1866,1760,3625,8960,9051,18011
Snowy Mountains,10103,1382,1158,918,2069,103,69,172,2203,2106,4308,741,700,1440,3039,2875,5915
South Coast,10104,4361,3173,3308,6484,612,661,1270,5960,6521,12481,2300,2249,4554,8878,9427,18313
Goulburn - Mulwaree,10105,1922,2006,1467,3480,345,251,597,4126,3861,7981,1041,983,2026,5513,5093,10604
Young - Yass,10106,1885,1375,1472,2850,269,248,518,3941,4483,8424,999,993,1998,5214,5722,10939
Gosford,10201,7038,5031,5475,10510,953,995,1952,18713,20208,38924,3651,3753,7404,23319,24957,48280
Wyong,10202,7271,5196,5828,11023,1609,1686,3296,16894,18275,35172,3660,3958,7618,22164,23922,46089
Bathurst,10301,2885,2842,1944,4784,640,513,1155,6282,5878,12159,1482,1517,2998,8399,7907,16312
Lachlan Valley,10302,4123,2824,2926,5755,982,1022,2004,4936,5584,10522,2144,2149,4294,8064,8752,16817
Lithgow - Mudgee,10303,3934,3052,2610,5665,574,515,1087,4721,4637,9365,2082,2024,4111,7381,7179,14560
Orange,10304,3081,2191,2202,4394,661,675,1334,6501,7083,13584,1663,1588,3252,8825,9348,18175
Clarence Valley,10401,2936,2379,2121,4506,716,634,1348,4595,4787,9379,1593,1505,3103,6898,6934,13833
Coffs Harbour,10402,4788,3336,3606,6941,835,905,1735,8741,9939,18683,2480,2519,5001,12055,13367,25422
Bourke - Cobar - Coonamble,10501,2515,1796,1677,3474,1084,1205,2287,1464,1624,3083,1345,1248,2593,3892,4074,7971
Broken Hill and Far West,10502,1239,1056,991,2047,443,438,881,1682,1854,3531,654,643,1293,2774,2929,5704
Dubbo,10503,4656,3744,3325,7062,2273,2055,4326,6171,6448,12627,2395,2453,4845,10843,10959,21802
Lower Hunter,10601,5062,4237,3560,7797,1330,1126,2457,9358,9579,18939,2640,2648,5284,13332,13350,26677
Maitland,10602,2850,2088,2095,4183,779,789,1570,8690,9180,17875,1516,1481,2997,10984,11451,22441
Port Stephens,10603,4182,2855,2916,5772,679,713,1396,6947,7481,14430,2213,2143,4357,9847,10334,20183
Upper Hunter,10604,1899,1546,1313,2863,435,409,848,3283,3297,6580,987,1016,2003,4708,4724,9426
Dapto - Port Kembla,10701,2740,2245,2263,4513,547,592,1140,8607,8966,17575,1497,1448,2943,10654,11007,21664
Illawarra Catchment Reserve,10702,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4
Kiama - Shellharbour,10703,3787,2751,2996,5741,635,661,1299,10251,10984,21239,1972,2013,3988,12858,13664,26521
Wollongong,10704,5411,3665,3779,7444,524,557,1089,17932,17813,35744,2868,2767,5638,21329,21136,42468
Great Lakes,10801,1826,1301,1412,2715,311,335,643,2445,2716,5158,943,983,1930,3696,4035,7736
Kempsey - Nambucca,10802,3059,2782,2509,5293,1102,1033,2132,4281,4400,8680,1599,1636,3235,6984,7067,14051
Lord Howe Island,10803,34,21,13,40,0,3,0,26,20,42,18,13,34,39,41,77
Port Macquarie,10804,3900,2786,2974,5764,653,721,1373,7637,8596,16226,2058,2036,4095,10349,11349,21694
Taree - Gloucester,10805,2892,2074,2291,4362,779,789,1568,4629,5276,9910,1505,1562,3071,6918,7624,14544
Albury,10901,3508,2284,2422,4705,389,392,776,6671,7610,14285,1808,1804,3612,8863,9805,18673
Lower Murray,10902,1126,796,715,1508,203,222,428,1102,1161,2260,610,549,1167,1921,1928,3854
Upper Murray exc. Albury,10903,3033,2099,2173,4264,193,251,445,3860,4331,8193,1586,1578,3169,5639,6167,11809
Armidale,11001,2347,1520,1644,3169,526,550,1078,4699,5355,10059,1191,1248,2433,6421,7154,13574
Inverell - Tenterfield,11002,2923,2148,2091,4238,589,550,1143,3518,3731,7254,1482,1557,3043,5597,5842,11438
Moree - Narrabri,11003,2437,1616,1629,3241,752,794,1545,2017,2184,4204,1269,1244,2511,4034,4228,8264
Tamworth - Gunnedah,11004,5058,3592,3664,7250,1733,1738,3468,7468,8146,15615,2593,2651,5241,11791,12529,24320
Lake Macquarie - East,11101,3606,2876,3146,6018,840,881,1721,13532,14253,27785,1889,1909,3800,16261,17048,33307
Lake Macquarie - West,11102,2341,1989,2178,4168,750,738,1491,7840,8617,16450,1250,1227,2473,9840,10579,20418
Newcastle,11103,5591,4805,5143,9945,1164,1221,2387,21135,22266,43399,3059,2793,5854,25364,26275,51639
Richmond Valley - Coastal,11201,6116,3865,4064,7929,425,461,881,7709,8526,16240,3123,3213,6340,11260,12201,23464
Richmond Valley - Hinterland,11202,4639,3101,3097,6199,866,871,1730,7076,7997,15073,2472,2364,4836,10413,11233,21642
Tweed Valley,11203,5198,3723,4054,7773,731,764,1494,8747,9946,18694,2699,2743,5436,12173,13450,25623
Griffith - Murrumbidgee (West),11301,3779,2591,2604,5198,509,580,1090,5051,5304,10358,1969,1915,3883,7536,7796,15333
Tumut - Tumbarumba,11302,1002,885,735,1611,135,139,275,1518,1507,3026,532,523,1056,2181,2174,4358
Wagga Wagga,11303,4874,4276,3410,7688,1166,1042,2207,10970,11438,22412,2658,2476,5135,14794,14953,29747
Shoalhaven,11401,5442,4711,4254,8958,1163,1165,2330,9521,9839,19356,2870,2787,5660,13557,13786,27344
Southern Highlands,11402,2473,1720,1848,3572,161,212,377,5083,5667,10751,1281,1333,2605,6520,7208,13735
Baulkham Hills,11501,2913,2261,2659,4926,125,124,253,21199,21343,42537,1529,1548,3072,22856,23008,45867
Dural - Wisemans Ferry,11502,1019,650,695,1344,38,40,75,3602,3481,7083,529,536,1061,4171,4059,8226
Hawkesbury,11503,1474,917,875,1787,138,138,275,2846,3003,5849,783,729,1514,3772,3866,7639
Rouse Hill - McGraths Hill,11504,974,629,653,1283,90,83,175,5002,5049,10045,503,518,1022,5595,5653,11247
Blacktown,11601,4782,3687,3858,7546,561,538,1101,17417,17638,35059,2482,2502,4984,20460,20681,41143
Blacktown - North,11602,2705,2939,1931,4870,432,248,683,14493,13548,28037,1432,1408,2839,16355,15207,31562
Mount Druitt,11603,5276,4070,4206,8277,1121,1147,2270,14833,15503,30339,2733,2831,5563,18681,19482,38165
Botany,11701,2492,1715,1726,3437,123,149,277,6137,6166,12304,1293,1247,2543,7557,7565,15120
Sydney Inner City,11703,24169,14984,12200,27180,407,458,867,24967,29594,54566,13578,10830,24406,38950,40883,79836
Eastern Suburbs - North,11801,11250,6139,6799,12937,84,90,175,13458,14887,28341,5461,5940,11406,19002,20917,39923
Eastern Suburbs - South,11802,8660,6786,5299,12089,609,385,996,21362,20463,41832,4484,4357,8835,26453,25207,51666
Bankstown,11901,7540,5630,5799,11425,248,296,543,23521,24310,47825,3945,3921,7868,27712,28525,56238
Marrickville - Sydenham - Petersham,11702,3681,2250,2129,4383,128,128,258,5899,6373,12268,1930,1817,3750,7955,8319,16274
Canterbury,11902,6150,4620,4578,9195,142,168,306,19303,18452,37748,3231,3150,6385,22672,21764,44441
Hurstville,11903,4242,3070,3242,6305,110,153,270,17008,17245,34255,2175,2246,4424,19297,19651,38946
Kogarah - Rockdale,11904,6641,4560,4582,9137,155,146,297,17617,17648,35262,3412,3415,6826,21183,21209,42392
Canada Bay,12001,4126,2391,2647,5034,69,79,143,9896,10523,20424,2031,2181,4213,11997,12783,24779
Leichhardt,12002,3820,2174,2207,4379,86,97,191,6010,6550,12559,1945,1943,3889,8042,8595,16640
Strathfield - Burwood - Ashfield,12003,7730,5040,4892,9930,163,189,353,20223,20981,41207,4073,3858,7934,24465,25031,49492
Chatswood - Lane Cove,12101,4644,2763,2973,5729,67,51,124,15048,15494,30542,2340,2404,4741,17456,17950,35407
Hornsby,12102,2260,1508,1579,3087,97,124,216,10897,11469,22371,1172,1178,2357,12170,12767,24938
Ku-ring-gai,12103,3460,2267,2645,4910,53,42,97,18263,18652,36915,1698,1881,3579,20013,20575,40591
North Sydney - Mosman,12104,6292,3443,3715,7153,41,33,72,8912,10273,19192,3092,3263,6349,12042,13570,25614
Manly,12201,2206,1355,1445,2802,26,19,43,4995,5435,10425,1120,1140,2258,6137,6591,12725
Pittwater,12202,2286,1506,1692,3200,76,88,165,7578,7881,15457,1166,1207,2374,8822,9173,17992
Warringah,12203,6043,3787,4286,8071,179,186,357,19675,19924,39595,3036,3184,6222,22883,23293,46182
Camden,12301,1739,1231,1393,2618,353,358,711,8208,8919,17129,880,954,1840,9448,10229,19682
Campbelltown (NSW),12302,7301,5087,5682,10764,1242,1295,2539,19403,20293,39702,3697,3905,7605,24343,25502,49841
Wollondilly,12303,1755,1267,1264,2528,269,280,545,5019,5229,10248,949,920,1877,6244,6430,12672
Blue Mountains,12401,2795,1821,1936,3754,374,429,807,9065,9683,18746,1445,1487,2929,10882,11596,22483
Blue Mountains - South,12402,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
Penrith,12403,5558,3855,4126,7981,1098,1165,2268,16628,17819,34445,2916,2883,5799,20644,21867,42511
Richmond - Windsor,12404,1698,1898,1468,3364,500,436,935,4462,4447,8909,876,890,1767,5838,5777,11611
St Marys,12405,2635,1819,1961,3771,418,389,813,6195,6636,12827,1329,1401,2724,7939,8423,16363
Auburn,12501,4289,4858,3297,8148,305,123,432,14125,12119,26246,2307,2112,4422,16740,14362,31096
Carlingford,12502,2120,1521,1557,3078,62,95,156,9126,9200,18329,1105,1098,2199,10292,10396,20682
Merrylands - Guildford,12503,6806,5742,5420,11164,213,222,440,21008,21230,42237,3533,3540,7081,24756,24992,49754
Parramatta,12504,7159,4764,4721,9482,179,167,344,17553,17350,34900,3720,3603,7328,21450,21127,42579
Pennant Hills - Epping,12601,1034,752,752,1505,14,28,41,7070,7196,14264,554,542,1095,7642,7761,15400
Ryde - Hunters Hill,12602,4622,3136,3316,6448,136,111,243,18738,18939,37674,2377,2398,4773,21251,21451,42699
Bringelly - Green Valley,12701,5017,3639,3711,7349,352,345,698,14184,14848,29035,2637,2620,5255,17173,17809,34985
Fairfield,12702,6052,5415,5591,11005,260,276,534,25176,26418,51596,3221,3171,6386,28660,29857,58515
Liverpool,12703,7090,4811,4812,9624,304,301,611,15599,16436,32032,3686,3614,7301,19593,20354,39944
Cronulla - Miranda - Caringbah,12801,4272,2765,2914,5680,197,224,414,12639,13070,25717,2223,2205,4429,15064,15500,30561
Sutherland - Menai - Heathcote,12802,2583,1807,1920,3730,263,252,515,13854,14295,28152,1379,1360,2739,15499,15913,31413
Ballarat,20101,5073,3368,3735,7100,295,341,641,12502,13438,25941,2550,2735,5289,15357,16516,31865
Creswick - Daylesford - Ballan,20102,2011,1308,1385,2686,56,55,111,2829,3142,5972,999,1067,2069,3884,4264,8145
Maryborough - Pyrenees,20103,1362,1416,1063,2483,89,81,166,2788,2544,5334,725,702,1429,3604,3330,6937
Bendigo,20201,5020,3529,3771,7305,326,324,651,10836,11784,22618,2574,2652,5221,13734,14760,28488
Heathcote - Castlemaine - Kyneton,20202,3082,2691,2185,4879,110,78,183,5430,5214,10653,1554,1683,3236,7093,6982,14073
Loddon - Elmore,20203,890,621,569,1194,26,31,60,1069,1167,2237,488,436,929,1579,1637,3215
Barwon - West,20301,858,686,640,1328,37,31,70,2460,2529,4988,479,446,926,2975,3004,5982
Geelong,20302,8957,7006,6609,13619,424,469,892,23364,23735,47096,4529,4790,9313,28312,28991,57301
Surf Coast - Bellarine Peninsula,20303,3380,2185,2323,4504,120,114,234,8094,8523,16613,1791,1756,3549,10004,10390,20394
Upper Goulburn Valley,20401,3652,2579,2649,5225,129,133,266,5534,5884,11413,1922,1887,3814,7591,7908,15493
Wangaratta - Benalla,20402,2669,1887,2127,4014,126,142,266,4559,5063,9621,1369,1430,2803,6054,6639,12690
Wodonga - Alpine,20403,3950,2901,2725,5625,280,310,587,7955,8363,16315,2088,2035,4126,10327,10703,21027
Baw Baw,20501,2708,1770,1965,3735,107,103,203,5205,5931,11137,1361,1432,2797,6674,7464,14141
Gippsland - East,20502,3177,2172,2346,4524,254,279,525,3865,4348,8206,1644,1666,3310,5756,6288,12044
Gippsland - South West,20503,3754,2594,2766,5361,124,118,238,5839,6466,12308,1925,2012,3941,7882,8602,16483
Latrobe Valley,20504,4821,3186,3375,6561,219,259,474,7506,8240,15749,2457,2517,4982,10182,11015,21199
Wellington,20505,2665,2641,1842,4484,155,132,284,5006,4607,9605,1426,1352,2778,6585,6088,12672
Brunswick - Coburg,20601,4151,2540,2662,5201,75,95,164,10183,11480,21660,2135,2151,4286,12397,13720,26118
Darebin - South,20602,2701,1619,1765,3378,51,68,118,6080,6912,13000,1360,1440,2796,7485,8426,15915
Essendon,20603,3694,2311,2476,4787,53,48,102,8331,9067,17399,1867,1920,3788,10256,11037,21293
Melbourne City,20604,14055,8285,7967,16246,117,94,213,22781,27065,49849,7146,7098,14243,30051,34253,64307
Port Phillip,20605,9294,5191,5209,10399,53,74,125,8864,10030,18892,4713,4692,9407,13627,14795,28419
Moreland - North,21003,3762,2781,2780,5561,64,71,139,9551,9153,18707,1979,1940,3918,11590,11163,22753
Sunbury,21004,1616,1072,1150,2224,70,73,147,4659,4976,9639,841,850,1684,5573,5894,11471
Tullamarine - Broadmeadows,21005,7218,5849,5787,11638,209,232,442,22478,23337,45819,3852,3778,7631,26545,27341,53885
Knox,21101,4654,3370,3525,6894,152,173,329,18692,19250,37943,2429,2429,4861,21274,21856,43127
