sa3_name16,sa3_code16,oh_r_tot_ds_sh,oh_r_tot_ds_sdrtht,oh_r_tot_ds_fa,oh_r_tot_ds_od_c,oh_r_tot_ds_od_ch,oh_r_tot_ds_od_ih_t_so,oh_r_tot_od_hf_a_so,oh_r_tot_ds_od_tot,oh_r_tot_ds_ns,oh_r_tot_ds_tot,oh_ott_ds_sh,oh_ott_ds_sdrtht,oh_ott_ds_fa,oh_ott_ds_od_c,oh_ott_ds_od_ch,oh_ott_ds_od_ih_t_so,oh_ott_od_hf_a_so,oh_ott_ds_od_tot,oh_ott_ds_ns,oh_ott_ds_tot,oh_t_ns_ds_sh,oh_t_ns_ds_sdrtht,oh_t_ns_ds_fa,oh_t_ns_ds_od_c,oh_t_ns_ds_od_ch,oh_t_ns_ds_od_ih_t_so,oh_t_ns_od_hf_a_so,oh_t_ns_ds_od_tot,oh_t_ns_ds_ns,oh_t_ns_ds_tot,oh_tot_ds_shouse,oh_tot_ds_sdrtht,oh_tot_ds_f_u_or_a,oh_tot_ds_od_c,oh_tot_ds_od_ch,oh_tot_ds_od_ih_t_so,oh_tot_ds_od_hf_a_to_a_s_o,oh_tot_ds_od_tot,oh_tot_ds_ns,oh_tot_tot,t_h_oo_ds_sh,t_h_oo_ds_sdrtht,t_h_oo_ds_fa,t_h_oo_ds_od_c,t_h_oo_ds_od_ch,t_h_oo_ds_od_ih_t_so,t_h_oo_od_hf_a_so,t_h_oo_ds_od_tot,t_h_oo_ds_ns,t_h_oo_ds_tot,t_h_m_ds_sh,t_h_m_ds_sdrtht,t_h_m_ds_fa,t_h_m_ds_od_c,t_h_m_ds_od_ch,t_h_m_ds_od_ih_t_so,t_h_m_od_hf_a_so,t_h_m_ds_od_tot,t_h_m_ds_ns,t_h_m_ds_tot,t_h_rrea_ds_sh,t_h_rrea_ds_sdrtht,t_h_rrea_ds_fa,t_h_rrea_ds_od_c,t_h_rrea_ds_od_ch,t_h_rrea_ds_od_ih_t_so,t_h_rrea_od_hf_a_so,t_h_rrea_ds_od_tot,t_h_rrea_ds_ns,t_h_rrea_ds_tot,t_h_rha_ds_sh,t_h_rha_ds_sdrtht,t_h_rha_ds_fa,t_h_rha_ds_od_c,t_h_rha_ds_od_ch,t_h_rha_ds_od_ih_t_so,t_h_rha_od_hf_a_so,t_h_rha_ds_od_tot,t_h_rha_ds_ns,t_h_rha_ds_tot,t_h_r_psh_ds_sh,t_h_r_psh_ds_sdrtht,t_h_r_psh_ds_fa,t_h_r_psh_ds_od_c,t_h_r_psh_ds_od_ch,t_h_r_psh_ds_od_ih_t_so,t_h_r_psh_od_hf_a_so,t_h_r_psh_ds_od_tot,t_h_r_psh_ds_ns,t_h_r_psh_ds_tot,t_h_r_hcc_ds_sh,t_h_r_hcc_ds_sdrtht,t_h_r_hcc_ds_fa,t_h_r_hcc_ds_od_c,t_h_r_hcc_ds_od_ch,t_h_r_hcc_ds_od_ih_t_so,t_h_r_hcc_od_hf_a_so,t_h_r_hcc_ds_od_tot,t_h_r_hcc_ds_ns,t_h_r_hcc_ds_tot,t_h_r_olt_ds_sh,t_h_r_olt_ds_sdrtht,t_h_r_olt_ds_fa,t_h_r_olt_ds_od_c,t_h_r_olt_ds_od_ch,t_h_r_olt_ds_od_ih_t_so,t_h_r_olt_od_hf_a_so,t_h_r_olt_ds_od_tot,t_h_r_olt_ds_ns,t_h_r_olt_ds_tot,t_h_r_lns_ds_sh,t_h_r_lns_ds_sdrtht,t_h_r_lns_ds_fa,t_h_r_lns_ds_od_c,t_h_r_lns_ds_od_ch,t_h_r_lns_ds_od_ih_t_so,t_h_r_lns_od_hf_a_so,t_h_r_lns_ds_od_tot,t_h_r_lns_ds_ns,t_h_r_lns_ds_tot,t_h_r_tot_ds_sh,t_h_r_tot_ds_sdrtht,t_h_r_tot_ds_fa,t_h_r_tot_ds_od_c,t_h_r_tot_ds_od_ch,t_h_r_tot_ds_od_ih_t_so,t_h_r_tot_od_hf_a_so,t_h_r_tot_ds_od_tot,t_h_r_tot_ds_ns,t_h_r_tot_ds_tot,t_h_ott_ds_sh,t_h_ott_ds_sdrtht,t_h_ott_ds_fa,t_h_ott_ds_od_c,t_h_ott_ds_od_ch,t_h_ott_ds_od_ih_t_so,t_h_ott_od_hf_a_so,t_h_ott_ds_od_tot,t_h_ott_ds_ns,t_h_ott_ds_tot,t_h_t_ns_ds_sh,t_h_t_ns_ds_sdrtht,t_h_t_ns_ds_fa,t_h_t_ns_ds_od_c,t_h_t_ns_ds_od_ch,t_h_t_ns_ds_od_ih_t_so,t_h_t_ns_od_hf_a_so,t_h_t_ns_ds_od_tot,t_h_t_ns_ds_ns,t_h_t_ns_ds_tot,t_h_tot_ds_sh,t_h_tot_ds_sdrtht,t_h_tot_ds_fa,t_h_tot_ds_od_c,t_h_tot_ds_od_ch,t_h_tot_ds_od_ih_t_so,t_h_tot_od_hf_a_so,t_h_tot_ds_od_tot,t_h_tot_ds_ns,t_h_tot_ds_tot
Queanbeyan,10102,2348,1362,1614,7,7,0,12,21,23,5366,77,29,3,0,0,0,0,0,0,110,316,93,58,6,0,0,0,8,6,484,14505,2683,2291,14,35,27,23,94,79,19644,4979,413,230,3,19,7,3,39,21,5680,7112,813,394,0,3,17,6,28,31,8370,1054,961,1344,0,0,0,11,11,3,3372,429,146,53,0,0,0,0,0,0,625,642,243,235,0,0,0,4,9,9,1134,33,55,10,0,0,0,0,0,0,101,347,49,41,0,4,0,0,4,3,444,72,14,6,3,0,0,0,4,3,100,2580,1464,1688,7,11,0,11,28,22,5782,80,29,3,0,0,0,0,0,0,116,334,102,60,6,0,0,0,8,6,510,15085,2821,2374,14,32,26,30,100,81,20459
Snowy Mountains,10103,1154,213,267,4,19,3,12,36,89,1767,47,0,4,0,0,0,0,0,9,62,180,18,47,4,3,0,0,13,45,302,5957,337,406,20,52,10,23,103,235,7041,2649,56,34,9,14,8,10,40,51,2842,2041,47,46,4,12,3,4,17,36,2183,534,145,178,0,0,0,6,11,16,879,65,8,17,0,0,0,0,0,0,94,433,48,51,0,8,5,3,18,27,577,20,7,9,0,0,0,0,0,0,39,107,8,24,4,4,0,0,12,44,188,65,7,0,0,3,0,0,3,9,78,1223,223,278,4,17,6,14,40,95,1857,47,0,4,0,0,0,0,0,12,64,188,23,47,4,3,0,0,13,45,308,6145,342,414,19,55,12,25,111,240,7259
South Coast,10104,3863,1020,837,34,70,12,32,139,58,5919,143,122,37,3,3,0,0,11,4,319,625,101,78,15,18,3,3,33,17,856,22353,2419,1412,185,269,50,61,565,217,26963,11446,952,342,121,175,29,12,335,77,13147,6731,239,126,15,9,15,14,49,65,7213,2093,644,544,8,18,3,5,43,15,3349,430,168,137,0,0,0,0,5,3,736,1514,195,162,10,12,6,17,39,21,1935,94,54,56,0,0,0,0,0,0,207,154,27,17,20,39,0,10,66,18,278,158,22,16,4,0,0,0,10,9,208,4436,1117,932,39,74,16,32,155,68,6707,152,124,38,4,3,0,0,11,4,329,676,102,79,11,18,3,4,38,20,916,23444,2530,1516,194,276,57,65,585,234,28317
Goulburn - Mulwaree,10105,2393,506,292,17,7,0,26,50,27,3274,75,37,0,0,0,0,0,0,3,118,300,44,12,3,3,0,3,10,8,383,11165,889,344,40,30,22,45,133,79,12607,4673,210,20,14,20,10,8,49,24,4977,3996,95,19,3,0,8,8,24,15,4144,1273,328,217,0,3,0,11,16,7,1842,424,56,50,0,0,0,0,0,0,530,672,74,31,0,0,0,10,14,8,800,45,54,10,0,0,0,0,0,0,112,109,6,5,14,3,0,3,28,10,153,83,9,3,0,0,0,0,0,0,102,2610,532,314,18,9,0,26,54,29,3537,75,37,3,0,0,0,0,0,3,123,313,48,12,3,3,3,3,15,8,397,11671,921,361,40,31,27,43,138,77,13180
Young - Yass,10106,2129,281,207,0,13,0,10,22,28,2667,91,21,10,0,0,0,4,3,3,128,302,32,21,0,0,0,0,3,7,369,11485,520,316,26,16,24,38,98,105,12522,4699,143,61,20,3,8,14,52,35,4989,4541,57,15,3,0,10,7,25,30,4671,967,178,149,0,0,0,0,3,5,1303,174,19,14,0,0,0,0,0,3,209,839,41,28,0,0,0,9,9,16,938,31,25,25,0,0,0,0,0,0,84,204,11,3,0,12,0,0,13,8,238,146,12,3,0,3,0,0,3,0,161,2366,294,224,0,8,0,10,25,25,2932,98,21,10,0,0,0,4,3,3,133,315,31,17,3,0,0,0,4,10,379,12015,540,330,27,17,24,35,102,106,13102
Gosford,10201,8283,3157,3122,12,311,7,68,399,138,15105,231,746,241,0,0,0,0,6,5,1232,1033,400,238,4,11,3,6,25,48,1749,45529,8813,5632,82,406,8,155,650,273,60899,17599,3324,1274,55,57,0,32,145,51,22390,19330,1240,785,3,31,0,49,87,35,21478,5815,1968,2248,0,255,3,46,308,92,10420,654,750,507,0,3,0,0,3,5,1925,2052,421,349,0,52,0,21,69,30,2920,68,133,104,0,0,0,0,0,8,314,246,48,34,10,26,0,3,35,12,372,185,60,38,0,3,0,3,9,3,294,9018,3373,3279,15,336,7,67,425,154,16245,238,757,244,0,0,0,0,6,5,1250,1090,417,245,4,14,3,6,31,54,1841,47268,9110,5827,81,438,8,163,690,297,63202
Wyong,10202,9760,2589,1882,89,53,4,46,184,81,14501,193,228,57,0,0,0,0,3,12,486,1187,275,156,18,5,3,3,31,75,1728,44795,5622,3251,238,104,20,61,427,237,54326,16792,1774,855,123,45,7,6,182,51,19648,18485,807,326,15,3,10,11,30,25,19677,7318,1594,1301,0,4,0,28,40,48,10304,644,664,352,3,0,0,0,3,3,1661,2458,297,226,9,4,0,14,27,19,3021,96,164,94,0,0,0,0,0,4,350,344,56,35,82,50,0,0,131,22,585,189,30,29,0,0,0,3,7,3,254,11046,2809,2032,99,57,4,49,206,91,16177,198,235,59,0,0,0,0,3,12,505,1283,287,159,23,3,3,3,35,77,1843,47797,5913,3429,258,112,22,69,455,249,57847
Bathurst,10301,2825,878,463,3,3,0,10,19,94,4284,67,8,3,0,0,0,0,0,12,93,279,33,20,0,0,0,0,0,49,377,13080,1352,590,14,4,7,19,47,211,15285,5063,282,54,8,3,0,5,21,34,5458,5201,165,44,6,3,0,0,9,27,5451,1908,683,370,0,0,3,8,11,22,2990,372,121,62,0,0,0,0,0,0,564,759,122,44,0,0,0,5,3,11,947,39,14,6,0,0,0,0,0,54,119,104,14,9,0,0,0,0,0,4,134,75,11,13,0,0,0,0,3,7,107,3266,964,500,4,3,4,11,22,99,4853,68,12,3,0,0,0,0,0,12,99,303,46,29,0,0,0,0,0,49,419,13904,1468,632,17,7,8,18,51,222,16280
Lachlan Valley,10302,3421,293,585,14,12,3,39,58,66,4425,121,10,11,0,0,0,3,3,5,154,581,25,42,9,3,4,6,23,12,680,16818,478,725,44,21,13,91,175,217,18409,8163,124,67,25,5,10,25,68,87,8506,5505,32,18,5,0,3,20,29,59,5641,1422,193,386,0,0,0,16,18,13,2033,580,27,87,0,0,0,0,0,0,699,1554,58,88,0,0,3,20,21,31,1748,162,23,53,0,0,0,0,0,4,237,392,7,39,12,6,0,9,32,18,494,227,12,13,0,0,0,5,7,4,258,4336,324,667,16,12,3,42,73,75,5473,140,10,11,0,0,0,3,3,5,173,664,30,54,9,3,7,6,19,17,785,18811,518,816,55,24,24,99,199,235,20578
Lithgow - Mudgee,10303,3056,531,254,15,16,3,44,81,31,3937,109,17,0,0,0,0,4,8,4,133,407,57,15,16,3,0,11,36,11,526,14176,817,352,75,44,17,320,453,142,15938,6357,157,66,32,16,9,157,219,62,6858,4834,60,17,6,3,8,121,137,40,5090,1829,383,153,0,7,0,21,21,8,2390,478,122,56,0,0,0,0,0,0,664,888,43,39,3,0,0,19,26,17,1005,28,21,15,0,0,0,0,0,0,58,143,9,4,9,11,0,9,29,6,187,124,7,4,6,0,0,5,9,3,151,3500,579,265,18,16,3,46,82,34,4468,119,24,0,0,0,0,4,8,4,151,439,58,16,16,3,0,11,36,11,569,15247,879,365,75,49,15,344,481,150,17128
