sa3_name16,sa3_code16,hh_in_p_1_f_hh_c_f_n_c_n_u_2,hh_in_p_1_f_hh_c_f_n_c_n_u_3,hh_in_p_1_f_hh_c_f_n_c_n_u_4,hh_in_p_1_f_hh_c_f_n_c_n_u_5,hh_in_p_1_f_h_c_f_n_c_n_u_6ov,hh_in_p_1_f_hh_c_f_no_ch_tot,hh_in_p_1_f_hh_c_f_ch_nu_ur_3,hh_in_p_1_f_hh_c_f_ch_nu_ur_4,hh_in_p_1_f_hh_c_f_ch_nu_ur_5,hh_i_p_1_f_h_c_f_ch_nu_ur_6ov,hh_in_pe_1_fa_hh_co_fa_ch_tot,hh_in_p_1_f_h_1_pa_f_nu_ur_2,hh_in_p_1_f_h_1_pa_f_nu_ur_3,hh_in_p_1_f_h_1_pa_f_nu_ur_4,hh_in_p_1_f_h_1_pa_f_nu_ur_5,hh_in_p_1_f_h_1_pa_f_n_ur_6ov,hh_in_p_1_f_h_1_pa_f_tot,hh_in_p_1_fa_hh_ot_fa_nu_ur_2,hh_in_p_1_fa_hh_ot_fa_nu_ur_3,hh_in_p_1_fa_hh_ot_fa_nu_ur_4,hh_in_p_1_fa_hh_ot_fa_nu_ur_5,hh_in_p_1_fa_hh_ot_f_n_ur_6ov,hh_in_pe_1_fa_hh_other_fa_tot,hh_in_pe_1_fa_hh_tot_nu_ur_2,hh_in_pe_1_fa_hh_tot_nu_ur_3,hh_in_pe_1_fa_hh_tot_nu_ur_4,hh_in_pe_1_fa_hh_tot_nu_ur_5,hh_in_pe_1_fa_hh_tot_n_ur_6ov,hh_in_pe_1_fa_hh_tot_tot,hhd_in_pe_mu_fa_hhd_nu_ur_4,hhd_in_pe_mu_fa_hhd_nu_ur_5,hhd_in_pe_mu_fa_hhd_n_ur_6ov,hhd_in_pe_mu_fa_hhd_tot,hhd_in_pe_totfa_hhd_nu_ur_2,hhd_in_pe_totfa_hhd_nu_ur_3,hhd_in_pe_totfa_hhd_nu_ur_4,hhd_in_pe_totfa_hhd_nu_ur_5,hhd_in_pe_totfa_hhd_n_ur_6ov,hhd_in_pe_totfa_hhd_tot,hhd_in_pe_lo_per_hhd_nu_ur_1,hhd_in_pe_lo_per_hhd_tot,hhd_in_pe_gr_hh_nu_ur_2,hhd_in_pe_gr_hh_nu_ur_3,hhd_in_pe_gr_hh_nu_ur_4,hhd_in_pe_gr_hh_nu_ur_5,hhd_in_pe_gr_hh_n_ur_6ov,hhd_in_pe_gr_hh_tot,hhd_in_pe_tot_nu_ur_1,hhd_in_pe_tot_nu_ur_2,hhd_in_pe_tot_nu_ur_3,hhd_in_pe_tot_nu_ur_4,hhd_in_pe_tot_nu_ur_5,hhd_in_pe_tot_nu_ur_6_more,hhd_in_pe_tot_tot,ot_hh_1_f_hh_c_f_no_c_nu_ur_2,ot_hh_1_f_hh_c_f_no_c_nu_ur_3,ot_hh_1_f_hh_c_f_no_c_nu_ur_4,ot_hh_1_f_hh_c_f_no_c_nu_ur_5,ot_hh_1_f_hh_c_f_n_c_n_ur_6ov,ot_hh_1_f_hh_c_f_no_c_tot,ot_hh_1_f_hh_c_f_ch_nu_ur_3,ot_hh_1_f_hh_c_f_ch_nu_ur_4,ot_hh_1_f_hh_c_f_ch_nu_ur_5,ot_hh_1_f_hh_c_f_ch_n_ur_6ov,ot_hh_1_f_hh_c_f_with_ch_tot,ot_hh_1_f_hh_1_pa_f_nu_ur_2,ot_hh_1_f_hh_1_pa_f_nu_ur_3,ot_hh_1_f_hh_1_pa_f_nu_ur_4,ot_hh_1_f_hh_1_pa_f_nu_ur_5,ot_hh_1_f_hh_1_pa_f_n_ur_6ov,ot_hh_1_f_hh_1_parent_f_tot,ot_hh_one_fa_hh_ot_fa_nu_ur_2,ot_hh_one_fa_hh_ot_fa_nu_ur_3,ot_hh_one_fa_hh_ot_fa_nu_ur_4,ot_hh_one_fa_hh_ot_fa_nu_ur_5,ot_hh_1_fa_hh_ot_fa_n_ur_6ov,ot_hh_one_fa_hhd_other_fa_tot,ot_hh_one_fa_hhd_tot_nu_ur_2,ot_hh_one_fa_hhd_tot_nu_ur_3,ot_hh_one_fa_hhd_tot_nu_ur_4,ot_hh_one_fa_hhd_tot_nu_ur_5,ot_hh_one_fa_hhd_tot_n_ur_6ov,ot_hh_one_fa_hhd_tot_tot,ot_hh_multiple_fa_hhd_nu_ur_4,ot_hh_multiple_fa_hhd_nu_ur_5,ot_hh_multiple_fa_hh_nu_u_6ov,ot_hh_multiple_fa_hhd_tot,ot_hh_totfa_hhd_nu_ur_2,ot_hh_totfa_hhd_nu_ur_3,ot_hh_totfa_hhd_nu_ur_4,ot_hh_totfa_hhd_nu_ur_5,ot_hh_totfa_hhd_nu_ur_6_more,ot_hh_totfa_hhd_tot,ot_hh_lo_per_hhd_nu_ur_1,ot_hh_lo_per_hhd_tot,ot_hh_gr_hh_nu_ur_2,ot_hh_gr_hh_nu_ur_3,ot_hh_gr_hh_nu_ur_4,ot_hh_gr_hh_nu_ur_5,ot_hh_gr_hh_nu_u_6ov,ot_hh_gr_hh_tot,ot_hh_tot_nu_ur_1,ot_hh_tot_nu_ur_2,ot_hh_tot_nu_ur_3,ot_hh_tot_nu_ur_4,ot_hh_tot_nu_ur_5,ot_hh_tot_nu_ur_6_more,ot_hh_tot_tot
Queanbeyan,10102,132,6,0,0,0,138,79,99,58,33,273,59,60,48,18,15,203,15,3,0,0,0,16,202,151,150,74,48,626,7,8,8,24,202,151,162,82,53,655,123,123,31,3,0,0,0,35,123,231,152,165,82,54,816,4902,167,17,0,0,5085,2310,2858,1218,384,6770,880,565,195,54,17,1704,128,27,4,0,0,158,5907,3067,3081,1271,398,13721,116,103,124,339,5907,3067,3190,1377,519,14062,5143,5143,375,62,8,3,0,445,5143,6284,3125,3199,1378,519,19644
Snowy Mountains,10103,54,3,0,0,0,55,16,30,18,8,67,12,6,8,3,0,37,0,0,0,0,0,3,76,27,35,18,8,167,0,0,0,0,76,27,35,18,7,164,41,41,9,0,0,3,0,11,41,81,33,35,22,7,217,2055,45,12,3,0,2118,634,722,303,105,1759,344,196,59,18,3,629,40,5,3,0,0,44,2439,885,798,324,111,4546,13,14,16,45,2439,885,813,338,128,4594,2208,2208,182,35,17,4,4,243,2208,2622,920,829,336,131,7041
South Coast,10104,235,21,10,0,0,264,109,103,82,70,368,107,119,70,40,32,372,17,8,0,0,0,21,358,250,186,125,105,1022,5,16,24,46,358,250,189,134,135,1072,229,229,50,0,4,0,0,57,229,413,250,195,139,135,1351,9597,236,13,0,0,9851,1955,2057,828,356,5206,1277,738,243,94,43,2393,145,19,5,0,0,169,11020,2951,2321,927,399,17617,91,67,81,242,11020,2951,2411,998,483,17860,8468,8468,569,54,7,0,0,639,8468,11588,3001,2422,997,483,26963
Goulburn - Mulwaree,10105,87,9,4,0,0,96,56,73,36,27,195,44,45,28,9,11,140,3,4,0,0,0,6,139,120,107,44,39,438,4,6,3,15,139,120,111,57,38,459,90,90,16,0,0,0,0,23,90,152,121,111,55,39,572,3552,119,11,3,0,3684,1136,1282,600,269,3289,673,394,150,59,26,1299,96,12,0,0,0,115,4317,1668,1440,663,296,8389,50,47,63,157,4317,1668,1489,708,359,8546,3775,3775,244,30,5,3,3,280,3775,4564,1695,1492,712,363,12607
Young - Yass,10106,110,6,0,0,0,119,44,68,53,28,196,42,44,27,9,10,134,3,0,0,0,0,3,153,97,96,67,34,447,6,0,11,22,153,97,109,66,41,465,84,84,29,0,0,0,0,25,84,180,99,109,66,41,575,3766,91,5,0,0,3862,1179,1493,774,291,3740,547,341,164,49,18,1121,91,20,3,0,0,107,4397,1631,1668,824,315,8838,35,31,56,123,4397,1631,1703,854,369,8958,3291,3291,240,24,8,0,0,274,3291,4637,1657,1711,855,369,12522
Gosford,10201,311,39,6,0,0,360,217,289,147,105,759,190,212,104,50,32,578,23,5,8,0,0,39,527,476,403,201,136,1741,31,30,68,130,527,476,435,231,204,1871,301,301,100,18,5,4,0,134,301,622,496,445,233,206,2296,15525,611,81,5,6,16225,5849,7813,3211,1053,17918,3280,2250,866,240,86,6723,432,87,19,0,0,542,19236,8797,8778,3459,1139,41413,318,282,424,1024,19236,8797,9101,3737,1568,42436,16666,16666,1472,227,60,21,10,1791,16666,20712,9025,9156,3758,1580,60899
Wyong,10202,508,59,10,3,0,573,324,434,269,188,1217,247,338,231,102,51,962,44,11,0,0,0,61,800,731,672,376,238,2818,40,45,95,188,800,731,714,422,339,3001,366,366,128,13,7,0,0,154,366,928,745,722,425,338,3524,13653,597,69,11,0,14323,4795,6289,2865,1083,15040,3279,2279,1082,340,123,7106,433,82,13,3,0,532,17362,7751,7450,3221,1203,36992,297,329,453,1076,17362,7751,7751,3550,1656,38072,14619,14619,1400,161,50,18,3,1629,14619,18763,7913,7798,3567,1659,54326
Bathurst,10301,128,10,6,0,0,144,81,98,66,45,297,83,97,63,23,18,282,13,3,3,0,0,19,221,188,165,96,65,737,12,7,15,32,221,188,182,99,81,771,156,156,53,8,11,0,3,71,156,272,200,184,99,85,992,4043,122,16,0,0,4179,1447,1804,818,321,4387,775,498,237,68,17,1597,100,16,4,0,0,120,4918,2078,2053,892,339,10284,52,50,84,190,4918,2078,2105,946,422,10475,4240,4240,440,89,34,10,4,569,4240,5355,2165,2143,951,430,15285
Lachlan Valley,10302,356,29,3,0,0,383,199,214,134,113,669,194,189,109,55,39,572,29,10,8,0,0,41,575,424,329,196,149,1670,8,16,24,49,575,424,339,214,173,1718,374,374,69,7,3,3,0,78,374,637,426,342,212,173,2169,5553,140,16,0,0,5707,1499,1598,990,391,4473,868,490,209,66,31,1672,152,21,3,0,0,178,6576,2146,1825,1060,421,12030,55,32,56,149,6576,2146,1878,1090,480,12182,5901,5901,292,36,3,0,0,333,5901,6873,2182,1887,1090,480,18409
Lithgow - Mudgee,10303,192,20,0,0,0,210,120,172,84,47,425,80,79,50,23,21,248,10,5,0,0,0,18,282,226,219,105,66,906,17,10,12,42,282,226,239,118,84,947,198,198,36,6,3,0,0,44,198,318,232,235,118,82,1187,4445,132,13,3,0,4590,1412,1581,738,283,4017,837,481,202,61,23,1613,110,25,3,0,0,137,5395,2051,1797,802,309,10354,49,48,57,146,5395,2051,1849,844,366,10501,5037,5037,364,28,5,4,0,401,5037,5757,2076,1854,847,366,15938
