sa3_code16,psn_15_y_over_indig_m,psn_15_y_over_indig_f,psn_15_y_over_indig_p,psn_15_y_over_nonind_m,psn_15_y_over_nonind_f,psn_15_y_over_nonind_p,psn_15_y_over_ind_s_nsm,psn_15_y_over_ind_s_nsf,psn_15_y_over_ind_s_nsp,psn_15_y_over_totm,psn_15_y_over_totf,psn_15_y_over_totp,in_lf_emp_indig_m,in_lf_emp_indig_f,in_lf_emp_indig_p,in_lf_emp_nonind_m,in_lf_emp_nonind_f,in_lf_emp_nonind_p,in_lf_emp_indst_nsm,in_lf_emp_indst_nsf,in_lf_emp_indst_nsp,in_lf_employd_totm,in_lf_employd_totf,in_lf_employd_totp,in_lf_unemp_ind_m,in_lf_unemp_ind_f,in_lf_unemp_ind_p,in_lf_unemp_no_ind_m,in_lf_unemp_no_ind_f,in_lf_unemp_no_ind_p,in_lf_un_indst_nsm,in_lf_un_indst_nsf,in_lf_un_indst_nsp,in_lf_unemp_totm,in_lf_unemp_totf,in_lf_unemp_totp,in_lf_to_lf_ind_m,in_lf_to_lf_ind_f,in_lf_to_lf_ind_p,in_lf_to_la_fo_no_in_m,in_lf_to_la_fo_no_in_f,in_lf_to_la_fo_no_in_p,in_lf_to_l_fo_in_st_nsm,in_lf_to_l_fo_in_st_nsf,in_lf_to_l_fo_in_st_nsp,in_lf_to_lf_totm,in_lf_to_lf_totf,in_lf_to_lf_totp,n_the_lf_indig_m,n_the_lf_indig_f,n_the_lf_indig_p,n_the_lf_no_indig_m,n_the_lf_no_indig_f,n_the_lf_no_indig_p,n_the_lf_indig_st_nsm,n_the_lf_indig_st_nsf,n_the_lf_indig_st_nsp,n_the_lf_totm,n_the_lf_totf,n_the_lf_totp,lf_st_ns_indig_m,lf_st_ns_indig_f,lf_st_ns_indig_p,lf_st_ns_nonind_m,lf_st_ns_nonind_f,lf_st_ns_nonind_p,lf_st_ns_indig_st_nsm,lf_st_ns_indig_st_nsf,lf_st_ns_indig_st_nsp,lf_st_ns_totm,lf_st_ns_totf,lf_st_ns_totp,pcent_unemploy_indig_m,pcent_unemploy_indig_f,pcent_unemploy_indig_p,pcent_unemploy_nonind_m,pcent_unemploy_nonind_f,pcent_unemploy_nonind_p,pcent_unem_indst_nsm,pcent_unemp_indst_nsf,pcent_unemp_indst_nsp,pcent_unemploy_totm,pcent_unemploy_totf,pcent_unemploy_totp,pcent_lf_part_indig_m,pcent_lf_part_indig_f,pcent_lf_part_indig_p,pcent_lf_part_no_indig_m,pcent_lf_part_no_indig_f,pcent_lf_part_no_indig_p,pcent_lf_part_indst_nsm,pcent_lf_part_indst_nsf,pcent_lf_part_indst_nsp,pcent_lf_part_totm,pcent_lf_part_totf,pcent_lf_part_totp,pcent_emp_to_pop_ind_m,pcent_emp_to_pop_ind_f,pcent_emp_to_pop_ind_p,pcent_emp_t_pop_nonind_m,pcent_emp_t_pop_nonind_f,pcent_emp_t_pop_nonind_p,pcent_emp_t_pop_indst_nsm,pcent_emp_t_pop_indst_nsf,pcent_emp_t_pop_indst_nsp,pcent_emp_to_pop_totm,pcent_emp_to_pop_totf,pcent_emp_to_pop_totp,indsec_gov_ind_m,indsec_gov_ind_f,indsec_gov_ind_p,indsec_gov_no_ind_m,indsec_gov_no_ind_f,indsec_gov_no_ind_p,indsec_gov_indst_nsm,indsec_gov_indst_nsf,indsec_gov_indst_nsp,indsec_gov_totm,indsec_gov_totf,indsec_gov_totp,indsec_priv_ind_m,indsec_priv_ind_f,indsec_priv_ind_p,indsec_priv_nonind_m,indsec_priv_nonind_f,indsec_priv_nonind_p,indsec_priv_indst_nsm,indsec_priv_indst_nsf,indsec_priv_indst_nsp,indsec_priv_totm,indsec_priv_totf,indsec_priv_totp,self_employed_ind_m,self_employed_ind_f,self_employed_ind_p,self_employed_nonind_m,self_employed_nonind_f,self_employed_nonind_p,self_employed_ind_status_nsm,self_employed_ind_status_nsf,self_employed_ind_status_nsp,self_employed_totm,self_employed_totf,self_employed_totp,nsq_pgdl_ind_m,nsq_pgdl_ind_f,nsq_pgdl_ind_p,nsq_pgdl_no_ind_m,nsq_pgdl_no_ind_f,nsq_pgdl_no_ind_p,nsq_pgdl_indst_nsm,nsq_pgdl_indst_nsf,nsq_pgdl_indst_nsp,nsq_pgdl_totm,nsq_pgdl_totf,nsq_pgdl_totp,nsq_gd_gcl_ind_m,nsq_gd_gcl_ind_f,nsq_gd_gcl_ind_p,nsq_gd_gcl_no_in_m,nsq_gd_gcl_no_in_f,nsq_gd_gcl_no_in_p,nsq_gd_gcl_in_st_nsm,nsq_gd_gcl_in_st_nsf,nsq_gd_gcl_in_st_nsp,nsq_gd_gcl_totm,nsq_gd_gcl_totf,nsq_gd_gcl_totp,nsq_bdl_ind_m,nsq_bdl_ind_f,nsq_bdl_ind_p,nsq_bdl_no_ind_m,nsq_bdl_no_ind_f,nsq_bdl_no_ind_p,nsq_bdl_indst_nsm,nsq_bdl_indst_nsf,nsq_bdl_indst_nsp,nsq_bdl_totm,nsq_bdl_totf,nsq_bdl_totp,nsq_ad_dl_ind_m,nsq_ad_dl_ind_f,nsq_ad_dl_ind_p,nsq_ad_dl_no_in_m,nsq_ad_dl_no_in_f,nsq_ad_dl_no_in_p,nsq_ad_dl_in_st_nsm,nsq_ad_dl_in_st_nsf,nsq_ad_dl_in_st_nsp,nsq_ad_dl_totm,nsq_ad_dl_totf,nsq_ad_dl_totp,nsq_crt_ii_ind_m,nsq_crt_ii_ind_f,nsq_crt_ii_ind_p,nsq_cer_ii_no_ind_m,nsq_cer_ii_no_ind_f,nsq_cer_ii_no_ind_p,nsq_ce_ii_indst_nsm,nsq_ce_ii_indst_nsf,sa3_name16
10102,526,619,1151,20699,20854,41555,1762,1635,3395,22990,23112,46101,329,356,683,15139,14004,29144,108,96,204,15574,14451,30027,31,48,79,637,520,1159,10,3,16,679,571,1248,355,400,760,15778,14525,30303,121,99,215,16254,15020,31271,156,206,360,4773,6151,10921,71,97,169,4998,6457,11453,13,14,27,152,177,328,1571,1443,3014,1736,1633,3377,8.7,12.0,10.4,4.0,3.6,3.8,8.3,3.0,7.4,4.2,3.8,4.0,67.7,64.5,66.3,76.2,69.7,72.9,6.9,6.0,6.3,70.7,65.0,67.8,62.8,57.4,59.5,73.1,67.2,70.1,6.1,5.9,6.0,67.7,62.5,65.1,80,166,245,4111,5254,9366,32,33,58,4224,5451,9674,231,182,417,10850,8621,19473,70,55,130,11158,8859,20017,4,4,10,816,500,1313,6,3,4,826,506,1328,9,12,18,1519,1219,2734,7,5,10,1535,1234,2772,3,16,19,474,805,1286,0,0,0,483,823,1302,27,53,81,2644,3714,6360,15,20,41,2685,3794,6482,33,55,94,1955,2507,4459,12,10,20,2002,2576,4575,4,19,22,149,317,470,0,3,Queanbeyan
10103,187,133,317,7404,7012,14412,704,661,1362,8291,7803,16097,96,66,160,4857,4340,9200,45,31,71,4993,4441,9436,10,4,21,166,140,307,0,0,0,181,146,330,105,78,185,5026,4483,9505,46,31,74,5173,4586,9761,78,58,132,2276,2442,4720,32,38,69,2385,2530,4919,3,4,6,105,87,193,631,587,1217,736,686,1414,9.5,5.1,11.4,3.3,3.1,3.2,0.0,0.0,0.0,3.5,3.2,3.4,56.5,55.7,57.3,67.9,63.9,65.9,6.5,4.7,5.4,62.4,58.8,60.6,51.6,47.1,49.5,65.6,61.9,63.8,6.3,4.7,5.2,60.2,56.9,58.6,16,7,27,700,851,1555,0,3,0,717,860,1582,76,61,133,4098,3450,7552,36,30,65,4217,3538,7755,8,3,10,485,222,705,7,8,10,494,236,730,4,3,7,192,192,382,0,3,3,192,199,393,0,0,7,81,146,228,0,0,0,86,155,235,3,8,12,664,1028,1695,3,3,7,671,1041,1716,11,13,19,516,806,1317,3,12,9,526,830,1348,3,7,8,69,146,216,0,4,Snowy Mountains
10104,948,1046,1996,25939,27612,53550,2251,2233,4488,29146,30894,60033,380,383,759,12705,12492,25196,131,106,238,13213,12977,26195,112,69,186,855,672,1527,19,8,24,989,749,1735,494,451,942,13559,13162,26718,152,112,259,14202,13727,27931,419,552,974,11976,13932,25908,169,204,375,12567,14690,27255,39,42,75,405,517,923,1940,1913,3856,2382,2470,4852,22.7,15.3,19.7,6.3,5.1,5.7,12.5,7.1,9.3,7.0,5.5,6.2,51.9,43.2,47.3,52.3,47.7,49.9,6.7,5.0,5.8,48.7,44.4,46.5,39.9,36.7,38.1,49.0,45.2,47.1,5.8,4.8,5.3,45.3,42.0,43.6,71,97,164,1498,2043,3541,10,17,22,1579,2159,3733,297,285,580,11060,10310,21368,114,88,197,11469,10679,22145,29,14,37,1679,870,2550,17,3,21,1728,890,2612,7,16,24,653,689,1335,6,3,9,659,708,1368,0,9,14,409,782,1200,3,10,12,418,803,1222,26,57,86,2304,3476,5787,16,26,48,2350,3562,5911,44,64,106,1877,2989,4867,14,18,36,1929,3073,5000,14,35,51,240,492,730,0,8,South Coast
10105,469,405,873,13154,13156,26312,1018,963,1980,14643,14524,29165,196,182,377,7913,6968,14888,70,76,144,8182,7231,15408,36,29,59,478,412,886,7,4,10,521,438,960,228,209,441,8390,7378,15773,79,79,158,8701,7669,16372,232,187,425,4536,5401,9937,76,89,165,4843,5678,10527,4,4,11,230,375,599,860,801,1662,1093,1174,2274,15.8,13.9,13.4,5.7,5.6,5.6,8.9,5.1,6.3,6.0,5.7,5.9,49.1,52.3,50.3,63.8,56.1,60.0,7.8,8.2,8.0,59.4,52.8,56.1,42.2,45.5,43.0,60.1,53.0,56.6,6.9,7.8,7.3,55.9,49.8,52.8,35,47,77,1243,1555,2805,8,16,26,1287,1620,2904,153,133,290,6572,5338,11915,60,50,112,6783,5528,12310,14,3,15,649,309,958,5,8,13,667,316,986,3,3,6,278,305,584,4,3,6,282,319,602,0,7,9,143,256,395,3,5,7,146,266,410,7,29,40,884,1393,2273,3,13,18,902,1431,2329,19,31,44,927,1493,2418,8,12,22,953,1534,2482,3,15,17,120,214,338,7,3,Goulburn - Mulwaree
10106,398,376,773,12620,13384,25999,935,972,1909,13953,14734,28685,210,157,365,8211,7572,15783,68,62,133,8485,7789,16274,38,28,59,348,298,648,3,4,6,385,329,718,244,183,424,8559,7868,16430,70,66,138,8869,8118,16987,143,188,324,3847,5194,9042,65,101,170,4057,5480,9534,14,3,16,212,320,535,797,808,1608,1025,1131,2160,15.6,15.3,13.9,4.1,3.8,3.9,4.3,6.1,4.3,4.3,4.1,4.2,60.8,48.9,55.5,67.8,58.8,63.2,7.5,6.8,7.2,63.6,55.1,59.2,52.4,42.0,47.8,65.1,56.6,60.7,7.3,6.4,6.9,60.8,52.9,56.7,30,27,60,1320,1755,3074,5,7,14,1362,1789,3149,172,128,302,6782,5743,12528,54,45,108,7006,5919,12933,6,7,14,772,425,1192,6,0,6,782,428,1207,0,3,5,430,458,886,0,4,3,434,463,900,3,8,11,175,363,540,7,3,4,183,372,551,5,16,26,1173,1995,3175,9,12,20,1189,2025,3220,22,19,43,888,1395,2281,5,7,10,916,1424,2337,8,10,16,98,219,315,3,4,Young - Yass
10201,1587,1628,3211,61206,67092,128292,3555,3756,7314,66344,72473,138818,886,820,1708,37226,35047,72272,245,232,477,38355,36102,74452,153,101,252,2400,2187,4585,25,30,56,2580,2312,4889,1035,919,1959,39629,37228,76859,271,264,534,40938,38410,79348,520,664,1186,20843,28836,49686,280,367,652,21652,29874,51523,26,37,66,729,1020,1752,3002,3127,6137,3756,4189,7951,14.8,11.0,12.9,6.1,5.9,6.0,9.2,11.4,10.5,6.3,6.0,6.2,65.5,56.7,61.0,64.8,55.5,59.9,7.6,7.0,7.3,61.7,53.0,57.2,56.0,50.6,53.2,60.8,52.2,56.3,6.9,6.2,6.5,57.8,49.8,53.6,125,157,283,4981,6240,11221,24,34,63,5133,6429,11561,733,657,1391,31825,28497,60321,207,181,392,32764,29338,62104,48,30,76,3319,2015,5336,24,12,36,3392,2057,5445,19,22,44,2256,2216,4474,6,16,25,2284,2257,4539,12,19,33,811,1500,2305,6,5,10,827,1528,2357,83,144,222,7411,10050,17462,36,49,85,7531,10237,17766,80,154,237,5500,8298,13794,26,60,93,5607,8512,14121,26,45,71,517,1033,1551,6,10,Gosford
10202,2317,2554,4873,55361,60765,116121,3585,3916,7502,61260,67238,128494,1244,1195,2444,32261,30009,62272,225,204,430,33731,31413,65144,217,203,413,2429,2320,4749,22,22,44,2667,2543,5208,1460,1395,2857,34687,32330,67019,250,228,473,36400,33955,70354,815,1099,1917,19872,27383,47258,295,403,700,20981,28887,49870,40,54,94,796,1054,1849,3038,3289,6324,3879,4397,8271,14.9,14.6,14.5,7.0,7.2,7.1,8.8,9.6,9.3,7.3,7.5,7.4,63.1,54.7,58.7,62.7,53.2,57.7,7.0,5.8,6.3,59.4,50.5,54.8,53.7,46.9,50.2,58.3,49.4,53.6,6.3,5.2,5.7,55.1,46.7,50.7,158,244,401,3497,4798,8300,10,18,31,3671,5063,8729,1065,924,1994,28362,24921,53279,203,176,375,29631,26024,55654,75,34,110,2475,1299,3779,7,6,13,2566,1338,3903,20,21,37,855,959,1806,4,9,9,868,981,1855,3,14,15,416,809,1225,3,3,5,425,828,1244,55,157,214,3486,5895,9383,17,33,44,3556,6083,9636,102,224,327,3842,6295,10138,21,62,83,3972,6579,10551,37,83,123,511,1071,1585,3,10,Wyong
10301,838,725,1561,16514,16629,33148,1393,1448,2843,18747,18805,37548,332,316,646,10061,9545,19603,82,77,161,10467,9942,20409,55,56,118,654,511,1162,13,10,18,722,576,1300,388,375,764,10712,10048,20763,94,82,176,11193,10511,21705,429,328,759,5643,6427,12072,58,68,125,6126,6828,12957,14,15,37,168,155,315,1243,1293,2536,1427,1463,2888,14.2,14.9,15.4,6.1,5.1,5.6,13.8,12.2,10.2,6.5,5.5,6.0,46.7,52.2,49.0,64.8,60.4,62.6,6.7,5.7,6.2,59.7,55.9,57.8,40.0,44.0,41.4,60.9,57.4,59.1,5.9,5.3,5.7,55.8,52.9,54.4,46,83,131,1566,2141,3711,5,12,22,1620,2238,3860,276,230,514,8364,7299,15669,71,63,135,8720,7598,16314,10,5,17,747,444,1192,4,3,7,765,453,1218,3,5,10,484,523,1006,0,3,3,484,530,1015,3,15,12,239,440,679,0,0,3,245,452,697,14,47,57,1460,2527,3988,4,13,17,1475,2585,4064,25,53,86,1096,1757,2849,10,10,23,1127,1825,2953,13,23,40,165,360,519,3,3,Bathurst
10302,1587,1742,3323,18389,18831,37226,1996,1981,3975,21969,22553,44522,714,681,1400,11123,9463,20589,117,81,196,11957,10230,22183,175,149,332,591,498,1094,20,13,29,790,663,1445,892,831,1732,11716,9966,21685,129,90,222,12747,10887,23634,651,867,1510,6358,8518,14873,116,135,253,7121,9519,16643,39,40,84,315,354,667,1748,1750,3501,2105,2147,4250,19.6,17.9,19.2,5.0,5.0,5.0,15.5,14.4,13.1,6.2,6.1,6.1,56.4,47.8,52.1,63.7,52.9,58.3,6.5,4.6,5.6,58.0,48.3,53.1,45.1,39.2,42.1,60.5,50.2,55.3,5.9,4.1,4.9,54.4,45.4,49.8,101,118,216,1116,1657,2774,14,5,16,1225,1780,3008,587,545,1129,9848,7688,17535,103,61,163,10541,8294,18835,30,13,39,1388,653,2043,11,15,27,1433,676,2111,8,0,5,180,259,435,0,0,0,188,258,447,3,11,11,128,295,418,0,3,3,130,308,437,26,70,96,1019,2084,3105,3,12,14,1048,2160,3213,37,110,138,907,1720,2630,5,8,15,940,1837,2779,15,48,62,194,418,617,0,3,Lachlan Valley
10303,878,825,1704,16209,16171,32384,1914,1845,3764,19005,18849,37851,400,354,758,9119,7906,17024,99,78,184,9621,8339,17966,82,58,137,699,529,1234,6,3,13,788,589,1386,485,412,896,9818,8437,18258,110,87,193,10410,8935,19346,379,404,781,6153,7463,13618,109,131,239,6640,8002,14642,20,8,28,240,274,507,1696,1631,3331,1950,1915,3863,16.9,14.1,15.3,7.1,6.3,6.8,5.5,3.4,6.7,7.6,6.6,7.2,54.9,50.0,52.6,60.6,52.2,56.4,5.7,4.7,5.1,54.8,47.4,51.1,45.2,43.0,44.5,56.3,48.9,52.6,5.2,4.2,4.9,50.6,44.2,47.5,44,53,102,1019,1410,2431,10,11,17,1076,1477,2550,345,290,641,7999,6418,14421,93,61,156,8442,6779,15212,18,11,25,747,477,1220,11,0,9,775,492,1258,3,0,3,210,286,493,0,4,6,211,285,498,3,6,6,134,274,399,0,0,3,136,275,414,19,36,52,983,1719,2707,10,20,29,1014,1773,2790,30,58,86,902,1508,2411,11,11,22,945,1578,2521,14,30,42,182,361,542,6,3,Lithgow - Mudgee
