sa3_name16,sa3_code16,tot_m,tot_f,tot_p,age_0_4_yr_m,age_0_4_yr_f,age_0_4_yr_p,age_5_14_yr_m,age_5_14_yr_f,age_5_14_yr_p,age_15_19_yr_m,age_15_19_yr_f,age_15_19_yr_p,age_20_24_yr_m,age_20_24_yr_f,age_20_24_yr_p,age_25_34_yr_m,age_25_34_yr_f,age_25_34_yr_p,age_35_44_yr_m,age_35_44_yr_f,age_35_44_yr_p,age_45_54_yr_m,age_45_54_yr_f,age_45_54_yr_p,age_55_64_yr_m,age_55_64_yr_f,age_55_64_yr_p,age_65_74_yr_m,age_65_74_yr_f,age_65_74_yr_p,age_75_84_yr_m,age_75_84_yr_f,age_75_84_yr_p,age_85ov_m,age_85ov_f,age_85ov_p,os_vis_m,os_vis_f,os_vis_p,count_psns_occ_priv_dwgs_m,count_psns_occ_priv_dwgs_f,count_psns_occ_priv_dwgs_p,count_persons_other_dwgs_m,count_persons_other_dwgs_f,count_persons_other_dwgs_p,indig_aboriginal_m,indig_aboriginal_f,indig_aboriginal_p,indig_torres_strait_is_m,indig_torres_strait_is_f,indig_torres_strait_is_p,indig_bth_abor_torres_st_is_m,indig_bth_abor_torres_st_is_f,indig_bth_abor_torres_st_is_p,indig_tot_m,indig_tot_f,indig_tot_p,birthplace_australia_m,birthplace_australia_f,birthplace_australia_p,birthplace_elsewhere_m,birthplace_elsewhere_f,birthplace_elsewhere_p,lang_spoken_home_eng_only_m,lang_spoken_home_eng_only_f,lang_spoken_home_eng_only_p,lang_spoken_home_oth_lang_m,lang_spoken_home_oth_lang_f,lang_spoken_home_oth_lang_p,australian_citizen_m,australian_citizen_f,australian_citizen_p,att_educ_inst_age_0_4_m,att_educ_inst_age_0_4_f,att_educ_inst_age_0_4_p,att_educ_inst_age_5_14_m,att_educ_inst_age_5_14_f,att_educ_inst_age_5_14_p,att_edu_inst_age_15_19_m,att_edu_inst_age_15_19_f,att_edu_inst_age_15_19_p,att_edu_inst_age_20_24_m,att_edu_inst_age_20_24_f,att_edu_inst_age_20_24_p,att_edu_inst_age_25_ov_m,att_edu_inst_age_25_ov_f,att_edu_inst_age_25_ov_p,high_yr_schl_comp_yr_12_eq_m,high_yr_schl_comp_yr_12_eq_f,high_yr_schl_comp_yr_12_eq_p,high_yr_schl_comp_yr_11_eq_m,high_yr_schl_comp_yr_11_eq_f,high_yr_schl_comp_yr_11_eq_p,high_yr_schl_comp_yr_10_eq_m,high_yr_schl_comp_yr_10_eq_f,high_yr_schl_comp_yr_10_eq_p,high_yr_schl_comp_yr_9_eq_m,high_yr_schl_comp_yr_9_eq_f,high_yr_schl_comp_yr_9_eq_p,high_yr_schl_comp_yr_8_belw_m,high_yr_schl_comp_yr_8_belw_f,high_yr_schl_comp_yr_8_belw_p,no_schl_m,no_schl_f,no_schl_p
Queanbeyan,10102,29145,28573,57721,1984,1735,3720,3880,3672,7551,1885,1729,3617,1659,1682,3337,3904,4012,7917,4042,4058,8101,4654,4579,9229,3718,3535,7257,2246,2140,4387,911,995,1904,255,434,698,129,149,273,27909,27929,55834,1241,644,1889,837,849,1684,24,10,33,20,15,35,879,872,1751,21407,21240,42650,4864,4917,9774,23074,22827,45906,3363,3499,6865,24775,24633,49401,406,321,724,3500,3317,6815,1364,1272,2632,488,548,1039,880,1376,2255,11970,12926,24898,1524,1324,2849,4913,4595,9505,1286,1161,2448,912,843,1754,84,91,178
Snowy Mountains,10103,17365,15169,32532,737,670,1409,2127,1972,4102,962,783,1748,1277,1049,2327,2423,2016,4444,2290,2107,4400,2406,2234,4639,2443,1998,4442,1803,1459,3271,700,586,1284,185,289,474,418,341,760,11025,10527,21550,6339,4643,10981,301,224,520,11,15,27,3,0,5,312,239,550,12307,10771,23076,1997,1877,3874,13431,11946,25384,869,880,1750,13677,12164,25843,193,163,358,1764,1632,3399,527,455,985,166,187,358,303,556,858,6566,6295,12867,860,707,1565,2936,2362,5299,718,598,1316,445,355,806,39,26,60
South Coast,10104,34424,35862,70288,1515,1453,2964,3970,3696,7660,1797,1761,3556,1244,1180,2423,2507,2624,5138,3123,3497,6618,4416,4813,9228,6143,6632,12778,5844,5713,11553,2935,3042,5978,937,1461,2395,125,138,263,33227,34543,67770,1203,1319,2524,1458,1562,3023,23,22,46,34,26,61,1517,1609,3124,27069,28111,55184,4298,4560,8859,30706,31948,62648,1143,1311,2452,30723,32095,62817,388,353,742,3513,3284,6798,1151,1175,2328,189,231,418,439,1012,1448,10293,11818,22111,2414,2564,4976,8625,8729,17354,2647,2600,5241,1761,1579,3340,81,61,141
Goulburn - Mulwaree,10105,18176,17489,35672,1078,974,2055,2265,2054,4321,1071,997,2070,1056,824,1878,2145,2012,4165,2197,2008,4203,2519,2449,4971,2431,2450,4883,2043,1978,4025,1044,1162,2205,317,574,892,65,78,138,16742,16871,33610,1436,620,2055,662,605,1267,22,15,37,19,11,27,698,628,1333,15007,14443,29454,1754,1590,3344,15594,15527,31119,768,745,1512,15704,15651,31354,249,250,499,2043,1856,3897,686,652,1344,164,199,367,341,647,987,4862,5474,10332,944,981,1928,4560,4293,8852,1325,1268,2600,965,746,1710,90,53,143
Young - Yass,10106,17507,18028,35539,1156,1064,2214,2565,2455,5019,1093,1090,2181,824,867,1691,1574,1737,3310,2094,2253,4345,2472,2650,5115,2446,2356,4799,2049,1954,4008,946,1075,2023,295,533,830,41,53,101,17164,17638,34803,345,393,741,634,587,1219,13,16,32,6,9,14,654,608,1263,14791,15126,29916,1368,1538,2904,15739,16306,32048,633,609,1245,15984,16418,32400,285,270,556,2327,2260,4582,748,774,1516,173,229,404,273,690,957,5315,6452,11762,987,1083,2064,4026,3719,7741,1190,1079,2267,852,690,1540,62,49,112
Gosford,10201,81039,86638,167672,4974,4615,9584,10568,10113,20675,5141,5004,10146,4612,4268,8881,8716,9001,17723,9943,10577,20515,10903,11945,22854,10509,11612,22121,8810,9790,18601,4776,6158,10933,2089,3550,5636,342,455,802,79470,84649,164114,1570,1990,3562,2301,2303,4609,54,65,121,26,31,62,2389,2401,4791,62441,66117,128558,13637,14861,28497,71171,75320,146493,5305,6314,11619,71709,76451,148161,1316,1248,2562,9781,9399,19179,3782,3765,7548,1477,1535,3014,1860,3479,5338,29929,32823,62756,4789,4452,9237,18006,19865,37868,4958,5769,10731,2435,2780,5214,187,183,371
Wyong,10202,75988,81078,157069,4918,4687,9605,10694,9870,20562,4982,4832,9810,4594,4598,9195,8430,9069,17503,8955,9723,18679,9835,10498,20332,9243,10317,19566,7891,9005,16902,4712,5640,10353,1721,2840,4563,159,222,381,74700,79490,154195,1290,1585,2875,3679,3724,7407,85,91,173,56,79,139,3824,3888,7714,61989,65434,127420,9020,10018,19039,68250,72134,140382,3434,4038,7475,68302,72625,140923,1340,1269,2609,9838,9065,18905,3331,3351,6684,1069,1305,2381,1351,3045,4391,20203,23400,43601,4753,4621,9378,20643,21893,42529,5967,6712,12684,3269,3424,6700,248,187,439
Bathurst,10301,23399,23151,46546,1479,1375,2850,3217,2958,6180,1781,1738,3517,1943,1755,3693,3038,2630,5665,2709,2688,5402,2937,3006,5944,2749,2827,5570,2202,2255,4460,1001,1258,2254,342,661,1004,52,59,109,21278,21891,43169,2120,1254,3375,1249,1089,2338,25,30,53,24,27,54,1302,1150,2446,19423,19150,38568,2100,1961,4064,19780,20426,40206,973,956,1928,19880,20481,40364,349,332,681,2953,2719,5675,1253,1267,2520,606,755,1363,545,990,1542,6968,8567,15542,1285,1160,2451,5367,4965,10331,1425,1393,2815,914,774,1689,53,54,113
Lachlan Valley,10302,27489,27571,55060,1717,1703,3421,3777,3600,7376,1589,1571,3159,1442,1303,2750,2723,2793,5518,2883,2946,5826,3576,3564,7138,3880,3719,7598,3376,3159,6530,1897,2120,4016,634,1101,1731,64,84,143,26525,26669,53195,965,904,1864,2395,2487,4884,36,29,59,38,36,76,2465,2558,5021,23116,23142,46256,1394,1509,2898,24205,24338,48543,657,693,1352,24380,24482,48864,403,446,850,3333,3176,6511,951,1032,1983,157,249,407,305,774,1076,5969,7404,13378,1472,1629,3106,7404,6913,14319,2357,2088,4449,1895,1361,3256,97,48,150
Lithgow - Mudgee,10303,23442,22814,46256,1505,1425,2926,2996,2792,5788,1342,1196,2537,1215,1052,2266,2640,2438,5078,2589,2681,5272,3264,3176,6439,3233,3132,6371,2905,2718,5625,1372,1556,2929,386,653,1042,50,68,121,22400,22303,44703,1041,519,1560,1297,1212,2504,32,20,54,25,11,37,1350,1242,2596,18831,18187,37016,1909,1909,3816,19998,19731,39732,662,731,1392,20016,19795,39815,289,316,605,2614,2397,5007,847,777,1627,142,230,370,354,780,1136,5110,6379,11484,1356,1297,2657,6497,5659,12154,1754,1740,3490,1290,1068,2364,67,48,108
