sa3_name16,sa3_code16,ireland_2011,ireland_2012,ireland_2013,ireland_2014,ireland_2015,ireland_2016,ireland_yr_arrival_notstated,ireland_tot,italy_before_1946,italy_1946_1955,italy_1956_1965,italy_1966_1975,italy_1976_1985,italy_1986_1995,italy_1996_2005,italy_2006_2010,italy_2011,italy_2012,italy_2013,italy_2014,italy_2015,italy_2016,italy_yr_arrival_notstated,italy_tot,japan_before_1946,japan_1946_1955,japan_1956_1965,japan_1966_1975,japan_1976_1985,japan_1986_1995,japan_1996_2005,japan_2006_2010,japan_2011,japan_2012,japan_2013,japan_2014,japan_2015,japan_2016,japan_yr_arrival_notstated,japan_tot,korea_rep_sth_before_1946,korea_rep_sth_1946_1955,korea_rep_sth_1956_1965,korea_rep_sth_1966_1975,korea_rep_sth_1976_1985,korea_rep_sth_1986_1995,korea_rep_sth_1996_2005,korea_rep_sth_2006_2010,korea_republic_south_2011,korea_republic_south_2012,korea_republic_south_2013,korea_republic_south_2014,korea_republic_south_2015,korea_republic_south_2016,korea_repub_sth_arrival_notstated,korea_republic_south_tot,lebanon_before_1946,lebanon_1946_1955,lebanon_1956_1965,lebanon_1966_1975,lebanon_1976_1985,lebanon_1986_1995,lebanon_1996_2005,lebanon_2006_2010,lebanon_2011,lebanon_2012,lebanon_2013,lebanon_2014,lebanon_2015,lebanon_2016,lebanon_yr_arrival_notstated,lebanon_tot,malaysia_before_1946,malaysia_1946_1955,malaysia_1956_1965,malaysia_1966_1975,malaysia_1976_1985,malaysia_1986_1995,malaysia_1996_2005,malaysia_2006_2010,malaysia_2011,malaysia_2012,malaysia_2013,malaysia_2014,malaysia_2015,malaysia_2016,malaysia_yr_arrival_notstated,malaysia_tot,malta_before_1946,malta_1946_1955,malta_1956_1965,malta_1966_1975,malta_1976_1985,malta_1986_1995,malta_1996_2005,malta_2006_2010,malta_2011,malta_2012,malta_2013,malta_2014,malta_2015,malta_2016,malta_yr_arrival_notstated,malta_tot,netherlands_before_1946,netherlands_1946_1955,netherlands_1956_1965,netherlands_1966_1975,netherlands_1976_1985,netherlands_1986_1995,netherlands_1996_2005,netherlands_2006_2010,netherlands_2011,netherlands_2012,netherlands_2013,netherlands_2014,netherlands_2015,netherlands_2016,netherlands_yr_arrival_notstated,netherlands_tot,new_zealand_before_1946,new_zealand_1946_1955,new_zealand_1956_1965,new_zealand_1966_1975,new_zealand_1976_1985,new_zealand_1986_1995,new_zealand_1996_2005,new_zealand_2006_2010,new_zealand_2011,new_zealand_2012,new_zealand_2013,new_zealand_2014,new_zealand_2015,new_zealand_2016,new_zealand_yr_arrival_notstated,new_zealand_tot,pakistan_before_1946,pakistan_1946_1955,pakistan_1956_1965,pakistan_1966_1975,pakistan_1976_1985,pakistan_1986_1995,pakistan_1996_2005,pakistan_2006_2010,pakistan_2011,pakistan_2012,pakistan_2013,pakistan_2014,pakistan_2015,pakistan_2016,pakistan_yr_arrival_notstated,pakistan_tot,philippines_before_1946,philippines_1946_1955,philippines_1956_1965,philippines_1966_1975,philippines_1976_1985,philippines_1986_1995,philippines_1996_2005,philippines_2006_2010,philippines_2011,philippines_2012,philippines_2013,philippines_2014,philippines_2015,philippines_2016,philippines_yr_arrival_notstated,philippines_tot,poland_before_1946,poland_1946_1955,poland_1956_1965,poland_1966_1975,poland_1976_1985,poland_1986_1995,poland_1996_2005,poland_2006_2010,poland_2011,poland_2012,poland_2013,poland_2014,poland_2015,poland_2016,poland_yr_arrival_notstated,poland_tot,singapore_before_1946,singapore_1946_1955,singapore_1956_1965,singapore_1966_1975,singapore_1976_1985,singapore_1986_1995,singapore_1996_2005,singapore_2006_2010,singapore_2011,singapore_2012,singapore_2013,singapore_2014,singapore_2015,singapore_2016,singapore_yr_arrival_notstated,singapore_tot
Queanbeyan,10102,6,13,3,3,3,3,3,104,3,64,183,103,12,5,0,4,0,0,0,3,0,0,9,396,0,0,0,0,7,6,4,3,4,3,3,0,0,0,0,32,0,0,0,0,7,13,7,13,0,0,3,3,0,4,4,56,0,0,0,5,3,7,3,0,0,0,0,4,0,0,0,30,0,0,9,22,23,18,18,15,6,0,0,0,0,0,6,118,0,36,20,9,5,0,0,0,0,0,0,0,0,0,5,76,0,39,43,9,10,6,4,7,0,4,0,5,5,0,3,130,0,5,28,83,167,134,164,85,22,12,19,16,17,6,23,789,0,0,3,6,0,0,11,33,11,10,7,7,11,0,0,101,0,0,0,3,38,54,64,105,34,35,33,42,19,16,7,459,0,8,17,4,21,18,3,3,0,0,0,3,0,0,4,84,0,0,3,10,8,11,9,4,0,0,0,0,0,0,3,55
Snowy Mountains,10103,3,0,0,0,0,0,0,50,3,24,37,10,0,3,4,3,0,0,3,0,0,0,8,97,0,0,0,0,0,4,3,0,3,0,0,0,3,0,9,22,0,0,0,0,0,4,12,3,0,0,0,4,4,0,3,33,0,0,5,10,3,3,0,0,0,0,0,0,0,0,0,26,0,0,3,7,9,4,0,3,0,0,0,5,5,0,5,47,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,6,0,33,14,14,9,6,4,7,0,3,0,0,0,0,3,91,0,3,9,65,82,75,53,23,4,11,3,13,3,0,25,385,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,13,10,11,8,0,0,6,4,0,0,0,59,0,8,5,0,7,7,6,5,0,0,0,0,0,0,4,42,0,0,0,9,3,0,0,3,0,0,3,0,0,0,0,26
South Coast,10104,0,3,0,0,0,0,8,141,0,39,63,36,8,0,3,4,0,0,0,0,0,0,10,166,0,4,0,0,0,0,3,6,0,3,0,0,0,0,3,32,0,0,0,0,3,5,10,3,0,0,0,0,0,0,0,24,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,12,0,0,12,11,12,4,3,3,0,0,0,0,0,0,0,53,3,31,37,9,3,0,0,0,0,0,0,0,0,0,4,90,3,164,121,31,32,14,13,3,0,0,4,0,0,0,13,390,4,13,56,182,216,130,94,54,8,6,3,3,3,5,44,822,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,6,3,24,51,32,29,11,10,23,18,6,7,12,226,0,14,17,8,13,3,0,0,0,5,0,0,0,0,0,65,0,0,3,5,6,3,3,3,0,3,0,4,3,0,0,27
Goulburn - Mulwaree,10105,0,5,3,5,0,0,3,55,0,17,21,17,0,0,0,0,0,0,0,0,3,0,4,66,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,7,3,3,0,0,0,15,22,5,67,0,3,0,7,6,4,4,3,0,0,0,0,0,0,12,35,0,0,6,7,8,10,3,0,0,0,0,0,0,0,0,32,0,10,12,0,0,0,0,0,0,0,0,0,0,0,4,24,0,30,29,3,6,4,4,7,0,0,0,0,0,0,9,92,0,12,7,62,79,54,55,28,15,6,5,6,6,0,36,368,0,0,0,0,0,0,0,8,0,0,0,8,0,3,0,26,0,0,0,4,16,24,23,37,14,3,10,19,11,4,10,153,0,3,0,0,3,3,0,0,0,0,0,0,0,0,3,27,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,13
Young - Yass,10106,5,13,0,0,3,3,0,62,0,11,15,4,7,0,3,0,0,0,0,0,0,0,3,45,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,13,0,0,0,11,15,14,15,9,0,0,0,0,0,6,6,78,0,0,3,0,4,0,3,3,0,0,0,0,0,0,4,18,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,31,27,14,14,3,17,3,0,0,0,0,0,0,3,114,3,6,11,53,74,58,60,37,8,8,8,5,3,3,12,355,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,4,9,11,9,26,12,6,0,0,3,3,3,87,0,3,3,0,3,4,0,0,0,0,0,0,0,0,0,19,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,12
Gosford,10201,17,10,5,11,0,5,15,595,10,110,141,78,21,6,4,12,3,7,3,3,0,0,28,425,0,3,3,9,9,42,67,33,5,7,3,3,7,5,9,210,0,0,0,3,24,67,145,128,16,4,10,8,16,9,3,439,0,12,12,24,9,12,5,7,0,0,0,0,0,0,6,93,0,3,21,33,45,50,34,14,3,5,5,3,7,0,12,244,0,98,79,37,11,7,3,0,0,0,0,0,0,0,3,244,6,188,120,70,46,24,26,34,0,0,0,10,0,0,16,545,16,32,101,376,732,554,579,206,39,47,25,26,19,26,127,2899,0,0,3,4,0,7,13,11,0,3,4,4,7,3,8,69,0,0,11,28,119,251,154,141,12,35,54,38,37,13,40,936,0,17,19,11,69,39,29,19,6,0,9,0,3,0,5,228,0,0,6,18,19,11,31,18,0,3,12,3,3,5,3,136
Wyong,10202,15,23,8,3,0,3,17,432,7,108,156,112,11,11,8,11,0,0,0,0,0,0,21,445,0,0,3,3,12,8,28,5,0,0,3,4,4,0,0,67,0,0,0,0,17,34,38,29,10,0,7,0,3,0,3,141,0,6,7,32,17,14,11,0,0,0,0,0,0,0,3,93,0,0,14,25,22,24,18,25,6,3,3,5,9,6,18,175,0,161,139,53,7,4,3,3,0,0,0,0,0,0,16,395,0,141,153,54,28,11,23,3,6,0,3,0,0,0,21,451,14,27,88,284,612,530,468,203,41,41,15,27,35,14,109,2504,0,0,0,3,7,9,6,16,4,0,4,3,7,9,0,73,0,0,4,24,106,233,145,112,27,32,30,31,16,16,29,810,0,15,17,9,33,14,7,9,0,0,0,0,0,0,0,100,0,0,4,19,9,8,7,0,0,3,0,3,0,0,7,63
Bathurst,10301,3,5,3,3,0,0,6,75,5,13,21,11,0,0,0,0,0,0,0,0,0,0,7,61,0,0,3,3,0,7,13,0,0,0,0,4,0,0,0,29,0,0,0,0,0,4,0,5,0,0,0,0,0,3,9,31,0,0,0,13,3,8,0,0,0,0,0,0,0,0,12,37,0,0,3,7,7,4,10,3,3,0,0,0,0,0,3,45,0,6,8,3,0,0,3,0,0,0,0,0,0,0,0,23,0,39,30,11,20,6,5,0,0,0,0,0,0,0,0,119,3,3,10,59,91,94,97,62,10,11,15,7,10,5,54,526,0,0,0,0,0,5,0,14,3,0,0,0,0,0,0,23,0,0,0,0,14,20,27,19,12,11,14,5,17,7,14,161,0,7,7,0,3,3,0,0,0,0,0,0,0,0,3,17,0,0,0,3,0,0,5,3,0,0,0,0,0,0,3,22
Lachlan Valley,10302,0,3,0,0,0,0,0,50,0,10,10,11,0,0,3,0,0,0,0,3,7,0,4,44,0,5,0,0,0,0,4,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,3,0,0,0,3,3,0,0,15,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,3,6,3,4,0,5,3,0,0,0,0,3,3,29,0,15,4,0,4,0,0,0,0,0,0,0,0,0,0,26,0,54,34,7,4,0,0,0,0,0,0,0,0,0,10,104,3,3,13,45,75,63,54,36,10,10,0,4,0,0,20,343,0,0,0,0,0,0,4,7,4,0,0,0,0,0,0,15,0,0,0,0,10,21,25,34,11,27,23,23,11,5,13,205,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11
Lithgow - Mudgee,10303,3,3,5,0,0,0,0,63,0,12,26,17,4,3,0,0,0,0,0,0,0,0,11,80,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,8,0,0,0,0,3,0,3,0,0,0,7,0,0,0,3,16,0,0,0,3,0,0,8,0,0,0,0,0,0,0,6,18,0,0,3,5,10,3,10,0,0,0,0,0,0,0,4,43,0,10,12,5,0,0,0,0,0,0,0,0,0,0,3,35,0,43,39,20,6,5,0,0,0,0,0,0,0,0,3,125,3,6,20,68,118,66,50,42,4,17,5,3,8,3,35,449,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,16,43,39,29,0,7,9,13,14,0,13,181,0,9,11,3,3,0,0,0,0,0,0,0,0,0,4,35,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,7
Orange,10304,5,3,0,0,3,0,0,64,0,23,42,34,4,6,0,0,0,0,3,0,0,0,5,111,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,18,0,0,0,0,0,10,17,12,0,0,9,4,4,0,0,71,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,13,0,0,3,14,10,3,6,6,0,0,0,0,0,0,0,47,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,51,30,15,5,3,7,0,0,0,0,0,0,0,0,115,0,6,25,66,113,87,79,58,16,22,11,10,3,6,29,530,0,0,0,0,0,0,5,10,4,5,0,0,4,7,0,37,0,0,0,3,25,37,33,54,6,18,13,7,15,0,12,218,0,17,3,0,9,3,3,3,0,0,0,0,0,0,3,42,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,20
Clarence Valley,10401,0,3,0,0,0,0,3,41,0,14,15,8,0,0,10,0,0,0,0,0,0,0,0,44,0,7,0,0,3,0,8,5,0,3,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,12,0,0,0,0,0,0,0,0,0,3,0,33,0,7,7,3,0,0,0,0,0,0,0,0,0,0,3,28,0,87,41,23,17,5,0,11,0,0,0,0,0,0,4,184,4,8,24,109,161,117,68,22,7,11,0,10,6,0,40,584,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,10,0,0,0,3,16,32,23,25,14,13,9,6,5,6,8,151,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,9,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,8
Coffs Harbour,10402,14,12,0,0,0,0,3,191,0,45,40,17,4,4,0,8,0,0,0,3,4,0,12,149,0,0,0,3,0,7,17,15,8,8,0,4,8,4,6,73,0,0,0,0,0,7,17,3,0,3,0,3,10,7,9,62,0,3,3,8,3,0,0,0,0,0,0,0,0,3,0,22,0,3,7,21,16,13,7,13,0,4,5,16,15,7,11,144,0,30,17,0,0,0,0,0,0,0,0,0,0,0,3,55,3,118,82,40,30,3,17,14,0,0,0,0,0,0,9,326,5,13,61,175,329,218,196,97,19,26,19,11,18,10,47,1250,0,3,0,0,0,7,0,3,0,3,7,18,9,8,0,67,0,0,0,3,35,67,59,51,15,16,19,26,17,5,23,333,0,6,10,8,14,10,4,8,0,0,0,0,3,0,3,64,0,0,0,8,3,0,4,4,0,3,3,3,0,0,3,32
