sa3_name16,sa3_code16,p_sol_sp_en_t_2006_2010,p_sol_sp_en_t_2011,p_sol_sp_en_t_2012,p_sol_sp_en_t_2013,p_sol_sp_en_t_2014,p_sol_sp_en_t_2015,p_sol_sp_en_t_2016,p_sol_sp_en_t_yr_arr_ns,p_sol_sp_en_t_t,p_lanprof_en_ns_bef_2000,p_lanprof_en_ns_2000_2005,p_lanprof_en_ns_2006_2010,p_lanprof_en_ns_2011,p_lanprof_en_ns_2012,p_lanprof_en_ns_2013,p_lanprof_en_ns_2014,p_lanprof_en_ns_2015,p_lanprof_en_ns_2016,p_lanprof_en_ns_yr_arr_ns,p_lanprof_en_ns_t,p_t_b_2000,p_t_2000_2005,p_t_2006_2010,p_t_2011,p_t_2012,p_t_2013,p_t_2014,p_t_2015,p_t_2016,p_t_yr_arrival_ns,p_t_t
Queanbeyan,10102,1003,190,170,197,263,235,131,128,4845,11,0,0,0,0,0,0,0,3,16,37,5640,762,1425,280,261,272,344,319,161,302,9774
Snowy Mountains,10103,144,17,31,44,54,87,19,63,1163,6,0,0,0,0,0,3,0,0,76,84,2568,292,331,47,64,77,86,113,42,255,3874
South Coast,10104,170,38,53,48,44,30,34,72,1756,18,0,0,0,0,0,0,0,0,13,31,7167,433,419,78,102,102,81,52,51,371,8859
Goulburn - Mulwaree,10105,239,47,47,35,69,85,55,62,1140,9,0,0,0,0,0,0,0,0,125,133,2008,178,400,76,71,54,92,113,59,278,3344
Young - Yass,10106,113,26,18,26,21,23,17,29,748,3,0,0,0,0,0,0,0,0,9,17,1997,250,249,64,57,52,38,46,31,122,2904
Gosford,10201,1558,285,311,294,285,262,163,256,8346,40,0,4,0,0,0,3,0,0,80,130,17875,3083,3476,632,648,552,530,473,284,946,28497
Wyong,10202,779,182,186,176,153,142,80,187,5367,24,0,0,0,0,0,0,0,0,44,75,13736,1404,1576,313,332,292,274,242,135,737,19039
Bathurst,10301,273,62,64,49,68,79,51,31,1312,3,0,0,0,0,0,0,0,0,188,201,2357,347,465,105,104,106,95,109,72,306,4064
Lachlan Valley,10302,210,46,96,42,74,35,17,40,942,9,0,0,0,0,0,0,0,0,5,16,1772,216,328,69,136,65,98,49,28,127,2898
Lithgow - Mudgee,10303,155,26,44,23,26,38,19,57,988,14,0,0,0,0,0,0,0,0,137,153,2660,245,306,46,80,42,48,62,27,303,3816
Orange,10304,494,116,185,110,91,80,62,65,2000,8,0,0,0,0,0,0,0,0,0,12,2621,441,724,156,260,180,128,112,82,194,4886
Clarence Valley,10401,150,16,31,20,40,27,22,32,771,10,0,0,0,0,0,0,0,0,34,41,2902,227,293,59,77,57,77,66,37,200,3995
Coffs Harbour,10402,882,134,246,288,331,316,214,192,4283,27,3,0,0,0,0,0,0,0,26,57,7052,918,1471,269,373,386,398,418,268,482,12027
Bourke - Cobar - Coonamble,10501,159,27,43,41,33,17,7,26,615,7,0,0,0,0,0,0,0,0,4,12,866,83,247,54,59,50,47,30,17,74,1525
Broken Hill and Far West,10502,76,14,28,20,15,28,11,10,347,0,0,3,0,0,0,0,0,0,29,28,569,66,134,23,38,37,25,34,15,56,1002
Dubbo,10503,678,111,140,152,120,153,110,81,2161,5,0,0,0,0,0,0,0,0,101,110,2231,344,827,161,186,187,154,185,125,273,4678
Lower Hunter,10601,306,61,74,43,61,58,20,52,1332,3,0,0,0,0,0,0,0,0,105,115,3663,478,694,150,153,92,114,81,35,349,5791
Maitland,10602,552,97,116,101,88,65,34,43,2029,7,0,0,0,0,0,0,0,0,19,33,3294,590,924,197,170,170,154,121,59,168,5850
Port Stephens,10603,283,38,33,39,51,52,27,59,1708,10,0,0,0,0,0,0,0,0,5,23,5685,582,798,154,120,114,115,100,62,300,8022
Upper Hunter,10604,199,37,70,70,51,85,21,25,781,3,3,0,0,0,0,0,0,0,96,103,1066,162,369,86,97,127,78,125,48,182,2337
Dapto - Port Kembla,10701,564,91,133,191,220,108,109,356,8147,29,3,0,0,0,0,0,0,0,29,60,12018,740,896,145,190,274,259,150,137,683,15492
Illawarra Catchment Reserve,10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiama - Shellharbour,10703,442,60,103,72,89,93,53,277,5070,30,0,3,0,0,0,0,0,0,17,50,10945,779,927,171,200,161,163,165,67,619,14205
Wollongong,10704,1824,452,674,959,1258,1348,965,624,15860,32,0,6,0,0,0,0,0,0,32,71,15371,2098,2754,669,914,1178,1482,1553,1100,1030,28147
Great Lakes,10801,77,20,24,28,15,23,17,20,630,10,0,0,0,0,0,0,0,0,10,20,2519,196,169,38,43,39,23,39,19,149,3223
Kempsey - Nambucca,10802,95,24,27,28,42,42,32,27,735,8,0,0,0,0,0,0,0,0,48,55,2948,195,203,46,59,45,60,72,44,225,3890
Lord Howe Island,10803,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,3,47,4,4,5,3,3,0,0,0,8,75
Port Macquarie,10804,304,78,76,79,58,56,30,77,1777,34,3,0,0,0,0,0,0,0,18,54,6409,696,778,142,160,185,137,113,66,401,9090
Taree - Gloucester,10805,187,32,42,17,42,29,21,39,961,13,0,0,0,0,0,0,0,0,23,34,3397,305,338,60,64,39,58,47,24,196,4519
Albury,10901,775,217,195,149,161,149,80,71,2732,11,0,0,0,0,3,0,0,0,9,23,3218,450,1059,276,265,187,207,190,117,206,6164
Lower Murray,10902,61,6,16,13,26,15,4,17,310,4,0,0,0,0,0,0,0,0,0,8,544,53,109,16,22,25,34,25,19,36,885
Upper Murray exc. Albury,10903,170,26,63,39,76,89,46,53,861,10,0,0,0,0,0,0,0,0,6,13,1842,176,279,61,106,60,99,118,60,176,2982
Armidale,11001,352,70,93,134,225,344,204,86,1983,3,0,0,0,0,0,0,0,0,3,3,1802,349,556,109,148,174,256,383,222,162,4161
Inverell - Tenterfield,11002,140,38,53,38,48,51,15,43,690,3,0,0,0,0,0,0,0,0,25,30,1502,203,241,58,75,56,63,61,16,152,2428
Moree - Narrabri,11003,139,28,26,49,30,31,14,22,564,5,0,0,0,0,0,0,0,0,6,11,721,101,216,59,43,73,42,55,22,57,1385
