sa3_name16,sa3_code16,buddhism_m,buddhism_f,buddhism_p,christianity_anglican_m,christianity_anglican_f,christianity_anglican_p,christianity_asyrin_apstlic_m,christianity_asyrin_apstlic_f,christianity_asyrin_apstlic_p,christianity_baptist_m,christianity_baptist_f,christianity_baptist_p,christianity_brethren_m,christianity_brethren_f,christianity_brethren_p,christianity_catholic_m,christianity_catholic_f,christianity_catholic_p,christianity_church_christ_m,christianity_church_christ_f,christianity_church_christ_p,christianity_eastrn_orthdox_m,christianity_eastrn_orthdox_f,christianity_eastrn_orthdox_p,christinty_jehvahs_witnses_m,christinty_jehvahs_witnses_f,christinty_jehvahs_witnses_p,christianity_lattr_day_snts_m,christianity_lattr_day_snts_f,christianity_lattr_day_snts_p,christianity_lutheran_m,christianity_lutheran_f,christianity_lutheran_p,christianity_orintal_orthdx_m,christianity_orintal_orthdx_f,christianity_orintal_orthdx_p,christianity_othr_protestnt_m,christianity_othr_protestnt_f,christianity_othr_protestnt_p,christianity_pentecostal_m,christianity_pentecostal_f,christianity_pentecostal_p,christinty_prsbytrin_refrmd_m,christinty_prsbytrin_refrmd_f,christinty_prsbytrin_refrmd_p,christianity_salvation_army_m,christianity_salvation_army_f,christianity_salvation_army_p,christnty_sevnth_dy_advntst_m,christnty_sevnth_dy_advntst_f,christnty_sevnth_dy_advntst_p,christianity_uniting_church_m,christianity_uniting_church_f,christianity_uniting_church_p,christianity_christian_nfd_m,christianity_christian_nfd_f,christianity_christian_nfd_p,christianity_othr_christian_m,christianity_othr_christian_f,christianity_othr_christian_p,christianity_tot_m,christianity_tot_f,christianity_tot_p,hinduism_m,hinduism_f,hinduism_p,islam_m,islam_f,islam_p,judaism_m,judaism_f,judaism_p,othr_rel_aust_abor_trad_rel_m,othr_rel_aust_abor_trad_rel_f,othr_rel_aust_abor_trad_rel_p,othr_rel_sikhism_m,othr_rel_sikhism_f,othr_rel_sikhism_p,othr_reln_other_reln_groups_m,othr_reln_other_reln_groups_f,othr_reln_other_reln_groups_p,other_religions_tot_m,other_religions_tot_f,other_religions_tot_p,sb_osb_nra_nr_m,sb_osb_nra_nr_f,sb_osb_nra_nr_p,sb_osb_nra_sb_m,sb_osb_nra_sb_f,sb_osb_nra_sb_p,sb_osb_nra_osb_m,sb_osb_nra_osb_f,sb_osb_nra_osb_p,sb_osb_nra_tot_m,sb_osb_nra_tot_f,sb_osb_nra_tot_p,religious_affiliation_ns_m,religious_affiliation_ns_f,religious_affiliation_ns_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p
Queanbeyan,10102,216,271,482,4370,4941,9313,0,0,0,232,237,465,85,74,161,7389,7892,15282,13,15,26,756,685,1443,54,74,132,53,32,82,140,173,319,17,9,24,96,103,204,189,251,440,555,616,1168,51,61,117,38,38,75,649,809,1459,662,682,1338,16,27,42,15371,16705,32079,357,323,681,341,301,644,19,14,33,7,11,15,232,198,434,68,108,181,309,318,628,8792,7559,16353,102,80,183,41,58,98,8935,7692,16632,3474,2792,6267,129,149,273,29145,28573,57721
Snowy Mountains,10103,115,174,291,2843,2842,5687,0,0,0,260,217,482,3,0,5,3342,3226,6566,3,6,11,124,104,235,38,60,102,6,15,25,107,118,223,9,4,12,26,23,48,81,69,153,391,372,766,29,28,48,34,41,76,466,476,940,233,254,489,5,9,12,8016,7860,15878,24,16,31,55,44,94,43,39,75,3,3,8,9,3,13,34,51,85,43,59,98,5356,4206,9565,58,48,111,18,27,47,5440,4286,9725,3220,2358,5575,418,341,760,17365,15169,32532
South Coast,10104,244,411,659,7186,8353,15540,0,0,0,352,373,721,0,3,3,6728,7230,13953,17,21,40,162,154,317,190,272,466,52,52,103,129,165,289,9,3,14,79,98,179,148,176,321,988,1152,2144,90,103,195,69,102,168,1057,1476,2536,583,700,1286,31,27,56,17868,20459,38331,65,63,125,45,30,74,25,29,53,16,23,39,7,9,22,103,150,256,130,181,313,12155,10916,23064,125,97,225,77,108,183,12349,11117,23472,3578,3422,7000,125,138,263,34424,35862,70288
Goulburn - Mulwaree,10105,103,147,253,4469,4811,9278,0,0,0,183,197,375,64,60,125,5055,5232,10288,3,3,10,125,92,215,30,49,84,21,38,55,45,41,82,10,4,12,32,29,61,66,73,136,427,399,827,40,61,98,37,58,99,729,780,1507,244,244,491,18,19,37,11599,12195,23790,66,58,125,63,57,119,8,3,13,0,0,0,24,25,46,41,48,85,69,67,140,3890,3301,7194,48,42,95,21,32,49,3958,3377,7337,2238,1510,3751,65,78,138,18176,17489,35672
Young - Yass,10106,62,95,155,4078,4445,8523,0,0,0,188,193,380,48,54,104,5240,5543,10780,3,3,3,61,73,135,39,52,89,4,0,5,90,99,187,0,0,0,30,48,81,77,67,147,469,515,980,47,58,110,42,42,77,747,851,1598,308,337,643,7,10,20,11483,12389,23874,25,16,44,155,170,326,11,13,21,0,3,3,8,4,14,58,51,107,65,58,126,4083,3728,7810,43,31,79,13,33,43,4139,3792,7930,1530,1437,2963,41,53,101,17507,18028,35539
Gosford,10201,753,1171,1921,15870,18913,34781,3,8,10,1348,1533,2878,89,107,197,18482,21031,39512,140,178,313,601,605,1204,265,346,611,164,191,355,210,266,478,69,58,127,919,987,1902,851,1087,1940,2017,2389,4406,159,226,383,381,439,820,2500,3269,5766,1866,2173,4037,103,124,228,46032,53929,99955,354,344,699,299,275,579,103,147,250,16,13,28,79,61,141,164,262,426,260,333,592,25718,22811,48529,291,245,534,146,213,363,26156,23268,49425,6737,6717,13447,342,455,802,81039,86638,167672
Wyong,10202,512,750,1261,17531,20589,38120,9,7,12,1207,1454,2663,22,21,43,19059,21674,40731,44,62,108,477,463,942,307,415,721,213,213,431,126,146,268,45,31,75,552,616,1163,690,820,1508,1884,2200,4091,227,283,508,270,302,575,1988,2554,4538,1384,1584,2967,61,75,137,46089,53508,99591,225,228,449,244,206,448,50,62,108,28,24,53,52,48,108,181,265,441,267,336,599,22124,19256,41378,215,139,351,102,149,247,22435,19545,41984,6007,6233,12239,159,222,381,75988,81078,157069
Bathurst,10301,142,190,332,4074,4709,8779,0,0,0,263,297,567,89,72,163,6935,7566,14497,16,28,44,100,91,187,69,66,135,35,36,68,52,58,112,8,10,13,73,73,154,136,152,285,880,953,1833,58,60,113,45,68,118,794,936,1732,336,370,710,14,14,24,13991,15547,29535,111,100,210,108,82,191,4,13,22,6,10,18,36,30,64,54,59,111,96,102,197,5609,4789,10401,68,47,117,27,31,59,5701,4867,10570,3192,2195,5380,52,59,109,23399,23151,46546
Lachlan Valley,10302,108,105,207,6789,7221,14008,0,0,0,409,427,840,188,191,381,7651,7926,15579,3,7,6,46,52,101,84,115,203,38,39,79,123,134,260,14,17,36,66,82,149,253,278,539,1329,1404,2733,79,114,194,34,42,78,1569,1684,3253,546,634,1179,13,16,27,19258,20398,39660,59,52,106,36,24,58,3,5,6,15,10,22,17,14,25,31,47,74,55,64,123,4862,3996,8856,29,23,53,16,18,27,4903,4037,8942,3016,2802,5816,64,84,143,27489,27571,55060
Lithgow - Mudgee,10303,109,171,280,5482,5762,11250,0,0,3,263,280,538,79,69,146,5555,5803,11357,6,4,16,73,57,136,84,128,214,31,37,66,30,48,76,7,3,15,73,68,141,161,187,346,860,954,1810,62,70,137,36,44,79,985,1137,2129,339,390,730,11,9,22,14128,15066,29186,60,43,101,33,30,70,12,10,18,0,0,4,12,17,31,40,72,115,58,91,146,5656,4622,10278,42,32,74,25,29,54,5724,4691,10413,3267,2658,5921,50,68,121,23442,22814,46256
