gml_id,sa3_name16,sa3_code16,p_650_799_15_19_yrs,p_650_799_20_24_yrs,p_650_799_25_34_yrs,p_650_799_35_44_yrs,p_650_799_45_54_yrs,p_650_799_55_64_yrs,p_650_799_65_74_yrs,p_650_799_75_84_yrs,p_650_799_85ov,p_650_799_tot,p_800_999_15_19_yrs,p_800_999_20_24_yrs,p_800_999_25_34_yrs,p_800_999_35_44_yrs,p_800_999_45_54_yrs,p_800_999_55_64_yrs,p_800_999_65_74_yrs,p_800_999_75_84_yrs,p_800_999_85ov,p_800_999_tot,p_1000_1249_15_19_yrs,p_1000_1249_20_24_yrs,p_1000_1249_25_34_yrs,p_1000_1249_35_44_yrs,p_1000_1249_45_54_yrs,p_1000_1249_55_64_yrs,p_1000_1249_65_74_yrs,p_1000_1249_75_84_yrs,p_1000_1249_85ov,p_1000_1249_tot,p_1250_1499_15_19_yrs,p_1250_1499_20_24_yrs,p_1250_1499_25_34_yrs,p_1250_1499_35_44_yrs,p_1250_1499_45_54_yrs,p_1250_1499_55_64_yrs,p_1250_1499_65_74_yrs,p_1250_1499_75_84_yrs,p_1250_1499_85ov,p_1250_1499_tot,p_1500_1749_15_19_yrs,p_1500_1749_20_24_yrs,p_1500_1749_25_34_yrs,p_1500_1749_35_44_yrs,p_1500_1749_45_54_yrs,p_1500_1749_55_64_yrs,p_1500_1749_65_74_yrs,p_1500_1749_75_84_yrs,p_1500_1749_85ov,p_1500_1749_tot,p_1750_1999_15_19_yrs,p_1750_1999_20_24_yrs,p_1750_1999_25_34_yrs,p_1750_1999_35_44_yrs,p_1750_1999_45_54_yrs,p_1750_1999_55_64_yrs,p_1750_1999_65_74_yrs,p_1750_1999_75_84_yrs,p_1750_1999_85ov,p_1750_1999_tot,p_2000_2999_15_19_yrs,p_2000_2999_20_24_yrs,p_2000_2999_25_34_yrs,p_2000_2999_35_44_yrs,p_2000_2999_45_54_yrs,p_2000_2999_55_64_yrs,p_2000_2999_65_74_yrs,p_2000_2999_75_84_yrs,p_2000_2999_85ov,p_2000_2999_tot,p_3000_more_15_19_yrs,p_3000_more_20_24_yrs,p_3000_more_25_34_yrs,p_3000_more_35_44_yrs,p_3000_more_45_54_yrs,p_3000_more_55_64_yrs,p_3000_more_65_74_yrs,p_3000_more_75_84_yrs,p_3000_more_85ov,p_3000_more_tot,p_pi_ns_15_19_yrs,p_pi_ns_ns_20_24_yrs,p_pi_ns_ns_25_34_yrs,p_pi_ns_ns_35_44_yrs,p_pi_ns_ns_45_54_yrs,p_pi_ns_ns_55_64_yrs,p_pi_ns_ns_65_74_yrs,p_pi_ns_ns_75_84_yrs,p_pi_ns_ns_85_yrs_ovr,p_pi_ns_ns_tot,p_os_vis_15_19_yr,p_os_vis_20_24_yr,p_os_vis_25_34_yr,p_os_vis_35_44_yr,p_os_vis_45_54_yr,p_os_vis_55_64_yr,p_os_vis_65_74_yr,p_os_vis_75_84_yr,p_os_vis_85_yr_over,p_os_vis_tot,p_tot_15_19_yrs,p_tot_20_24_yrs,p_tot_25_34_yrs,p_tot_35_44_yrs,p_tot_45_54_yrs,p_tot_55_64_yrs,p_tot_65_74_yrs,p_tot_75_84_yrs,p_tot_85ov,p_tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77f7,Queanbeyan,"10102","98","409","652","494","525","498","321","125","40","3167","70","474","866","672","749","620","308","84","21","3873","28","392","1089","798","974","751","311","72","17","4424","7","194","966","818","840","603","159","34","9","3612","3","72","760","895","884","539","132","19","4","3308","0","24","427","635","672","358","77","13","3","2214","0","17","532","1252","1416","669","113","23","7","4022","0","5","115","427","729","381","72","17","3","1750","390","307","763","726","818","725","561","298","190","4779","40","28","50","31","21","45","19","5","0","247","3617","3337","7917","8101","9229","7257","4387","1904","698","46453"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77f6,Snowy Mountains,"10103","77","350","390","298","366","329","211","77","23","2131","26","281","509","342","369","392","237","62","19","2233","8","166","506","369","435","381","190","52","11","2111","4","65","344","293","339","263","133","26","9","1482","0","39","268","308","299","229","108","26","5","1278","0","10","173","253","224","180","78","9","4","932","3","15","217","402","403","307","128","21","3","1496","3","8","83","377","374","330","152","25","8","1363","290","370","743","808","724","672","529","214","121","4464","79","199","320","44","57","24","3","4","0","728","1748","2327","4444","4400","4639","4442","3271","1284","474","27023"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77f5,South Coast,"10104","80","368","671","733","984","1097","895","414","138","5372","35","240","639","743","1040","1184","667","257","97","4904","11","119","555","693","939","1051","566","184","70","4200","3","49","344","435","559","652","268","69","48","2418","0","20","187","294","464","470","156","41","20","1667","0","10","123","223","318","299","104","29","15","1124","0","3","99","246","361","341","138","40","25","1257","4","6","47","112","152","190","105","34","25","674","486","228","424","546","770","1045","1097","924","648","6163","40","16","28","33","40","38","26","10","4","236","3556","2423","5138","6618","9228","12778","11553","5978","2395","59665"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77f4,Goulburn - Mulwaree,"10105","46","263","465","363","444","400","291","147","40","2456","35","244","495","406","521","423","210","78","20","2435","11","150","503","454","511","452","204","48","24","2354","3","74","284","315","361","279","90","13","6","1429","0","23","258","311","296","265","64","23","11","1246","0","12","183","257","263","218","28","3","4","972","3","12","169","306","349","229","67","20","6","1151","5","4","27","87","124","106","49","27","3","430","275","231","500","465","508","414","456","424","266","3546","16","19","31","8","9","18","20","0","0","129","2070","1878","4165","4203","4971","4883","4025","2205","892","29293"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77f3,Young - Yass,"10106","76","261","361","363","458","356","289","113","49","2328","31","200","445","414","498","466","261","70","26","2406","10","166","378","451","502","411","217","57","30","2211","3","70","309","313","350","276","114","35","7","1474","0","28","222","353","396","274","89","23","3","1395","0","9","128","264","271","190","69","4","3","940","0","10","136","460","522","251","74","23","3","1481","0","8","31","178","279","179","75","32","3","793","298","130","238","291","359","398","417","309","191","2627","9","9","31","6","6","14","9","5","0","98","2181","1691","3310","4345","5115","4799","4008","2023","830","28303"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77f2,Gosford,"10201","179","1183","1796","1594","1820","1809","1515","695","314","10912","75","952","2276","1971","2320","2097","1059","414","191","11361","29","617","2299","2156","2464","2200","956","315","152","11183","10","230","1639","1672","1764","1353","487","134","62","7357","4","93","1326","1588","1733","1233","352","97","41","6469","0","23","735","1317","1338","946","222","59","31","4675","0","26","746","1940","1939","1218","301","84","26","6288","7","24","228","888","1056","716","228","107","51","3311","852","609","1119","1184","1343","1354","1406","1417","1345","10631","89","57","104","95","102","118","92","39","11","695","10146","8881","17723","20515","22854","22121","18601","10933","5636","137412"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77f1,Wyong,"10202","185","1343","2044","1799","2007","1660","1103","593","217","10951","89","1099","2352","2092","2343","1871","784","296","121","11059","29","603","2249","2168","2265","1821","660","214","100","10107","8","215","1454","1580","1489","1098","278","47","27","6193","3","104","1039","1288","1275","849","205","47","14","4823","0","35","538","918","967","589","86","21","14","3163","4","16","522","1180","1165","665","120","41","11","3723","11","32","122","337","471","334","107","57","27","1492","854","640","1073","1129","1354","1425","1613","1569","1188","10850","32","35","58","29","39","74","48","22","10","348","9810","9195","17503","18679","20332","19566","16902","10353","4563","126895"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77f0,Bathurst,"10301","57","383","613","477","500","449","312","138","50","2969","31","319","677","540","640","555","253","78","32","3129","10","197","681","570","650","528","235","77","28","2964","4","96","472","433","488","392","121","33","4","2048","0","37","323","407","471","363","90","25","10","1728","0","19","187","373","339","250","53","15","8","1240","0","8","233","394","461","300","52","8","3","1465","3","3","55","122","171","145","41","15","8","553","502","659","749","594","581","499","493","350","222","4655","6","15","21","11","15","12","12","3","0","97","3517","3693","5665","5402","5944","5570","4460","2254","1004","37507"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77ef,Lachlan Valley,"10302","80","422","592","591","673","653","464","242","91","3811","37","313","604","633","799","683","316","113","55","3554","4","218","599","565","662","644","283","129","43","3150","3","105","413","380","455","353","121","44","8","1884","3","56","307","337","365","313","75","31","13","1495","0","18","165","264","243","207","73","15","8","996","0","9","224","321","355","244","61","10","6","1236","3","5","56","126","176","140","75","42","11","628","471","280","550","597","757","817","922","717","382","5491","9","27","31","21","5","21","10","8","3","130","3159","2750","5518","5826","7138","7598","6530","4016","1731","44269"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77ee,Lithgow - Mudgee,"10303","64","310","458","406","493","453","359","150","37","2735","32","271","489","424","501","488","273","99","33","2614","8","162","456","405","563","479","198","83","29","2384","3","75","310","299","385","305","103","24","6","1509","3","38","230","269","303","246","52","21","4","1162","0","25","170","247","293","183","34","9","3","965","0","36","387","476","494","273","41","14","4","1732","5","10","133","202","223","168","56","16","13","824","437","310","705","686","778","787","824","488","182","5197","8","12","20","7","10","15","13","5","0","94","2537","2266","5078","5272","6439","6371","5625","2929","1042","37545"
