gml_id,sa3_name16,sa3_code16,m_15_19_yr_volunteer,m_15_19_yr_not_a_voluntr,m_15_19_yr_voluntary_work_ns,m_15_19_yr_oseas_visitors,m_15_19_yr_total,m_20_24_yr_volunteer,m_20_24_yr_not_a_voluntr,m_20_24_yr_voluntary_work_ns,m_20_24_yr_oseas_visitors,m_20_24_yr_total,m_25_34_yr_volunteer,m_25_34_yr_not_a_voluntr,m_25_34_yr_voluntary_work_ns,m_25_34_yr_oseas_visitors,m_25_34_yr_total,m_35_44_yr_volunteer,m_35_44_yr_not_a_voluntr,m_35_44_yr_voluntary_work_ns,m_35_44_yr_oseas_visitors,m_35_44_yr_total,m_45_54_yr_volunteer,m_45_54_yr_not_a_voluntr,m_45_54_yr_voluntary_work_ns,m_45_54_yr_oseas_visitors,m_45_54_yr_total,m_55_64_yr_volunteer,m_55_64_yr_not_a_voluntr,m_55_64_yr_voluntary_work_ns,m_55_64_yr_oseas_visitors,m_55_64_yr_total,m_65_74_yr_volunteer,m_65_74_yr_not_a_voluntr,m_65_74_yr_voluntary_work_ns,m_65_74_yr_oseas_visitors,m_65_74_yr_total,m_75_84_yr_volunteer,m_75_84_yr_not_a_voluntr,m_75_84_yr_voluntary_work_ns,m_75_84_yr_oseas_visitors,m_75_84_yr_total,m_85_yr_over_volunteer,m_85_yr_over_not_a_voluntr,m_85_yr_over_voluntary_wk_ns,m_85yr_over_oseas_visitors,m_85_yr_over_tot,m_tot_volunteer,m_tot_not_a_voluntr,m_tot_voluntary_work_ns,m_tot_overseas_visitors,m_tot_tot,f_15_19_yr_volunteer,f_15_19_yr_not_a_voluntr,f_15_19_yr_voluntary_work_ns,f_15_19_yr_oseas_visitors,f_15_19_yr_total,f_20_24_yr_volunteer,f_20_24_yr_not_a_voluntr,f_20_24_yr_voluntary_work_ns,f_20_24_yr_oseas_visitors,f_20_24_yr_total,f_25_34_yr_volunteer,f_25_34_yr_not_a_voluntr,f_25_34_yr_voluntary_work_ns,f_25_34_yr_oseas_visitors,f_25_34_yr_total,f_35_44_yr_volunteer,f_35_44_yr_not_a_voluntr,f_35_44_yr_voluntary_work_ns,f_35_44_yr_oseas_visitors,f_35_44_yr_total,f_45_54_yr_volunteer,f_45_54_yr_not_a_voluntr,f_45_54_yr_voluntary_work_ns,f_45_54_yr_oseas_visitors,f_45_54_yr_total,f_55_64_yr_volunteer,f_55_64_yr_not_a_voluntr,f_55_64_yr_voluntary_work_ns,f_55_64_yr_oseas_visitors,f_55_64_yr_total,f_65_74_yr_volunteer,f_65_74_yr_not_a_voluntr,f_65_74_yr_voluntary_work_ns,f_65_74_yr_oseas_visitors,f_65_74_yr_total,f_75_84_yr_volunteer,f_75_84_yr_not_a_voluntr,f_75_84_yr_voluntary_work_ns,f_75_84_yr_oseas_visitors,f_75_84_yr_total,f_85_yr_over_volunteer,f_85_yr_over_not_a_voluntr,f_85_yr_over_voluntary_wk_ns,f_85yr_over_oseas_visitors,f_85_yr_over_tot,f_tot_volunteer,f_tot_not_a_voluntr,f_tot_voluntary_work_ns,f_tot_overseas_visitors,f_tot_tot,p_15_19_yr_volunteer,p_15_19_yr_not_a_voluntr,p_15_19_yr_voluntary_work_ns,p_15_19_yr_oseas_visitors,p_15_19_yr_total,p_20_24_yr_volunteer,p_20_24_yr_not_a_voluntr,p_20_24_yr_voluntary_work_ns,p_20_24_yr_oseas_visitors,p_20_24_yr_total,p_25_34_yr_volunteer,p_25_34_yr_not_a_voluntr,p_25_34_yr_voluntary_work_ns,p_25_34_yr_oseas_visitors,p_25_34_yr_total,p_35_44_yr_volunteer,p_35_44_yr_not_a_voluntr,p_35_44_yr_voluntary_work_ns,p_35_44_yr_oseas_visitors,p_35_44_yr_total,p_45_54_yr_volunteer,p_45_54_yr_not_a_voluntr,p_45_54_yr_voluntary_work_ns,p_45_54_yr_oseas_visitors,p_45_54_yr_total,p_55_64_yr_volunteer,p_55_64_yr_not_a_voluntr,p_55_64_yr_voluntary_work_ns,p_55_64_yr_oseas_visitors,p_55_64_yr_total,p_65_74_yr_volunteer,p_65_74_yr_not_a_voluntr,p_65_74_yr_voluntary_work_ns,p_65_74_yr_oseas_visitors,p_65_74_yr_total,p_75_84_yr_volunteer,p_75_84_yr_not_a_voluntr,p_75_84_yr_voluntary_work_ns,p_75_84_yr_oseas_visitors,p_75_84_yr_total,p_85_yr_over_volunteer,p_85_yr_over_not_a_voluntr,p_85_yr_over_voluntary_wk_ns,p_85yr_over_oseas_visitors,p_85_yr_over_tot,p_tot_volunteer,p_tot_not_a_voluntr,p_tot_voluntary_work_ns,p_tot_overseas_visitors,p_total_total
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p19_voluntary_work_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-76a3,Queanbeyan,"10102","319","1350","192","17","1885","229","1247","162","13","1659","481","3023","382","24","3904","816","2818","395","15","4042","1049","3135","468","7","4654","764","2548","386","14","3718","486","1469","279","9","2246","152","632","125","0","911","18","197","45","0","255","4317","16418","2437","109","23279","416","1137","161","17","1729","268","1253","145","18","1682","648","2990","356","26","4012","1095","2660","284","19","4058","1192","3050","313","16","4579","808","2407","292","32","3535","549","1360","228","5","2140","167","685","139","7","995","26","347","61","0","434","5166","15887","1977","138","23168","737","2485","358","40","3617","496","2498","309","28","3337","1124","6008","737","50","7917","1907","5483","678","31","8101","2243","6181","778","21","9229","1573","4960","676","45","7257","1033","2830","502","19","4387","323","1311","266","5","1904","45","544","103","0","698","9481","32307","4412","247","46453"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p19_voluntary_work_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-76a2,Snowy Mountains,"10103","200","565","149","46","962","175","783","206","116","1277","342","1462","450","170","2423","513","1304","448","27","2290","622","1347","410","27","2406","656","1397","377","14","2443","536","964","301","3","1803","153","404","141","0","700","22","119","41","0","185","3215","8353","2526","407","14496","179","469","105","28","783","182","634","152","85","1049","418","1166","281","153","2016","632","1131","328","21","2107","733","1165","309","23","2234","594","1137","256","12","1998","477","778","206","0","1459","139","327","114","3","586","34","179","77","0","289","3385","6990","1831","318","12525","378","1039","255","79","1748","349","1413","358","199","2327","758","2630","733","320","4444","1139","2438","777","44","4400","1356","2512","717","57","4639","1251","2539","635","24","4442","1008","1744","513","3","3271","295","733","253","4","1284","56","301","117","0","474","6599","15343","4356","728","27023"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p19_voluntary_work_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-76a1,South Coast,"10104","282","1240","252","19","1797","155","967","115","10","1244","358","1930","218","13","2507","651","2189","260","15","3123","1037","2982","378","17","4416","1420","4220","487","15","6143","1573","3707","554","9","5844","592","1908","430","4","2935","96","669","174","3","937","6159","19823","2856","106","28942","346","1193","206","18","1761","163","898","103","11","1180","527","1888","202","13","2624","1014","2200","263","13","3497","1311","3155","334","17","4813","1819","4327","468","28","6632","1829","3337","526","19","5713","692","1842","503","5","3042","120","1027","312","0","1461","7817","19863","2911","122","30718","630","2428","458","40","3556","320","1865","218","16","2423","879","3815","416","28","5138","1665","4394","526","33","6618","2346","6137","710","40","9228","3242","8550","949","38","12778","3407","7052","1071","26","11553","1282","3748","928","10","5978","210","1693","484","4","2395","13975","39682","5770","236","59665"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p19_voluntary_work_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-76a0,Goulburn - Mulwaree,"10105","177","756","137","0","1071","136","752","158","6","1056","267","1513","349","18","2145","390","1479","325","3","2197","523","1714","278","9","2519","487","1732","201","6","2431","462","1335","230","8","2043","192","679","168","0","1044","25","224","72","0","317","2665","10184","1923","56","14835","204","672","108","17","997","126","631","59","9","824","343","1520","131","12","2012","504","1369","132","4","2008","600","1670","181","8","2449","603","1664","173","9","2450","558","1209","204","14","1978","227","718","219","0","1162","46","345","176","0","574","3205","9804","1383","71","14463","374","1424","250","16","2070","264","1384","219","19","1878","609","3032","485","31","4165","895","2848","449","8","4203","1121","3380","454","9","4971","1093","3392","374","18","4883","1023","2546","433","20","4025","416","1400","385","0","2205","68","572","247","0","892","5869","19986","3305","129","29293"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p19_voluntary_work_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-769f,Young - Yass,"10106","212","718","154","3","1093","161","597","60","3","824","289","1145","119","17","1574","561","1401","139","0","2094","731","1574","160","3","2472","644","1595","202","4","2446","565","1264","212","9","2049","202","600","145","0","946","34","190","70","0","295","3403","9076","1270","43","13792","288","664","136","5","1090","170","619","70","7","867","408","1213","102","14","1737","807","1308","128","3","2253","887","1563","192","5","2650","706","1478","164","11","2356","653","1116","178","7","1954","281","619","171","3","1075","51","346","143","0","533","4255","8928","1272","53","14513","500","1382","289","9","2181","332","1218","130","9","1691","699","2362","220","31","3310","1366","2711","268","6","4345","1623","3135","352","6","5115","1347","3069","368","14","4799","1219","2386","397","9","4008","490","1213","312","5","2023","82","536","211","0","830","7661","18002","2547","98","28303"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p19_voluntary_work_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-769e,Gosford,"10201","1015","3679","415","35","5141","619","3691","284","20","4612","1176","6976","521","47","8716","1883","7448","562","45","9943","2270","8005","594","36","10903","1915","7910","639","53","10509","1726","6447","595","44","8810","793","3468","499","11","4776","179","1560","341","7","2089","11563","49184","4457","293","65497","1099","3490","358","56","5004","772","3217","242","41","4268","1466","7008","482","55","9001","2819","7194","512","48","10577","2950","8350","586","70","11945","2377","8599","567","62","11612","2312","6724","709","46","9790","1002","4319","812","25","6158","218","2576","755","3","3550","15013","51473","5022","403","71908","2109","7165","774","89","10146","1391","6907","530","57","8881","2635","13978","1001","104","17723","4696","14643","1077","95","20515","5215","16355","1174","102","22854","4287","16507","1212","118","22121","4035","13175","1304","92","18601","1795","7788","1312","39","10933","397","4140","1092","11","5636","26573","100657","9477","695","137412"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p19_voluntary_work_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-769d,Wyong,"10202","618","3951","400","13","4982","481","3797","301","9","4594","863","7029","520","20","8430","1386","7054","498","13","8955","1487","7731","596","14","9835","1263","7324","632","26","9243","1238","5948","687","17","7891","603","3440","671","6","4712","98","1237","384","0","1721","8037","47508","4691","135","60375","680","3748","382","19","4832","651","3647","281","20","4598","1302","7283","453","31","9069","2155","7022","522","15","9723","1904","7963","607","22","10498","1705","7923","642","48","10317","1567","6569","839","30","9005","728","3995","898","17","5640","135","1982","715","8","2840","10826","50137","5342","217","66523","1297","7696","786","32","9810","1130","7447","585","35","9195","2164","14306","974","58","17503","3550","14077","1025","29","18679","3392","15701","1202","39","20332","2965","15246","1275","74","19566","2801","12517","1530","48","16902","1324","7438","1567","22","10353","239","3218","1098","10","4563","18863","97644","10037","348","126895"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p19_voluntary_work_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-769c,Bathurst,"10301","321","1221","234","4","1781","304","1193","439","3","1943","390","2070","564","10","3038","462","1839","398","12","2709","623","1974","329","10","2937","548","1954","243","7","2749","533","1421","249","4","2202","185","678","131","0","1001","37","233","69","0","342","3398","12593","2661","49","18695","365","1126","244","3","1738","367","1169","202","17","1755","451","1996","165","11","2630","752","1766","171","7","2688","753","2034","216","5","3006","703","1897","214","6","2827","638","1381","229","4","2255","250","802","206","0","1258","54","465","142","0","661","4339","12633","1789","50","18814","683","2347","476","6","3517","671","2366","635","15","3693","848","4066","730","21","5665","1213","3604","572","11","5402","1375","4012","545","15","5944","1254","3847","454","12","5570","1172","2797","485","12","4460","434","1482","343","3","2254","95","700","211","0","1004","7738","25226","4449","97","37507"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p19_voluntary_work_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-769b,Lachlan Valley,"10302","304","1045","240","3","1589","235","1053","148","13","1442","503","1928","275","12","2723","811","1758","300","7","2883","898","2297","375","4","3576","930","2517","415","12","3880","843","2080","451","4","3376","409","1165","323","4","1897","63","418","143","0","634","5004","14264","2677","57","21994","358","973","234","6","1571","237","931","120","17","1303","724","1818","237","14","2793","1120","1555","256","15","2946","1065","2145","348","4","3564","1110","2249","344","5","3719","1015","1726","406","7","3159","582","1162","370","4","2120","125","749","221","0","1101","6344","13317","2537","77","22268","663","2020","471","9","3159","472","1986","270","27","2750","1232","3743","516","31","5518","1934","3316","558","21","5826","1967","4438","722","5","7138","2038","4768","762","21","7598","1857","3809","850","10","6530","992","2332","690","8","4016","191","1171","368","3","1731","11347","27577","5213","130","44269"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p19_voluntary_work_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-769a,Lithgow - Mudgee,"10303","201","916","225","4","1342","163","867","179","9","1215","356","1836","445","8","2640","536","1659","387","4","2589","623","2210","425","3","3264","699","2132","394","4","3233","607","1887","401","9","2905","239","895","237","0","1372","30","287","68","0","386","3451","12689","2760","41","18944","201","787","206","10","1196","178","750","117","6","1052","435","1745","246","10","2438","763","1649","270","3","2681","793","2064","315","3","3176","763","2019","337","12","3132","713","1636","362","3","2718","282","983","283","3","1556","54","490","102","0","653","4190","12116","2245","53","18604","402","1698","429","8","2537","334","1616","291","12","2266","786","3580","690","20","5078","1298","3305","657","7","5272","1418","4270","743","10","6439","1463","4152","730","15","6371","1324","3523","765","13","5625","520","1880","524","5","2929","93","777","172","0","1042","7641","24805","5001","94","37545"
