gml_id,sa3_name16,sa3_code16,p_55_64_ud_wk_l_5_hrs,p_55_64_ud_wk_5_14_hrs,p_55_64_ud_wk_15_29_hrs,p_55_64_ud_wk_30h_more,p_55_64_no_ud_wk,p_55_64_ud_wk_ns,p_55_64_os_v,p_55_64_yr_tot,p_65_74_ud_wk_l_5_hrs,p_65_74_ud_wk_5_14_hrs,p_65_74_ud_wk_15_29_hrs,p_65_74_ud_wk_30h_more,p_65_74_no_ud_wk,p_65_74_ud_wk_ns,p_65_74_os_v,p_65_74_yr_tot,p_75_84_ud_wk_l_5_hrs,p_75_84_ud_wk_5_14_hrs,p_75_84_ud_wk_15_29_hrs,p_75_84_ud_wk_30h_more,p_75_84_no_ud_wk,p_75_84_ud_wk_ns,p_75_84_os_v,p_75_84_yr_tot,p_85ov_ud_wk_l_5_h,p_85ov_ud_wk_5_14_h,p_85ov_ud_wk_15_29_h,p_85ov_ud_wk_30h_more,p_85ov_no_ud_wk,p_85ov_ud_wk_ns,p_85ov_os_v,p_85_yr_over_tot,p_tot_ud_wk_l_5_hrs,p_tot_ud_wk_5_14_hrs,p_tot_ud_wk_15_29_hrs,p_tot_ud_wk_30h_more,p_tot_no_ud_wk,p_tot_ud_wk_ns,p_total_os_v,p_total_total
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-754f,Queanbeyan,"10102","1250","2429","1118","647","1048","716","45","7257","507","1122","757","605","833","558","19","4387","223","399","253","208","514","308","5","1904","86","98","49","35","307","114","0","698","10698","13791","5697","3715","7678","4630","247","46453"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-754e,Snowy Mountains,"10103","835","1322","595","399","607","657","24","4442","401","783","496","418","598","561","3","3271","159","222","128","165","314","282","4","1284","62","62","22","26","174","131","0","474","6004","6760","2823","2194","3973","4547","728","27023"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-754d,South Coast,"10104","1849","4116","2357","1511","1870","1042","38","12778","1107","2854","2316","1926","2079","1250","26","11553","524","1095","823","854","1576","1093","10","5978","215","274","186","161","995","556","4","2395","9893","15955","9219","7095","10865","6409","236","59665"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-754c,Goulburn - Mulwaree,"10105","791","1466","749","553","901","408","18","4883","476","870","656","569","922","508","20","4025","235","380","267","259","630","428","0","2205","101","123","59","42","300","267","0","892","5564","7499","3693","2995","5849","3566","129","29293"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-754b,Young - Yass,"10106","818","1420","806","563","756","420","14","4799","420","856","691","687","863","480","9","4008","209","358","268","285","531","374","5","2023","88","108","49","49","314","236","0","830","5487","7630","3912","3349","4960","2875","98","28303"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-754a,Gosford,"10201","4007","7431","3606","2205","3407","1354","118","22121","2248","4757","3417","2541","4062","1482","92","18601","1134","2104","1475","1302","3312","1562","39","10933","591","737","373","310","2397","1219","11","5636","30201","37561","17860","13527","27124","10442","695","137412"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7549,Wyong,"10202","3348","5831","2968","2177","3780","1378","74","19566","1795","3761","2707","2337","4491","1764","48","16902","891","1749","1183","1150","3532","1825","22","10353","418","495","268","216","1932","1226","10","4563","25597","32013","15684","13249","29007","10997","348","126895"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7548,Bathurst,"10301","933","1819","883","566","868","492","12","5570","469","1037","777","681","959","529","12","4460","221","416","273","310","618","424","3","2254","116","125","70","52","411","232","0","1004","7694","9865","4605","3689","6821","4736","97","37507"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7547,Lachlan Valley,"10302","1206","1979","1139","958","1458","842","21","7598","724","1212","1013","961","1635","982","10","6530","340","590","492","535","1237","824","8","4016","156","202","96","103","750","416","3","1731","7803","10337","5574","5238","9454","5728","130","44269"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7546,Lithgow - Mudgee,"10303","919","1763","967","824","1080","800","15","6371","508","1134","879","855","1354","882","13","5625","263","495","349","335","857","620","5","2929","96","115","63","69","488","197","0","1042","6317","9034","4838","4413","7402","5439","94","37545"
